Orthogroup	Pras	Syaq
OG0000004	Pras.g_01571	Syaq.g_02603
OG0000004	Pras.g_01084	Syaq.g_02042, Syaq.g_01567
OG0000005	Pras.g_00563	Syaq.g_01658
OG0000005	Pras.g_00429	Syaq.g_01692
OG0000006	Pras.g_00148, Pras.g_01093	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Pras.g_01375	Syaq.g_01793
OG0000007	Pras.g_00550	Syaq.g_01673
OG0000009	Pras.g_00956	Syaq.g_01489
OG0000010	Pras.g_00523, Pras.g_01942, Pras.g_01352	Syaq.g_00443
OG0000011	Pras.g_00176, Pras.g_01289, Pras.g_00142, Pras.g_00166	Syaq.g_01038
OG0000012	Pras.g_01499	Syaq.g_02059
OG0000013	Pras.g_01179	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Pras.g_01158	Syaq.g_00862
OG0000014	Pras.g_00304	Syaq.g_00907
OG0000015	Pras.g_00127	Syaq.g_02255
OG0000016	Pras.g_00855	Syaq.g_01136
OG0000017	Pras.g_01474	Syaq.g_01992
OG0000018	Pras.g_00037, Pras.g_01728	Syaq.g_00401
OG0000019	Pras.g_01101, Pras.g_01681	Syaq.g_00717
OG0000022	Pras.g_01662, Pras.g_00019	Syaq.g_02126
OG0000023	Pras.g_01213	Syaq.g_02540
OG0000025	Pras.g_01735, Pras.g_01183	Syaq.g_02381
OG0000026	Pras.g_00873, Pras.g_01949	Syaq.g_01114
OG0000028	Pras.g_01172, Pras.g_00169	Syaq.g_00878
OG0000030	Pras.g_00753	Syaq.g_01047, Syaq.g_01048
OG0000031	Pras.g_00331	Syaq.g_01009
OG0000032	Pras.g_00326	Syaq.g_00909
OG0000033	Pras.g_01020	Syaq.g_01399
OG0000034	Pras.g_00219	Syaq.g_00312, Syaq.g_01431
OG0000035	Pras.g_00350	Syaq.g_00372
OG0000037	Pras.g_00960	Syaq.g_01483
OG0000038	Pras.g_00795	Syaq.g_01260, Syaq.g_01258
OG0000039	Pras.g_01562	Syaq.g_01601, Syaq.g_01241
OG0000042	Pras.g_00750	Syaq.g_00200, Syaq.g_01044
OG0000043	Pras.g_00153	Syaq.g_01920
OG0000045	Pras.g_01224	Syaq.g_02047
OG0000048	Pras.g_01227	Syaq.g_00749
OG0000052	Pras.g_00285	Syaq.g_00969
OG0000053	Pras.g_00886, Pras.g_00370	Syaq.g_00397
OG0000054	Pras.g_01482	Syaq.g_02005
OG0000055	Pras.g_01682	Syaq.g_02700
OG0000057	Pras.g_01574	Syaq.g_02605
OG0000058	Pras.g_00291	Syaq.g_00944
OG0000059	Pras.g_00637	Syaq.g_00657
OG0000061	Pras.g_00056	Syaq.g_00249
OG0000063	Pras.g_00875	Syaq.g_01110
OG0000065	Pras.g_00958	Syaq.g_01908, Syaq.g_01487
OG0000066	Pras.g_01416	Syaq.g_01851
OG0000067	Pras.g_01701, Pras.g_00311	Syaq.g_02340
OG0000068	Pras.g_00250	Syaq.g_01763
OG0000070	Pras.g_01328	Syaq.g_00484
OG0000071	Pras.g_00209	Syaq.g_00297
OG0000072	Pras.g_01022	Syaq.g_01397
OG0000073	Pras.g_01377	Syaq.g_01795
OG0000075	Pras.g_00719	Syaq.g_00986
OG0000076	Pras.g_00883, Pras.g_00743	Syaq.g_01028
OG0000077	Pras.g_00929	Syaq.g_01547
OG0000078	Pras.g_01091	Syaq.g_01585
OG0000079	Pras.g_01104	Syaq.g_00721
OG0000081	Pras.g_01408	Syaq.g_01893
OG0000082	Pras.g_01462	Syaq.g_01975
OG0000084	Pras.g_00346	Syaq.g_00367
OG0000085	Pras.g_00543	Syaq.g_01683
OG0000086	Pras.g_00939	Syaq.g_01525
OG0000087	Pras.g_00990	Syaq.g_01438
OG0000088	Pras.g_01017	Syaq.g_01402
OG0000089	Pras.g_01209	Syaq.g_00529
OG0000090	Pras.g_01410	Syaq.g_01838
OG0000091	Pras.g_01518	Syaq.g_02090
OG0000094	Pras.g_01915	Syaq.g_00056, Syaq.g_02554
OG0000097	Pras.g_00098	Syaq.g_00167
OG0000098	Pras.g_00232	Syaq.g_02221
OG0000099	Pras.g_00294	Syaq.g_00882
OG0000100	Pras.g_00427	Syaq.g_02371
OG0000101	Pras.g_00687	Syaq.g_00607
OG0000102	Pras.g_00748	Syaq.g_01033
OG0000103	Pras.g_00829	Syaq.g_01170
OG0000104	Pras.g_00838	Syaq.g_01154
OG0000105	Pras.g_01126	Syaq.g_00754
OG0000106	Pras.g_01223	Syaq.g_01863
OG0000108	Pras.g_01358	Syaq.g_01772
OG0000109	Pras.g_01372	Syaq.g_01788
OG0000110	Pras.g_01451	Syaq.g_01962
OG0000111	Pras.g_01575	Syaq.g_02606
OG0000112	Pras.g_01665	Syaq.g_02476
OG0000114	Pras.g_01801	Syaq.g_02269
OG0000115	Pras.g_01994	Syaq.g_00395
OG0000116	Pras.g_00046	Syaq.g_00263
OG0000117	Pras.g_00150	Syaq.g_00203
OG0000118	Pras.g_00221, Pras.g_00222	Syaq.g_00325, Syaq.g_00316
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syaq.g_00883
OG0000121	Pras.g_00352	Syaq.g_00375
OG0000122	Pras.g_00391	Syaq.g_02118
OG0000123	Pras.g_00694	Syaq.g_00599
OG0000124	Pras.g_00759	Syaq.g_01055
OG0000125	Pras.g_00797	Syaq.g_01256
OG0000126	Pras.g_00837	Syaq.g_01156
OG0000128	Pras.g_00853	Syaq.g_01138
OG0000129	Pras.g_00897	Syaq.g_01269
