locus_tag	ftype	length_bp	gene	EC_number	COG	product
Prae.g_00001	gene	1158	dnaN			
Prae.g_00001	CDS	1158	dnaN		COG0592	Beta sliding clamp
Prae.g_00002	gene	708				
Prae.g_00002	CDS	708				hypothetical protein
Prae.g_00003	gene	2340	purL			
Prae.g_00003	CDS	2340	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
Prae.g_00004	gene	1461	purF			
Prae.g_00004	CDS	1461	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
Prae.g_00005	gene	2442	gyrA_1			
Prae.g_00005	CDS	2442	gyrA_1	5.6.2.2		DNA gyrase subunit A
Prae.g_00006	gene	864	lapB			
Prae.g_00006	CDS	864	lapB			Lipopolysaccharide assembly protein B
Prae.g_00007	gene	957	queG			
Prae.g_00007	CDS	957	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
Prae.g_00008	gene	735				
Prae.g_00008	CDS	735				hypothetical protein
Prae.g_00009	gene	618	nusB			
Prae.g_00009	CDS	618	nusB			Transcription antitermination protein NusB
Prae.g_00010	gene	1320	ftsY			
Prae.g_00010	CDS	1320	ftsY			Signal recognition particle receptor FtsY
Prae.g_00011	gene	1344				
Prae.g_00011	CDS	1344				hypothetical protein
Prae.g_00012	gene	1380	argH			
Prae.g_00012	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
Prae.g_00013	gene	654				
Prae.g_00013	CDS	654				hypothetical protein
Prae.g_00014	gene	1005	dusA			
Prae.g_00014	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
Prae.g_00015	gene	495	msrB			
Prae.g_00015	CDS	495	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
Prae.g_00016	gene	720	grpE			
Prae.g_00016	CDS	720	grpE			Protein GrpE
Prae.g_00017	gene	1125	dnaJ_1			
Prae.g_00017	CDS	1125	dnaJ_1		COG0484	Chaperone protein DnaJ
Prae.g_00018	gene	231				
Prae.g_00018	CDS	231				hypothetical protein
Prae.g_00019	gene	918	rsgA			
Prae.g_00019	CDS	918	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
Prae.g_00020	gene	351	ybaB			
Prae.g_00020	CDS	351	ybaB		COG0718	Nucleoid-associated protein YbaB
Prae.g_00021	gene	894	murB			
Prae.g_00021	CDS	894	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
Prae.g_00022	gene	1407	murC			
Prae.g_00022	CDS	1407	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
Prae.g_00023	gene	1023	gap2			
Prae.g_00023	CDS	1023	gap2	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
Prae.g_00024	gene	987	thiL_1			
Prae.g_00024	CDS	987	thiL_1	2.7.4.16	COG0611	Thiamine-monophosphate kinase
Prae.g_00025	gene	1092				
Prae.g_00025	CDS	1092				hypothetical protein
Prae.g_00026	gene	597	efp			
Prae.g_00026	CDS	597	efp		COG0231	Elongation factor P
Prae.g_00027	gene	507	accB			
Prae.g_00027	CDS	507	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
Prae.g_00028	gene	1035	pdxA2			
Prae.g_00028	CDS	1035	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
Prae.g_00029	gene	879				
Prae.g_00029	CDS	879				hypothetical protein
Prae.g_00030	gene	231				
Prae.g_00030	CDS	231				hypothetical protein
Prae.g_00031	gene	402				
Prae.g_00031	CDS	402				hypothetical protein
Prae.g_00032	gene	453				
Prae.g_00032	CDS	453				hypothetical protein
Prae.g_00033	gene	513				
Prae.g_00033	CDS	513				hypothetical protein
Prae.g_00034	gene	198				
Prae.g_00034	CDS	198				hypothetical protein
Prae.g_00035	gene	1137				
Prae.g_00035	CDS	1137		1.12.-.-		Soluble hydrogenase 42 kDa subunit
Prae.g_00036	gene	1113	cbiD			
Prae.g_00036	CDS	1113	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
Prae.g_00037	gene	1587	guaA			
Prae.g_00037	CDS	1587	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
Prae.g_00038	gene	318				
Prae.g_00038	CDS	318				hypothetical protein
Prae.g_00039	gene	1314				
Prae.g_00039	CDS	1314				hypothetical protein
Prae.g_00040	gene	1509				
Prae.g_00040	CDS	1509				hypothetical protein
Prae.g_00041	gene	714				
Prae.g_00041	CDS	714				hypothetical protein
Prae.g_00042	gene	609				
Prae.g_00042	CDS	609				hypothetical protein
Prae.g_00043	gene	144				
Prae.g_00043	CDS	144				hypothetical protein
Prae.g_00044	gene	1791	mrdA			
Prae.g_00044	CDS	1791	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
Prae.g_00045	gene	525				
Prae.g_00045	CDS	525				hypothetical protein
Prae.g_00046	gene	1803	dfa5			
Prae.g_00046	CDS	1803	dfa5	1.-.-.-	COG0426	Putative diflavin flavoprotein A 5
Prae.g_00047	gene	1776	dfa3			
Prae.g_00047	CDS	1776	dfa3	1.-.-.-	COG0426	Putative diflavin flavoprotein A 3
Prae.g_00048	gene	2661	alaS			
Prae.g_00048	CDS	2661	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
Prae.g_00049	gene	1947	speA_1			
Prae.g_00049	CDS	1947	speA_1	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
Prae.g_00050	gene	459	ndk			
Prae.g_00050	CDS	459	ndk	2.7.4.6		Nucleoside diphosphate kinase
Prae.g_00051	gene	1110	hcnC			
Prae.g_00051	CDS	1110	hcnC	1.4.99.5	COG0665	Hydrogen cyanide synthase subunit HcnC
Prae.g_00052	gene	1473	gatB			
Prae.g_00052	CDS	1473	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
Prae.g_00053	gene	618	coaE			
Prae.g_00053	CDS	618	coaE	2.7.1.24		Dephospho-CoA kinase
Prae.g_00054	gene	1239	argJ			
Prae.g_00054	CDS	1239	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
Prae.g_00055	gene	2766				
Prae.g_00055	CDS	2766				hypothetical protein
Prae.g_00056	gene	747				
Prae.g_00056	CDS	747				hypothetical protein
Prae.g_00057	gene	435				
Prae.g_00057	CDS	435				hypothetical protein
Prae.g_00058	gene	441				
Prae.g_00058	CDS	441				hypothetical protein
Prae.g_00059	gene	156				
Prae.g_00059	CDS	156				hypothetical protein
Prae.g_00060	gene	672				
Prae.g_00060	CDS	672				hypothetical protein
Prae.g_00061	gene	963	yhdN			
Prae.g_00061	CDS	963	yhdN	1.1.1.-	COG0667	Aldo-keto reductase YhdN
Prae.g_00062	gene	138				
Prae.g_00062	CDS	138				hypothetical protein
Prae.g_00063	gene	310	ssrA			
Prae.g_00063	tmRNA	310	ssrA			transfer-messenger RNA, SsrA
Prae.g_00064	gene	1125	rlmL			
Prae.g_00064	CDS	1125	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
Prae.g_00065	gene	387				
Prae.g_00065	CDS	387				hypothetical protein
Prae.g_00066	gene	462				
Prae.g_00066	CDS	462				hypothetical protein
Prae.g_00067	gene	138				
Prae.g_00067	CDS	138				hypothetical protein
Prae.g_00068	gene	363				
Prae.g_00068	CDS	363				hypothetical protein
Prae.g_00069	gene	3585	smc			
Prae.g_00069	CDS	3585	smc			Chromosome partition protein Smc
Prae.g_00070	gene	1068				
Prae.g_00070	CDS	1068				hypothetical protein
Prae.g_00071	gene	1287	lpxB_1			
Prae.g_00071	CDS	1287	lpxB_1	2.4.1.182		Lipid-A-disaccharide synthase
Prae.g_00072	gene	84				
Prae.g_00072	tRNA	84				tRNA-Leu(aag)
Prae.g_00073	gene	1350	accC			
Prae.g_00073	CDS	1350	accC	6.3.4.14	COG0439	Biotin carboxylase
Prae.g_00074	gene	315				
Prae.g_00074	CDS	315				hypothetical protein
Prae.g_00075	gene	186	psbX			
Prae.g_00075	CDS	186	psbX			Photosystem II reaction center X protein
Prae.g_00076	gene	1059				
Prae.g_00076	CDS	1059				hypothetical protein
Prae.g_00077	gene	276				
Prae.g_00077	CDS	276				hypothetical protein
Prae.g_00078	gene	1983				
Prae.g_00078	CDS	1983				hypothetical protein
Prae.g_00079	gene	279				
Prae.g_00079	CDS	279				hypothetical protein
Prae.g_00080	gene	342				
Prae.g_00080	CDS	342		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
Prae.g_00081	gene	606	def			
Prae.g_00081	CDS	606	def	3.5.1.88	COG0242	Peptide deformylase
Prae.g_00082	gene	1926				
Prae.g_00082	CDS	1926				hypothetical protein
Prae.g_00083	gene	1254	csd			
Prae.g_00083	CDS	1254	csd	2.8.1.7		putative cysteine desulfurase
Prae.g_00084	gene	1218				
Prae.g_00084	CDS	1218				hypothetical protein
Prae.g_00085	gene	786	sufC			
Prae.g_00085	CDS	786	sufC		COG0396	putative ATP-dependent transporter SufC
Prae.g_00086	gene	1443	sufB			
Prae.g_00086	CDS	1443	sufB		COG0719	FeS cluster assembly protein SufB
Prae.g_00087	gene	354				
Prae.g_00087	CDS	354				hypothetical protein
Prae.g_00088	gene	1086				
Prae.g_00088	CDS	1086				hypothetical protein
Prae.g_00089	gene	171				
Prae.g_00089	CDS	171				hypothetical protein
Prae.g_00090	gene	1638	pgm			
Prae.g_00090	CDS	1638	pgm	5.4.2.2	COG0033	Phosphoglucomutase
Prae.g_00091	gene	1290	rarA			
Prae.g_00091	CDS	1290	rarA		COG2256	Replication-associated recombination protein A
Prae.g_00092	gene	594				
Prae.g_00092	CDS	594				hypothetical protein
Prae.g_00093	gene	468	bcp_1			
Prae.g_00093	CDS	468	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp
Prae.g_00094	gene	696	coaX			
