Orthogroup	Praz	Pray
OG0000000	Praz.g_01198	Pray.g_01888
OG0000000	Praz.g_00894	Pray.g_01576
OG0000000	Praz.g_00921	Pray.g_01603
OG0000000	Praz.g_00694	Pray.g_00003
OG0000000	Praz.g_00922	Pray.g_00003
OG0000000	Praz.g_00694	Pray.g_01604
OG0000000	Praz.g_00922	Pray.g_01604
OG0000000	Praz.g_01200	Pray.g_01890
OG0000000	Praz.g_00920	Pray.g_01602
OG0000001	Praz.g_01154	Pray.g_01844
OG0000001	Praz.g_01939	Pray.g_00247
OG0000001	Praz.g_01940	Pray.g_00246
OG0000002	Praz.g_01146	Pray.g_01836
OG0000002	Praz.g_01652	Pray.g_01085
OG0000004	Praz.g_01635	Pray.g_01068
OG0000004	Praz.g_00592	Pray.g_00713
OG0000005	Praz.g_00864	Pray.g_01546
OG0000005	Praz.g_00965	Pray.g_01646
OG0000006	Praz.g_00601	Pray.g_00722
OG0000007	Praz.g_01831	Pray.g_00988, Pray.g_00987
OG0000007	Praz.g_00877	Pray.g_01559
OG0000008	Praz.g_01241	Pray.g_01931
OG0000008	Praz.g_01658	Pray.g_01091
OG0000009	Praz.g_01230	Pray.g_01920
OG0000009	Praz.g_00929	Pray.g_01610
OG0000009	Praz.g_00465	Pray.g_00184
OG0000010	Praz.g_01854	Pray.g_00964
OG0000010	Praz.g_00074	Pray.g_00592
OG0000011	Praz.g_00768	Pray.g_00884
OG0000011	Praz.g_01207	Pray.g_01897
OG0000011	Praz.g_01240	Pray.g_01930
OG0000012	Praz.g_01707	Pray.g_01140
OG0000013	Praz.g_00684	Pray.g_00805
OG0000014	Praz.g_00663	Pray.g_00784
OG0000014	Praz.g_01102	Pray.g_01792
OG0000015	Praz.g_01551	Pray.g_00309
OG0000016	Praz.g_00378	Pray.g_01475
OG0000017	Praz.g_01732	Pray.g_01165
OG0000018	Praz.g_01485	Pray.g_00375
OG0000018	Praz.g_00011	Pray.g_00083
OG0000019	Praz.g_00609	Pray.g_00730
OG0000019	Praz.g_01532	Pray.g_00328
OG0000020	Praz.g_00048	Pray.g_00120
OG0000021	Praz.g_00896	Pray.g_01578
OG0000021	Praz.g_00810	Pray.g_00842
OG0000022	Praz.g_00029	Pray.g_00101
OG0000022	Praz.g_01556	Pray.g_00304
OG0000023	Praz.g_00814	Pray.g_00838
OG0000024	Praz.g_01571	Pray.g_00289
OG0000024	Praz.g_01655	Pray.g_01088
OG0000025	Praz.g_00688	Pray.g_00809
OG0000025	Praz.g_01477	Pray.g_00383
OG0000026	Praz.g_00396	Pray.g_01493
OG0000026	Praz.g_00081	Pray.g_00599
OG0000027	Praz.g_01858	Pray.g_00960
OG0000027	Praz.g_01197	Pray.g_01887
OG0000028	Praz.g_01246	Pray.g_01935
OG0000028	Praz.g_00677	Pray.g_00798
OG0000029	Praz.g_01564	Pray.g_00296
OG0000029	Praz.g_00799	Pray.g_00853
OG0000030	Praz.g_00195	Pray.g_01374
OG0000031	Praz.g_01116	Pray.g_01806
OG0000032	Praz.g_01092	Pray.g_01782
OG0000033	Praz.g_00529	Pray.g_00650
OG0000034	Praz.g_01170	Pray.g_01860
OG0000035	Praz.g_01041	Pray.g_01722
OG0000037	Praz.g_00469	Pray.g_00180
OG0000038	Praz.g_00154	Pray.g_01415
OG0000039	Praz.g_01644	Pray.g_01077
OG0000040	Praz.g_00903	Pray.g_01585
OG0000040	Praz.g_00012	Pray.g_00084
OG0000042	Praz.g_00198	Pray.g_01371
OG0000043	Praz.g_01234	Pray.g_01924
OG0000043	Praz.g_01440	Pray.g_00420
OG0000044	Praz.g_00693	Pray.g_00002
OG0000045	Praz.g_00803	Pray.g_00849
OG0000047	Praz.g_00687	Pray.g_00808
OG0000047	Praz.g_01921	Pray.g_00897
OG0000048	Praz.g_00800	Pray.g_00852
OG0000049	Praz.g_00790	Pray.g_00862
OG0000049	Praz.g_01269	Pray.g_00265
OG0000049	Praz.g_01317	Pray.g_00544
OG0000049	Praz.g_00767	Pray.g_00885
OG0000050	Praz.g_00769	Pray.g_00883
OG0000050	Praz.g_00101	Pray.g_00619
OG0000051	Praz.g_01204	Pray.g_01894
OG0000052	Praz.g_01103	Pray.g_01793
OG0000053	Praz.g_01021	Pray.g_01702
OG0000054	Praz.g_01724	Pray.g_01157
OG0000055	Praz.g_01531	Pray.g_00329
OG0000056	Praz.g_01253	Pray.g_01942
OG0000057	Praz.g_01632	Pray.g_01065
OG0000058	Praz.g_01096	Pray.g_01786
OG0000059	Praz.g_01071	Pray.g_01761
OG0000059	Praz.g_00311	Pray.g_01258
OG0000061	Praz.g_00755	Pray.g_00064
OG0000062	Praz.g_00963	Pray.g_01644
OG0000063	Praz.g_00398	Pray.g_01495
OG0000065	Praz.g_00467	Pray.g_00182
OG0000066	Praz.g_01789	Pray.g_01222
OG0000067	Praz.g_01512	Pray.g_00348
OG0000068	Praz.g_01139	Pray.g_01829
OG0000069	Praz.g_00928	Pray.g_01609
OG0000070	Praz.g_01878	Pray.g_00940
OG0000071	Praz.g_01180	Pray.g_01870
OG0000072	Praz.g_00531	Pray.g_00652
OG0000073	Praz.g_01829	Pray.g_00990
OG0000074	Praz.g_01648	Pray.g_01081
OG0000075	Praz.g_00230	Pray.g_01339
OG0000076	Praz.g_00205	Pray.g_01364
OG0000077	Praz.g_00438	Pray.g_00211
OG0000078	Praz.g_00599	Pray.g_00720
OG0000079	Praz.g_00612	Pray.g_00733
OG0000081	Praz.g_01797	Pray.g_01022
OG0000082	Praz.g_01744	Pray.g_01177
OG0000083	Praz.g_01576	Pray.g_00284
OG0000083	Praz.g_01201	Pray.g_01891
OG0000083	Praz.g_01583	Pray.g_00277
OG0000084	Praz.g_01045	Pray.g_01726
OG0000085	Praz.g_00884	Pray.g_01566
OG0000086	Praz.g_00448	Pray.g_00201
OG0000087	Praz.g_00499	Pray.g_00150
OG0000088	Praz.g_00526	Pray.g_00647
OG0000089	Praz.g_00818	Pray.g_00834
OG0000090	Praz.g_01795	Pray.g_01024, Pray.g_01228
OG0000091	Praz.g_01688	Pray.g_01121
OG0000092	Praz.g_01403	Pray.g_00457
OG0000092	Praz.g_00244	Pray.g_01325
OG0000093	Praz.g_01382	Pray.g_00479
OG0000094	Praz.g_01296	Pray.g_00565
OG0000095	Praz.g_00066	Pray.g_00584
OG0000096	Praz.g_00045	Pray.g_00117
OG0000096	Praz.g_01215	Pray.g_01905
OG0000097	Praz.g_00713	Pray.g_00022
OG0000098	Praz.g_01157	Pray.g_01847
OG0000099	Praz.g_01098	Pray.g_01788
OG0000100	Praz.g_00967	Pray.g_01648
OG0000101	Praz.g_00263	Pray.g_01306
