Orthogroup	Prbm	Prbn
OG0000000	Prbm.g_00874	Prbn.g_01483
OG0000000	Prbm.g_00712	Prbn.g_01586
OG0000000	Prbm.g_01581	Prbn.g_00879
OG0000000	Prbm.g_01578	Prbn.g_01159
OG0000000	Prbm.g_01577	Prbn.g_01234, Prbn.g_01161
OG0000000	Prbm.g_01582, Prbm.g_01576	Prbn.g_01154
OG0000001	Prbm.g_01810	Prbn.g_01663
OG0000001	Prbm.g_01404	Prbn.g_01152
OG0000002	Prbm.g_01633	Prbn.g_01213
OG0000002	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426	Prbn.g_01923
OG0000003	Prbm.g_01140, Prbm.g_01231, Prbm.g_00433, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814	Prbn.g_01151
OG0000004	Prbm.g_00081, Prbm.g_01988, Prbm.g_01436	Prbn.g_01110
OG0000005	Prbm.g_01808, Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_00436, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407	Prbn.g_01662
OG0000006	Prbm.g_00522	Prbn.g_00617
OG0000006	Prbm.g_01841	Prbn.g_01745
OG0000007	Prbm.g_01907	Prbn.g_01645
OG0000007	Prbm.g_01908	Prbn.g_01646
OG0000009	Prbm.g_00792	Prbn.g_01165
OG0000010	Prbm.g_01359	Prbn.g_01049
OG0000011	Prbm.g_00428	Prbn.g_00690
OG0000012	Prbm.g_00635	Prbn.g_00510
OG0000012	Prbm.g_00628	Prbn.g_00517
OG0000013	Prbm.g_01427, Prbm.g_01149	Prbn.g_01684, Prbn.g_01730
OG0000015	Prbm.g_01415	Prbn.g_01673, Prbn.g_01706
OG0000016	Prbm.g_01653	Prbn.g_01135, Prbn.g_00885
OG0000017	Prbm.g_01729	Prbn.g_01690, Prbn.g_00233
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prbn.g_00308
OG0000020	Prbm.g_00329	Prbn.g_01097
OG0000021	Prbm.g_01091	Prbn.g_01727
OG0000023	Prbm.g_01235, Prbm.g_01400	Prbn.g_00887
OG0000024	Prbm.g_00362	Prbn.g_00074
OG0000025	Prbm.g_00118, Prbm.g_01485	Prbn.g_01937
OG0000026	Prbm.g_01947	Prbn.g_00130
OG0000028	Prbm.g_01710	Prbn.g_00212
OG0000029	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753	Prbn.g_00659
OG0000031	Prbm.g_01267	Prbn.g_00809
OG0000032	Prbm.g_01627, Prbm.g_00391, Prbm.g_00393, Prbm.g_00392	Prbn.g_00171
OG0000033	Prbm.g_01944	Prbn.g_01131
OG0000034	Prbm.g_00114	Prbn.g_00724
OG0000035	Prbm.g_01482	Prbn.g_01042
OG0000036	Prbm.g_01900	Prbn.g_01734
OG0000037	Prbm.g_01106	Prbn.g_00867
OG0000038	Prbm.g_01204	Prbn.g_00891
OG0000039	Prbm.g_00225	Prbn.g_01247
OG0000040	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444	Prbn.g_01030
OG0000041	Prbm.g_01351	Prbn.g_01709, Prbn.g_01703
OG0000042	Prbm.g_00742	Prbn.g_01554
OG0000043	Prbm.g_00950	Prbn.g_01454
OG0000044	Prbm.g_01549	Prbn.g_01189
OG0000045	Prbm.g_00881	Prbn.g_00172
OG0000046	Prbm.g_01834	Prbn.g_00144, Prbn.g_01737
OG0000047	Prbm.g_02094	Prbn.g_00996
OG0000048	Prbm.g_02102	Prbn.g_00988
OG0000050	Prbm.g_00031	Prbn.g_00750
OG0000051	Prbm.g_00216	Prbn.g_01256
OG0000052	Prbm.g_01172, Prbm.g_01237	Prbn.g_00829
OG0000053	Prbm.g_00572	Prbn.g_01657, Prbn.g_00577
OG0000054	Prbm.g_00047	Prbn.g_00475
OG0000055	Prbm.g_00838, Prbm.g_01191	Prbn.g_01523
OG0000056	Prbm.g_00048	Prbn.g_01133
OG0000057	Prbm.g_00297	Prbn.g_00313
OG0000058	Prbm.g_00500	Prbn.g_00639
OG0000059	Prbm.g_00735	Prbn.g_01562
OG0000062	Prbm.g_01910	Prbn.g_01650
OG0000063	Prbm.g_01522	Prbn.g_00389
OG0000065	Prbm.g_00468, Prbm.g_01611	Prbn.g_01084
OG0000066	Prbm.g_00707	Prbn.g_00170
OG0000068	Prbm.g_02033	Prbn.g_01881
OG0000069	Prbm.g_01747	Prbn.g_00251
OG0000071	Prbm.g_00011	Prbn.g_00002, Prbn.g_00003
OG0000072	Prbm.g_00377	Prbn.g_00088
OG0000073	Prbm.g_00702	Prbn.g_00845
OG0000074	Prbm.g_00728	Prbn.g_01572
OG0000075	Prbm.g_00821	Prbn.g_01539
OG0000076	Prbm.g_01064	Prbn.g_01471
OG0000077	Prbm.g_00434, Prbm.g_01230, Prbm.g_01383, Prbm.g_01118, Prbm.g_01809, Prbm.g_01405	Prbn.g_01661
OG0000078	Prbm.g_00394	Prbn.g_00173
OG0000079	Prbm.g_01792	Prbn.g_00897
OG0000080	Prbm.g_01182	Prbn.g_00803
OG0000081	Prbm.g_02067	Prbn.g_01915
OG0000082	Prbm.g_02188	Prbn.g_00798
OG0000083	Prbm.g_00003	Prbn.g_00011
OG0000084	Prbm.g_00006	Prbn.g_00008
OG0000085	Prbm.g_00023	Prbn.g_00759
OG0000087	Prbm.g_00058	Prbn.g_00730
OG0000088	Prbm.g_00172	Prbn.g_01304
OG0000089	Prbm.g_00181	Prbn.g_01295
OG0000090	Prbm.g_00198	Prbn.g_01278
OG0000091	Prbm.g_00228	Prbn.g_01244
OG0000092	Prbm.g_00229	Prbn.g_00384, Prbn.g_01243
OG0000093	Prbm.g_00243	Prbn.g_00370
OG0000094	Prbm.g_00262	Prbn.g_00351
OG0000095	Prbm.g_00266	Prbn.g_00346
OG0000096	Prbm.g_00310	Prbn.g_00017
OG0000097	Prbm.g_00331	Prbn.g_00041
OG0000098	Prbm.g_00341	Prbn.g_00052
OG0000099	Prbm.g_00350	Prbn.g_00062
OG0000100	Prbm.g_00353	Prbn.g_00065
OG0000101	Prbm.g_00425	Prbn.g_00694
OG0000102	Prbm.g_01389	Prbn.g_01102
OG0000103	Prbm.g_00501	Prbn.g_00638
OG0000104	Prbm.g_00506	Prbn.g_00634
OG0000105	Prbm.g_00533	Prbn.g_00614
OG0000106	Prbm.g_00565	Prbn.g_00584
OG0000107	Prbm.g_00566	Prbn.g_00583
OG0000108	Prbm.g_00576	Prbn.g_00573
OG0000109	Prbm.g_00585	Prbn.g_00564
OG0000110	Prbm.g_00601	Prbn.g_00547
OG0000111	Prbm.g_00682	Prbn.g_00443
OG0000112	Prbm.g_00683	Prbn.g_00444
OG0000113	Prbm.g_00766	Prbn.g_01351
OG0000114	Prbm.g_00812	Prbn.g_01548
OG0000115	Prbm.g_00988	Prbn.g_01418
OG0000116	Prbm.g_00992	Prbn.g_01414
OG0000117	Prbm.g_01061	Prbn.g_01468
OG0000118	Prbm.g_01210	Prbn.g_01144
OG0000119	Prbm.g_01913	Prbn.g_01653
OG0000120	Prbm.g_01542	Prbn.g_01195
OG0000121	Prbm.g_01519	Prbn.g_00391
OG0000122	Prbm.g_01499	Prbn.g_00411
OG0000123	Prbm.g_01489	Prbn.g_00482
OG0000124	Prbm.g_01054	Prbn.g_00886
OG0000125	Prbm.g_01622	Prbn.g_01071
OG0000126	Prbm.g_01660	Prbn.g_01240
OG0000127	Prbm.g_01696	Prbn.g_00200
OG0000128	Prbm.g_01711	Prbn.g_00213
OG0000129	Prbm.g_01745	Prbn.g_00249
OG0000130	Prbm.g_01839	Prbn.g_01742
OG0000131	Prbm.g_01876	Prbn.g_01782
OG0000132	Prbm.g_01878	Prbn.g_01785
