Orthogroup	Syal	Prbj
OG0000000	Syal.g_01111, Syal.g_01832	Prbj.g_00164, Prbj.g_00166, Prbj.g_00165
OG0000001	Syal.g_02193	Prbj.g_00672, Prbj.g_00169
OG0000001	Syal.g_00874, Syal.g_01184	Prbj.g_01549, Prbj.g_02662
OG0000004	Syal.g_01809	Prbj.g_00754
OG0000004	Syal.g_02718, Syal.g_00691	Prbj.g_01777
OG0000005	Syal.g_00565	Prbj.g_00883
OG0000006	Syal.g_00674	Prbj.g_02699
OG0000007	Syal.g_02918	Prbj.g_01610
OG0000007	Syal.g_00587	Prbj.g_00857
OG0000008	Syal.g_02512	Prbj.g_00929
OG0000008	Syal.g_01783	Prbj.g_00928
OG0000009	Syal.g_00818	Prbj.g_01300, Prbj.g_00618
OG0000010	Syal.g_00464	Prbj.g_00129
OG0000013	Syal.g_00322, Syal.g_00310, Syal.g_00315	Prbj.g_00359
OG0000014	Syal.g_01305	Prbj.g_01442
OG0000017	Syal.g_02745	Prbj.g_01761
OG0000017	Syal.g_02752	Prbj.g_01769
OG0000018	Syal.g_00410	Prbj.g_00641
OG0000019	Syal.g_01209	Prbj.g_00025
OG0000022	Syal.g_02587	Prbj.g_01572, Prbj.g_00050
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbj.g_02392
OG0000024	Syal.g_02597	Prbj.g_00773
OG0000025	Syal.g_02459	Prbj.g_02475
OG0000026	Syal.g_00132	Prbj.g_01204
OG0000028	Syal.g_01319	Prbj.g_01457
OG0000029	Syal.g_03014	Prbj.g_00378
OG0000030	Syal.g_01511	Prbj.g_01288
OG0000030	Syal.g_01512	Prbj.g_01287
OG0000032	Syal.g_00428	Prbj.g_00659
OG0000032	Syal.g_00183	Prbj.g_01468
OG0000033	Syal.g_00912	Prbj.g_00518
OG0000034	Syal.g_00881, Syal.g_01586	Prbj.g_01740
OG0000035	Syal.g_00020, Syal.g_00370	Prbj.g_01056
OG0000037	Syal.g_00824	Prbj.g_00624
OG0000038	Syal.g_01071	Prbj.g_01959
OG0000038	Syal.g_01073	Prbj.g_01961
OG0000039	Syal.g_01097	Prbj.g_00278
OG0000041	Syal.g_00649	Prbj.g_00450
