Orthogroup	Syaq	Pras
OG0000004	Syaq.g_02603	Pras.g_01571
OG0000004	Syaq.g_02042, Syaq.g_01567	Pras.g_01084
OG0000005	Syaq.g_01658	Pras.g_00563
OG0000005	Syaq.g_01692	Pras.g_00429
OG0000006	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Pras.g_00148, Pras.g_01093
OG0000007	Syaq.g_01793	Pras.g_01375
OG0000007	Syaq.g_01673	Pras.g_00550
OG0000009	Syaq.g_01489	Pras.g_00956
OG0000010	Syaq.g_00443	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000011	Syaq.g_01038	Pras.g_00176, Pras.g_01289, Pras.g_00142, Pras.g_00166
OG0000012	Syaq.g_02059	Pras.g_01499
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Pras.g_01179
OG0000014	Syaq.g_00862	Pras.g_01158
OG0000014	Syaq.g_00907	Pras.g_00304
OG0000015	Syaq.g_02255	Pras.g_00127
OG0000016	Syaq.g_01136	Pras.g_00855
OG0000017	Syaq.g_01992	Pras.g_01474
OG0000018	Syaq.g_00401	Pras.g_00037, Pras.g_01728
OG0000019	Syaq.g_00717	Pras.g_01101, Pras.g_01681
OG0000022	Syaq.g_02126	Pras.g_01662, Pras.g_00019
OG0000023	Syaq.g_02540	Pras.g_01213
OG0000025	Syaq.g_02381	Pras.g_01735, Pras.g_01183
OG0000026	Syaq.g_01114	Pras.g_00873, Pras.g_01949
OG0000028	Syaq.g_00878	Pras.g_01172, Pras.g_00169
OG0000030	Syaq.g_01047, Syaq.g_01048	Pras.g_00753
OG0000031	Syaq.g_01009	Pras.g_00331
OG0000032	Syaq.g_00909	Pras.g_00326
OG0000033	Syaq.g_01399	Pras.g_01020
OG0000034	Syaq.g_00312, Syaq.g_01431	Pras.g_00219
OG0000035	Syaq.g_00372	Pras.g_00350
OG0000037	Syaq.g_01483	Pras.g_00960
OG0000038	Syaq.g_01260, Syaq.g_01258	Pras.g_00795
OG0000039	Syaq.g_01601, Syaq.g_01241	Pras.g_01562
OG0000042	Syaq.g_00200, Syaq.g_01044	Pras.g_00750
OG0000043	Syaq.g_01920	Pras.g_00153
OG0000045	Syaq.g_02047	Pras.g_01224
OG0000048	Syaq.g_00749	Pras.g_01227
OG0000052	Syaq.g_00969	Pras.g_00285
OG0000053	Syaq.g_00397	Pras.g_00886, Pras.g_00370
OG0000054	Syaq.g_02005	Pras.g_01482
OG0000055	Syaq.g_02700	Pras.g_01682
OG0000057	Syaq.g_02605	Pras.g_01574
OG0000058	Syaq.g_00944	Pras.g_00291
OG0000059	Syaq.g_00657	Pras.g_00637
OG0000061	Syaq.g_00249	Pras.g_00056
OG0000063	Syaq.g_01110	Pras.g_00875
OG0000065	Syaq.g_01908, Syaq.g_01487	Pras.g_00958
OG0000066	Syaq.g_01851	Pras.g_01416
OG0000067	Syaq.g_02340	Pras.g_01701, Pras.g_00311
OG0000068	Syaq.g_01763	Pras.g_00250
OG0000070	Syaq.g_00484	Pras.g_01328
OG0000071	Syaq.g_00297	Pras.g_00209
OG0000072	Syaq.g_01397	Pras.g_01022
OG0000073	Syaq.g_01795	Pras.g_01377
OG0000075	Syaq.g_00986	Pras.g_00719
OG0000076	Syaq.g_01028	Pras.g_00883, Pras.g_00743
OG0000077	Syaq.g_01547	Pras.g_00929
OG0000078	Syaq.g_01585	Pras.g_01091
OG0000079	Syaq.g_00721	Pras.g_01104
OG0000081	Syaq.g_01893	Pras.g_01408
OG0000082	Syaq.g_01975	Pras.g_01462
OG0000084	Syaq.g_00367	Pras.g_00346
OG0000085	Syaq.g_01683	Pras.g_00543
OG0000086	Syaq.g_01525	Pras.g_00939
OG0000087	Syaq.g_01438	Pras.g_00990
OG0000088	Syaq.g_01402	Pras.g_01017
OG0000089	Syaq.g_00529	Pras.g_01209
OG0000090	Syaq.g_01838	Pras.g_01410
OG0000091	Syaq.g_02090	Pras.g_01518
OG0000094	Syaq.g_00056, Syaq.g_02554	Pras.g_01915
OG0000097	Syaq.g_00167	Pras.g_00098
OG0000098	Syaq.g_02221	Pras.g_00232
OG0000099	Syaq.g_00882	Pras.g_00294
OG0000100	Syaq.g_02371	Pras.g_00427
OG0000101	Syaq.g_00607	Pras.g_00687
OG0000102	Syaq.g_01033	Pras.g_00748
OG0000103	Syaq.g_01170	Pras.g_00829
OG0000104	Syaq.g_01154	Pras.g_00838
OG0000105	Syaq.g_00754	Pras.g_01126
OG0000106	Syaq.g_01863	Pras.g_01223
OG0000108	Syaq.g_01772	Pras.g_01358
OG0000109	Syaq.g_01788	Pras.g_01372
OG0000110	Syaq.g_01962	Pras.g_01451
OG0000111	Syaq.g_02606	Pras.g_01575
OG0000112	Syaq.g_02476	Pras.g_01665
OG0000114	Syaq.g_02269	Pras.g_01801
OG0000115	Syaq.g_00395	Pras.g_01994
OG0000116	Syaq.g_00263	Pras.g_00046
OG0000117	Syaq.g_00203	Pras.g_00150
OG0000118	Syaq.g_00325, Syaq.g_00316	Pras.g_00221, Pras.g_00222
OG0000120	Syaq.g_00883	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syaq.g_00375	Pras.g_00352
OG0000122	Syaq.g_02118	Pras.g_00391
OG0000123	Syaq.g_00599	Pras.g_00694
OG0000124	Syaq.g_01055	Pras.g_00759
OG0000125	Syaq.g_01256	Pras.g_00797
OG0000126	Syaq.g_01156	Pras.g_00837
OG0000128	Syaq.g_01138	Pras.g_00853
OG0000129	Syaq.g_01269	Pras.g_00897
OG0000130	Syaq.g_01559	Pras.g_00921
OG0000131	Syaq.g_01427, Syaq.g_01424	Pras.g_00996
OG0000132	Syaq.g_01404	Pras.g_01015
OG0000133	Syaq.g_02481	Pras.g_01174
OG0000134	Syaq.g_00526	Pras.g_01210
OG0000135	Syaq.g_01227	Pras.g_01236
OG0000136	Syaq.g_00496	Pras.g_01319
OG0000137	Syaq.g_00442	Pras.g_01353
OG0000138	Syaq.g_01789	Pras.g_01373
OG0000139	Syaq.g_01844	Pras.g_01414
OG0000140	Syaq.g_01848	Pras.g_01415
OG0000141	Syaq.g_02010	Pras.g_01483
OG0000142	Syaq.g_02082	Pras.g_01511
OG0000143	Syaq.g_02086	Pras.g_01515
OG0000144	Syaq.g_02152	Pras.g_01528
OG0000145	Syaq.g_01796	Pras.g_01664
OG0000146	Syaq.g_02475	Pras.g_01666
OG0000147	Syaq.g_02474	Pras.g_01667
OG0000148	Syaq.g_02359	Pras.g_01717
OG0000149	Syaq.g_02395	Pras.g_01747
OG0000150	Syaq.g_02011	Pras.g_01755
OG0000151	Syaq.g_02283	Pras.g_01811
OG0000152	Syaq.g_02485	Pras.g_01859
OG0000153	Syaq.g_02518	Pras.g_01878
OG0000154	Syaq.g_00066	Pras.g_01908
OG0000155	Syaq.g_00212	Pras.g_00076
OG0000156	Syaq.g_00281	Pras.g_00197
OG0000157	Syaq.g_00282	Pras.g_00198
OG0000158	Syaq.g_01003	Pras.g_00289
OG0000160	Syaq.g_00374	Pras.g_00351
OG0000161	Syaq.g_00382	Pras.g_00357
OG0000162	Syaq.g_00389	Pras.g_00363
OG0000163	Syaq.g_01730	Pras.g_00399
OG0000164	Syaq.g_01642	Pras.g_00574
OG0000165	Syaq.g_01630	Pras.g_00581
OG0000166	Syaq.g_00647	Pras.g_00651
OG0000167	Syaq.g_00983	Pras.g_00717
OG0000168	Syaq.g_01004	Pras.g_00727
OG0000169	Syaq.g_01016	Pras.g_00737
OG0000170	Syaq.g_01023	Pras.g_00739
OG0000171	Syaq.g_01052	Pras.g_00758
OG0000172	Syaq.g_01074	Pras.g_00768
OG0000173	Syaq.g_01092	Pras.g_00783
OG0000174	Syaq.g_01224	Pras.g_00811, Pras.g_00810
OG0000175	Syaq.g_01183	Pras.g_00821
OG0000176	Syaq.g_01146	Pras.g_00846
OG0000177	Syaq.g_01145	Pras.g_00847
OG0000178	Syaq.g_01144	Pras.g_00848
OG0000179	Syaq.g_01129	Pras.g_00858
OG0000180	Syaq.g_01128	Pras.g_00859
OG0000181	Syaq.g_01127	Pras.g_00860
OG0000182	Syaq.g_01126	Pras.g_00861
OG0000183	Syaq.g_01122	Pras.g_00865
OG0000184	Syaq.g_01277	Pras.g_00899
OG0000185	Syaq.g_01290	Pras.g_00902
OG0000186	Syaq.g_01563	Pras.g_00916
OG0000187	Syaq.g_01561	Pras.g_00917
OG0000188	Syaq.g_01539	Pras.g_00933
OG0000189	Syaq.g_01499	Pras.g_00947
OG0000190	Syaq.g_01497	Pras.g_00948
OG0000191	Syaq.g_01467	Pras.g_00968
OG0000192	Syaq.g_01462	Pras.g_00972
OG0000193	Syaq.g_01423	Pras.g_00997
OG0000194	Syaq.g_01420	Pras.g_01000
OG0000195	Syaq.g_01418	Pras.g_01002
OG0000196	Syaq.g_01407	Pras.g_01012
OG0000197	Syaq.g_01406	Pras.g_01013
OG0000198	Syaq.g_01405	Pras.g_01014
OG0000199	Syaq.g_01398	Pras.g_01021
OG0000200	Syaq.g_01382	Pras.g_01035
OG0000201	Syaq.g_01365	Pras.g_01043
OG0000202	Syaq.g_01364	Pras.g_01044
OG0000203	Syaq.g_01363	Pras.g_01045
OG0000204	Syaq.g_01362	Pras.g_01046
OG0000205	Syaq.g_01355	Pras.g_01053
OG0000206	Syaq.g_01345	Pras.g_01058, Pras.g_01059
OG0000207	Syaq.g_01338	Pras.g_01061
OG0000208	Syaq.g_01337	Pras.g_01062
OG0000209	Syaq.g_01310	Pras.g_01071
OG0000210	Syaq.g_01309	Pras.g_01072
OG0000211	Syaq.g_01570	Pras.g_01085
OG0000212	Syaq.g_01586	Pras.g_01092
OG0000213	Syaq.g_00729	Pras.g_01109
OG0000214	Syaq.g_00745	Pras.g_01119
OG0000215	Syaq.g_00777	Pras.g_01144
