Orthogroup	Prbb	Pras
OG0000000	Prbb.g_00844	Pras.g_00243
OG0000000	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544	Pras.g_01554
OG0000002	Prbb.g_01611	Pras.g_00235
OG0000002	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157	Pras.g_00541, Pras.g_00118, Pras.g_00120
OG0000003	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792	Pras.g_00182, Pras.g_00471, Pras.g_00136
OG0000004	Prbb.g_01814, Prbb.g_00425	Pras.g_01638
OG0000005	Prbb.g_01785, Prbb.g_01120, Prbb.g_00432, Prbb.g_01401, Prbb.g_01354, Prbb.g_01244, Prbb.g_01319, Prbb.g_00431, Prbb.g_01121	Pras.g_00470, Pras.g_00493
OG0000006	Prbb.g_00501	Pras.g_01375
OG0000006	Prbb.g_01823	Pras.g_00550
OG0000009	Prbb.g_00761	Pras.g_01681
OG0000010	Prbb.g_01294	Pras.g_00004, Pras.g_00163
OG0000011	Prbb.g_00421	Pras.g_01263
OG0000011	Prbb.g_00386	Pras.g_01182
OG0000012	Prbb.g_00605, Prbb.g_00598	Pras.g_01474
OG0000013	Prbb.g_01158	Pras.g_00127
OG0000014	Prbb.g_01375	Pras.g_00185, Pras.g_01348
OG0000015	Prbb.g_01189	Pras.g_00539, Pras.g_01235
OG0000016	Prbb.g_01632	Pras.g_00246
OG0000017	Prbb.g_01705	Pras.g_00370, Pras.g_00886
OG0000018	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299	Pras.g_00148, Pras.g_01093
OG0000019	Prbb.g_00099	Pras.g_00507, Pras.g_01218
OG0000021	Prbb.g_01626, Prbb.g_01379, Prbb.g_01020, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362	Pras.g_01683
OG0000022	Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_00433, Prbb.g_01353, Prbb.g_01318	Pras.g_00184
OG0000024	Prbb.g_00357	Pras.g_01158
OG0000026	Prbb.g_01921	Pras.g_00875
OG0000027	Prbb.g_01114, Prbb.g_01127	Pras.g_00440
OG0000028	Prbb.g_01686	Pras.g_00350
OG0000029	Prbb.g_01324, Prbb.g_01729	Pras.g_00464, Pras.g_00538
OG0000030	Prbb.g_01563, Prbb.g_01663, Prbb.g_01808, Prbb.g_01806, Prbb.g_00046, Prbb.g_01954, Prbb.g_01562, Prbb.g_01570, Prbb.g_00045	Pras.g_00119
OG0000031	Prbb.g_01391	Pras.g_00508
OG0000033	Prbb.g_00014	Pras.g_00855
OG0000034	Prbb.g_00112	Pras.g_00096
OG0000036	Prbb.g_01882	Pras.g_01462
OG0000037	Prbb.g_01111	Pras.g_01499
OG0000038	Prbb.g_01231	Pras.g_01662
OG0000039	Prbb.g_00223	Pras.g_01017
OG0000040	Prbb.g_01373, Prbb.g_01411	Pras.g_01213
OG0000041	Prbb.g_01286	Pras.g_01296
OG0000042	Prbb.g_00713	Pras.g_01606
OG0000043	Prbb.g_00954	Pras.g_01686
OG0000044	Prbb.g_01517	Pras.g_00056
