Orthogroup	Pral	Syap
OG0000001	Pral.g_01236	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Pral.g_00809	Syap.g_01987
OG0000005	Pral.g_01075	Syap.g_01218
OG0000006	Pral.g_00797	Syap.g_02770
OG0000007	Pral.g_00593	Syap.g_00275
OG0000007	Pral.g_00107	Syap.g_00621
OG0000010	Pral.g_01832, Pral.g_01848	Syap.g_02757
OG0000013	Pral.g_00712	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Pral.g_00732	Syap.g_01675
OG0000014	Pral.g_01261	Syap.g_00813
OG0000015	Pral.g_01813	Syap.g_02606, Syap.g_00786
OG0000018	Pral.g_01516	Syap.g_02708
OG0000018	Pral.g_01346	Syap.g_02010
OG0000019	Pral.g_00790, Pral.g_01344	Syap.g_01586
OG0000025	Pral.g_01523	Syap.g_01846
OG0000027	Pral.g_01036, Pral.g_00039	Syap.g_01440
OG0000028	Pral.g_00053, Pral.g_00719	Syap.g_01658
OG0000030	Pral.g_00316	Syap.g_00787, Syap.g_00788
OG0000034	Pral.g_01271	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Pral.g_01161, Pral.g_01165	Syap.g_02125, Syap.g_02465
OG0000037	Pral.g_00938	Syap.g_02492
OG0000038	Pral.g_00356	Syap.g_00139
OG0000039	Pral.g_01755	Syap.g_01749, Syap.g_01748
OG0000041	Pral.g_00155	Syap.g_01510
OG0000042	Pral.g_00313	Syap.g_01891, Syap.g_01120
OG0000043	Pral.g_01347	Syap.g_01998
OG0000044	Pral.g_01888	Syap.g_00378
OG0000045	Pral.g_01322	Syap.g_02525
OG0000046	Pral.g_00711	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Pral.g_00768	Syap.g_02340
OG0000051	Pral.g_00095	Syap.g_01574
OG0000053	Pral.g_01139, Pral.g_00066	Syap.g_02006
OG0000054	Pral.g_00482	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Pral.g_01740	Syap.g_01569
OG0000058	Pral.g_01202	Syap.g_02074
OG0000059	Pral.g_00195	Syap.g_01918
OG0000061	Pral.g_00639	Syap.g_00870
OG0000061	Pral.g_01367	Syap.g_00228
OG0000062	Pral.g_01073	Syap.g_01220
OG0000063	Pral.g_00435	Syap.g_01796
OG0000066	Pral.g_00551	Syap.g_01972
OG0000067	Pral.g_01488	Syap.g_00194
OG0000068	Pral.g_01222	Syap.g_00108, Syap.g_00144
OG0000069	Pral.g_01164, Pral.g_01114	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Pral.g_00643	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Pral.g_01281	Syap.g_01483
OG0000072	Pral.g_00872	Syap.g_00555
OG0000073	Pral.g_00591	Syap.g_00273
OG0000075	Pral.g_00279	Syap.g_01064, Syap.g_00664
OG0000076	Pral.g_00305	Syap.g_01111
OG0000077	Pral.g_00969	Syap.g_00416
OG0000078	Pral.g_00800	Syap.g_01149
OG0000079	Pral.g_00787	Syap.g_01589
OG0000085	Pral.g_00099	Syap.g_00611
OG0000087	Pral.g_00906	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Pral.g_00878	Syap.g_01202
OG0000089	Pral.g_00676	Syap.g_00115, Syap.g_02042
OG0000090	Pral.g_00557	Syap.g_01451
OG0000091	Pral.g_01443	Syap.g_01861
OG0000094	Pral.g_01604	Syap.g_02781
OG0000095	Pral.g_01561	Syap.g_01556
OG0000098	Pral.g_01239	Syap.g_01975
OG0000099	Pral.g_01201	Syap.g_01385
OG0000101	Pral.g_00243	Syap.g_00472
OG0000102	Pral.g_00310	Syap.g_01116
OG0000103	Pral.g_00397	Syap.g_02607, Syap.g_02608
OG0000104	Pral.g_00406	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Pral.g_00765	Syap.g_01369, Syap.g_01368
OG0000107	Pral.g_00171	Syap.g_02496
OG0000108	Pral.g_00611	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Pral.g_00596	Syap.g_00279, Syap.g_02237
OG0000110	Pral.g_00513	Syap.g_01313
OG0000111	Pral.g_01739	Syap.g_01566, Syap.g_01568
OG0000112	Pral.g_01635	Syap.g_02023
OG0000113	Pral.g_01511	Syap.g_02714
OG0000114	Pral.g_01799	Syap.g_01255
OG0000115	Pral.g_01141	Syap.g_02004
OG0000116	Pral.g_01356	Syap.g_00241
OG0000117	Pral.g_01396, Pral.g_01398, Pral.g_01397	Syap.g_01889
OG0000118	Pral.g_01269	Syap.g_02286
OG0000120	Pral.g_00702	Syap.g_02075
OG0000121	Pral.g_01159	Syap.g_02471
OG0000123	Pral.g_00250	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Pral.g_00322	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Pral.g_00358	Syap.g_01046, Syap.g_01047
OG0000126	Pral.g_00405	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Pral.g_00421	Syap.g_00069
OG0000129	Pral.g_01000	Syap.g_00130, Syap.g_00129
OG0000130	Pral.g_00978	Syap.g_01688, Syap.g_01689
OG0000131	Pral.g_00900	Syap.g_02189
OG0000132	Pral.g_00880	Syap.g_01205
OG0000133	Pral.g_00717	Syap.g_02017
OG0000134	Pral.g_00674	Syap.g_02047
OG0000135	Pral.g_01034	Syap.g_02090
OG0000136	Pral.g_00653	Syap.g_00089
OG0000137	Pral.g_00617	Syap.g_02756
OG0000138	Pral.g_00595	Syap.g_00278
OG0000139	Pral.g_00553	Syap.g_00410
OG0000140	Pral.g_00552	Syap.g_01976
OG0000141	Pral.g_00481	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Pral.g_01436	Syap.g_00895, Syap.g_00894
OG0000143	Pral.g_01440	Syap.g_00900, Syap.g_00899, Syap.g_00901
