Orthogroup	Syaf	Praa
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praa.g_01351
OG0000004	Syaf.g_01455	Praa.g_00695
OG0000004	Syaf.g_02351, Syaf.g_02794	Praa.g_00232
OG0000005	Syaf.g_01017	Praa.g_01648
OG0000005	Syaf.g_01057	Praa.g_01553
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Praa.g_00241, Praa.g_01245
OG0000007	Syaf.g_02702	Praa.g_00497
OG0000007	Syaf.g_01033	Praa.g_01635
OG0000008	Syaf.g_01479	Praa.g_01241
OG0000009	Syaf.g_00905	Praa.g_00105
OG0000010	Syaf.g_02499	Praa.g_01047
OG0000011	Syaf.g_01532	Praa.g_01288
OG0000011	Syaf.g_01483	Praa.g_01626
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Praa.g_00623
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Praa.g_00327
OG0000014	Syaf.g_00280	Praa.g_00306
OG0000015	Syaf.g_02120, Syaf.g_02121	Praa.g_00765
OG0000016	Syaf.g_00484	Praa.g_00013
OG0000017	Syaf.g_02561, Syaf.g_02554	Praa.g_00598
OG0000018	Syaf.g_02451	Praa.g_01141
OG0000019	Syaf.g_00193	Praa.g_00249, Praa.g_00782
OG0000020	Syaf.g_02187	Praa.g_01107
OG0000021	Syaf.g_01726, Syaf.g_02773	Praa.g_01623, Praa.g_00364
OG0000022	Syaf.g_02256	Praa.g_01124
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Praa.g_00359
OG0000024	Syaf.g_01484	Praa.g_00747, Praa.g_00675
OG0000025	Syaf.g_01385	Praa.g_00331, Praa.g_00839
OG0000026	Syaf.g_00461	Praa.g_00031, Praa.g_01054
OG0000027	Syaf.g_02284, Syaf.g_01688	Praa.g_00470, Praa.g_01301
OG0000028	Syaf.g_00297	Praa.g_01248, Praa.g_00320
OG0000029	Syaf.g_01761	Praa.g_00754, Praa.g_00374
OG0000030	Syaf.g_00406, Syaf.g_00407	Praa.g_01842
OG0000033	Syaf.g_00807	Praa.g_01437
OG0000034	Syaf.g_01241, Syaf.g_00837	Praa.g_01328
OG0000035	Syaf.g_02412	Praa.g_01476
OG0000037	Syaf.g_00899	Praa.g_00109
OG0000038	Syaf.g_00642	Praa.g_01883
OG0000039	Syaf.g_01395	Praa.g_00686
OG0000040	Syaf.g_00558	Praa.g_01140
OG0000041	Syaf.g_01171, Syaf.g_01414	Praa.g_01683
OG0000042	Syaf.g_00403	Praa.g_01839
OG0000045	Syaf.g_00979	Praa.g_00370
