Orthogroup	Praw	Prbe
OG0000000	Praw.g_01009	Prbe.g_01285, Prbe.g_01290
OG0000000	Praw.g_01844	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Praw.g_01000	Prbe.g_00400
OG0000002	Praw.g_00497, Praw.g_01951, Praw.g_01739	Prbe.g_00112
OG0000003	Praw.g_00959, Praw.g_00457, Praw.g_00495	Prbe.g_01587
OG0000004	Praw.g_01769	Prbe.g_01628
OG0000005	Praw.g_01780, Praw.g_00455, Praw.g_00494, Praw.g_00893, Praw.g_00974	Prbe.g_01119
OG0000006	Praw.g_00651	Prbe.g_00636
OG0000006	Praw.g_00515	Prbe.g_00985
OG0000007	Praw.g_00501	Prbe.g_00036
OG0000007	Praw.g_00502	Prbe.g_00037
OG0000009	Praw.g_01717	Prbe.g_01573
OG0000009	Praw.g_00884	Prbe.g_01802
OG0000010	Praw.g_00482, Praw.g_00184, Praw.g_00945	Prbe.g_00081
OG0000012	Praw.g_01944	Prbe.g_00529, Prbe.g_00536
OG0000013	Praw.g_01738	Prbe.g_01046, Prbe.g_01000
OG0000014	Praw.g_00962, Praw.g_00492, Praw.g_00677	Prbe.g_01121, Prbe.g_00012
OG0000015	Praw.g_00752	Prbe.g_01130, Prbe.g_01024
OG0000016	Praw.g_01012	Prbe.g_01603, Prbe.g_00214
OG0000018	Praw.g_01950	Prbe.g_01794
OG0000019	Praw.g_00479, Praw.g_00767	Prbe.g_01208
OG0000020	Praw.g_00758, Praw.g_00504	Prbe.g_01825
OG0000021	Praw.g_01715	Prbe.g_01003
OG0000024	Praw.g_00828	Prbe.g_01861
OG0000028	Praw.g_01083, Praw.g_01081	Prbe.g_00311
OG0000029	Praw.g_00448	Prbe.g_00678
OG0000032	Praw.g_01073	Prbe.g_00352
OG0000033	Praw.g_00484	Prbe.g_01607
OG0000034	Praw.g_01071	Prbe.g_00333, Prbe.g_00158
OG0000035	Praw.g_00323	Prbe.g_00074
OG0000036	Praw.g_01932	Prbe.g_00549, Prbe.g_00996
OG0000037	Praw.g_00159	Prbe.g_00511, Prbe.g_00196
OG0000038	Praw.g_01746	Prbe.g_00220
OG0000039	Praw.g_01269	Prbe.g_01714
OG0000040	Praw.g_00772	Prbe.g_00062
OG0000041	Praw.g_00730	Prbe.g_01021, Prbe.g_01027
OG0000042	Praw.g_01809	Prbe.g_01214
OG0000043	Praw.g_01712	Prbe.g_01314
OG0000044	Praw.g_00234	Prbe.g_01549
OG0000045	Praw.g_01055	Prbe.g_00351
OG0000046	Praw.g_00508	Prbe.g_00007, Prbe.g_00993
OG0000047	Praw.g_00039	Prbe.g_00774
OG0000048	Praw.g_00032	Prbe.g_00766
