Orthogroup	Pran	Praf
OG0000000	Pran.g_00582	Praf.g_00815, Praf.g_00814
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Praf.g_00813
OG0000000	Pran.g_00593	Praf.g_01039, Praf.g_01042
OG0000002	Pran.g_01500	Praf.g_00948
OG0000004	Pran.g_01483	Praf.g_01121
OG0000004	Pran.g_00200	Praf.g_00743
OG0000005	Pran.g_00657	Praf.g_00503
OG0000006	Pran.g_01951	Praf.g_00396, Praf.g_01719
OG0000007	Pran.g_01681	Praf.g_00614
OG0000007	Pran.g_00970	Praf.g_00480
OG0000009	Pran.g_00328	Praf.g_01768, Praf.g_00246
OG0000010	Pran.g_00175	Praf.g_01908
OG0000011	Pran.g_00925	Praf.g_01188, Praf.g_01190
OG0000012	Pran.g_01555	Praf.g_01668
OG0000013	Pran.g_01867	Praf.g_02073
OG0000014	Pran.g_01888	Praf.g_02319
OG0000014	Pran.g_00755, Pran.g_00754	Praf.g_00112
OG0000015	Pran.g_01394	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000017	Pran.g_01580	Praf.g_00752, Praf.g_00760
OG0000018	Pran.g_00078	Praf.g_01832
OG0000019	Pran.g_01943, Pran.g_01363	Praf.g_00943, Praf.g_02214
OG0000020	Pran.g_01804	Praf.g_01095
OG0000021	Pran.g_01829	Praf.g_00946, Praf.g_01089, Praf.g_00746
OG0000022	Pran.g_00097	Praf.g_00965
OG0000022	Pran.g_01401	Praf.g_00201
OG0000024	Pran.g_01420, Pran.g_01503	Praf.g_01139
OG0000025	Pran.g_01863, Pran.g_01309	Praf.g_01591
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Praf.g_00037
OG0000028	Pran.g_01874	Praf.g_02333
OG0000029	Pran.g_01410	Praf.g_02091
OG0000030	Pran.g_01170	Praf.g_00160, Praf.g_00159
OG0000031	Pran.g_00753	Praf.g_02400, Praf.g_00101, Praf.g_00113
OG0000033	Pran.g_00800	Praf.g_02457
OG0000034	Pran.g_00866	Praf.g_00783
OG0000035	Pran.g_00733	Praf.g_01794
OG0000037	Pran.g_00324	Praf.g_00240
OG0000038	Pran.g_01210	Praf.g_02660, Praf.g_02662
OG0000039	Pran.g_01492	Praf.g_00406, Praf.g_02541
OG0000041	Pran.g_01016	Praf.g_00426
OG0000042	Pran.g_01167	Praf.g_00164, Praf.g_00920
OG0000044	Pran.g_00949	Praf.g_00356, Praf.g_01078
OG0000047	Pran.g_01864	Praf.g_01864
OG0000048	Pran.g_01772, Pran.g_01820	Praf.g_02267
OG0000050	Pran.g_00149	Praf.g_01105
OG0000053	Pran.g_00713	Praf.g_01828
OG0000054	Pran.g_01572	Praf.g_00763
OG0000055	Pran.g_01362	Praf.g_01257
OG0000057	Pran.g_01480	Praf.g_01125
OG0000059	Pran.g_01056	Praf.g_02172
OG0000060	Pran.g_01399	Praf.g_00592
OG0000061	Pran.g_00060	Praf.g_00854
OG0000062	Pran.g_00655	Praf.g_00501
OG0000063	Pran.g_00391	Praf.g_00041
OG0000065	Pran.g_00326	Praf.g_00244
OG0000066	Pran.g_01639	Praf.g_00672
OG0000067	Pran.g_01343	Praf.g_01530
OG0000068	Pran.g_00841	Praf.g_00585, Praf.g_00583
OG0000070	Pran.g_01727	Praf.g_01962
OG0000071	Pran.g_00938, Pran.g_00876	Praf.g_00796
OG0000072	Pran.g_00261	Praf.g_02469
OG0000073	Pran.g_01679	Praf.g_00616
OG0000075	Pran.g_01137	Praf.g_02384
OG0000076	Pran.g_01160	Praf.g_00178
OG0000077	Pran.g_00354	Praf.g_00309
OG0000078	Pran.g_00194	Praf.g_00391
OG0000079	Pran.g_01940	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Pran.g_01647	Praf.g_01131
OG0000082	Pran.g_01593	Praf.g_00731
OG0000084	Pran.g_00737	Praf.g_01790
OG0000085	Pran.g_00963	Praf.g_00491
OG0000086	Pran.g_00344	Praf.g_00297
OG0000087	Pran.g_00295	Praf.g_02420
OG0000088	Pran.g_00266	Praf.g_02454, Praf.g_01239
OG0000089	Pran.g_01839	Praf.g_02015
OG0000090	Pran.g_01645	Praf.g_00660
OG0000091	Pran.g_01536	Praf.g_01700
OG0000093	Pran.g_00455	Praf.g_01503
OG0000094	Pran.g_00549	Praf.g_02685
OG0000095	Pran.g_00903	Praf.g_01274
OG0000097	Pran.g_00019	Praf.g_00905
OG0000098	Pran.g_00855	Praf.g_01886
OG0000099	Pran.g_00806	Praf.g_02342
OG0000100	Pran.g_00659	Praf.g_00370, Praf.g_01561
OG0000101	Pran.g_01105	Praf.g_02119
OG0000102	Pran.g_01165	Praf.g_00173
OG0000103	Pran.g_01244	Praf.g_02765
OG0000104	Pran.g_01253	Praf.g_02779
OG0000105	Pran.g_01920	Praf.g_02271
OG0000106	Pran.g_01824	Praf.g_00496
OG0000107	Pran.g_01808	Praf.g_02201
OG0000108	Pran.g_01698	Praf.g_00595
OG0000109	Pran.g_01684	Praf.g_00611
OG0000110	Pran.g_01603	Praf.g_00718
OG0000111	Pran.g_01479	Praf.g_01126
OG0000112	Pran.g_01378	Praf.g_01400
OG0000113	Pran.g_01321	Praf.g_01556
OG0000114	Pran.g_00429	Praf.g_01461
OG0000115	Pran.g_00123	Praf.g_01825
OG0000116	Pran.g_00070	Praf.g_00825
OG0000117	Pran.g_01466	Praf.g_00919
OG0000118	Pran.g_00864	Praf.g_00779
OG0000119	Pran.g_00845	Praf.g_01108, Praf.g_01143
OG0000120	Pran.g_00752	Praf.g_02343
OG0000121	Pran.g_00731	Praf.g_01796
OG0000122	Pran.g_00693	Praf.g_00976
OG0000123	Pran.g_01112	Praf.g_02108
OG0000124	Pran.g_01176	Praf.g_00153
OG0000125	Pran.g_01212	Praf.g_02664
OG0000126	Pran.g_01252	Praf.g_02777
OG0000128	Pran.g_01268	Praf.g_00012
OG0000129	Pran.g_00381	Praf.g_02652
OG0000130	Pran.g_00363	Praf.g_00321
OG0000131	Pran.g_00288	Praf.g_02432
OG0000132	Pran.g_00268	Praf.g_02452
OG0000133	Pran.g_01872	Praf.g_02336
OG0000134	Pran.g_01838	Praf.g_02012
OG0000135	Pran.g_01812	Praf.g_02705, Praf.g_02715
OG0000136	Pran.g_01739	Praf.g_01984
OG0000137	Pran.g_01703	Praf.g_01907
OG0000138	Pran.g_01683	Praf.g_00612
