Orthogroup	Syad	Syas
OG0000001	Syad.g_02865	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Syas.g_00054
OG0000004	Syad.g_01304	Syas.g_00176
OG0000004	Syad.g_02184	Syas.g_00174, Syas.g_00311
OG0000004	Syad.g_00810	Syas.g_00072
OG0000005	Syad.g_02639	Syas.g_02665
OG0000005	Syad.g_02596	Syas.g_02704
OG0000006	Syad.g_00588, Syad.g_00829	Syas.g_01684, Syas.g_02565
OG0000007	Syad.g_00923	Syas.g_01232
OG0000007	Syad.g_02623	Syas.g_02681
OG0000008	Syad.g_01371	Syas.g_00887
OG0000009	Syad.g_02799	Syas.g_01450
OG0000010	Syad.g_02354	Syas.g_01334
OG0000014	Syad.g_00480	Syas.g_01816
OG0000015	Syad.g_00142	Syas.g_02007
OG0000016	Syad.g_00176	Syas.g_02048
OG0000016	Syad.g_01460	Syas.g_01086
OG0000017	Syad.g_01091	Syas.g_00856
OG0000017	Syad.g_01084	Syas.g_00849
OG0000018	Syad.g_02306	Syas.g_01290
OG0000019	Syad.g_00569	Syas.g_01696
OG0000022	Syad.g_02090	Syas.g_02758
OG0000025	Syad.g_01241	Syas.g_00231
OG0000026	Syad.g_00198	Syas.g_02070
OG0000027	Syad.g_01257	Syas.g_01480
OG0000028	Syad.g_00463	Syas.g_01793
OG0000030	Syad.g_00328	Syas.g_01644
OG0000030	Syad.g_00327	Syas.g_01645
OG0000031	Syad.g_00458	Syas.g_01827
OG0000033	Syad.g_00289, Syad.g_02903	Syas.g_02328
OG0000034	Syad.g_02420, Syad.g_02872	Syas.g_02371, Syas.g_02838
OG0000035	Syad.g_02275	Syas.g_02814, Syas.g_02818
OG0000038	Syad.g_03038	Syas.g_01885
OG0000040	Syad.g_00104	Syas.g_01972
OG0000042	Syad.g_00333	Syas.g_01121, Syas.g_02147
OG0000044	Syad.g_02214	Syas.g_00894, Syas.g_02453
OG0000048	Syad.g_00534	Syas.g_01734
OG0000051	Syad.g_00842	Syas.g_01445
OG0000053	Syad.g_02302	Syas.g_01287
OG0000054	Syad.g_02209	Syas.g_00961
OG0000058	Syad.g_00452	Syas.g_01151
OG0000060	Syad.g_01508	Syas.g_00975
OG0000061	Syad.g_01152	Syas.g_01184
OG0000062	Syad.g_02598	Syas.g_02702
OG0000063	Syad.g_00202	Syas.g_02074
OG0000064	Syad.g_00081, Syad.g_02125	Syas.g_02423
OG0000065	Syad.g_02574, Syad.g_02801	Syas.g_02420
OG0000066	Syad.g_00992	Syas.g_00094
OG0000067	Syad.g_01889	Syas.g_00596
OG0000068	Syad.g_00891	Syas.g_00969, Syas.g_01261
OG0000070	Syad.g_02424	Syas.g_00173
OG0000072	Syad.g_02905	Syas.g_02326
OG0000073	Syad.g_00926	Syas.g_01230
OG0000075	Syad.g_00416	Syas.g_01921, Syas.g_02194
OG0000076	Syad.g_00348	Syas.g_02156
OG0000077	Syad.g_02741	Syas.g_02510
OG0000078	Syad.g_00824	Syas.g_02308
OG0000079	Syad.g_00565	Syas.g_01699
OG0000081	Syad.g_00833	Syas.g_00391
OG0000082	Syad.g_01063	Syas.g_00837
OG0000085	Syad.g_02612	Syas.g_02695
OG0000086	Syad.g_02770	Syas.g_02470
OG0000087	Syad.g_02860	Syas.g_02374
OG0000089	Syad.g_00785, Syad.g_02829	Syas.g_01512
OG0000090	Syad.g_00977	Syas.g_00062
OG0000091	Syad.g_02144	Syas.g_00907, Syas.g_00146
OG0000092	Syad.g_01190	Syas.g_00900, Syas.g_00877
OG0000094	Syad.g_01676	Syas.g_00208
OG0000095	Syad.g_01290	Syas.g_01021
OG0000098	Syad.g_00625	Syas.g_00091
OG0000099	Syad.g_00460	Syas.g_01826
OG0000100	Syad.g_01846	Syas.g_00567
OG0000102	Syad.g_00343	Syas.g_02152, Syas.g_01395
OG0000104	Syad.g_00158	Syas.g_02027, Syas.g_02026
OG0000105	Syad.g_00530	Syas.g_01739
OG0000106	Syad.g_01993	Syas.g_01451
OG0000107	Syad.g_00590	Syas.g_01669
OG0000108	Syad.g_00904	Syas.g_01253
OG0000110	Syad.g_01048	Syas.g_00818
OG0000111	Syad.g_01300	Syas.g_01037
OG0000112	Syad.g_01766	Syas.g_00452
OG0000113	Syad.g_01851	Syas.g_00571
OG0000114	Syad.g_01617	Syas.g_00674, Syas.g_00252
OG0000115	Syad.g_02300	Syas.g_02548, Syas.g_01285
OG0000116	Syad.g_01123	Syas.g_01198, Syas.g_00317
OG0000117	Syad.g_01510	Syas.g_01122
OG0000118	Syad.g_01104	Syas.g_02835
OG0000120	Syad.g_00459	Syas.g_01828
OG0000121	Syad.g_02280	Syas.g_02821
OG0000122	Syad.g_02122	Syas.g_00393
OG0000123	Syad.g_00701	Syas.g_01582
OG0000124	Syad.g_00320	Syas.g_02137
OG0000125	Syad.g_03040	Syas.g_01889
OG0000126	Syad.g_00156	Syas.g_01992
OG0000127	Syad.g_02710	Syas.g_02540
OG0000128	Syad.g_00174	Syas.g_02046
OG0000129	Syad.g_03028	Syas.g_01880
OG0000130	Syad.g_02728	Syas.g_02522
OG0000131	Syad.g_02876	Syas.g_02367
OG0000132	Syad.g_02897	Syas.g_02334
OG0000133	Syad.g_01761	Syas.g_00457
OG0000134	Syad.g_00788	Syas.g_01509
OG0000135	Syad.g_00063	Syas.g_01938
OG0000136	Syad.g_02445	Syas.g_02740
OG0000137	Syad.g_02353	Syas.g_01333
OG0000138	Syad.g_00920	Syas.g_01235
OG0000140	Syad.g_00987	Syas.g_00090
OG0000141	Syad.g_02208	Syas.g_00875
OG0000142	Syad.g_02152	Syas.g_00746
OG0000143	Syad.g_02148	Syas.g_00742
OG0000144	Syad.g_02024	Syas.g_00718
OG0000145	Syad.g_00927	Syas.g_00948
OG0000146	Syad.g_01767	Syas.g_00451
OG0000147	Syad.g_01768	Syas.g_00450
OG0000148	Syad.g_01861	Syas.g_00577
OG0000149	Syad.g_01221	Syas.g_00282
OG0000150	Syad.g_02207, Syad.g_00989	Syas.g_00874
OG0000151	Syad.g_01956	Syas.g_00148, Syas.g_00659
OG0000152	Syad.g_01757	Syas.g_00461
OG0000153	Syad.g_01713	Syas.g_00543
OG0000154	Syad.g_01686	Syas.g_00219
OG0000155	Syad.g_01189	Syas.g_01131
OG0000156	Syad.g_01116	Syas.g_01206
OG0000157	Syad.g_01115	Syas.g_01207
OG0000158	Syad.g_00374	Syas.g_02185
OG0000160	Syad.g_02279	Syas.g_02820
OG0000161	Syad.g_02287	Syas.g_02826
OG0000162	Syad.g_02293	Syas.g_02751
OG0000163	Syad.g_02542	Syas.g_01488
OG0000165	Syad.g_02476	Syas.g_02609
OG0000166	Syad.g_00654	Syas.g_01629
OG0000167	Syad.g_00419	Syas.g_01449
OG0000168	Syad.g_00371	Syas.g_02184
OG0000169	Syad.g_00360	Syas.g_02170
OG0000170	Syad.g_00353	Syas.g_02161
OG0000171	Syad.g_00321	Syas.g_02139
OG0000172	Syad.g_00244	Syas.g_02110
OG0000173	Syad.g_00220	Syas.g_02092
OG0000174	Syad.g_00065	Syas.g_01940
OG0000175	Syad.g_00129	Syas.g_01994
OG0000176	Syad.g_00166	Syas.g_02038
OG0000177	Syad.g_00167	Syas.g_02039
OG0000178	Syad.g_00168	Syas.g_02040
OG0000179	Syad.g_00183	Syas.g_02054
OG0000180	Syad.g_00184	Syas.g_02055
OG0000181	Syad.g_00185	Syas.g_02056
OG0000182	Syad.g_00186	Syas.g_02057
OG0000183	Syad.g_00190	Syas.g_02061
OG0000184	Syad.g_03018	Syas.g_01872
OG0000185	Syad.g_03006	Syas.g_01861
OG0000186	Syad.g_02722	Syas.g_02525
OG0000187	Syad.g_02724	Syas.g_02524
OG0000188	Syad.g_02759	Syas.g_02502
OG0000189	Syad.g_02788	Syas.g_02432
OG0000190	Syad.g_02790	Syas.g_00133
OG0000191	Syad.g_02824	Syas.g_02400
OG0000192	Syad.g_02834	Syas.g_02395
OG0000193	Syad.g_02877	Syas.g_02366
OG0000194	Syad.g_02880	Syas.g_02363
OG0000196	Syad.g_02894	Syas.g_02337
OG0000197	Syad.g_02895	Syas.g_02336
OG0000198	Syad.g_02896	Syas.g_02335
OG0000199	Syad.g_02904	Syas.g_02327
OG0000200	Syad.g_02921	Syas.g_02298
OG0000201	Syad.g_02937	Syas.g_02279
OG0000202	Syad.g_02938	Syas.g_02278
OG0000203	Syad.g_02939	Syas.g_02277
OG0000204	Syad.g_02940	Syas.g_02276
OG0000205	Syad.g_02948	Syas.g_02267
OG0000206	Syad.g_02955	Syas.g_02240
OG0000207	Syad.g_02957	Syas.g_02237
OG0000208	Syad.g_02958	Syas.g_02236
OG0000209	Syad.g_02981	Syas.g_01837
OG0000210	Syad.g_02982	Syas.g_01838
OG0000211	Syad.g_00813	Syas.g_02552
OG0000212	Syad.g_00825	Syas.g_02562
OG0000213	Syad.g_00556	Syas.g_01707
OG0000214	Syad.g_00538	Syas.g_01730
OG0000215	Syad.g_00508	Syas.g_01766
OG0000216	Syad.g_00504, Syad.g_00285	Syas.g_01770
OG0000217	Syad.g_00500	Syas.g_01778
OG0000218	Syad.g_00498	Syas.g_01780
OG0000219	Syad.g_00497	Syas.g_01783
OG0000220	Syad.g_00496	Syas.g_01784
OG0000221	Syad.g_00488	Syas.g_01785
OG0000222	Syad.g_00473	Syas.g_01804
OG0000223	Syad.g_00451	Syas.g_02221
OG0000224	Syad.g_00444	Syas.g_02215
OG0000225	Syad.g_00777	Syas.g_01522
OG0000226	Syad.g_00781	Syas.g_01518
OG0000227	Syad.g_00783	Syas.g_01516
OG0000228	Syad.g_00784	Syas.g_01513
OG0000229	Syad.g_02450	Syas.g_01497
OG0000230	Syad.g_02448	Syas.g_01495
OG0000232	Syad.g_02392	Syas.g_01276
OG0000233	Syad.g_02382	Syas.g_01352
OG0000234	Syad.g_02351	Syas.g_01331
OG0000235	Syad.g_00903	Syas.g_01254
OG0000236	Syad.g_00918	Syas.g_01237
OG0000237	Syad.g_00936	Syas.g_01220
OG0000238	Syad.g_00941	Syas.g_01215
OG0000239	Syad.g_00957	Syas.g_00012
OG0000240	Syad.g_00958	Syas.g_00013
OG0000241	Syad.g_02160	Syas.g_00754
OG0000242	Syad.g_00975	Syas.g_00059
OG0000243	Syad.g_01000	Syas.g_00777
OG0000244	Syad.g_01012	Syas.g_00784
OG0000245	Syad.g_01014	Syas.g_00786
OG0000246	Syad.g_01017	Syas.g_00790
OG0000247	Syad.g_01029	Syas.g_00802
OG0000248	Syad.g_01032	Syas.g_00805
OG0000249	Syad.g_01034	Syas.g_00807
OG0000250	Syad.g_01044	Syas.g_00814
OG0000251	Syad.g_01071	Syas.g_00845
OG0000252	Syad.g_01078	Syas.g_00950
OG0000253	Syad.g_01081	Syas.g_00846
OG0000254	Syad.g_02203	Syas.g_00869
OG0000255	Syad.g_02185	Syas.g_00132, Syas.g_01062
OG0000256	Syad.g_02167	Syas.g_00104
OG0000257	Syad.g_02161	Syas.g_00757
OG0000258	Syad.g_02143	Syas.g_00733
OG0000259	Syad.g_01576	Syas.g_00708, Syas.g_01006
OG0000260	Syad.g_01587	Syas.g_00705
OG0000261	Syad.g_01590	Syas.g_00701
OG0000262	Syad.g_01595	Syas.g_00695
OG0000263	Syad.g_01475	Syas.g_01103
OG0000264	Syad.g_01360	Syas.g_02588
OG0000266	Syad.g_01804	Syas.g_00186
OG0000267	Syad.g_01645	Syas.g_00377
OG0000268	Syad.g_01646	Syas.g_00390
OG0000269	Syad.g_01894	Syas.g_00601
OG0000270	Syad.g_01891	Syas.g_00598
OG0000271	Syad.g_01883	Syas.g_00590
OG0000272	Syad.g_01882	Syas.g_00589
OG0000273	Syad.g_01247	Syas.g_00563
OG0000274	Syad.g_01246	Syas.g_00562
OG0000275	Syad.g_01242	Syas.g_00230
OG0000276	Syad.g_01229	Syas.g_00237
OG0000278	Syad.g_01225	Syas.g_00241
OG0000279	Syad.g_01208	Syas.g_00288
OG0000280	Syad.g_01198	Syas.g_00889, Syas.g_00481
OG0000281	Syad.g_00624	Syas.g_00970
OG0000282	Syad.g_01619	Syas.g_00672
OG0000283	Syad.g_01661	Syas.g_00409
OG0000284	Syad.g_01787	Syas.g_00416
OG0000285	Syad.g_01776	Syas.g_00436
OG0000286	Syad.g_01758	Syas.g_00460
OG0000287	Syad.g_01720	Syas.g_00534
OG0000288	Syad.g_01687	Syas.g_00220
OG0000289	Syad.g_01672	Syas.g_00205
OG0000290	Syad.g_01287	Syas.g_01016
OG0000292	Syad.g_00155	Syas.g_02020
OG0000293	Syad.g_01124	Syas.g_01197
OG0000295	Syad.g_01181	Syas.g_01139
OG0000296	Syad.g_01183	Syas.g_01137
OG0000299	Syad.g_01462	Syas.g_01087
OG0000300	Syad.g_01455	Syas.g_01082
OG0000301	Syad.g_01454	Syas.g_01081
OG0000302	Syad.g_01453	Syas.g_01080
OG0000303	Syad.g_01442	Syas.g_01071
OG0000304	Syad.g_01436	Syas.g_01066
OG0000305	Syad.g_01292	Syas.g_01023
OG0000306	Syad.g_01989	Syas.g_01929
OG0000307	Syad.g_00883	Syas.g_01270
OG0000308	Syad.g_00881	Syas.g_01272
OG0000309	Syad.g_00876	Syas.g_01364
OG0000310	Syad.g_02250	Syas.g_02796
OG0000311	Syad.g_02254	Syas.g_02799
OG0000312	Syad.g_02265	Syas.g_02804
OG0000313	Syad.g_02284	Syas.g_02823
OG0000314	Syad.g_02231	Syas.g_01296
OG0000315	Syad.g_02323	Syas.g_01306
OG0000316	Syad.g_02564	Syas.g_02728
OG0000317	Syad.g_02620	Syas.g_02687
OG0000318	Syad.g_02624	Syas.g_02680
OG0000319	Syad.g_02642	Syas.g_02663
OG0000320	Syad.g_02644	Syas.g_02661
OG0000321	Syad.g_02645	Syas.g_02660
OG0000322	Syad.g_02646	Syas.g_02659
OG0000323	Syad.g_02661	Syas.g_02646
OG0000324	Syad.g_02505	Syas.g_02578
OG0000325	Syad.g_00591	Syas.g_01668
OG0000327	Syad.g_00649	Syas.g_01634
OG0000328	Syad.g_00650	Syas.g_01633
OG0000329	Syad.g_00668	Syas.g_01615
OG0000330	Syad.g_00669	Syas.g_01614
OG0000331	Syad.g_00670	Syas.g_01613
OG0000333	Syad.g_00688	Syas.g_01595
OG0000334	Syad.g_00697	Syas.g_01586
OG0000335	Syad.g_00702	Syas.g_01581
OG0000336	Syad.g_00706	Syas.g_01577
OG0000337	Syad.g_00425, Syad.g_00427	Syas.g_02211
OG0000338	Syad.g_00421	Syas.g_02199
OG0000339	Syad.g_00414	Syas.g_02192
OG0000340	Syad.g_00370	Syas.g_02183
OG0000341	Syad.g_00368	Syas.g_02181
OG0000342	Syad.g_00367	Syas.g_02180
