Orthogroup	Prad	Syam
OG0000001	Prad.g_00609	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prad.g_00601, Prad.g_01252	Syam.g_00931
OG0000004	Prad.g_01269	Syam.g_00787
OG0000004	Prad.g_01759	Syam.g_01499, Syam.g_00501
OG0000005	Prad.g_00928	Syam.g_02004
OG0000005	Prad.g_00438	Syam.g_01970
OG0000006	Prad.g_01750	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prad.g_00132	Syam.g_00602
OG0000007	Prad.g_00941	Syam.g_01990
OG0000009	Prad.g_01888	Syam.g_02119
OG0000010	Prad.g_01304, Prad.g_01011	Syam.g_01669
OG0000011	Prad.g_01212	Syam.g_00814
OG0000012	Prad.g_01412	Syam.g_01492, Syam.g_00794, Syam.g_00994
OG0000013	Prad.g_01664	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prad.g_01685	Syam.g_00191
OG0000015	Prad.g_01108	Syam.g_01218, Syam.g_01362
OG0000016	Prad.g_01973	Syam.g_00014
OG0000017	Prad.g_01387	Syam.g_01715, Syam.g_01708
OG0000018	Prad.g_01515	Syam.g_01640
OG0000019	Prad.g_01742, Prad.g_01125	Syam.g_00274
OG0000021	Prad.g_01981, Prad.g_00745	Syam.g_00523
OG0000022	Prad.g_01993	Syam.g_01418
OG0000023	Prad.g_00751	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prad.g_01088, Prad.g_01249	Syam.g_00815
OG0000025	Prad.g_01660, Prad.g_01181	Syam.g_00740
OG0000026	Prad.g_01955, Prad.g_01004	Syam.g_00035
OG0000027	Prad.g_01298, Prad.g_00353	Syam.g_01442, Syam.g_00989
OG0000028	Prad.g_01204, Prad.g_01671	Syam.g_00176
OG0000029	Prad.g_01096, Prad.g_00734	Syam.g_01390, Syam.g_01055
OG0000032	Prad.g_00572	Syam.g_01660
OG0000032	Prad.g_00561	Syam.g_00079
OG0000034	Prad.g_00618	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prad.g_00515	Syam.g_01612
OG0000037	Prad.g_01884	Syam.g_02125
OG0000038	Prad.g_01582	Syam.g_02317
OG0000039	Prad.g_01260	Syam.g_00749
OG0000040	Prad.g_01516	Syam.g_02390
OG0000041	Prad.g_00894	Syam.g_01899, Syam.g_00765
OG0000042	Prad.g_01624	Syam.g_00107
OG0000044	Prad.g_01213	Syam.g_02052, Syam.g_01562
OG0000045	Prad.g_00738	Syam.g_02028
OG0000047	Prad.g_01661, Prad.g_00683	Syam.g_00434
OG0000048	Prad.g_00735	Syam.g_00243
OG0000052	Prad.g_00571	Syam.g_00161
OG0000053	Prad.g_00494	Syam.g_01636
OG0000054	Prad.g_01395	Syam.g_01515
OG0000055	Prad.g_01126	Syam.g_00754
OG0000057	Prad.g_01272	Syam.g_00784
OG0000058	Prad.g_00565	Syam.g_00169
OG0000059	Prad.g_00855	Syam.g_00320
OG0000061	Prad.g_01496	Syam.g_01795
OG0000062	Prad.g_00436	Syam.g_01972
