Orthogroup	Syar	Prax
OG0000001	Syar.g_00069	Prax.g_01878, Prax.g_00522
OG0000004	Syar.g_02051	Prax.g_00947
OG0000004	Syar.g_02225, Syar.g_00842	Prax.g_00986
OG0000005	Syar.g_02952	Prax.g_01546
OG0000005	Syar.g_02909	Prax.g_01652
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prax.g_01972
OG0000007	Syar.g_01491	Prax.g_00704
OG0000007	Syar.g_02929	Prax.g_01559
OG0000008	Syar.g_00419, Syar.g_02048	Prax.g_00970
OG0000010	Syar.g_01272	Prax.g_01212, Prax.g_00728
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prax.g_00846
OG0000014	Syar.g_00825	Prax.g_00869
OG0000014	Syar.g_02736	Prax.g_01763
OG0000017	Syar.g_02188	Prax.g_00057
OG0000018	Syar.g_01409	Prax.g_00181, Prax.g_00346
OG0000019	Syar.g_00163	Prax.g_00926, Prax.g_00393
OG0000022	Syar.g_00835	Prax.g_00415, Prax.g_00157
OG0000025	Syar.g_01811	Prax.g_00338, Prax.g_00842
OG0000026	Syar.g_00505	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syar.g_02055	Prax.g_01916
OG0000028	Syar.g_00718	Prax.g_00855
OG0000032	Syar.g_00543	Prax.g_01838
OG0000033	Syar.g_00105	Prax.g_01049
OG0000034	Syar.g_00074, Syar.g_02790	Prax.g_01889
OG0000035	Syar.g_02809	Prax.g_01728, Prax.g_01733
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prax.g_01110
OG0000038	Syar.g_00334, Syar.g_00336	Prax.g_01445
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prax.g_00956
OG0000040	Syar.g_02831	Prax.g_00180
OG0000042	Syar.g_00595, Syar.g_01970	Prax.g_01401
OG0000045	Syar.g_02592	Prax.g_00802
OG0000048	Syar.g_00213	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000051	Syar.g_01597	Prax.g_01927
OG0000053	Syar.g_01413	Prax.g_01708
OG0000055	Syar.g_01386	Prax.g_00392
OG0000057	Syar.g_00006	Prax.g_00944
OG0000061	Syar.g_01539	Prax.g_00200
OG0000062	Syar.g_01439	Prax.g_01650
OG0000063	Syar.g_00509	Prax.g_00280
OG0000065	Syar.g_03119	Prax.g_01112
OG0000066	Syar.g_02228	Prax.g_00662
OG0000067	Syar.g_02639	Prax.g_00373
OG0000068	Syar.g_02329, Syar.g_01461	Prax.g_01863
OG0000069	Syar.g_01716	Prax.g_01616
OG0000070	Syar.g_02223	Prax.g_00750
OG0000071	Syar.g_02777	Prax.g_01899
OG0000072	Syar.g_00107, Syar.g_01140	Prax.g_01047
OG0000073	Syar.g_01493, Syar.g_01364	Prax.g_00702
OG0000075	Syar.g_03065, Syar.g_00659	Prax.g_01370
OG0000076	Syar.g_00608	Prax.g_01394
OG0000078	Syar.g_01366	Prax.g_00979
OG0000079	Syar.g_00166	Prax.g_00923
OG0000081	Syar.g_01898	Prax.g_00670
OG0000082	Syar.g_02202	Prax.g_00045
OG0000085	Syar.g_02919	Prax.g_01566
OG0000086	Syar.g_03085	Prax.g_00659
OG0000087	Syar.g_03192, Syar.g_00068	Prax.g_01079
OG0000088	Syar.g_00101	Prax.g_01052
OG0000089	Syar.g_01162	Prax.g_00817
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prax.g_00668
OG0000091	Syar.g_01891, Syar.g_02426	Prax.g_00101
OG0000092	Syar.g_01960	Prax.g_00566
OG0000093	Syar.g_00819	Prax.g_01769
OG0000094	Syar.g_01789	Prax.g_01185
OG0000095	Syar.g_01932	Prax.g_01204
OG0000097	Syar.g_01706, Syar.g_00364	Prax.g_00241
OG0000098	Syar.g_02343	Prax.g_01881
OG0000099	Syar.g_00715	Prax.g_01825
OG0000100	Syar.g_02477	Prax.g_01654
OG0000101	Syar.g_01073, Syar.g_03154	Prax.g_01338
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prax.g_01399
OG0000103	Syar.g_00452, Syar.g_00014	Prax.g_01478
OG0000104	Syar.g_00466	Prax.g_01486
OG0000105	Syar.g_00218	Prax.g_00901
OG0000106	Syar.g_01748	Prax.g_00803
OG0000107	Syar.g_00149	Prax.g_00790
OG0000108	Syar.g_01469	Prax.g_00722
OG0000109	Syar.g_03310, Syar.g_01485	Prax.g_00707
OG0000110	Syar.g_02295	Prax.g_00035
OG0000111	Syar.g_01940	Prax.g_00943
OG0000112	Syar.g_02548, Syar.g_03195	Prax.g_00409
OG0000113	Syar.g_02664	Prax.g_00351
OG0000114	Syar.g_01616	Prax.g_00561
