Orthogroup	Syaf	Syam
OG0000001	Syaf.g_01640	Syam.g_00946
OG0000001	Syaf.g_00846	Syam.g_02177
OG0000001	Syaf.g_01634	Syam.g_00929
OG0000004	Syaf.g_01455	Syam.g_00787
OG0000004	Syaf.g_02351	Syam.g_01499
OG0000004	Syaf.g_02794	Syam.g_00501
OG0000005	Syaf.g_01017	Syam.g_02004
OG0000005	Syaf.g_01057	Syam.g_01970
OG0000005	Syaf.g_01352	Syam.g_00715
OG0000005	Syaf.g_01732	Syam.g_01029
OG0000006	Syaf.g_02288	Syam.g_01446
OG0000006	Syaf.g_00179, Syaf.g_02778	Syam.g_00286, Syam.g_00518
OG0000007	Syaf.g_02702	Syam.g_00602
OG0000007	Syaf.g_01033	Syam.g_01990
OG0000008	Syaf.g_01479	Syam.g_00810
OG0000008	Syaf.g_01480	Syam.g_00811
OG0000009	Syaf.g_00905	Syam.g_02119
OG0000010	Syaf.g_02499	Syam.g_01669
OG0000011	Syaf.g_01483	Syam.g_00814
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462	Syam.g_00794
OG0000012	Syaf.g_01693	Syam.g_00994
OG0000013	Syaf.g_00056	Syam.g_00409
OG0000013	Syaf.g_00044	Syam.g_00421
OG0000013	Syaf.g_00061	Syam.g_00404
OG0000014	Syaf.g_00280	Syam.g_00191
OG0000015	Syaf.g_02120	Syam.g_01218
OG0000015	Syaf.g_02121	Syam.g_01362
OG0000016	Syaf.g_00484	Syam.g_00014
OG0000016	Syaf.g_01576	Syam.g_00876
OG0000016	Syaf.g_01713	Syam.g_01011
OG0000017	Syaf.g_02561	Syam.g_01715
OG0000017	Syaf.g_02554	Syam.g_01708
OG0000018	Syaf.g_02451	Syam.g_01640
OG0000019	Syaf.g_00193	Syam.g_00274
OG0000021	Syaf.g_02773	Syam.g_00523
OG0000022	Syaf.g_02256	Syam.g_01418
OG0000023	Syaf.g_01765	Syam.g_01583
OG0000023	Syaf.g_01987	Syam.g_01075
OG0000023	Syaf.g_01995	Syam.g_01943
OG0000024	Syaf.g_01484	Syam.g_00815
OG0000025	Syaf.g_01385	Syam.g_00740
OG0000026	Syaf.g_00461	Syam.g_00035
OG0000027	Syaf.g_02284	Syam.g_01442
OG0000027	Syaf.g_01688	Syam.g_00989
OG0000028	Syaf.g_00297	Syam.g_00176
OG0000029	Syaf.g_01761	Syam.g_01055
OG0000030	Syaf.g_00406	Syam.g_00104
OG0000030	Syaf.g_00407	Syam.g_00103
OG0000031	Syaf.g_00314	Syam.g_00171
OG0000031	Syaf.g_01143	Syam.g_00086
OG0000032	Syaf.g_02471	Syam.g_01660
OG0000033	Syaf.g_00807	Syam.g_02217
OG0000034	Syaf.g_01241, Syaf.g_00837	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syaf.g_02412	Syam.g_01612
OG0000037	Syaf.g_00899	Syam.g_02125
OG0000038	Syaf.g_00642	Syam.g_02317
OG0000039	Syaf.g_01395	Syam.g_00749
OG0000040	Syaf.g_00558	Syam.g_02390
OG0000041	Syaf.g_01171	Syam.g_01899
OG0000041	Syaf.g_01414	Syam.g_00765
OG0000042	Syaf.g_00403	Syam.g_00107
OG0000043	Syaf.g_01747	Syam.g_01041
OG0000045	Syaf.g_00979	Syam.g_02028
OG0000046	Syaf.g_00055	Syam.g_00410
OG0000046	Syaf.g_00045	Syam.g_00420
OG0000046	Syaf.g_00062	Syam.g_00403
OG0000047	Syaf.g_00030	Syam.g_00434
OG0000048	Syaf.g_00230	Syam.g_00243
OG0000052	Syaf.g_00335	Syam.g_00161
OG0000053	Syaf.g_02447	Syam.g_01636
OG0000054	Syaf.g_02376	Syam.g_01515
OG0000055	Syaf.g_01402	Syam.g_00754
OG0000057	Syaf.g_01452	Syam.g_00784
OG0000058	Syaf.g_00316	Syam.g_00169
OG0000059	Syaf.g_00143	Syam.g_00320
OG0000060	Syaf.g_01603	Syam.g_00902
OG0000061	Syaf.g_01288	Syam.g_01795
OG0000062	Syaf.g_01055	Syam.g_01972
OG0000063	Syaf.g_00457	Syam.g_00039
OG0000064	Syaf.g_01063	Syam.g_01964
OG0000064	Syaf.g_02253	Syam.g_01415
OG0000064	Syaf.g_01667	Syam.g_00978
OG0000065	Syaf.g_00903	Syam.g_02121
OG0000066	Syaf.g_02643	Syam.g_00552, Syam.g_00662
OG0000067	Syaf.g_02049	Syam.g_01290
OG0000068	Syaf.g_02733	Syam.g_00575
OG0000070	Syaf.g_01237	Syam.g_01847
OG0000071	Syaf.g_01254	Syam.g_01830
OG0000072	Syaf.g_00805	Syam.g_02219
OG0000073	Syaf.g_02700	Syam.g_00604
OG0000075	Syaf.g_00353	Syam.g_00148
OG0000076	Syaf.g_00388	Syam.g_00115
OG0000078	Syaf.g_02782	Syam.g_00514
OG0000079	Syaf.g_00197	Syam.g_00270
OG0000081	Syaf.g_02776	Syam.g_00520
OG0000082	Syaf.g_02576	Syam.g_01730
OG0000085	Syaf.g_01048	Syam.g_01979
OG0000086	Syaf.g_00932	Syam.g_02092
OG0000087	Syaf.g_00848	Syam.g_02175
OG0000088	Syaf.g_00811	Syam.g_02213
OG0000089	Syaf.g_02807	Syam.g_00489
OG0000090	Syaf.g_02654	Syam.g_00651
OG0000091	Syaf.g_02302	Syam.g_01460
OG0000093	Syaf.g_02065	Syam.g_01305
OG0000094	Syaf.g_01940	Syam.g_01198
OG0000095	Syaf.g_01442	Syam.g_00774
OG0000097	Syaf.g_01574	Syam.g_00874
OG0000098	Syaf.g_01637	Syam.g_00944
OG0000099	Syaf.g_00312	Syam.g_00173
OG0000100	Syaf.g_02017	Syam.g_01259
OG0000101	Syaf.g_00093	Syam.g_00371
OG0000102	Syaf.g_00393	Syam.g_00110
OG0000103	Syaf.g_00520	Syam.g_02428
OG0000104	Syaf.g_00502	Syam.g_02442
OG0000105	Syaf.g_00235	Syam.g_00238
OG0000106	Syaf.g_01745	Syam.g_01039
OG0000107	Syaf.g_00758	Syam.g_00288
OG0000108	Syaf.g_02721	Syam.g_00583
OG0000109	Syaf.g_02706	Syam.g_00598
OG0000110	Syaf.g_02589	Syam.g_01743
OG0000111	Syaf.g_01451	Syam.g_00783
OG0000112	Syaf.g_01852	Syam.g_01115
OG0000113	Syaf.g_02022	Syam.g_01264
OG0000114	Syaf.g_02103	Syam.g_01349
OG0000115	Syaf.g_02445	Syam.g_01634
OG0000116	Syaf.g_01276	Syam.g_01807
OG0000117	Syaf.g_01605	Syam.g_00904
OG0000118	Syaf.g_02544	Syam.g_01698
OG0000120	Syaf.g_00313	Syam.g_00172
OG0000121	Syaf.g_02419	Syam.g_01615
OG0000123	Syaf.g_00086	Syam.g_00379
OG0000124	Syaf.g_00414	Syam.g_00096
OG0000125	Syaf.g_00640	Syam.g_02319
OG0000126	Syaf.g_00504	Syam.g_02440
OG0000127	Syaf.g_01151	Syam.g_02032
OG0000128	Syaf.g_00486	Syam.g_00012
OG0000129	Syaf.g_00651	Syam.g_02307
OG0000130	Syaf.g_00963	Syam.g_02062
OG0000131	Syaf.g_00833	Syam.g_02191
OG0000132	Syaf.g_00813	Syam.g_02211
OG0000133	Syaf.g_01857	Syam.g_01120
OG0000134	Syaf.g_02804	Syam.g_00492
OG0000135	Syaf.g_00605	Syam.g_02347
OG0000136	Syaf.g_01224	Syam.g_01857
OG0000137	Syaf.g_02498	Syam.g_01668
OG0000138	Syaf.g_02705	Syam.g_00599
OG0000139	Syaf.g_02648	Syam.g_00657
OG0000140	Syaf.g_02646	Syam.g_00659
OG0000141	Syaf.g_02375	Syam.g_01514
OG0000142	Syaf.g_02310	Syam.g_01468
OG0000143	Syaf.g_02306	Syam.g_01464
OG0000144	Syaf.g_01735	Syam.g_01032
OG0000145	Syaf.g_02699	Syam.g_00605
OG0000146	Syaf.g_01851	Syam.g_01114
