Orthogroup	Prav	Other
OG0000002	Prav.g_01734	Pras.g_00541
OG0000054	Prav.g_01325	Prax.g_00457
OG0000056	Prav.g_01388	Prak.g_01228
OG0000056	Prav.g_01388	Prap.g_00512
OG0000056	Prav.g_01388	Prbe.g_01605
OG0000056	Prav.g_01388	Prbf.g_00862
OG0000056	Prav.g_01388	Prbg.g_01542
OG0000056	Prav.g_01388	Prbn.g_01133
OG0000056	Prav.g_01388	Pram.g_01191
OG0000056	Prav.g_01388	Prbh.g_01334
OG0000056	Prav.g_01388	Prat.g_01463, Prat.g_00666
OG0000056	Prav.g_01388	Prab.g_01634
OG0000056	Prav.g_01388	Pran.g_00935
OG0000056	Prav.g_01388	Prae.g_01322
OG0000056	Prav.g_01388	Prau.g_00749
OG0000056	Prav.g_01388	Prau.g_00749
OG0000063	Prav.g_01390	Pral.g_01881
OG0000069	Prav.g_01499	Prau.g_01475
OG0000069	Prav.g_01499	Prad.g_00572
OG0000079	Prav.g_01551	Prbi.g_01482
OG0001365	Prav.g_01504	Praa.g_01611
OG0001365	Prav.g_01504	Prae.g_01425
OG0001558	Prav.g_01381	Prad.g_01073
OG0001792	Prav.g_00298	Praf.g_00131
