Orthogroup	Prai	Prag
OG0000000	Prai.g_00905, Prai.g_01772	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Prai.g_01592	Prag.g_01608
OG0000000	Prai.g_00908	Prag.g_01213
OG0000000	Prai.g_01234	Prag.g_01213
OG0000000	Prai.g_01591	Prag.g_01213
OG0000000	Prai.g_01775	Prag.g_01213
OG0000000	Prai.g_00908	Prag.g_01607
OG0000000	Prai.g_01234	Prag.g_01607
OG0000000	Prai.g_01591	Prag.g_01607
OG0000000	Prai.g_01775	Prag.g_01607
OG0000000	Prai.g_00908	Prag.g_01650
OG0000000	Prai.g_01234	Prag.g_01650
OG0000000	Prai.g_01591	Prag.g_01650
OG0000000	Prai.g_01775	Prag.g_01650
OG0000000	Prai.g_01314	Prag.g_01333
OG0000000	Prai.g_01596	Prag.g_01649, Prag.g_01610
OG0000001	Prai.g_01235, Prai.g_01356	Prag.g_01374
OG0000001	Prai.g_01236	Prag.g_00764, Prag.g_01216, Prag.g_01215
OG0000002	Prai.g_01363	Prag.g_01382
OG0000002	Prai.g_00707	Prag.g_00656
OG0000004	Prai.g_00724	Prag.g_00673
OG0000004	Prai.g_00243	Prag.g_00225
OG0000005	Prai.g_01651	Prag.g_01682
OG0000005	Prai.g_01538	Prag.g_01566
OG0000006	Prai.g_00252, Prai.g_00254	Prag.g_00234, Prag.g_01231
OG0000007	Prai.g_00527	Prag.g_00476
OG0000007	Prai.g_01638	Prag.g_01669
OG0000008	Prai.g_00701	Prag.g_01655, Prag.g_01656, Prag.g_00650
OG0000009	Prai.g_01578	Prag.g_01600
OG0000009	Prai.g_00105	Prag.g_00098
OG0000010	Prai.g_00504	Prag.g_00453
OG0000010	Prai.g_01067	Prag.g_01043
OG0000012	Prai.g_00652	Prag.g_00601
OG0000013	Prai.g_00340	Prag.g_00318
OG0000014	Prai.g_00319	Prag.g_00297
OG0000015	Prai.g_01243	Prag.g_00765
OG0000016	Prai.g_00013	Prag.g_00013
OG0000016	Prai.g_01573	Prag.g_01638
OG0000017	Prai.g_00626	Prag.g_00576
OG0000018	Prai.g_00820	Prag.g_00833
OG0000018	Prai.g_01153	Prag.g_01134
OG0000019	Prai.g_00262	Prag.g_00242
OG0000019	Prai.g_00867	Prag.g_00786
OG0000020	Prai.g_01125	Prag.g_01100
OG0000020	Prai.g_00400	Prag.g_01637
OG0000021	Prai.g_00378	Prag.g_01633, Prag.g_00359
OG0000022	Prai.g_01139	Prag.g_01116
OG0000022	Prai.g_00885	Prag.g_00757
OG0000023	Prai.g_00373	Prag.g_00354
OG0000024	Prai.g_00899	Prag.g_00740
OG0000024	Prai.g_00704	Prag.g_00653
OG0000025	Prai.g_00344	Prag.g_00322
OG0000025	Prai.g_00812	Prag.g_00839
OG0000026	Prai.g_00031	Prag.g_00031
OG0000026	Prai.g_01074	Prag.g_01050
OG0000027	Prai.g_00904	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Prai.g_01297	Prag.g_01270
OG0000028	Prai.g_00333	Prag.g_00311
OG0000029	Prai.g_00890	Prag.g_00748
OG0000030	Prai.g_01848	Prag.g_01871
OG0000031	Prai.g_01444	Prag.g_01446
OG0000033	Prai.g_00180	Prag.g_00162
OG0000034	Prai.g_01345	Prag.g_01365
OG0000035	Prai.g_01463	Prag.g_01490, Prag.g_01488
OG0000037	Prai.g_00109	Prag.g_00102
OG0000038	Prai.g_01890	Prag.g_01911
OG0000039	Prai.g_00715	Prag.g_00664
OG0000041	Prai.g_01684	Prag.g_01716
OG0000042	Prai.g_01845	Prag.g_01868
OG0000043	Prai.g_01064	Prag.g_00876
OG0000045	Prai.g_00384	Prag.g_00365
OG0000047	Prai.g_00343	Prag.g_00321
OG0000048	Prai.g_00387	Prag.g_01658, Prag.g_00368
OG0000049	Prai.g_00394	Prag.g_00376
OG0000049	Prai.g_01246	Prag.g_01264
