Orthogroup	Syar	Prah
OG0000001	Syar.g_00069	Prah.g_00324, Prah.g_01343, Prah.g_01159
OG0000001	Syar.g_00070	Prah.g_02270
OG0000001	Syar.g_02229	Prah.g_00896
OG0000004	Syar.g_02051	Prah.g_01022
OG0000004	Syar.g_02225, Syar.g_00842	Prah.g_01413
OG0000005	Syar.g_02909	Prah.g_01652
OG0000006	Syar.g_00151, Syar.g_02056, Syar.g_03013	Prah.g_00475, Prah.g_01767
OG0000007	Syar.g_01491	Prah.g_01546
OG0000007	Syar.g_02929	Prah.g_01676
OG0000008	Syar.g_02097	Prah.g_00970
OG0000008	Syar.g_02098	Prah.g_00969
OG0000009	Syar.g_03116	Prah.g_00432, Prah.g_01895
OG0000010	Syar.g_01272	Prah.g_00311
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prah.g_01956
OG0000014	Syar.g_00825	Prah.g_02171
OG0000016	Syar.g_02859	Prah.g_00015, Prah.g_01270
OG0000017	Syar.g_02180	Prah.g_01397
OG0000017	Syar.g_02188	Prah.g_01405
OG0000018	Syar.g_01409	Prah.g_00378
OG0000019	Syar.g_00163	Prah.g_02086
OG0000022	Syar.g_00835	Prah.g_00170, Prah.g_01209
OG0000025	Syar.g_01811	Prah.g_00604
OG0000026	Syar.g_00505	Prah.g_00038
OG0000028	Syar.g_00718	Prah.g_02184
OG0000032	Syar.g_01390	Prah.g_00358
OG0000032	Syar.g_00543	Prah.g_02196
OG0000033	Syar.g_00105	Prah.g_02307
OG0000034	Syar.g_00074, Syar.g_02790	Prah.g_01376
OG0000035	Syar.g_02809	Prah.g_00408
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prah.g_01901
OG0000038	Syar.g_00334	Prah.g_02494
OG0000038	Syar.g_00336	Prah.g_02496
OG0000039	Syar.g_02827	Prah.g_01758
OG0000039	Syar.g_02151	Prah.g_02382
OG0000042	Syar.g_00595, Syar.g_01970	Prah.g_00135, Prah.g_01256
OG0000044	Syar.g_02052, Syar.g_02167, Syar.g_01631	Prah.g_00994, Prah.g_00343
OG0000045	Syar.g_02592	Prah.g_01837
OG0000046	Syar.g_01102, Syar.g_01105, Syar.g_03233	Prah.g_01955
OG0000048	Syar.g_00213	Prah.g_02122
OG0000051	Syar.g_01597	Prah.g_01166
OG0000052	Syar.g_02742, Syar.g_02751	Prah.g_02219
OG0000053	Syar.g_01413	Prah.g_00381
OG0000055	Syar.g_01386	Prah.g_00942
OG0000056	Syar.g_01662	Prah.g_00543, Prah.g_01082, Prah.g_00342, Prah.g_01968, Prah.g_00341
OG0000057	Syar.g_00006	Prah.g_01027
OG0000058	Syar.g_00648	Prah.g_02195
OG0000059	Syar.g_01024	Prah.g_02043
OG0000060	Syar.g_01260	Prah.g_01569
OG0000061	Syar.g_01539	Prah.g_01322, Prah.g_00104
OG0000062	Syar.g_01439	Prah.g_01654
OG0000063	Syar.g_00509	Prah.g_00042
OG0000065	Syar.g_03119	Prah.g_01897
OG0000066	Syar.g_03187, Syar.g_02228	Prah.g_01485
OG0000067	Syar.g_02639	Prah.g_00667
OG0000068	Syar.g_02329, Syar.g_01461	Prah.g_01576
OG0000070	Syar.g_02223	Prah.g_00252
OG0000071	Syar.g_02777	Prah.g_01364
OG0000072	Syar.g_00107, Syar.g_01140	Prah.g_02309
OG0000073	Syar.g_01493	Prah.g_01544
OG0000075	Syar.g_03065, Syar.g_00659	Prah.g_02232
OG0000076	Syar.g_00608	Prah.g_00150
OG0000078	Syar.g_01366	Prah.g_01773
OG0000079	Syar.g_00166	Prah.g_02090, Prah.g_01868
OG0000081	Syar.g_01898	Prah.g_01035
OG0000082	Syar.g_02202	Prah.g_01427
OG0000085	Syar.g_02919	Prah.g_01666
OG0000086	Syar.g_03085	Prah.g_01866
OG0000087	Syar.g_03192, Syar.g_00068	Prah.g_02268
OG0000088	Syar.g_00101	Prah.g_00957, Prah.g_02304
OG0000089	Syar.g_01162	Prah.g_00205
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prah.g_01501
OG0000091	Syar.g_01891, Syar.g_02426	Prah.g_00493
OG0000093	Syar.g_02623, Syar.g_00819	Prah.g_00692
OG0000094	Syar.g_01789	Prah.g_02518
OG0000095	Syar.g_01932	Prah.g_00915
OG0000097	Syar.g_01706	Prah.g_01272
OG0000098	Syar.g_02343	Prah.g_00327
OG0000099	Syar.g_00715	Prah.g_02191
OG0000100	Syar.g_02477	Prah.g_01791, Prah.g_00636
OG0000101	Syar.g_03154	Prah.g_01995
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prah.g_00144
OG0000103	Syar.g_00452, Syar.g_00014	Prah.g_02586
OG0000104	Syar.g_00466	Prah.g_02600
OG0000105	Syar.g_00218	Prah.g_02126
OG0000106	Syar.g_01748	Prah.g_01660
OG0000107	Syar.g_00149	Prah.g_02072
OG0000108	Syar.g_01469	Prah.g_01566
OG0000109	Syar.g_03310, Syar.g_01485	Prah.g_01550
