Orthogroup	Syaf	Prat
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prat.g_01285, Prat.g_01286
OG0000004	Syaf.g_01455	Prat.g_00772
OG0000004	Syaf.g_02351, Syaf.g_02794	Prat.g_00236
OG0000005	Syaf.g_01057	Prat.g_01440
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prat.g_00248
OG0000007	Syaf.g_02702	Prat.g_00458
OG0000007	Syaf.g_01033	Prat.g_01592
OG0000008	Syaf.g_01479	Prat.g_00376
OG0000008	Syaf.g_01480	Prat.g_00377
OG0000010	Syaf.g_02499	Prat.g_00682, Prat.g_00662
OG0000011	Syaf.g_01483	Prat.g_01532
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prat.g_00334
OG0000014	Syaf.g_00280	Prat.g_00314
OG0000015	Syaf.g_02120, Syaf.g_02121	Prat.g_00701
OG0000016	Syaf.g_00484	Prat.g_00014
OG0000016	Syaf.g_01576, Syaf.g_01713	Prat.g_01219
OG0000017	Syaf.g_02561	Prat.g_00560
OG0000017	Syaf.g_02554	Prat.g_00567
OG0000018	Syaf.g_02451	Prat.g_01177
OG0000019	Syaf.g_00193	Prat.g_00255, Prat.g_01180
OG0000020	Syaf.g_02187	Prat.g_01470, Prat.g_00617, Prat.g_00648
OG0000021	Syaf.g_02773	Prat.g_00854, Prat.g_00461
OG0000022	Syaf.g_02256	Prat.g_01448
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prat.g_00834
OG0000024	Syaf.g_01484	Prat.g_00622, Prat.g_00749
OG0000025	Syaf.g_01385	Prat.g_01003
OG0000026	Syaf.g_00461	Prat.g_00033
OG0000027	Syaf.g_02284, Syaf.g_01688	Prat.g_01474, Prat.g_01548
OG0000028	Syaf.g_00297	Prat.g_00380, Prat.g_00327
OG0000030	Syaf.g_00406, Syaf.g_00407	Prat.g_01799
OG0000031	Syaf.g_01143	Prat.g_01266
OG0000032	Syaf.g_02471	Prat.g_01394
OG0000033	Syaf.g_00807	Prat.g_01265
OG0000034	Syaf.g_01241, Syaf.g_00837	Prat.g_01259
OG0000035	Syaf.g_02412	Prat.g_01353, Prat.g_01352
OG0000037	Syaf.g_00899	Prat.g_00106
OG0000038	Syaf.g_00642	Prat.g_01839
OG0000039	Syaf.g_01395	Prat.g_00760
OG0000041	Syaf.g_01171, Syaf.g_01414	Prat.g_01640
OG0000042	Syaf.g_00403	Prat.g_01796
OG0000043	Syaf.g_01747	Prat.g_01176
OG0000044	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400	Prat.g_00619
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prat.g_00335
OG0000047	Syaf.g_00030	Prat.g_00374
OG0000048	Syaf.g_00230	Prat.g_00278
OG0000052	Syaf.g_00335	Prat.g_00058
OG0000053	Syaf.g_02447	Prat.g_01375
OG0000054	Syaf.g_02376	Prat.g_00569
