Orthogroup	Syar	Prai
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prai.g_01235, Prai.g_01356
OG0000004	Syar.g_02051	Prai.g_00724
OG0000004	Syar.g_02225, Syar.g_00842	Prai.g_00243
OG0000005	Syar.g_02952	Prai.g_01651
OG0000005	Syar.g_02909	Prai.g_01538
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prai.g_00252, Prai.g_00254
OG0000007	Syar.g_01491	Prai.g_00527
OG0000007	Syar.g_02929	Prai.g_01638
OG0000008	Syar.g_02097, Syar.g_02098, Syar.g_00419, Syar.g_02048	Prai.g_00701
OG0000009	Syar.g_03116	Prai.g_00105
OG0000010	Syar.g_01272	Prai.g_01292, Prai.g_01067
OG0000012	Syar.g_00690, Syar.g_02860	Prai.g_00652
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prai.g_00340
OG0000014	Syar.g_00825	Prai.g_00319
OG0000015	Syar.g_00451, Syar.g_00180	Prai.g_01243
OG0000016	Syar.g_02859	Prai.g_00013, Prai.g_01573
OG0000017	Syar.g_03181, Syar.g_02188, Syar.g_02180	Prai.g_00626
OG0000018	Syar.g_01409	Prai.g_01153
OG0000019	Syar.g_00163	Prai.g_00262, Prai.g_00867
OG0000022	Syar.g_00835	Prai.g_01139
OG0000025	Syar.g_01811	Prai.g_00344, Prai.g_00812
OG0000026	Syar.g_00505	Prai.g_00031, Prai.g_01074
OG0000027	Syar.g_02055, Syar.g_02835	Prai.g_00904
OG0000028	Syar.g_00718	Prai.g_01297, Prai.g_00333
OG0000034	Syar.g_00074, Syar.g_02790	Prai.g_01345
OG0000035	Syar.g_02809	Prai.g_01463
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prai.g_00109
OG0000038	Syar.g_00334, Syar.g_00336	Prai.g_01890
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prai.g_00715
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prai.g_01684
OG0000042	Syar.g_00595, Syar.g_01970	Prai.g_01845
OG0000045	Syar.g_02592	Prai.g_01274
OG0000048	Syar.g_00213	Prai.g_00387
OG0000051	Syar.g_01597	Prai.g_01263, Prai.g_00434
OG0000053	Syar.g_01413	Prai.g_01483
OG0000054	Syar.g_02265	Prai.g_00634
OG0000055	Syar.g_01386	Prai.g_00866
OG0000057	Syar.g_01941, Syar.g_00006	Prai.g_00727
OG0000059	Syar.g_01024	Prai.g_01725
OG0000061	Syar.g_01539	Prai.g_01171
OG0000062	Syar.g_02911	Prai.g_01540
OG0000063	Syar.g_00509	Prai.g_00033, Prai.g_01261
OG0000065	Syar.g_03119	Prai.g_00107
OG0000066	Syar.g_03187, Syar.g_02228	Prai.g_00567
OG0000067	Syar.g_02639	Prai.g_00848
OG0000068	Syar.g_02329, Syar.g_01461	Prai.g_01370
OG0000069	Syar.g_01716	Prai.g_01579
OG0000070	Syar.g_02223, Syar.g_03150	Prai.g_00481
OG0000071	Syar.g_02777	Prai.g_01335
OG0000072	Syar.g_00107, Syar.g_01140	Prai.g_00182
OG0000073	Syar.g_01364, Syar.g_01493	Prai.g_00529
OG0000075	Syar.g_03065, Syar.g_00659	Prai.g_01814
OG0000076	Syar.g_00608	Prai.g_01838
OG0000077	Syar.g_03051	Prai.g_00078
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prai.g_00250
OG0000079	Syar.g_00166	Prai.g_00265
OG0000081	Syar.g_01898	Prai.g_00559
OG0000082	Syar.g_02202	Prai.g_00613
OG0000085	Syar.g_02919	Prai.g_01631
OG0000086	Syar.g_03085	Prai.g_00088
OG0000087	Syar.g_03192, Syar.g_00068	Prai.g_00139
OG0000088	Syar.g_00101	Prai.g_00177
OG0000089	Syar.g_01162	Prai.g_00368
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prai.g_00561
OG0000091	Syar.g_01891, Syar.g_02426	Prai.g_00671
OG0000093	Syar.g_02623	Prai.g_01021
OG0000094	Syar.g_01789	Prai.g_00937
OG0000095	Syar.g_01932	Prai.g_00918
