Orthogroup	Syac	Prab
OG0000002	Syac.g_01084	Prab.g_00683
OG0000004	Syac.g_00898	Prab.g_00700
OG0000004	Syac.g_00948, Syac.g_01975	Prab.g_00223
OG0000005	Syac.g_00527	Prab.g_01682
OG0000005	Syac.g_00569	Prab.g_01542
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prab.g_00231
OG0000007	Syac.g_01885	Prab.g_00501
OG0000007	Syac.g_00544	Prab.g_01669
OG0000009	Syac.g_01004, Syac.g_00398	Prab.g_00096
OG0000010	Syac.g_01701	Prab.g_01104
OG0000011	Syac.g_00924	Prab.g_00799
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prab.g_00627
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prab.g_00315
OG0000014	Syac.g_00253	Prab.g_00294
OG0000014	Syac.g_00100	Prab.g_01444, Prab.g_01445
OG0000015	Syac.g_01408	Prab.g_00789
OG0000016	Syac.g_00014	Prab.g_00013
OG0000016	Syac.g_01053	Prab.g_01579
OG0000017	Syac.g_01749, Syac.g_01742	Prab.g_00602
OG0000018	Syac.g_01660	Prab.g_01201
OG0000019	Syac.g_02207	Prab.g_00239, Prab.g_00820
OG0000022	Syac.g_01031	Prab.g_01182
OG0000023	Syac.g_00760	Prab.g_00348
OG0000024	Syac.g_00925	Prab.g_00763, Prab.g_00680
OG0000025	Syac.g_00847	Prab.g_00319, Prab.g_00874
OG0000026	Syac.g_00034	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syac.g_01095, Syac.g_01009	Prab.g_00914, Prab.g_01616
OG0000028	Syac.g_00237	Prab.g_00308
OG0000029	Syac.g_01942	Prab.g_00773
OG0000030	Syac.g_00143, Syac.g_00142	Prab.g_01867
OG0000031	Syac.g_00232	Prab.g_01446
OG0000033	Syac.g_00304	Prab.g_01400
OG0000034	Syac.g_00334, Syac.g_00715	Prab.g_01336
OG0000035	Syac.g_01630	Prab.g_01466
OG0000037	Syac.g_01077	Prab.g_00100
OG0000038	Syac.g_02357, Syac.g_02358	Prab.g_01908
OG0000039	Syac.g_00856, Syac.g_02378	Prab.g_00691
OG0000040	Syac.g_01006	Prab.g_01623
OG0000040	Syac.g_02437	Prab.g_01200
OG0000041	Syac.g_00655, Syac.g_00876	Prab.g_01715
OG0000042	Syac.g_00146	Prab.g_01864
OG0000044	Syac.g_00477, Syac.g_00858	Prab.g_01648
OG0000045	Syac.g_01040	Prab.g_00360
OG0000047	Syac.g_02031	Prab.g_00318
OG0000048	Syac.g_02240	Prab.g_00411, Prab.g_00363
OG0000050	Syac.g_01937	Prab.g_01130
OG0000051	Syac.g_01292	Prab.g_01643
OG0000051	Syac.g_01073	Prab.g_01304
OG0000053	Syac.g_01657	Prab.g_01486
OG0000054	Syac.g_00933, Syac.g_01050	Prab.g_00610
OG0000055	Syac.g_01034, Syac.g_00859	Prab.g_00821
OG0000057	Syac.g_00894	Prab.g_00703
OG0000059	Syac.g_02142	Prab.g_01754
OG0000060	Syac.g_01909	Prab.g_00784
OG0000061	Syac.g_00769	Prab.g_01219
OG0000062	Syac.g_00567	Prab.g_01544
OG0000063	Syac.g_00037	Prab.g_00033
OG0000065	Syac.g_00396, Syac.g_00490	Prab.g_00098
OG0000066	Syac.g_01827	Prab.g_00543
OG0000067	Syac.g_01341	Prab.g_00840
OG0000068	Syac.g_01916	Prab.g_01360
OG0000069	Syac.g_01272	Prab.g_01585
OG0000070	Syac.g_00711	Prab.g_00456
OG0000071	Syac.g_01049, Syac.g_00729	Prab.g_01637, Prab.g_01326
OG0000072	Syac.g_00302	Prab.g_00162
OG0000073	Syac.g_01883	Prab.g_00503
OG0000075	Syac.g_00191	Prab.g_01834
OG0000076	Syac.g_00156	Prab.g_01857
OG0000077	Syac.g_00439	Prab.g_00070
OG0000078	Syac.g_01964	Prab.g_00229
OG0000079	Syac.g_02211	Prab.g_00242
OG0000081	Syac.g_01954, Syac.g_00461	Prab.g_00535
OG0000082	Syac.g_01766	Prab.g_00589
OG0000084	Syac.g_00822, Syac.g_01627	Prab.g_01462
OG0000085	Syac.g_00560	Prab.g_01662
OG0000086	Syac.g_00423	Prab.g_00080
OG0000087	Syac.g_00343	Prab.g_00129
OG0000088	Syac.g_00308	Prab.g_00157
OG0000089	Syac.g_01988, Syac.g_01543	Prab.g_00343
OG0000090	Syac.g_01836	Prab.g_00537
OG0000091	Syac.g_00987	Prab.g_00647
OG0000093	Syac.g_01357	Prab.g_01042
OG0000094	Syac.g_01251	Prab.g_00948
OG0000095	Syac.g_00884	Prab.g_01299
OG0000097	Syac.g_01507	Prab.g_01260
OG0000098	Syac.g_02157	Prab.g_01346
OG0000099	Syac.g_00234	Prab.g_01394
OG0000100	Syac.g_01309	Prab.g_01540
OG0000101	Syac.g_02094	Prab.g_01802
OG0000102	Syac.g_00151	Prab.g_01862
OG0000103	Syac.g_02476	Prab.g_01942
OG0000104	Syac.g_02490	Prab.g_01951
OG0000105	Syac.g_02245	Prab.g_00262
OG0000106	Syac.g_01098	Prab.g_00359
OG0000107	Syac.g_02191	Prab.g_00375
OG0000108	Syac.g_01904	Prab.g_00484
OG0000109	Syac.g_01889	Prab.g_00498
OG0000110	Syac.g_01778	Prab.g_00579
OG0000111	Syac.g_00893	Prab.g_00704
OG0000112	Syac.g_01173	Prab.g_00804
OG0000113	Syac.g_01314	Prab.g_00862
OG0000114	Syac.g_01394	Prab.g_01068
OG0000115	Syac.g_01655	Prab.g_01156
OG0000116	Syac.g_00753	Prab.g_01209
OG0000117	Syac.g_01477	Prab.g_00717
OG0000118	Syac.g_01728	Prab.g_01338
OG0000120	Syac.g_00233	Prab.g_01447
OG0000121	Syac.g_01635	Prab.g_01468
OG0000122	Syac.g_01013	Prab.g_01506
OG0000123	Syac.g_02086	Prab.g_01809
OG0000124	Syac.g_00135	Prab.g_01873
OG0000125	Syac.g_02360	Prab.g_01910
OG0000126	Syac.g_02488	Prab.g_01950
OG0000128	Syac.g_00012	Prab.g_00011
OG0000129	Syac.g_02349	Prab.g_00043
OG0000130	Syac.g_00450	Prab.g_00061
OG0000131	Syac.g_00330	Prab.g_00136
OG0000132	Syac.g_00310	Prab.g_00155
OG0000133	Syac.g_01178	Prab.g_00310
OG0000134	Syac.g_01985	Prab.g_00344
OG0000135	Syac.g_02398	Prab.g_00371
OG0000136	Syac.g_00701	Prab.g_00444
OG0000137	Syac.g_01700	Prab.g_00479
OG0000138	Syac.g_01888	Prab.g_00499
OG0000139	Syac.g_01830	Prab.g_00541
OG0000140	Syac.g_01829	Prab.g_00542
OG0000141	Syac.g_00934	Prab.g_00611
OG0000142	Syac.g_00979	Prab.g_00640
OG0000143	Syac.g_00983	Prab.g_00644
OG0000144	Syac.g_01090	Prab.g_00657
OG0000145	Syac.g_01882	Prab.g_00783
OG0000146	Syac.g_01172	Prab.g_00805
OG0000147	Syac.g_01171	Prab.g_00806
OG0000148	Syac.g_01320	Prab.g_00856
OG0000149	Syac.g_00832	Prab.g_00886
OG0000150	Syac.g_00935	Prab.g_00894
OG0000151	Syac.g_01383	Prab.g_01058
OG0000152	Syac.g_01182	Prab.g_01010
OG0000153	Syac.g_01217	Prab.g_00991
OG0000154	Syac.g_01241	Prab.g_00955
OG0000155	Syac.g_00804	Prab.g_01239
OG0000156	Syac.g_00743	Prab.g_01315
OG0000157	Syac.g_00742	Prab.g_01316
OG0000158	Syac.g_00182	Prab.g_01379
OG0000160	Syac.g_01633	Prab.g_01467
OG0000161	Syac.g_01641	Prab.g_01473
OG0000162	Syac.g_01648	Prab.g_01479
OG0000163	Syac.g_00619	Prab.g_01513
OG0000164	Syac.g_00508	Prab.g_01693
OG0000165	Syac.g_00674	Prab.g_01700
OG0000166	Syac.g_02132	Prab.g_01766
OG0000167	Syac.g_00194	Prab.g_01832
OG0000168	Syac.g_00179	Prab.g_01841
OG0000169	Syac.g_00168	Prab.g_01851
OG0000170	Syac.g_00161	Prab.g_01853
OG0000171	Syac.g_00136	Prab.g_01872
OG0000172	Syac.g_00084	Prab.g_01881
OG0000173	Syac.g_00057	Prab.g_01896
OG0000174	Syac.g_02401	Prab.g_01924
OG0000175	Syac.g_02465	Prab.g_01934
OG0000176	Syac.g_00004	Prab.g_00004
OG0000177	Syac.g_00005	Prab.g_00005
OG0000178	Syac.g_00006	Prab.g_00006
OG0000179	Syac.g_00019	Prab.g_00016
OG0000180	Syac.g_00020	Prab.g_00017
OG0000181	Syac.g_00021	Prab.g_00018
OG0000182	Syac.g_00022	Prab.g_00019
OG0000183	Syac.g_00026	Prab.g_00023
OG0000184	Syac.g_02339	Prab.g_00045
OG0000185	Syac.g_02336	Prab.g_00048
OG0000186	Syac.g_00454	Prab.g_00056
OG0000187	Syac.g_00453	Prab.g_00057
OG0000188	Syac.g_00433	Prab.g_00074
OG0000189	Syac.g_00408	Prab.g_00087
OG0000190	Syac.g_00406	Prab.g_00088
OG0000191	Syac.g_00373	Prab.g_00108
OG0000192	Syac.g_00368	Prab.g_00112
OG0000193	Syac.g_00329	Prab.g_00137
OG0000194	Syac.g_00326	Prab.g_00140
OG0000195	Syac.g_00324	Prab.g_00142
OG0000196	Syac.g_00313	Prab.g_00152
OG0000197	Syac.g_00312	Prab.g_00153
OG0000198	Syac.g_00311	Prab.g_00154
OG0000199	Syac.g_00303	Prab.g_00161
OG0000200	Syac.g_02261	Prab.g_00175
OG0000201	Syac.g_02278	Prab.g_00183
OG0000202	Syac.g_02279	Prab.g_00184
OG0000203	Syac.g_02280	Prab.g_00185
OG0000204	Syac.g_02281	Prab.g_00186
OG0000205	Syac.g_02288	Prab.g_00193
OG0000206	Syac.g_02297	Prab.g_00198
OG0000207	Syac.g_02300	Prab.g_00200
