Orthogroup	Prat	Syal
OG0000000	Prat.g_00680, Prat.g_01191	Syal.g_01111, Syal.g_01832
OG0000001	Prat.g_01285, Prat.g_01286	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prat.g_00772	Syal.g_01809
OG0000004	Prat.g_00236	Syal.g_02718, Syal.g_00691
OG0000005	Prat.g_01440	Syal.g_00565
OG0000006	Prat.g_00248	Syal.g_02611, Syal.g_00674
OG0000007	Prat.g_00458	Syal.g_02918
OG0000007	Prat.g_01592	Syal.g_00587
OG0000008	Prat.g_00376	Syal.g_02512
OG0000008	Prat.g_00377	Syal.g_01783
OG0000009	Prat.g_01451	Syal.g_02089
OG0000010	Prat.g_00682, Prat.g_00662	Syal.g_00464
OG0000011	Prat.g_01532	Syal.g_00702
OG0000013	Prat.g_00334	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prat.g_00314	Syal.g_01305
OG0000015	Prat.g_00701	Syal.g_02210, Syal.g_01183
OG0000016	Prat.g_00014	Syal.g_00111
OG0000016	Prat.g_01219	Syal.g_01734
OG0000017	Prat.g_00560	Syal.g_02752
OG0000017	Prat.g_00567	Syal.g_02745
OG0000018	Prat.g_01177	Syal.g_00410
OG0000019	Prat.g_00255, Prat.g_01180	Syal.g_01209
OG0000022	Prat.g_01448	Syal.g_02587
OG0000023	Prat.g_00834	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prat.g_00622, Prat.g_00749	Syal.g_02597
OG0000025	Prat.g_01003	Syal.g_02459
OG0000026	Prat.g_00033	Syal.g_00132
OG0000027	Prat.g_01474, Prat.g_01548	Syal.g_02543
OG0000028	Prat.g_00380, Prat.g_00327	Syal.g_01319
OG0000030	Prat.g_01799	Syal.g_01511, Syal.g_01512
OG0000032	Prat.g_01394	Syal.g_00428
OG0000033	Prat.g_01265	Syal.g_00912
OG0000034	Prat.g_01259	Syal.g_00881, Syal.g_01586
OG0000035	Prat.g_01353, Prat.g_01352	Syal.g_00370, Syal.g_00020
OG0000037	Prat.g_00106	Syal.g_00601, Syal.g_00824
OG0000038	Prat.g_01839	Syal.g_01071, Syal.g_01073
OG0000039	Prat.g_00760	Syal.g_01097
OG0000040	Prat.g_01578	Syal.g_01187
OG0000041	Prat.g_01640	Syal.g_00649
OG0000042	Prat.g_01796	Syal.g_01705, Syal.g_01508
OG0000043	Prat.g_01176	Syal.g_01110, Syal.g_02547, Syal.g_02183
OG0000044	Prat.g_00619	Syal.g_01853, Syal.g_01847
OG0000045	Prat.g_01203	Syal.g_01563
OG0000046	Prat.g_00335	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prat.g_00374	Syal.g_01568
OG0000048	Prat.g_00278	Syal.g_01250
OG0000052	Prat.g_00058	Syal.g_01338
OG0000053	Prat.g_01375	Syal.g_00406
OG0000054	Prat.g_00569	Syal.g_02739, Syal.g_02098
OG0000056	Prat.g_01571	Syal.g_02054
OG0000057	Prat.g_00775	Syal.g_01812
OG0000058	Prat.g_01311	Syal.g_01326
OG0000059	Prat.g_01679	Syal.g_00225
OG0000061	Prat.g_01156	Syal.g_01653
OG0000062	Prat.g_01442	Syal.g_00567
OG0000063	Prat.g_01516	Syal.g_00136
OG0000064	Prat.g_00064	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681
OG0000065	Prat.g_00104	Syal.g_00820, Syal.g_02528
OG0000066	Prat.g_01499	Syal.g_02828
OG0000067	Prat.g_01037	Syal.g_02414
OG0000068	Prat.g_01291	Syal.g_02888
OG0000070	Prat.g_00412	Syal.g_00509
OG0000071	Prat.g_01249	Syal.g_02099, Syal.g_01601
OG0000072	Prat.g_00172	Syal.g_00914
OG0000073	Prat.g_00462	Syal.g_02920
OG0000075	Prat.g_01761	Syal.g_01350
OG0000076	Prat.g_01788	Syal.g_01459
OG0000077	Prat.g_00075	Syal.g_00763, Syal.g_00506
OG0000078	Prat.g_00245	Syal.g_00680
OG0000079	Prat.g_00258	Syal.g_01213
OG0000080	Prat.g_01323	Syal.g_01394
