Orthogroup	Syac	Syah
OG0000001	Syac.g_02154	Syah.g_00726
OG0000001	Syac.g_00341	Syah.g_00040
OG0000001	Syac.g_00340	Syah.g_00041
OG0000001	Syac.g_02169	Syah.g_00710
OG0000002	Syac.g_01084	Syah.g_01829
OG0000004	Syac.g_00898	Syah.g_02017
OG0000004	Syac.g_00948	Syah.g_01967
OG0000004	Syac.g_01975	Syah.g_00901
OG0000005	Syac.g_00527	Syah.g_02403
OG0000005	Syac.g_00569	Syah.g_02363
OG0000005	Syac.g_01087	Syah.g_01827
OG0000006	Syac.g_01958	Syah.g_00683
OG0000006	Syac.g_01958	Syah.g_00915
OG0000006	Syac.g_01961	Syah.g_00683
OG0000006	Syac.g_01961	Syah.g_00915
OG0000006	Syac.g_02194	Syah.g_00683
OG0000006	Syac.g_02194	Syah.g_00915
OG0000006	Syac.g_01002	Syah.g_01912
OG0000007	Syac.g_01885	Syah.g_01016
OG0000007	Syac.g_00544	Syah.g_02384
OG0000008	Syac.g_00921	Syah.g_01994
OG0000008	Syac.g_00922	Syah.g_01993
OG0000009	Syac.g_01004	Syah.g_01910
OG0000009	Syac.g_00398	Syah.g_02535
OG0000010	Syac.g_01701	Syah.g_01220
OG0000011	Syac.g_00924	Syah.g_01991
OG0000012	Syac.g_00758	Syah.g_02169
OG0000012	Syac.g_01577	Syah.g_01340
OG0000012	Syac.g_00955	Syah.g_01960
OG0000013	Syac.g_02046	Syah.g_00831
OG0000013	Syac.g_02062	Syah.g_00817
OG0000013	Syac.g_02056	Syah.g_00822
OG0000014	Syac.g_00253	Syah.g_00127
OG0000015	Syac.g_01408	Syah.g_01510
OG0000016	Syac.g_00014	Syah.g_00359
OG0000016	Syac.g_01505	Syah.g_01402
OG0000016	Syac.g_01053	Syah.g_01859
OG0000017	Syac.g_01742	Syah.g_01159
OG0000017	Syac.g_01749	Syah.g_01152
OG0000018	Syac.g_01660	Syah.g_01264
OG0000019	Syac.g_02207	Syah.g_00669
OG0000022	Syac.g_01031	Syah.g_01881
OG0000023	Syac.g_00760	Syah.g_01330, Syah.g_02167
OG0000024	Syac.g_00925	Syah.g_01990
OG0000025	Syac.g_00847	Syah.g_02082
OG0000026	Syac.g_00034	Syah.g_00340
OG0000027	Syac.g_01095	Syah.g_01541
OG0000028	Syac.g_00237	Syah.g_00141
OG0000030	Syac.g_00143	Syah.g_00264
OG0000030	Syac.g_00142	Syah.g_00265
OG0000031	Syac.g_00232	Syah.g_00146
OG0000032	Syac.g_01677	Syah.g_01246
OG0000033	Syac.g_00304	Syah.g_00078
OG0000034	Syac.g_00334	Syah.g_00048
OG0000034	Syac.g_00334	Syah.g_02213
OG0000034	Syac.g_00715	Syah.g_00048
OG0000034	Syac.g_00715	Syah.g_02213
OG0000035	Syac.g_01630	Syah.g_01293
OG0000036	Syac.g_01722, Syac.g_01536	Syah.g_00949
OG0000038	Syac.g_02357	Syah.g_00508
OG0000038	Syac.g_02358	Syah.g_00506
OG0000039	Syac.g_00856	Syah.g_02074
OG0000040	Syac.g_02437	Syah.g_00431
OG0000040	Syac.g_01006	Syah.g_01908
OG0000041	Syac.g_00655	Syah.g_02271
OG0000041	Syac.g_00876	Syah.g_02039
OG0000042	Syac.g_00146	Syah.g_00261
OG0000043	Syac.g_00808	Syah.g_02119
OG0000043	Syac.g_01100	Syah.g_01546
OG0000044	Syac.g_00477	Syah.g_02454
OG0000044	Syac.g_00858	Syah.g_02072
OG0000045	Syac.g_00576	Syah.g_02356
OG0000045	Syac.g_01040	Syah.g_01872
OG0000046	Syac.g_02063	Syah.g_00816
OG0000046	Syac.g_02055	Syah.g_00823
OG0000046	Syac.g_02047	Syah.g_00830
OG0000047	Syac.g_02031	Syah.g_00847
OG0000048	Syac.g_02240	Syah.g_00637
OG0000050	Syac.g_01937	Syah.g_00941
OG0000051	Syac.g_01073	Syah.g_02473
OG0000052	Syac.g_00207	Syah.g_00171
OG0000053	Syac.g_01657	Syah.g_01267
OG0000054	Syac.g_00933	Syah.g_01982
OG0000054	Syac.g_01050	Syah.g_01862
OG0000055	Syac.g_00859	Syah.g_02071
OG0000055	Syac.g_01034	Syah.g_01878
OG0000057	Syac.g_00894	Syah.g_02020
OG0000058	Syac.g_00226	Syah.g_00152
OG0000059	Syac.g_02142	Syah.g_00737
OG0000061	Syac.g_00769	Syah.g_02158
OG0000062	Syac.g_00567	Syah.g_02365
OG0000063	Syac.g_00037	Syah.g_00337
OG0000064	Syac.g_01567	Syah.g_01353
OG0000064	Syac.g_00575	Syah.g_02357
OG0000065	Syac.g_00490	Syah.g_02443
OG0000065	Syac.g_00396	Syah.g_02537
OG0000066	Syac.g_01827	Syah.g_01073
OG0000067	Syac.g_01341	Syah.g_01779
OG0000068	Syac.g_01916	Syah.g_00986
OG0000069	Syac.g_01272	Syah.g_01715
OG0000070	Syac.g_00711	Syah.g_02217
OG0000071	Syac.g_00729	Syah.g_02199
OG0000071	Syac.g_01049	Syah.g_01863
OG0000072	Syac.g_00302	Syah.g_00080
OG0000073	Syac.g_01883	Syah.g_01018
OG0000075	Syac.g_00191	Syah.g_00186
OG0000076	Syac.g_00156	Syah.g_00250
OG0000077	Syac.g_00439	Syah.g_02494
OG0000078	Syac.g_01964	Syah.g_00912
OG0000079	Syac.g_02211	Syah.g_00665
OG0000081	Syac.g_00461	Syah.g_02471
OG0000081	Syac.g_01954	Syah.g_00922
OG0000082	Syac.g_01766	Syah.g_01136
OG0000084	Syac.g_00822	Syah.g_02105
OG0000084	Syac.g_01627	Syah.g_01296
OG0000085	Syac.g_00560	Syah.g_02372
OG0000086	Syac.g_00423	Syah.g_02511
OG0000087	Syac.g_00343	Syah.g_00038
OG0000088	Syac.g_00308	Syah.g_00074
OG0000089	Syac.g_01988	Syah.g_00888
OG0000090	Syac.g_01836	Syah.g_01064
OG0000091	Syac.g_00987	Syah.g_01927
OG0000093	Syac.g_01357	Syah.g_01794
OG0000094	Syac.g_01251	Syah.g_01692
OG0000095	Syac.g_00884	Syah.g_02030
OG0000097	Syac.g_01507	Syah.g_01400
OG0000098	Syac.g_02157	Syah.g_00723
OG0000099	Syac.g_00234	Syah.g_00144
OG0000100	Syac.g_01309	Syah.g_01747
OG0000101	Syac.g_02094	Syah.g_00785
OG0000102	Syac.g_00151	Syah.g_00255
OG0000103	Syac.g_02476	Syah.g_00391
OG0000104	Syac.g_02490	Syah.g_00377
OG0000105	Syac.g_02245	Syah.g_00632
OG0000106	Syac.g_01098	Syah.g_01544
OG0000107	Syac.g_02191	Syah.g_00688
OG0000108	Syac.g_01904	Syah.g_00997
OG0000109	Syac.g_01889	Syah.g_01012
OG0000110	Syac.g_01778	Syah.g_01124
OG0000111	Syac.g_00893	Syah.g_02021
OG0000112	Syac.g_01173	Syah.g_01613
OG0000113	Syac.g_01314	Syah.g_01752
OG0000114	Syac.g_01394	Syah.g_01529
OG0000115	Syac.g_01655	Syah.g_01269
OG0000116	Syac.g_00753	Syah.g_02175
OG0000117	Syac.g_01477	Syah.g_01425
OG0000118	Syac.g_01728	Syah.g_01173
OG0000120	Syac.g_00233	Syah.g_00145
OG0000121	Syac.g_01635	Syah.g_01287
OG0000122	Syac.g_01013	Syah.g_01900
OG0000123	Syac.g_02086	Syah.g_00793
OG0000124	Syac.g_00135	Syah.g_00272
OG0000125	Syac.g_02360	Syah.g_00504
OG0000126	Syac.g_02488	Syah.g_00379
OG0000128	Syac.g_00012	Syah.g_00361
OG0000129	Syac.g_02349	Syah.g_00516
OG0000130	Syac.g_00450	Syah.g_02483
OG0000131	Syac.g_00330	Syah.g_00052
OG0000132	Syac.g_00310	Syah.g_00072
OG0000133	Syac.g_01178	Syah.g_01618
OG0000134	Syac.g_01985	Syah.g_00891
OG0000135	Syac.g_02398	Syah.g_00465
OG0000136	Syac.g_00701	Syah.g_02227
OG0000137	Syac.g_01700	Syah.g_01221
OG0000138	Syac.g_01888	Syah.g_01013
OG0000139	Syac.g_01830	Syah.g_01070
OG0000140	Syac.g_01829	Syah.g_01071
OG0000141	Syac.g_00934	Syah.g_01981
OG0000142	Syac.g_00979	Syah.g_01935
OG0000143	Syac.g_00983	Syah.g_01931
OG0000144	Syac.g_01090	Syah.g_01824
OG0000145	Syac.g_01882	Syah.g_01019
OG0000146	Syac.g_01172	Syah.g_01612
OG0000147	Syac.g_01171	Syah.g_01611
OG0000148	Syac.g_01320	Syah.g_01758
OG0000149	Syac.g_00832	Syah.g_02096
OG0000150	Syac.g_00935	Syah.g_01980
OG0000151	Syac.g_01383	Syah.g_01820
OG0000152	Syac.g_01182	Syah.g_01622
OG0000153	Syac.g_01217	Syah.g_01656
OG0000154	Syac.g_01241	Syah.g_01682
OG0000155	Syac.g_00804	Syah.g_02123
OG0000156	Syac.g_00743	Syah.g_02185
OG0000157	Syac.g_00742	Syah.g_02186
OG0000158	Syac.g_00182	Syah.g_00204
OG0000160	Syac.g_01633	Syah.g_01289
OG0000161	Syac.g_01641	Syah.g_01282
OG0000162	Syac.g_01648	Syah.g_01276
OG0000163	Syac.g_00619	Syah.g_02315
OG0000164	Syac.g_00508	Syah.g_02423
OG0000165	Syac.g_00674	Syah.g_02251
OG0000166	Syac.g_02132	Syah.g_00747
OG0000167	Syac.g_00194	Syah.g_00183
OG0000168	Syac.g_00179	Syah.g_00205
OG0000169	Syac.g_00168	Syah.g_00237
OG0000170	Syac.g_00161	Syah.g_00245
OG0000171	Syac.g_00136	Syah.g_00271
OG0000172	Syac.g_00084	Syah.g_00293
OG0000173	Syac.g_00057	Syah.g_00313
OG0000174	Syac.g_02401	Syah.g_00461
OG0000175	Syac.g_02465	Syah.g_00402
OG0000176	Syac.g_00004	Syah.g_00369
OG0000177	Syac.g_00005	Syah.g_00368
OG0000178	Syac.g_00006	Syah.g_00367
OG0000179	Syac.g_00019	Syah.g_00355
OG0000180	Syac.g_00020	Syah.g_00354
OG0000181	Syac.g_00021	Syah.g_00353
OG0000182	Syac.g_00022	Syah.g_00352
OG0000183	Syac.g_00026	Syah.g_00348
OG0000184	Syac.g_02339	Syah.g_00525
OG0000185	Syac.g_02336	Syah.g_00528
OG0000186	Syac.g_00454	Syah.g_02479
OG0000187	Syac.g_00453	Syah.g_02480
OG0000188	Syac.g_00433	Syah.g_02501
OG0000189	Syac.g_00408	Syah.g_02526
OG0000190	Syac.g_00406	Syah.g_02528
OG0000191	Syac.g_00373	Syah.g_00008
OG0000192	Syac.g_00368	Syah.g_00013
OG0000193	Syac.g_00329	Syah.g_00053
OG0000194	Syac.g_00326	Syah.g_00056
OG0000195	Syac.g_00324	Syah.g_00058
OG0000196	Syac.g_00313	Syah.g_00069
OG0000197	Syac.g_00312	Syah.g_00070
OG0000198	Syac.g_00311	Syah.g_00071
OG0000199	Syac.g_00303	Syah.g_00079
OG0000200	Syac.g_02261	Syah.g_00616
OG0000201	Syac.g_02278	Syah.g_00601
OG0000202	Syac.g_02279	Syah.g_00600
OG0000203	Syac.g_02280	Syah.g_00599
OG0000204	Syac.g_02281	Syah.g_00598
OG0000205	Syac.g_02288	Syah.g_00591
OG0000206	Syac.g_02297	Syah.g_00578
OG0000207	Syac.g_02300	Syah.g_00575
OG0000208	Syac.g_02301	Syah.g_00574
OG0000209	Syac.g_02316	Syah.g_00544
OG0000210	Syac.g_02317	Syah.g_00543
OG0000211	Syac.g_01972	Syah.g_00904
OG0000212	Syac.g_01963	Syah.g_00913
OG0000213	Syac.g_02219	Syah.g_00657
OG0000214	Syac.g_02236	Syah.g_00641
OG0000215	Syac.g_00281	Syah.g_00101
OG0000216	Syac.g_00277	Syah.g_00105
OG0000217	Syac.g_00273	Syah.g_00109
OG0000218	Syac.g_00271	Syah.g_00111
OG0000219	Syac.g_00270	Syah.g_00112
OG0000220	Syac.g_00269	Syah.g_00113
OG0000221	Syac.g_00261	Syah.g_00120
OG0000222	Syac.g_00247	Syah.g_00131
OG0000223	Syac.g_00225	Syah.g_00153
OG0000224	Syac.g_00217	Syah.g_00162
OG0000225	Syac.g_02004	Syah.g_00874
OG0000226	Syac.g_02000	Syah.g_00878
OG0000227	Syac.g_01998	Syah.g_00880
OG0000228	Syac.g_01989	Syah.g_00887
OG0000229	Syac.g_00692	Syah.g_02236
OG0000230	Syac.g_00694	Syah.g_02234
OG0000231	Syac.g_00710	Syah.g_02218
OG0000232	Syac.g_01717	Syah.g_01206
OG0000233	Syac.g_01713	Syah.g_01210
OG0000234	Syac.g_01699	Syah.g_01222
OG0000235	Syac.g_01905	Syah.g_00996
OG0000236	Syac.g_01890	Syah.g_01011
OG0000237	Syac.g_01873	Syah.g_01028
OG0000238	Syac.g_01868	Syah.g_01032
OG0000239	Syac.g_01852	Syah.g_01048
OG0000240	Syac.g_01851	Syah.g_01049
OG0000241	Syac.g_00970	Syah.g_01944
OG0000242	Syac.g_01839	Syah.g_01062
OG0000243	Syac.g_01821	Syah.g_01079
OG0000244	Syac.g_01814	Syah.g_01087
OG0000245	Syac.g_01811	Syah.g_01090
OG0000246	Syac.g_01807	Syah.g_01094
OG0000247	Syac.g_01795	Syah.g_01106
OG0000248	Syac.g_01792	Syah.g_01109
OG0000249	Syac.g_01790	Syah.g_01111
OG0000250	Syac.g_01782	Syah.g_01120
OG0000251	Syac.g_01757	Syah.g_01145
OG0000252	Syac.g_01753	Syah.g_01148
OG0000253	Syac.g_01752	Syah.g_01149
OG0000254	Syac.g_00939	Syah.g_01976
OG0000255	Syac.g_00947	Syah.g_01968
OG0000256	Syac.g_00963	Syah.g_01952
OG0000257	Syac.g_00969	Syah.g_01945
OG0000258	Syac.g_00988	Syah.g_01926
OG0000259	Syac.g_01425	Syah.g_01494
OG0000260	Syac.g_01422	Syah.g_01497
OG0000261	Syac.g_01418	Syah.g_01500
OG0000262	Syac.g_01413	Syah.g_01505
OG0000263	Syac.g_01497	Syah.g_01410
OG0000264	Syac.g_00915	Syah.g_02000
OG0000265	Syac.g_00673	Syah.g_02252
OG0000266	Syac.g_01271	Syah.g_01714
OG0000267	Syac.g_01131	Syah.g_01574
OG0000268	Syac.g_01132	Syah.g_01575
OG0000269	Syac.g_01346	Syah.g_01784
OG0000270	Syac.g_01343	Syah.g_01781
OG0000271	Syac.g_01335	Syah.g_01773
OG0000272	Syac.g_01334	Syah.g_01772
OG0000273	Syac.g_00854	Syah.g_02075
OG0000274	Syac.g_00853	Syah.g_02076
OG0000275	Syac.g_00848	Syah.g_02081
OG0000276	Syac.g_00840	Syah.g_02088
OG0000277	Syac.g_00839	Syah.g_02089
OG0000278	Syac.g_00836	Syah.g_02092
OG0000279	Syac.g_00828	Syah.g_02100
OG0000280	Syac.g_00814	Syah.g_02112
OG0000281	Syac.g_02158	Syah.g_00722
OG0000282	Syac.g_01392	Syah.g_01531
OG0000283	Syac.g_01142	Syah.g_01585
OG0000284	Syac.g_01148	Syah.g_01591
OG0000285	Syac.g_01160	Syah.g_01603
OG0000286	Syac.g_01181	Syah.g_01621
OG0000287	Syac.g_01692	Syah.g_01231
OG0000287	Syac.g_01209	Syah.g_01649
OG0000288	Syac.g_01240	Syah.g_01681
OG0000289	Syac.g_01254	Syah.g_01695
OG0000290	Syac.g_00881	Syah.g_02033
OG0000291	Syac.g_00883	Syah.g_02031
OG0000292	Syac.g_02487	Syah.g_00380
OG0000293	Syac.g_00754	Syah.g_02173
OG0000294	Syac.g_00755	Syah.g_02172
OG0000295	Syac.g_00796	Syah.g_02131
OG0000296	Syac.g_00798	Syah.g_02129
OG0000297	Syac.g_01475	Syah.g_01427
OG0000298	Syac.g_01476	Syah.g_01426
OG0000299	Syac.g_01503	Syah.g_01404
OG0000300	Syac.g_01510	Syah.g_01397
OG0000301	Syac.g_01511	Syah.g_01396
OG0000302	Syac.g_01512	Syah.g_01395
OG0000303	Syac.g_01520	Syah.g_01387
OG0000304	Syac.g_01526	Syah.g_01382
OG0000305	Syac.g_00886	Syah.g_02028
OG0000306	Syac.g_00810	Syah.g_02116
OG0000307	Syac.g_01924	Syah.g_00978
OG0000308	Syac.g_01926	Syah.g_00976
OG0000309	Syac.g_01931	Syah.g_00971
OG0000310	Syac.g_01607	Syah.g_01321
OG0000311	Syac.g_01611	Syah.g_01317
OG0000312	Syac.g_01619	Syah.g_01304
OG0000313	Syac.g_01638	Syah.g_01285
OG0000314	Syac.g_01665	Syah.g_01259
OG0000315	Syac.g_01675	Syah.g_01248
OG0000316	Syac.g_00601	Syah.g_02333
OG0000317	Syac.g_00552	Syah.g_02380
OG0000318	Syac.g_00543	Syah.g_02385
OG0000319	Syac.g_00525	Syah.g_02405
OG0000320	Syac.g_00523	Syah.g_02407
OG0000321	Syac.g_00522	Syah.g_02408
OG0000322	Syac.g_00521	Syah.g_02409
OG0000323	Syac.g_00506	Syah.g_02425
OG0000324	Syac.g_00648	Syah.g_02278
OG0000325	Syac.g_02190	Syah.g_00689
OG0000326	Syac.g_02183	Syah.g_00696
OG0000327	Syac.g_02137	Syah.g_00742
OG0000328	Syac.g_02136	Syah.g_00743
OG0000329	Syac.g_02119	Syah.g_00760
OG0000330	Syac.g_02118	Syah.g_00761
OG0000331	Syac.g_02117	Syah.g_00762
OG0000332	Syac.g_02103	Syah.g_00776
OG0000333	Syac.g_02100	Syah.g_00779
OG0000334	Syac.g_02090	Syah.g_00789
OG0000335	Syac.g_02085	Syah.g_00794
OG0000336	Syac.g_02081	Syah.g_00798
OG0000337	Syac.g_00199	Syah.g_00178
OG0000338	Syac.g_00196	Syah.g_00181
OG0000339	Syac.g_00190	Syah.g_00188
OG0000340	Syac.g_00178	Syah.g_00206
OG0000341	Syac.g_00176	Syah.g_00208
OG0000342	Syac.g_00175	Syah.g_00209
OG0000343	Syac.g_00174	Syah.g_00231
OG0000344	Syac.g_00170	Syah.g_00235
OG0000345	Syac.g_00160	Syah.g_00246
OG0000346	Syac.g_00155	Syah.g_00251
OG0000347	Syac.g_00129	Syah.g_00275
OG0000348	Syac.g_00070, Syac.g_00074	Syah.g_00301
OG0000349	Syac.g_00050	Syah.g_00320
OG0000350	Syac.g_02176	Syah.g_00703
OG0000351	Syac.g_02468	Syah.g_00399
OG0000352	Syac.g_02469	Syah.g_00398
OG0000353	Syac.g_02493	Syah.g_00374
OG0000354	Syac.g_01862	Syah.g_01038
OG0000355	Syac.g_00001	Syah.g_00372
OG0000356	Syac.g_00002	Syah.g_00371
OG0000357	Syac.g_00003	Syah.g_00370
OG0000358	Syac.g_00007	Syah.g_00366
OG0000359	Syac.g_00009	Syah.g_00364
OG0000360	Syac.g_00010	Syah.g_00363
OG0000361	Syac.g_00011	Syah.g_00362
OG0000362	Syac.g_00013	Syah.g_00360
OG0000363	Syac.g_00015	Syah.g_00358
OG0000364	Syac.g_00016	Syah.g_00357
OG0000365	Syac.g_00023	Syah.g_00351
OG0000366	Syac.g_00024	Syah.g_00350
OG0000367	Syac.g_00025	Syah.g_00349
OG0000368	Syac.g_00027	Syah.g_00347
