Orthogroup	Prav	Prat
OG0000000	Prav.g_01466	Prat.g_00977
OG0000000	Prav.g_01276	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000001	Prav.g_01738	Prat.g_01549
OG0000002	Prav.g_01458	Prat.g_01285, Prat.g_01286
OG0000002	Prav.g_01734, Prav.g_01820, Prav.g_02007, Prav.g_00962	Prat.g_00851
OG0000003	Prav.g_01413, Prav.g_01698, Prav.g_01019	Prat.g_01190
OG0000004	Prav.g_00338	Prat.g_00824
OG0000006	Prav.g_01095	Prat.g_00458
OG0000006	Prav.g_01761	Prat.g_01592
OG0000007	Prav.g_01749	Prat.g_00376
OG0000007	Prav.g_01750	Prat.g_00377
OG0000009	Prav.g_00375	Prat.g_01180
OG0000009	Prav.g_01896	Prat.g_00255
OG0000010	Prav.g_01732, Prav.g_01400	Prat.g_00634
OG0000012	Prav.g_01194	Prat.g_00567, Prat.g_00560
OG0000013	Prav.g_00363, Prav.g_00961	Prat.g_00701
OG0000014	Prav.g_01416, Prav.g_01068	Prat.g_01548, Prat.g_01474
OG0000015	Prav.g_00998	Prat.g_00615, Prat.g_01580, Prat.g_00639
OG0000016	Prav.g_01469	Prat.g_00647, Prat.g_01452
OG0000018	Prav.g_02001	Prat.g_00248
OG0000019	Prav.g_00984	Prat.g_00461
OG0000022	Prav.g_01736, Prav.g_01415	Prat.g_01191
OG0000024	Prav.g_01952	Prat.g_00314, Prat.g_01267
OG0000025	Prav.g_01013	Prat.g_00685
OG0000028	Prav.g_01578	Prat.g_01352, Prat.g_01353
OG0000029	Prav.g_01689, Prav.g_01881	Prat.g_01400
OG0000033	Prav.g_01385	Prat.g_01219
OG0000033	Prav.g_00081	Prat.g_00014
OG0000034	Prav.g_01533	Prat.g_00058
OG0000035	Prav.g_00251, Prav.g_01877	Prat.g_00657
OG0000036	Prav.g_01182	Prat.g_01507
OG0000037	Prav.g_01221	Prat.g_00586
OG0000038	Prav.g_00360	Prat.g_01448, Prat.g_01192
OG0000039	Prav.g_00872	Prat.g_00166
OG0000040	Prav.g_00979	Prat.g_00834
OG0000041	Prav.g_01022	Prat.g_01552, Prat.g_00613
OG0000042	Prav.g_00306	Prat.g_00788
OG0000043	Prav.g_00381	Prat.g_00856
OG0000044	Prav.g_00065	Prat.g_01156
OG0000045	Prav.g_01512	Prat.g_01311
OG0000046	Prav.g_01754	Prat.g_01584
OG0000047	Prav.g_00689	Prat.g_01788
OG0000048	Prav.g_00696	Prat.g_01796
OG0000050	Prav.g_00099, Prav.g_01324	Prat.g_00033
OG0000051	Prav.g_00881	Prat.g_00157
OG0000052	Prav.g_00989	Prat.g_00637
OG0000053	Prav.g_01137	Prat.g_01499
OG0000054	Prav.g_01325	Prat.g_01503
OG0000055	Prav.g_00419	Prat.g_01014
OG0000056	Prav.g_01388	Prat.g_00666, Prat.g_01463
OG0000057	Prav.g_00801	Prat.g_00242
OG0000058	Prav.g_01073	Prat.g_00434
OG0000059	Prav.g_01296	Prat.g_00775
OG0000062	Prav.g_00033	Prat.g_01495, Prat.g_01561
OG0000063	Prav.g_01390	Prat.g_01129
OG0000065	Prav.g_01438	Prat.g_01249
OG0000066	Prav.g_01513	Prat.g_00344
