Orthogroup	Species	Prbg	Orthologs
OG0000000	Syab	Prbg.g_01524, Prbg.g_01567, Prbg.g_01523, Prbg.g_01568, Prbg.g_01583	Syab.g_01226
OG0000000	Syal	Prbg.g_01524, Prbg.g_01567, Prbg.g_01523, Prbg.g_01568, Prbg.g_01583	Syal.g_01111, Syal.g_01832
OG0000000	Prbb	Prbg.g_01524	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Prbg.g_01524	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Prbg.g_01524	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Prbg.g_01524	Prbc.g_00609, Prbc.g_00812
OG0000000	Pral	Prbg.g_01524	Pral.g_00040
OG0000000	Pram	Prbg.g_01524	Pram.g_01513
OG0000000	Prbh	Prbg.g_01524	Prbh.g_01901
OG0000000	Prat	Prbg.g_01524	Prat.g_01190
OG0000000	Prak	Prbg.g_01524	Prak.g_01210
OG0000000	Prap	Prbg.g_01524	Prap.g_00494
OG0000000	Prbe	Prbg.g_01524	Prbe.g_01587
OG0000000	Prbf	Prbg.g_01524	Prbf.g_00880
OG0000000	Prbn	Prbg.g_01524	Prbn.g_01151
OG0000000	Pras	Prbg.g_01567	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prbg.g_01567	Prai.g_01612, Prai.g_01592
OG0000000	Prac	Prbg.g_01567	Prac.g_00277, Prac.g_00292
OG0000000	Praq	Prbg.g_01567	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prbg.g_01567	Prar.g_00713, Prar.g_00729
OG0000000	Prau	Prbg.g_01567	Prau.g_01665, Prau.g_01648
OG0000000	Praa	Prbg.g_01567	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbd	Prbg.g_01567	Prbd.g_01914, Prbd.g_01568
OG0000000	Pray	Prbg.g_01567	Pray.g_01576, Pray.g_01603
OG0000000	Praz	Prbg.g_01567	Praz.g_00894, Praz.g_00921
OG0000000	Prba	Prbg.g_01567	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prbg.g_01567	Prad.g_01982, Prad.g_00392
OG0000000	Prbc	Prbg.g_01567	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbb	Prbg.g_01567	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbm	Prbg.g_01567	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praj	Prbg.g_01567	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab	Prbg.g_01567	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prbg.g_01567	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prbg.g_01567	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Prbg.g_01567	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prae	Prbg.g_01567	Prae.g_01580
OG0000000	Prbi	Prbg.g_01567	Prbi.g_01709
OG0000000	Prax	Prbg.g_01567	Prax.g_01608, Prax.g_00496
