Orthogroup	Prau	Syag
OG0000001	Prau.g_01394	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prau.g_00735	Syag.g_00988
OG0000004	Prau.g_00233	Syag.g_00370, Syag.g_01790
OG0000005	Prau.g_01745	Syag.g_01708
OG0000005	Prau.g_01607	Syag.g_01667
OG0000006	Prau.g_01316	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prau.g_00538	Syag.g_01507
OG0000007	Prau.g_01732	Syag.g_01687
OG0000008	Prau.g_00781	Syag.g_00496
OG0000009	Prau.g_01324, Prau.g_01641	Syag.g_00220, Syag.g_00231
OG0000009	Prau.g_00106	Syag.g_01883
OG0000010	Prau.g_01698, Prau.g_01096	Syag.g_01355
OG0000011	Prau.g_01307, Prau.g_01335	Syag.g_01299
OG0000012	Prau.g_00663	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Prau.g_00329	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prau.g_00308	Syag.g_02559
OG0000014	Prau.g_01470	Syag.g_02487
OG0000015	Prau.g_00817	Syag.g_02252, Syag.g_00596
OG0000016	Prau.g_00013	Syag.g_02286
OG0000017	Prau.g_00636	Syag.g_00336, Syag.g_00344
OG0000018	Prau.g_01188	Syag.g_01387
OG0000019	Prau.g_00251, Prau.g_00834	Syag.g_02663
OG0000020	Prau.g_01153, Prau.g_01704	Syag.g_00085
OG0000021	Prau.g_01680, Prau.g_00367	Syag.g_00229
OG0000022	Prau.g_01170	Syag.g_00458
OG0000023	Prau.g_00362	Syag.g_00261, Syag.g_00234
OG0000024	Prau.g_00796, Prau.g_00715	Syag.g_00455
OG0000025	Prau.g_00333, Prau.g_00888	Syag.g_00718
OG0000026	Prau.g_00030, Prau.g_01103	Syag.g_02309
OG0000027	Prau.g_01353	Syag.g_00950, Syag.g_00165
OG0000028	Prau.g_01338, Prau.g_00322	Syag.g_02540
OG0000029	Prau.g_00804, Prau.g_00378	Syag.g_00195
OG0000030	Prau.g_01935	Syag.g_02375, Syag.g_02374
OG0000031	Prau.g_01469	Syag.g_02486
OG0000032	Prau.g_01475, Prau.g_01446	Syag.g_02480
OG0000033	Prau.g_01465	Syag.g_01978
OG0000034	Prau.g_01381	Syag.g_01225, Syag.g_01947
OG0000035	Prau.g_01531, Prau.g_01528	Syag.g_01420, Syag.g_01421
OG0000037	Prau.g_00110	Syag.g_00173
OG0000038	Prau.g_01976	Syag.g_02130, Syag.g_02132
OG0000039	Prau.g_00726	Syag.g_01325, Syag.g_02155
OG0000040	Prau.g_01187	Syag.g_02215
OG0000041	Prau.g_01778	Syag.g_01750, Syag.g_00962
OG0000042	Prau.g_01932	Syag.g_01094, Syag.g_02378
OG0000043	Prau.g_01321	Syag.g_00564
OG0000045	Prau.g_00374	Syag.g_00223
OG0000045	Prau.g_01682	Syag.g_00225
OG0000047	Prau.g_00332, Prau.g_00414	Syag.g_00768
OG0000048	Prau.g_00377	Syag.g_02611
OG0000051	Prau.g_01347	Syag.g_01026
OG0000052	Prau.g_01489	Syag.g_02491
OG0000053	Prau.g_00040, Prau.g_01551	Syag.g_01391
OG0000054	Prau.g_00644	Syag.g_00350
OG0000055	Prau.g_00835	Syag.g_01799, Syag.g_00946
OG0000057	Prau.g_00738	Syag.g_00985
OG0000059	Prau.g_01818	Syag.g_02721
OG0000061	Prau.g_01206	Syag.g_01141
OG0000062	Prau.g_01609	Syag.g_01669
OG0000063	Prau.g_00032, Prau.g_01295	Syag.g_02313
OG0000065	Prau.g_00108	Syag.g_01885, Syag.g_00182
OG0000066	Prau.g_00579	Syag.g_01443
OG0000067	Prau.g_00854	Syag.g_00667
OG0000068	Prau.g_01409	Syag.g_01537
OG0000070	Prau.g_00491	Syag.g_00049
OG0000071	Prau.g_01371	Syag.g_01192
OG0000072	Prau.g_00172	Syag.g_01980, Syag.g_02859
OG0000073	Prau.g_00540	Syag.g_01505
OG0000075	Prau.g_01901	Syag.g_02434
OG0000076	Prau.g_00037, Prau.g_01925	Syag.g_02393
OG0000077	Prau.g_00079	Syag.g_01831
OG0000078	Prau.g_00240	Syag.g_01778
OG0000079	Prau.g_00254	Syag.g_02659, Syag.g_02652
OG0000080	Prau.g_01440	Syag.g_02499
OG0000081	Prau.g_00571	Syag.g_00167
OG0000082	Prau.g_00624	Syag.g_00318
OG0000084	Prau.g_01524	Syag.g_00212, Syag.g_01425
OG0000085	Prau.g_01725	Syag.g_01676
OG0000086	Prau.g_00089	Syag.g_01853
OG0000087	Prau.g_00140	Syag.g_01939
OG0000088	Prau.g_00167	Syag.g_01974
OG0000089	Prau.g_00358	Syag.g_00005
OG0000090	Prau.g_00573	Syag.g_01454
OG0000091	Prau.g_00682	Syag.g_00418
OG0000092	Prau.g_00052, Prau.g_00451	Syag.g_00242
OG0000093	Prau.g_00983	Syag.g_00649
OG0000094	Prau.g_01070	Syag.g_00881
OG0000095	Prau.g_01089	Syag.g_00974
OG0000097	Prau.g_01247	Syag.g_01065
OG0000098	Prau.g_01391	Syag.g_00578, Syag.g_01445
OG0000099	Prau.g_01435	Syag.g_02536
OG0000100	Prau.g_01605	Syag.g_00704
OG0000101	Prau.g_01869	Syag.g_02773
OG0000102	Prau.g_01930	Syag.g_02387
OG0000103	Prau.g_02009	Syag.g_02253
OG0000104	Prau.g_02018	Syag.g_02268
OG0000105	Prau.g_00276	Syag.g_02606
OG0000106	Prau.g_00373	Syag.g_00462
OG0000107	Prau.g_00389	Syag.g_02689
OG0000108	Prau.g_00521	Syag.g_01528
OG0000109	Prau.g_00535	Syag.g_01512
OG0000110	Prau.g_00614	Syag.g_00303
OG0000111	Prau.g_00739	Syag.g_00984
OG0000112	Prau.g_00818	Syag.g_00801
OG0000113	Prau.g_00876	Syag.g_00699
OG0000114	Prau.g_00956	Syag.g_00609
OG0000115	Prau.g_01148	Syag.g_01397
OG0000116	Prau.g_01197	Syag.g_01156
OG0000117	Prau.g_01318	Syag.g_01097
OG0000118	Prau.g_01383	Syag.g_01232
OG0000120	Prau.g_01430	Syag.g_02535
OG0000121	Prau.g_01533	Syag.g_01414
OG0000122	Prau.g_01571	Syag.g_00446
OG0000123	Prau.g_01876	Syag.g_02781
OG0000124	Prau.g_01941	Syag.g_02367, Syag.g_02485
OG0000125	Prau.g_01978	Syag.g_02136, Syag.g_02134
OG0000126	Prau.g_02017	Syag.g_02266
OG0000128	Prau.g_00011	Syag.g_02284
OG0000129	Prau.g_00051	Syag.g_02121
OG0000130	Prau.g_00071	Syag.g_01819
OG0000131	Prau.g_00146	Syag.g_01951
OG0000132	Prau.g_00165	Syag.g_01972
OG0000133	Prau.g_00324	Syag.g_00806
OG0000134	Prau.g_00359	Syag.g_00008
OG0000135	Prau.g_00386	Syag.g_02171
OG0000136	Prau.g_00482	Syag.g_00038
OG0000137	Prau.g_00516	Syag.g_01356
OG0000138	Prau.g_00536	Syag.g_01511
OG0000139	Prau.g_00577	Syag.g_01448
OG0000140	Prau.g_00578	Syag.g_01446
OG0000141	Prau.g_00645	Syag.g_00351
OG0000142	Prau.g_00675	Syag.g_00410
OG0000143	Prau.g_00679	Syag.g_00414
OG0000144	Prau.g_00692	Syag.g_00493
OG0000145	Prau.g_00816	Syag.g_01504
OG0000146	Prau.g_00819	Syag.g_00800
OG0000147	Prau.g_00820	Syag.g_00799
OG0000148	Prau.g_00870	Syag.g_00693
OG0000149	Prau.g_00900	Syag.g_00731
OG0000150	Prau.g_00909	Syag.g_00352
OG0000151	Prau.g_00966	Syag.g_00623
OG0000152	Prau.g_01015	Syag.g_00810
OG0000153	Prau.g_01034	Syag.g_00845
OG0000154	Prau.g_01063	Syag.g_00870
OG0000155	Prau.g_01226	Syag.g_01107
OG0000156	Prau.g_01359	Syag.g_01166
OG0000157	Prau.g_01360	Syag.g_01167
OG0000158	Prau.g_01436	Syag.g_02422
OG0000160	Prau.g_01532	Syag.g_01415
OG0000161	Prau.g_01538	Syag.g_01409
OG0000162	Prau.g_01544	Syag.g_01402
OG0000163	Prau.g_01578	Syag.g_00706, Syag.g_01618
OG0000164	Prau.g_01756	Syag.g_01725
OG0000165	Prau.g_01763	Syag.g_01733
OG0000166	Prau.g_01833	Syag.g_02733
OG0000167	Prau.g_01899	Syag.g_02437
OG0000168	Prau.g_01909	Syag.g_02417
OG0000169	Prau.g_01919	Syag.g_02405
OG0000170	Prau.g_01921	Syag.g_02398
OG0000171	Prau.g_01940	Syag.g_02368
OG0000172	Prau.g_01949	Syag.g_02360
OG0000173	Prau.g_01964	Syag.g_02337
OG0000174	Prau.g_01991	Syag.g_02175
OG0000175	Prau.g_02001	Syag.g_02240
OG0000176	Prau.g_00004	Syag.g_02276
OG0000177	Prau.g_00005	Syag.g_02277
OG0000178	Prau.g_00006	Syag.g_02278
OG0000179	Prau.g_00016	Syag.g_02293
OG0000180	Prau.g_00017	Syag.g_02294
OG0000181	Prau.g_00018	Syag.g_02295
OG0000182	Prau.g_00019	Syag.g_02296
OG0000183	Prau.g_00023	Syag.g_02300
OG0000184	Prau.g_00054	Syag.g_02110
OG0000185	Prau.g_00057	Syag.g_02092
OG0000186	Prau.g_00066	Syag.g_01815
OG0000187	Prau.g_00067	Syag.g_01816
OG0000188	Prau.g_00083	Syag.g_01839
OG0000189	Prau.g_00097	Syag.g_01872
OG0000190	Prau.g_00098	Syag.g_01874
OG0000191	Prau.g_00118	Syag.g_01909
OG0000192	Prau.g_00122	Syag.g_01915
OG0000193	Prau.g_00147	Syag.g_01952
OG0000194	Prau.g_00150	Syag.g_01955
OG0000195	Prau.g_00152	Syag.g_01957
OG0000196	Prau.g_00162	Syag.g_01968
OG0000197	Prau.g_00163	Syag.g_01969
OG0000198	Prau.g_00164	Syag.g_00108, Syag.g_01971
OG0000199	Prau.g_00171	Syag.g_01979
OG0000200	Prau.g_00185	Syag.g_01996
OG0000201	Prau.g_00193	Syag.g_02019, Syag.g_02023
OG0000202	Prau.g_00194	Syag.g_02024
OG0000203	Prau.g_00195	Syag.g_02025
OG0000204	Prau.g_00196	Syag.g_02020, Syag.g_02026
OG0000205	Prau.g_00203	Syag.g_02035
OG0000206	Prau.g_00208	Syag.g_02047
OG0000207	Prau.g_00210	Syag.g_02051
OG0000208	Prau.g_00211	Syag.g_02052
OG0000209	Prau.g_00220	Syag.g_02069
OG0000210	Prau.g_00221	Syag.g_02070
OG0000211	Prau.g_00234	Syag.g_01788
OG0000212	Prau.g_00241	Syag.g_01777
OG0000213	Prau.g_00259	Syag.g_02632
OG0000214	Prau.g_00269	Syag.g_02615
OG0000215	Prau.g_00294	Syag.g_02584
OG0000216	Prau.g_00296	Syag.g_02580
OG0000217	Prau.g_00299	Syag.g_02576
OG0000218	Prau.g_00301	Syag.g_02574
OG0000219	Prau.g_00302	Syag.g_02573
OG0000220	Prau.g_00303	Syag.g_02572
OG0000221	Prau.g_00304	Syag.g_02566
OG0000222	Prau.g_00312	Syag.g_02550
OG0000223	Prau.g_00325	Syag.g_02475
OG0000224	Prau.g_00327	Syag.g_02471
OG0000225	Prau.g_00348	Syag.g_02861
OG0000226	Prau.g_00352	Syag.g_02865
OG0000227	Prau.g_00354	Syag.g_02867
OG0000228	Prau.g_00357	Syag.g_00004
OG0000229	Prau.g_00477	Syag.g_00033
OG0000230	Prau.g_00479	Syag.g_00035
OG0000231	Prau.g_00490	Syag.g_00048
OG0000232	Prau.g_00499	Syag.g_00059
OG0000233	Prau.g_00505	Syag.g_01330
OG0000234	Prau.g_00517	Syag.g_01358
OG0000235	Prau.g_00520	Syag.g_01529
OG0000236	Prau.g_00534	Syag.g_01513
OG0000237	Prau.g_00547	Syag.g_01495
OG0000238	Prau.g_00553	Syag.g_01490
OG0000239	Prau.g_00565	Syag.g_01472
OG0000240	Prau.g_00566	Syag.g_01471
OG0000241	Prau.g_00570	Syag.g_00396
OG0000242	Prau.g_00572	Syag.g_01456
OG0000243	Prau.g_00583	Syag.g_00255
OG0000244	Prau.g_00586	Syag.g_00268
OG0000245	Prau.g_00588	Syag.g_00270
OG0000246	Prau.g_00592	Syag.g_00274
OG0000247	Prau.g_00602	Syag.g_00286
OG0000248	Prau.g_00604	Syag.g_00289
OG0000249	Prau.g_00606	Syag.g_00291
OG0000250	Prau.g_00611	Syag.g_00299
OG0000251	Prau.g_00629	Syag.g_00328
OG0000252	Prau.g_00632	Syag.g_00331
OG0000253	Prau.g_00633	Syag.g_00333
OG0000254	Prau.g_00649	Syag.g_00356
OG0000255	Prau.g_00655	Syag.g_00369
OG0000256	Prau.g_00667	Syag.g_00385
OG0000257	Prau.g_00670	Syag.g_00395
OG0000258	Prau.g_00683	Syag.g_00423
OG0000259	Prau.g_00700	Syag.g_00560
OG0000260	Prau.g_00703	Syag.g_00570
OG0000261	Prau.g_00705	Syag.g_00581
OG0000262	Prau.g_00709	Syag.g_00586
OG0000263	Prau.g_00721	Syag.g_01079
OG0000264	Prau.g_00731	Syag.g_01011
OG0000265	Prau.g_00755	Syag.g_01021
OG0000266	Prau.g_00765	Syag.g_00907
OG0000267	Prau.g_00776	Syag.g_00762
OG0000268	Prau.g_00777	Syag.g_00763
OG0000269	Prau.g_00849	Syag.g_00662
OG0000270	Prau.g_00852	Syag.g_00665
OG0000271	Prau.g_00860	Syag.g_00673
OG0000273	Prau.g_00884	Syag.g_00713
OG0000274	Prau.g_00885	Syag.g_00714
OG0000275	Prau.g_00887	Syag.g_00717
OG0000276	Prau.g_00892	Syag.g_00723
OG0000277	Prau.g_00893	Syag.g_00724
OG0000278	Prau.g_00896	Syag.g_00727
OG0000279	Prau.g_00904	Syag.g_00735
OG0000280	Prau.g_00905	Syag.g_00741
OG0000281	Prau.g_00910	Syag.g_00572
OG0000282	Prau.g_00958	Syag.g_00611
OG0000283	Prau.g_00992	Syag.g_00775
OG0000284	Prau.g_00997	Syag.g_00780
OG0000285	Prau.g_01002	Syag.g_00791
OG0000286	Prau.g_01014	Syag.g_00809
OG0000287	Prau.g_01031	Syag.g_00838
OG0000288	Prau.g_01062	Syag.g_00869
OG0000289	Prau.g_01073	Syag.g_00884
OG0000290	Prau.g_01086	Syag.g_00970
OG0000291	Prau.g_01088	Syag.g_00972
OG0000292	Prau.g_01136	Syag.g_02265
OG0000293	Prau.g_01198	Syag.g_01155
OG0000294	Prau.g_01199	Syag.g_01154
OG0000295	Prau.g_01218	Syag.g_01115
OG0000296	Prau.g_01220	Syag.g_01113
OG0000297	Prau.g_01228	Syag.g_01099
OG0000298	Prau.g_01229	Syag.g_01098
OG0000299	Prau.g_01246	Syag.g_01067
OG0000300	Prau.g_01249	Syag.g_01062
OG0000301	Prau.g_01250	Syag.g_01061
OG0000302	Prau.g_01252	Syag.g_01060
OG0000303	Prau.g_01259	Syag.g_01048
OG0000304	Prau.g_01263	Syag.g_01041
OG0000305	Prau.g_01401	Syag.g_00977
OG0000306	Prau.g_01404	Syag.g_00460
OG0000307	Prau.g_01418	Syag.g_01546
OG0000308	Prau.g_01419	Syag.g_01548
OG0000309	Prau.g_01423	Syag.g_01553
OG0000310	Prau.g_01513	Syag.g_01291
OG0000311	Prau.g_01515	Syag.g_01300
OG0000312	Prau.g_01518	Syag.g_01434
OG0000313	Prau.g_01535	Syag.g_00966, Syag.g_01412
OG0000314	Prau.g_01558	Syag.g_01380
OG0000315	Prau.g_01568	Syag.g_01369
OG0000316	Prau.g_01588	Syag.g_01641
OG0000317	Prau.g_01730	Syag.g_01684
OG0000318	Prau.g_01733	Syag.g_01688
OG0000319	Prau.g_01746	Syag.g_01710
OG0000320	Prau.g_01748	Syag.g_01712
OG0000321	Prau.g_01749	Syag.g_01713
OG0000322	Prau.g_01750	Syag.g_01714
OG0000323	Prau.g_01759	Syag.g_01728
OG0000324	Prau.g_01785	Syag.g_01757
OG0000325	Prau.g_01795	Syag.g_02690
OG0000326	Prau.g_01801	Syag.g_02698
