Orthogroup	Prab	Prae
OG0000000	Prab.g_00683	Prae.g_00652
OG0000001	Prab.g_01278	Prae.g_01222
OG0000001	Prab.g_01278	Prae.g_01579
OG0000001	Prab.g_01597	Prae.g_01222
OG0000001	Prab.g_01597	Prae.g_01579
OG0000001	Prab.g_01606	Prae.g_01300
OG0000002	Prab.g_00788	Prae.g_01236
OG0000003	Prab.g_01308	Prae.g_01308
OG0000004	Prab.g_00921	Prae.g_00735
OG0000004	Prab.g_00747	Prae.g_00742
OG0000004	Prab.g_01307	Prae.g_01297
OG0000005	Prab.g_01598	Prae.g_01580
OG0000006	Prab.g_00501	Prae.g_00471
OG0000006	Prab.g_01669	Prae.g_01623
OG0000007	Prab.g_00677	Prae.g_00646
OG0000008	Prab.g_00372	Prae.g_00383
OG0000008	Prab.g_00971	Prae.g_01264
OG0000009	Prab.g_00820	Prae.g_00786
OG0000009	Prab.g_00239	Prae.g_00252
OG0000010	Prab.g_01165	Prae.g_01110
OG0000011	Prab.g_00318	Prae.g_00331
OG0000012	Prab.g_00602	Prae.g_00572
OG0000013	Prab.g_00789	Prae.g_01235
OG0000015	Prab.g_00370	Prae.g_00381
OG0000016	Prab.g_01356	Prae.g_01364
OG0000017	Prab.g_01486	Prae.g_01479
OG0000018	Prab.g_00231	Prae.g_00244
OG0000019	Prab.g_00354	Prae.g_00364, Prae.g_01600
OG0000021	Prab.g_00822	Prae.g_00788
OG0000022	Prab.g_00915, Prab.g_01617	Prae.g_01310
OG0000023	Prab.g_01584	Prae.g_01270
OG0000024	Prab.g_00294	Prae.g_00307
OG0000026	Prab.g_00033	Prae.g_00033
OG0000027	Prab.g_00719	Prae.g_00738, Prae.g_01546
OG0000028	Prab.g_01466	Prae.g_01459
OG0000029	Prab.g_01585	Prae.g_01573
OG0000031	Prab.g_01304	Prae.g_01294
OG0000031	Prab.g_01643	Prae.g_01602
OG0000032	Prab.g_01446	Prae.g_01402
OG0000033	Prab.g_00013, Prab.g_01579	Prae.g_00013
OG0000034	Prab.g_01423	Prae.g_01416
OG0000035	Prab.g_01082	Prae.g_00894
OG0000036	Prab.g_00589	Prae.g_00559
OG0000037	Prab.g_00627	Prae.g_00597
OG0000038	Prab.g_00782	Prae.g_00764
OG0000039	Prab.g_00157	Prae.g_00169
OG0000040	Prab.g_00348	Prae.g_00359
OG0000042	Prab.g_00723	Prae.g_00711
OG0000043	Prab.g_00825	Prae.g_00791
OG0000044	Prab.g_01219	Prae.g_01422
OG0000045	Prab.g_01393	Prae.g_01417
OG0000046	Prab.g_01662	Prae.g_01616
OG0000047	Prab.g_01857	Prae.g_01815
OG0000048	Prab.g_01864	Prae.g_01822
OG0000050	Prab.g_00031, Prab.g_01629	Prae.g_00031
OG0000051	Prab.g_00148	Prae.g_00160
OG0000052	Prab.g_00359	Prae.g_00370
OG0000053	Prab.g_00543	Prae.g_00514
OG0000054	Prab.g_00775, Prab.g_00803	Prae.g_00758
OG0000055	Prab.g_00862	Prae.g_00828
OG0000056	Prab.g_01634	Prae.g_01322
OG0000057	Prab.g_00228	Prae.g_00240
OG0000058	Prab.g_00479	Prae.g_00449
OG0000059	Prab.g_00703	Prae.g_00672
OG0000060	Prab.g_01297	Prae.g_00740
OG0000061	Prab.g_00990	Prae.g_00984
OG0000062	Prab.g_01186	Prae.g_01130
OG0000063	Prab.g_00717	Prae.g_01263
OG0000065	Prab.g_01637, Prab.g_01326	Prae.g_01329
OG0000066	Prab.g_01447	Prae.g_01389
OG0000067	Prab.g_00799	Prae.g_01245
OG0000068	Prab.g_01802	Prae.g_01758
OG0000071	Prab.g_00011	Prae.g_00011
OG0000072	Prab.g_00310	Prae.g_00323
OG0000073	Prab.g_00674	Prae.g_00643
OG0000074	Prab.g_00696	Prae.g_00665
OG0000075	Prab.g_00847	Prae.g_00813
OG0000076	Prab.g_00929, Prab.g_01299	Prae.g_01040
OG0000078	Prab.g_01394	Prae.g_01390
OG0000079	Prab.g_01544	Prae.g_01537
OG0000080	Prab.g_00922, Prab.g_01290	Prae.g_01588
OG0000081	Prab.g_01832	Prae.g_01789
OG0000082	Prab.g_01920	Prae.g_01877
OG0000083	Prab.g_00003	Prae.g_00003
OG0000084	Prab.g_00006	Prae.g_00006
OG0000085	Prab.g_00023	Prae.g_00023
OG0000087	Prab.g_00048	Prae.g_00051
OG0000088	Prab.g_00104	Prae.g_00112
OG0000089	Prab.g_00112	Prae.g_00121
OG0000090	Prab.g_00129	Prae.g_00139
OG0000091	Prab.g_00160	Prae.g_00172, Prae.g_01396
OG0000092	Prab.g_00161	Prae.g_00173
OG0000093	Prab.g_00175	Prae.g_00187
OG0000094	Prab.g_00193	Prae.g_00205
OG0000095	Prab.g_00198	Prae.g_00210
OG0000096	Prab.g_00241	Prae.g_00254
OG0000097	Prab.g_00262	Prae.g_01440
OG0000098	Prab.g_00272	Prae.g_00285
OG0000099	Prab.g_00282	Prae.g_00295
OG0000100	Prab.g_00285	Prae.g_00298
OG0000101	Prab.g_00344	Prae.g_00356
OG0000102	Prab.g_00371	Prae.g_00382
OG0000103	Prab.g_00480	Prae.g_00450
OG0000104	Prab.g_00484	Prae.g_00454
OG0000105	Prab.g_00503	Prae.g_00473
OG0000106	Prab.g_00536	Prae.g_00506
OG0000107	Prab.g_00537	Prae.g_00508
OG0000108	Prab.g_00547	Prae.g_00518
OG0000109	Prab.g_00556	Prae.g_00527
OG0000110	Prab.g_00573	Prae.g_01301
OG0000111	Prab.g_00656	Prae.g_00625
OG0000112	Prab.g_00657	Prae.g_00626
OG0000113	Prab.g_00745	Prae.g_00733
OG0000114	Prab.g_00838	Prae.g_00804
OG0000115	Prab.g_01010	Prae.g_00964
OG0000116	Prab.g_01006	Prae.g_00968
OG0000117	Prab.g_00932	Prae.g_01037
OG0000118	Prab.g_01144	Prae.g_01090
OG0000119	Prab.g_01189	Prae.g_01133
OG0000120	Prab.g_01225	Prae.g_01169
OG0000121	Prab.g_01244	Prae.g_01188
OG0000122	Prab.g_01263	Prae.g_01207
OG0000123	Prab.g_01276	Prae.g_01220
OG0000124	Prab.g_01284	Prae.g_01434
OG0000125	Prab.g_01338	Prae.g_01341
OG0000126	Prab.g_01360	Prae.g_01368
OG0000127	Prab.g_01453	Prae.g_01446
OG0000128	Prab.g_01467	Prae.g_01460
OG0000129	Prab.g_01503	Prae.g_01496
OG0000130	Prab.g_01667	Prae.g_01621
OG0000131	Prab.g_01705	Prae.g_01659
OG0000132	Prab.g_01708	Prae.g_01662
OG0000133	Prab.g_01761	Prae.g_01717
OG0000134	Prab.g_01797	Prae.g_01753
OG0000135	Prab.g_01799	Prae.g_01755
OG0000136	Prab.g_01842	Prae.g_01800
OG0000137	Prab.g_01874	Prae.g_01832
OG0000138	Prab.g_01910	Prae.g_01867
OG0000139	Prab.g_01937	Prae.g_01894
OG0000140	Prab.g_00001	Prae.g_00001
OG0000141	Prab.g_00002	Prae.g_00002
OG0000142	Prab.g_00004	Prae.g_00004
OG0000143	Prab.g_00005	Prae.g_00005
OG0000144	Prab.g_00007	Prae.g_00007
OG0000145	Prab.g_00008	Prae.g_00008
OG0000146	Prab.g_00009	Prae.g_00009
OG0000147	Prab.g_00010	Prae.g_00010
OG0000148	Prab.g_00012	Prae.g_00012
OG0000149	Prab.g_00014	Prae.g_00014
OG0000150	Prab.g_00015	Prae.g_00015
OG0000151	Prab.g_00016	Prae.g_00016
OG0000152	Prab.g_00017	Prae.g_00017
OG0000153	Prab.g_00018	Prae.g_00018
OG0000154	Prab.g_00019	Prae.g_00019
OG0000155	Prab.g_00020	Prae.g_00020
OG0000156	Prab.g_00021	Prae.g_00021
OG0000157	Prab.g_00022	Prae.g_00022
OG0000158	Prab.g_00024	Prae.g_00024
OG0000159	Prab.g_00025	Prae.g_00025
OG0000160	Prab.g_00026	Prae.g_00026
OG0000161	Prab.g_00027	Prae.g_00027
OG0000162	Prab.g_00028	Prae.g_00028
OG0000163	Prab.g_00029	Prae.g_00029
OG0000164	Prab.g_00032	Prae.g_00032
OG0000165	Prab.g_00035	Prae.g_00035
OG0000166	Prab.g_00036	Prae.g_00036
OG0000167	Prab.g_00037	Prae.g_00037
OG0000168	Prab.g_00039	Prae.g_00042
OG0000169	Prab.g_00041	Prae.g_00044
OG0000170	Prab.g_00042	Prae.g_00045
OG0000171	Prab.g_00043	Prae.g_00046
OG0000172	Prab.g_00044	Prae.g_00047
OG0000173	Prab.g_00045	Prae.g_00048
OG0000174	Prab.g_00046	Prae.g_00049
OG0000175	Prab.g_00047	Prae.g_00050
OG0000176	Prab.g_00049	Prae.g_00052
