Orthogroup	Pray	Syan
OG0000001	Pray.g_01844	Syan.g_02267, Syan.g_02266, Syan.g_01149, Syan.g_02528
OG0000004	Pray.g_01068	Syan.g_00183
OG0000004	Pray.g_00713	Syan.g_00989
OG0000005	Pray.g_01546	Syan.g_01423
OG0000005	Pray.g_01646	Syan.g_01378
OG0000006	Pray.g_00722	Syan.g_00791, Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Pray.g_00988, Pray.g_00987	Syan.g_02743
OG0000007	Pray.g_01559	Syan.g_01400
OG0000008	Pray.g_01931	Syan.g_00640, Syan.g_02532
OG0000009	Pray.g_01920, Pray.g_01610, Pray.g_00184	Syan.g_02972
OG0000010	Pray.g_00592	Syan.g_02847
OG0000012	Pray.g_01140	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000013	Pray.g_00805	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Pray.g_00784	Syan.g_01987
OG0000015	Pray.g_00309	Syan.g_01691, Syan.g_00248
OG0000016	Pray.g_01475	Syan.g_01766
OG0000017	Pray.g_01165	Syan.g_01006, Syan.g_01013
OG0000018	Pray.g_00083	Syan.g_02816
OG0000019	Pray.g_00730, Pray.g_00328	Syan.g_02088
OG0000021	Pray.g_01578, Pray.g_00842	Syan.g_01001
OG0000022	Pray.g_00101	Syan.g_00089
OG0000023	Pray.g_00838	Syan.g_00404
OG0000025	Pray.g_00809, Pray.g_00383	Syan.g_00374
OG0000026	Pray.g_01493, Pray.g_00599	Syan.g_01743
OG0000027	Pray.g_00960, Pray.g_01887	Syan.g_02678
OG0000028	Pray.g_01935, Pray.g_00798	Syan.g_01971
OG0000030	Pray.g_01374	Syan.g_01884, Syan.g_01883
OG0000031	Pray.g_01806	Syan.g_01967
OG0000032	Pray.g_01782	Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000034	Pray.g_01860	Syan.g_01227, Syan.g_03003
OG0000035	Pray.g_01722	Syan.g_01279, Syan.g_01276
OG0000037	Pray.g_00180	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Pray.g_01415	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Pray.g_01077	Syan.g_02771, Syan.g_00535
OG0000040	Pray.g_00084	Syan.g_01651
OG0000042	Pray.g_01371	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Pray.g_00002	Syan.g_00431, Syan.g_00435, Syan.g_01065
OG0000045	Pray.g_00849	Syan.g_00151
OG0000048	Pray.g_00852	Syan.g_02036
OG0000053	Pray.g_01702	Syan.g_02812
