Orthogroup	Praj	Syaa
OG0000004	Praj.g_01396	Syaa.g_00892
OG0000004	Praj.g_00271	Syaa.g_01667, Syaa.g_02116
OG0000005	Praj.g_01349	Syaa.g_00534
OG0000005	Praj.g_01712	Syaa.g_00573
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Praj.g_00489	Syaa.g_02032
OG0000007	Praj.g_01768	Syaa.g_00551
OG0000008	Praj.g_01829	Syaa.g_00918
OG0000008	Praj.g_01830	Syaa.g_00919
OG0000010	Praj.g_01026, Praj.g_00466	Syaa.g_01843
OG0000013	Praj.g_00362	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Praj.g_00341	Syaa.g_00222
OG0000014	Praj.g_01609	Syaa.g_00481
OG0000015	Praj.g_01113	Syaa.g_01079, Syaa.g_01989
OG0000016	Praj.g_00013	Syaa.g_00014
OG0000016	Praj.g_01865	Syaa.g_00981, Syaa.g_01481
OG0000017	Praj.g_00592	Syaa.g_01890
OG0000018	Praj.g_01482, Praj.g_00798	Syaa.g_01801
OG0000019	Praj.g_00747	Syaa.g_00307
OG0000021	Praj.g_00084	Syaa.g_02627
OG0000022	Praj.g_01189, Praj.g_01216	Syaa.g_01571
OG0000023	Praj.g_01365, Praj.g_01329	Syaa.g_01529, Syaa.g_01216
OG0000024	Praj.g_01134, Praj.g_00666	Syaa.g_00922
OG0000025	Praj.g_00805	Syaa.g_00839
OG0000026	Praj.g_00031	Syaa.g_00038
OG0000027	Praj.g_01331	Syaa.g_01605, Syaa.g_00854
OG0000028	Praj.g_01571	Syaa.g_00205
OG0000029	Praj.g_01745	Syaa.g_01578
OG0000030	Praj.g_02024	Syaa.g_00099, Syaa.g_00098
OG0000031	Praj.g_00371	Syaa.g_00480
OG0000032	Praj.g_01669	Syaa.g_01818
OG0000033	Praj.g_00209	Syaa.g_02478
OG0000034	Praj.g_01538	Syaa.g_00722, Syaa.g_02444
OG0000035	Praj.g_01632	Syaa.g_01773
OG0000037	Praj.g_00147	Syaa.g_02384
OG0000038	Praj.g_02089	Syaa.g_02596
OG0000039	Praj.g_00679	Syaa.g_00846
OG0000040	Praj.g_01844, Praj.g_01735	Syaa.g_01606
OG0000041	Praj.g_01813	Syaa.g_00660
OG0000042	Praj.g_02020	Syaa.g_00103
OG0000043	Praj.g_01157	Syaa.g_01437
OG0000045	Praj.g_01303	Syaa.g_01518
OG0000045	Praj.g_01049	Syaa.g_01560
OG0000046	Praj.g_00363	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205
OG0000047	Praj.g_00408, Praj.g_00370	Syaa.g_02189
OG0000048	Praj.g_00308	Syaa.g_02719, Syaa.g_00275
OG0000050	Praj.g_01398	Syaa.g_01591
OG0000053	Praj.g_01651	Syaa.g_01797
OG0000054	Praj.g_00594	Syaa.g_01691
OG0000055	Praj.g_00733	Syaa.g_00852
OG0000055	Praj.g_01842	Syaa.g_01564
OG0000057	Praj.g_00691, Praj.g_01313	Syaa.g_00889
OG0000058	Praj.g_00839	Syaa.g_00193
OG0000059	Praj.g_01892	Syaa.g_02315
OG0000060	Praj.g_01108	Syaa.g_01007
OG0000061	Praj.g_01461	Syaa.g_00770
OG0000063	Praj.g_01867	Syaa.g_00042
OG0000065	Praj.g_00145	Syaa.g_02380
OG0000066	Praj.g_00530	Syaa.g_01968
OG0000067	Praj.g_00769	Syaa.g_01154
OG0000068	Praj.g_01575	Syaa.g_02059
OG0000069	Praj.g_01276, Praj.g_01675	Syaa.g_01256
OG0000070	Praj.g_00444	Syaa.g_00718
OG0000071	Praj.g_01528	Syaa.g_00735
OG0000072	Praj.g_00211	Syaa.g_02480
OG0000073	Praj.g_00491	Syaa.g_02030
OG0000074	Praj.g_01060, Praj.g_00870, Praj.g_00674	Syaa.g_00372
OG0000075	Praj.g_01987	Syaa.g_00157
OG0000076	Praj.g_02012	Syaa.g_00123
OG0000077	Praj.g_00116	Syaa.g_00341
OG0000078	Praj.g_00280	Syaa.g_02103
OG0000079	Praj.g_00291	Syaa.g_00303
OG0000081	Praj.g_00522	Syaa.g_02089
OG0000082	Praj.g_01827	Syaa.g_01905
OG0000084	Praj.g_01628	Syaa.g_01770
OG0000085	Praj.g_01762	Syaa.g_00564
OG0000086	Praj.g_00126	Syaa.g_00324
OG0000087	Praj.g_00179	Syaa.g_02433
OG0000088	Praj.g_00206	Syaa.g_02474
OG0000089	Praj.g_00403	Syaa.g_02149
OG0000090	Praj.g_00524	Syaa.g_01980
OG0000091	Praj.g_00630	Syaa.g_01625
OG0000097	Praj.g_01416	Syaa.g_00979
OG0000099	Praj.g_00372	Syaa.g_00202
OG0000100	Praj.g_01709	Syaa.g_01201
OG0000101	Praj.g_01952	Syaa.g_02249
OG0000102	Praj.g_02017	Syaa.g_00118
OG0000103	Praj.g_02135	Syaa.g_02740
OG0000104	Praj.g_02145	Syaa.g_02754
OG0000105	Praj.g_00310	Syaa.g_00270
OG0000106	Praj.g_01156, Praj.g_01282	Syaa.g_01439
OG0000107	Praj.g_01869	Syaa.g_02351
OG0000108	Praj.g_00473	Syaa.g_02051
OG0000109	Praj.g_00486	Syaa.g_02036
OG0000110	Praj.g_00565	Syaa.g_01918
OG0000111	Praj.g_00692	Syaa.g_00888
OG0000112	Praj.g_00938	Syaa.g_01366
OG0000113	Praj.g_00793, Praj.g_01176	Syaa.g_01196
OG0000114	Praj.g_00887	Syaa.g_01094
OG0000115	Praj.g_01725	Syaa.g_01795
OG0000116	Praj.g_01471	Syaa.g_00757
OG0000117	Praj.g_01355	Syaa.g_01009
OG0000118	Praj.g_01540	Syaa.g_01874
OG0000119	Praj.g_01568	Syaa.g_00785
OG0000120	Praj.g_00664	Syaa.g_00201
OG0000121	Praj.g_01634	Syaa.g_01777
OG0000122	Praj.g_01673	Syaa.g_01598
OG0000123	Praj.g_01959	Syaa.g_02242
OG0000124	Praj.g_02031	Syaa.g_00092
OG0000125	Praj.g_02091	Syaa.g_02598
OG0000126	Praj.g_02144	Syaa.g_02752
OG0000128	Praj.g_00011	Syaa.g_00012
OG0000129	Praj.g_00048	Syaa.g_02586
OG0000130	Praj.g_00107	Syaa.g_00354
OG0000131	Praj.g_00185	Syaa.g_02448
OG0000132	Praj.g_00204	Syaa.g_02472
OG0000133	Praj.g_00357	Syaa.g_01361
OG0000134	Praj.g_00405	Syaa.g_02146
OG0000135	Praj.g_01279	Syaa.g_02649
OG0000136	Praj.g_00435	Syaa.g_00708
OG0000137	Praj.g_00467	Syaa.g_01842
OG0000138	Praj.g_00487	Syaa.g_02035
OG0000139	Praj.g_00528	Syaa.g_01974
OG0000140	Praj.g_00529	Syaa.g_01971
OG0000141	Praj.g_00595	Syaa.g_01689
OG0000142	Praj.g_00623	Syaa.g_01633
OG0000143	Praj.g_00627	Syaa.g_01629
OG0000144	Praj.g_00640	Syaa.g_01446
OG0000145	Praj.g_01054	Syaa.g_02029
OG0000146	Praj.g_00937	Syaa.g_01367
OG0000147	Praj.g_00936	Syaa.g_01368
OG0000148	Praj.g_00787	Syaa.g_01190
OG0000149	Praj.g_00819	Syaa.g_00826
OG0000150	Praj.g_00828	Syaa.g_01688
OG0000151	Praj.g_00898	Syaa.g_01107
OG0000152	Praj.g_01601, Praj.g_00946	Syaa.g_01357
OG0000153	Praj.g_00965	Syaa.g_01324
