Orthogroup	Syaq	Prba
OG0000001	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413	Prba.g_00211
OG0000004	Syaq.g_02603	Prba.g_01622
OG0000004	Syaq.g_02042, Syaq.g_01567	Prba.g_00451
OG0000005	Syaq.g_01658	Prba.g_00607
OG0000005	Syaq.g_01692	Prba.g_00312
OG0000006	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590	Prba.g_00460
OG0000007	Syaq.g_01793	Prba.g_00964
OG0000007	Syaq.g_01673	Prba.g_00226
OG0000008	Syaq.g_02162	Prba.g_01131
OG0000009	Syaq.g_01489	Prba.g_01893
OG0000010	Syaq.g_00443	Prba.g_01256
OG0000011	Syaq.g_01038	Prba.g_01132
OG0000012	Syaq.g_02059, Syaq.g_00077	Prba.g_01694
OG0000013	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023	Prba.g_00543
OG0000014	Syaq.g_00862	Prba.g_00522
OG0000015	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255	Prba.g_01538
OG0000016	Syaq.g_01136	Prba.g_01806
OG0000017	Syaq.g_01992, Syaq.g_01999	Prba.g_01719
OG0000018	Syaq.g_00401	Prba.g_00083
OG0000019	Syaq.g_00717	Prba.g_00468, Prba.g_01519
OG0000022	Syaq.g_02126	Prba.g_00101
OG0000023	Syaq.g_02540	Prba.g_00854
OG0000025	Syaq.g_02381	Prba.g_00547, Prba.g_01464
OG0000026	Syaq.g_01114	Prba.g_01824, Prba.g_01249
OG0000028	Syaq.g_00878	Prba.g_01126, Prba.g_00536
OG0000030	Syaq.g_01047, Syaq.g_01048	Prba.g_00778
OG0000031	Syaq.g_01009	Prba.g_00173
OG0000032	Syaq.g_00909	Prba.g_00149
OG0000034	Syaq.g_00312, Syaq.g_01431	Prba.g_01202
OG0000035	Syaq.g_00372, Syaq.g_00371	Prba.g_00713
OG0000037	Syaq.g_01483	Prba.g_01897
OG0000038	Syaq.g_01260, Syaq.g_01258	Prba.g_00819
OG0000039	Syaq.g_01601, Syaq.g_01241	Prba.g_01631
OG0000042	Syaq.g_00200, Syaq.g_01044	Prba.g_00775
OG0000044	Syaq.g_00107, Syaq.g_02701	Prba.g_00002
OG0000045	Syaq.g_02047	Prba.g_00865
OG0000048	Syaq.g_00749	Prba.g_00868
OG0000052	Syaq.g_00935	Prba.g_00160
OG0000053	Syaq.g_00397	Prba.g_00693
OG0000054	Syaq.g_02005	Prba.g_01711
OG0000055	Syaq.g_02700	Prba.g_01518
OG0000057	Syaq.g_02541, Syaq.g_02605	Prba.g_01619
OG0000058	Syaq.g_00944	Prba.g_00153
OG0000059	Syaq.g_00657	Prba.g_00381
OG0000061	Syaq.g_00249	Prba.g_00064
OG0000062	Syaq.g_01690	Prba.g_00310
OG0000063	Syaq.g_01110	Prba.g_01826
OG0000065	Syaq.g_01487, Syaq.g_01908	Prba.g_01895
OG0000066	Syaq.g_01851	Prba.g_00922
OG0000067	Syaq.g_02340, Syaq.g_02560	Prba.g_01499
OG0000068	Syaq.g_01763	Prba.g_00196
OG0000070	Syaq.g_00484	Prba.g_01011
OG0000071	Syaq.g_00297	Prba.g_01192
OG0000072	Syaq.g_01397	Prba.g_00627
OG0000073	Syaq.g_01795	Prba.g_00962
OG0000075	Syaq.g_00986	Prba.g_01071
OG0000076	Syaq.g_01028	Prba.g_00768
OG0000077	Syaq.g_01547	Prba.g_01866
OG0000078	Syaq.g_01585	Prba.g_00458
OG0000079	Syaq.g_00721	Prba.g_00471
OG0000081	Syaq.g_01893	Prba.g_00930
OG0000082	Syaq.g_01975	Prba.g_01731
OG0000084	Syaq.g_00367	Prba.g_00717
OG0000085	Syaq.g_01683	Prba.g_00233
OG0000086	Syaq.g_01525	Prba.g_01876
OG0000087	Syaq.g_01438	Prba.g_01927
OG0000088	Syaq.g_01402	Prba.g_00622
