Orthogroup	Prag	Syar
OG0000001	Prag.g_01374	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prag.g_00673	Syar.g_02051
OG0000004	Prag.g_00225	Syar.g_02225, Syar.g_00842
OG0000005	Prag.g_01682	Syar.g_02952
OG0000005	Prag.g_01566	Syar.g_02909
OG0000006	Prag.g_00234, Prag.g_01231	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prag.g_00476	Syar.g_01491
OG0000007	Prag.g_01669	Syar.g_02929
OG0000008	Prag.g_01655	Syar.g_02097
OG0000008	Prag.g_01656	Syar.g_02098
OG0000008	Prag.g_00650	Syar.g_00419, Syar.g_02048
OG0000009	Prag.g_00098	Syar.g_03116
OG0000010	Prag.g_01043	Syar.g_01272
OG0000012	Prag.g_00601	Syar.g_00690, Syar.g_02860
OG0000013	Prag.g_00318	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prag.g_00297	Syar.g_00825
OG0000015	Prag.g_00765	Syar.g_00451, Syar.g_00180
OG0000016	Prag.g_00013, Prag.g_01638	Syar.g_02859
OG0000017	Prag.g_00576	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Prag.g_01134	Syar.g_01409
OG0000019	Prag.g_00242, Prag.g_00786	Syar.g_00163
OG0000022	Prag.g_01116	Syar.g_00835
OG0000025	Prag.g_00322, Prag.g_00839	Syar.g_01811
OG0000026	Prag.g_00031, Prag.g_01050	Syar.g_00505
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syar.g_02055, Syar.g_02835
OG0000028	Prag.g_01270, Prag.g_00311	Syar.g_00718
OG0000032	Prag.g_01416	Syar.g_00543
OG0000034	Prag.g_01365	Syar.g_00074, Syar.g_02790
OG0000035	Prag.g_01490, Prag.g_01488	Syar.g_02809
OG0000037	Prag.g_00102	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prag.g_01911	Syar.g_00334, Syar.g_00336
OG0000039	Prag.g_00664	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Prag.g_01630	Syar.g_02831
OG0000040	Prag.g_01133	Syar.g_00858
