Orthogroup	Syas	Syao
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syas.g_00176	Syao.g_02374
OG0000004	Syas.g_00509	Syao.g_01271
OG0000004	Syas.g_00174, Syas.g_00311	Syao.g_01007
OG0000005	Syas.g_02665	Syao.g_01680
OG0000005	Syas.g_01048	Syao.g_00293
OG0000005	Syas.g_02704	Syao.g_01578
OG0000006	Syas.g_00942	Syao.g_01518
OG0000007	Syas.g_01232	Syao.g_00105
OG0000007	Syas.g_02681	Syao.g_01554
OG0000008	Syas.g_00887	Syao.g_01321
OG0000009	Syas.g_01450	Syao.g_02598
OG0000010	Syas.g_01334	Syao.g_02683
OG0000012	Syas.g_00111	Syao.g_01335
OG0000012	Syas.g_00827	Syao.g_01045
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Syao.g_01222
OG0000014	Syas.g_01816	Syao.g_02027
OG0000015	Syas.g_02007, Syas.g_00968	Syao.g_02339
OG0000016	Syas.g_02048	Syao.g_01955
OG0000017	Syas.g_00856	Syao.g_01064
OG0000017	Syas.g_00849	Syao.g_00997
OG0000018	Syas.g_01290	Syao.g_00071
OG0000019	Syas.g_01696	Syao.g_02108
OG0000022	Syas.g_02758	Syao.g_01218
OG0000025	Syas.g_00231	Syao.g_00436, Syao.g_00437
OG0000026	Syas.g_02070	Syao.g_02234
OG0000027	Syas.g_01480	Syao.g_00202
OG0000028	Syas.g_01793	Syao.g_02012
OG0000030	Syas.g_01644	Syao.g_02189
OG0000030	Syas.g_01645	Syao.g_02188
OG0000031	Syas.g_01827	Syao.g_02008
OG0000033	Syas.g_02328	Syao.g_02507
OG0000035	Syas.g_02818	Syao.g_01486
OG0000038	Syas.g_01885	Syao.g_02440
OG0000038	Syas.g_01887	Syao.g_02442
OG0000040	Syas.g_01972	Syao.g_00711
OG0000041	Syas.g_00996	Syao.g_00509
OG0000042	Syas.g_01121	Syao.g_00019
OG0000042	Syas.g_02147	Syao.g_01941
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syao.g_01845
OG0000048	Syas.g_01734	Syao.g_02077
OG0000051	Syas.g_01445	Syao.g_01261
OG0000053	Syas.g_01287	Syao.g_00067
OG0000054	Syas.g_00957	Syao.g_00625
OG0000055	Syas.g_00203	Syao.g_00498
OG0000057	Syas.g_01038	Syao.g_00377
OG0000058	Syas.g_01151	Syao.g_01080
OG0000059	Syas.g_01639	Syao.g_01801
OG0000060	Syas.g_00975	Syao.g_00312
OG0000061	Syas.g_01184	Syao.g_00123
OG0000062	Syas.g_02702	Syao.g_01576
OG0000063	Syas.g_02074	Syao.g_02230
OG0000064	Syas.g_02423	Syao.g_01462, Syao.g_02605
OG0000065	Syas.g_02420	Syao.g_02600
OG0000066	Syas.g_00094	Syao.g_01422
OG0000067	Syas.g_00596	Syao.g_00756
OG0000068	Syas.g_00969	Syao.g_00868
OG0000069	Syas.g_00876	Syao.g_01460
OG0000070	Syas.g_00173	Syao.g_00330
OG0000071	Syas.g_02854	Syao.g_01433
OG0000072	Syas.g_02326	Syao.g_02509
OG0000072	Syas.g_01524	Syao.g_01749
OG0000073	Syas.g_01230	Syao.g_00103
OG0000075	Syas.g_01921, Syas.g_02194	Syao.g_02257
OG0000076	Syas.g_02156	Syao.g_01949
OG0000077	Syas.g_02510	Syao.g_02629
OG0000078	Syas.g_02561	Syao.g_01709
OG0000079	Syas.g_01699	Syao.g_02105
OG0000080	Syas.g_02616, Syas.g_02149	Syao.g_02269
OG0000082	Syas.g_00837	Syao.g_01035
OG0000085	Syas.g_02695	Syao.g_01569
OG0000086	Syas.g_02470	Syao.g_02653, Syao.g_01240
OG0000087	Syas.g_02374	Syao.g_02555
OG0000089	Syas.g_01512	Syao.g_01716
OG0000090	Syas.g_00062	Syao.g_01412
OG0000092	Syas.g_00900, Syas.g_00877	Syao.g_00656
OG0000094	Syas.g_00208	Syao.g_00458
OG0000095	Syas.g_01021	Syao.g_00331
OG0000097	Syas.g_01443	Syao.g_00973
OG0000098	Syas.g_00091	Syao.g_01374
OG0000099	Syas.g_01826	Syao.g_02019
OG0000100	Syas.g_00567	Syao.g_00787
OG0000101	Syas.g_01589	Syao.g_01840
OG0000102	Syas.g_02152, Syas.g_01395	Syao.g_01945
OG0000103	Syas.g_02009	Syao.g_02340
OG0000104	Syas.g_02027	Syao.g_02157
OG0000105	Syas.g_01739	Syao.g_02071, Syao.g_02072
OG0000106	Syas.g_01451	Syao.g_01385
OG0000107	Syas.g_01669	Syao.g_01935
OG0000108	Syas.g_01253	Syao.g_00028
OG0000109	Syas.g_01236	Syao.g_00110
OG0000110	Syas.g_00818	Syao.g_01051
OG0000111	Syas.g_01037	Syao.g_00378
OG0000112	Syas.g_00452	Syao.g_00683, Syao.g_00303
OG0000113	Syas.g_00571	Syao.g_00782
OG0000114	Syas.g_00674	Syao.g_00965
OG0000115	Syas.g_02548, Syas.g_01285	Syao.g_00065
OG0000116	Syas.g_01198, Syas.g_00317	Syao.g_00137
OG0000117	Syas.g_01122	Syao.g_00169
OG0000118	Syas.g_02835	Syao.g_01475
OG0000120	Syas.g_01828	Syao.g_02009
OG0000121	Syas.g_02821	Syao.g_01489
OG0000122	Syas.g_00393	Syao.g_01247
OG0000123	Syas.g_01582	Syao.g_01832
OG0000124	Syas.g_02137	Syao.g_02179
OG0000125	Syas.g_01889	Syao.g_02444
OG0000127	Syas.g_02540	Syao.g_02375, Syao.g_01143
OG0000128	Syas.g_02046	Syao.g_02149
OG0000130	Syas.g_02522	Syao.g_02617
OG0000131	Syas.g_02367	Syao.g_02480
OG0000132	Syas.g_02334	Syao.g_02501
