Orthogroup	Syaa	Syap
OG0000001	Syaa.g_02439	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syaa.g_02116	Syap.g_01987
OG0000005	Syaa.g_00534	Syap.g_01773
OG0000005	Syaa.g_00573	Syap.g_01218
OG0000006	Syaa.g_01611	Syap.g_02770
OG0000007	Syaa.g_02032	Syap.g_00275
OG0000007	Syaa.g_00551	Syap.g_00621
OG0000009	Syaa.g_02378	Syap.g_02081
OG0000010	Syaa.g_01843	Syap.g_02757
OG0000013	Syaa.g_02217	Syap.g_00972
OG0000014	Syaa.g_00222	Syap.g_01675
OG0000014	Syaa.g_00481	Syap.g_00813
OG0000015	Syaa.g_02739	Syap.g_02606
OG0000016	Syaa.g_00014	Syap.g_00071
OG0000018	Syaa.g_01801	Syap.g_02010
OG0000019	Syaa.g_00307	Syap.g_01586
OG0000025	Syaa.g_00839	Syap.g_01846
OG0000027	Syaa.g_01605	Syap.g_01440
OG0000028	Syaa.g_00205	Syap.g_01658
OG0000030	Syaa.g_00099	Syap.g_00787
OG0000030	Syaa.g_00098	Syap.g_00788
OG0000031	Syaa.g_00200	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000033	Syaa.g_02478, Syaa.g_00485	Syap.g_01198
OG0000034	Syaa.g_00722, Syaa.g_02444	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syaa.g_01773	Syap.g_02125, Syap.g_02465
OG0000037	Syaa.g_02384	Syap.g_02492
OG0000039	Syaa.g_00846	Syap.g_01749, Syap.g_01748
OG0000040	Syaa.g_02690	Syap.g_01819
OG0000042	Syaa.g_00103	Syap.g_01891, Syap.g_01120
OG0000044	Syaa.g_00363	Syap.g_00378
OG0000045	Syaa.g_01518	Syap.g_02525
OG0000046	Syaa.g_02218	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syaa.g_00275, Syaa.g_02719	Syap.g_02340
OG0000051	Syaa.g_01531	Syap.g_01574
OG0000053	Syaa.g_01797	Syap.g_02006
OG0000054	Syaa.g_01502	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Syaa.g_01466, Syaa.g_00889	Syap.g_01569
OG0000058	Syaa.g_00193, Syaa.g_00455	Syap.g_02074
OG0000059	Syaa.g_02315	Syap.g_01918
OG0000060	Syaa.g_01007	Syap.g_00795
OG0000061	Syaa.g_00469	Syap.g_00870
OG0000061	Syaa.g_00770	Syap.g_00228
OG0000062	Syaa.g_00571	Syap.g_01220
OG0000063	Syaa.g_00042	Syap.g_01796
OG0000066	Syaa.g_01968	Syap.g_01972
OG0000067	Syaa.g_01154	Syap.g_00194
OG0000068	Syaa.g_02059	Syap.g_00108, Syap.g_00144
OG0000069	Syaa.g_01497	Syap.g_01543, Syap.g_01545
OG0000070	Syaa.g_00718	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syaa.g_02030	Syap.g_00273
OG0000075	Syaa.g_00157	Syap.g_01064, Syap.g_00664
OG0000076	Syaa.g_00123	Syap.g_01111
OG0000078	Syaa.g_02103	Syap.g_01149
OG0000079	Syaa.g_00303	Syap.g_01589
OG0000080	Syaa.g_00487	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Syaa.g_00564	Syap.g_00611
OG0000087	Syaa.g_02433	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syaa.g_02474	Syap.g_01202
OG0000089	Syaa.g_02149	Syap.g_00115, Syap.g_02042
OG0000090	Syaa.g_01980	Syap.g_01451
OG0000091	Syaa.g_01625	Syap.g_01861
OG0000094	Syaa.g_01288	Syap.g_02781
OG0000095	Syaa.g_00879	Syap.g_01556
OG0000098	Syaa.g_01970	Syap.g_01975
OG0000099	Syaa.g_00202	Syap.g_01385
OG0000102	Syaa.g_00118	Syap.g_01116
OG0000104	Syaa.g_02754	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syaa.g_00270	Syap.g_01369, Syap.g_01368
OG0000107	Syaa.g_02351	Syap.g_02496
OG0000108	Syaa.g_02051	Syap.g_00733, Syap.g_02255
OG0000109	Syaa.g_02036	Syap.g_00279, Syap.g_02237
OG0000110	Syaa.g_01918	Syap.g_01313
OG0000111	Syaa.g_00888	Syap.g_01566, Syap.g_01568
OG0000112	Syaa.g_01366	Syap.g_02023
OG0000113	Syaa.g_01196	Syap.g_02714
OG0000114	Syaa.g_01094	Syap.g_01255
OG0000115	Syaa.g_01795	Syap.g_02004
OG0000116	Syaa.g_00757	Syap.g_00241
OG0000117	Syaa.g_01009	Syap.g_01889
OG0000118	Syaa.g_01874	Syap.g_02286
OG0000120	Syaa.g_00201	Syap.g_02075
OG0000121	Syaa.g_01777	Syap.g_02471
OG0000123	Syaa.g_02242	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syaa.g_00092	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syaa.g_02598	Syap.g_01046, Syap.g_01047
OG0000126	Syaa.g_02752	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Syaa.g_00934	Syap.g_00736
OG0000127	Syaa.g_00377, Syaa.g_00390	Syap.g_00737, Syap.g_00735
OG0000128	Syaa.g_00012	Syap.g_00069
OG0000129	Syaa.g_02586	Syap.g_00130, Syap.g_00129
OG0000130	Syaa.g_00354	Syap.g_01688, Syap.g_01689
OG0000131	Syaa.g_02448	Syap.g_02189
OG0000132	Syaa.g_02472	Syap.g_01205
OG0000133	Syaa.g_01361	Syap.g_02017
OG0000134	Syaa.g_02146	Syap.g_02047
OG0000135	Syaa.g_02649	Syap.g_02090
OG0000136	Syaa.g_00708	Syap.g_00089
OG0000137	Syaa.g_01842	Syap.g_02756
OG0000138	Syaa.g_02035	Syap.g_00278
OG0000139	Syaa.g_01974	Syap.g_00410
OG0000140	Syaa.g_01971	Syap.g_01976
OG0000141	Syaa.g_01689	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syaa.g_01633	Syap.g_00895, Syap.g_00894
OG0000143	Syaa.g_01629	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syaa.g_01446	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syaa.g_02029	Syap.g_01860, Syap.g_01859
OG0000146	Syaa.g_01367	Syap.g_02024
OG0000147	Syaa.g_01368	Syap.g_02025
OG0000148	Syaa.g_01190	Syap.g_02720
OG0000149	Syaa.g_00826	Syap.g_00824
OG0000150	Syaa.g_01688	Syap.g_01540
OG0000151	Syaa.g_01107	Syap.g_00142
OG0000152	Syaa.g_01357	Syap.g_02012
OG0000153	Syaa.g_01324	Syap.g_02682
OG0000154	Syaa.g_01298	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syaa.g_00804	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syaa.g_00751	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syaa.g_00750	Syap.g_00249, Syap.g_00286
OG0000158	Syaa.g_00148	Syap.g_01075
OG0000159	Syaa.g_00456	Syap.g_00852
OG0000160	Syaa.g_01776	Syap.g_02470, Syap.g_02469
OG0000161	Syaa.g_01782	Syap.g_02476
OG0000162	Syaa.g_01788	Syap.g_02531
OG0000165	Syaa.g_00681	Syap.g_01381, Syap.g_01382
OG0000166	Syaa.g_02289	Syap.g_00512, Syap.g_01238
OG0000167	Syaa.g_00160	Syap.g_02080
OG0000168	Syaa.g_00145	Syap.g_01076
OG0000169	Syaa.g_00134	Syap.g_01049, Syap.g_01093
OG0000170	Syaa.g_00128	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syaa.g_00093	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syaa.g_00079	Syap.g_01143, Syap.g_00635
OG0000173	Syaa.g_00060	Syap.g_00982, Syap.g_00983
OG0000174	Syaa.g_02651	Syap.g_02092
OG0000175	Syaa.g_02726	Syap.g_02654
OG0000176	Syaa.g_00004	Syap.g_00059
OG0000177	Syaa.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Syaa.g_00006	Syap.g_00062
OG0000179	Syaa.g_00023	Syap.g_00077, Syap.g_02638
OG0000180	Syaa.g_00024	Syap.g_00078, Syap.g_02640
OG0000181	Syaa.g_00025	Syap.g_00079, Syap.g_02641
OG0000182	Syaa.g_00026	Syap.g_00080, Syap.g_02642
OG0000183	Syaa.g_00030	Syap.g_00084
OG0000184	Syaa.g_02578	Syap.g_01337
OG0000185	Syaa.g_02575	Syap.g_01322
OG0000186	Syaa.g_00359	Syap.g_01684
OG0000187	Syaa.g_00358	Syap.g_01686
OG0000188	Syaa.g_00334	Syap.g_02547
OG0000191	Syaa.g_02404	Syap.g_02233
OG0000192	Syaa.g_02410	Syap.g_02224
OG0000193	Syaa.g_02449	Syap.g_02187, Syap.g_02188
OG0000194	Syaa.g_02452	Syap.g_02183
OG0000196	Syaa.g_02469	Syap.g_01208, Syap.g_02167
OG0000197	Syaa.g_02470	Syap.g_01207, Syap.g_02166
OG0000198	Syaa.g_02471	Syap.g_01206
OG0000199	Syaa.g_02479	Syap.g_01197
OG0000200	Syaa.g_02496	Syap.g_01181
OG0000201	Syaa.g_02521	Syap.g_02265
OG0000202	Syaa.g_02522	Syap.g_02264
OG0000203	Syaa.g_02523	Syap.g_01601
OG0000204	Syaa.g_02524	Syap.g_01602
OG0000205	Syaa.g_02531	Syap.g_01616
OG0000206	Syaa.g_02538	Syap.g_01628
OG0000207	Syaa.g_02540	Syap.g_01426, Syap.g_00424
OG0000208	Syaa.g_02541	Syap.g_00426, Syap.g_01425
OG0000209	Syaa.g_02556	Syap.g_01906
OG0000210	Syaa.g_02557	Syap.g_01905
OG0000211	Syaa.g_02113	Syap.g_01160
OG0000212	Syaa.g_02102	Syap.g_02664
OG0000213	Syaa.g_00295	Syap.g_00107, Syap.g_01599
OG0000214	Syaa.g_00279	Syap.g_02344, Syap.g_02345
OG0000215	Syaa.g_00248	Syap.g_01347, Syap.g_01629
OG0000216	Syaa.g_00244	Syap.g_01634
OG0000217	Syaa.g_00240	Syap.g_01638
OG0000218	Syaa.g_00238	Syap.g_01641, Syap.g_01640
OG0000219	Syaa.g_00237	Syap.g_01642, Syap.g_01643
OG0000220	Syaa.g_00236	Syap.g_01645
OG0000221	Syaa.g_00229	Syap.g_01646
OG0000222	Syaa.g_00215	Syap.g_01669
OG0000223	Syaa.g_00192	Syap.g_02072, Syap.g_02073
OG0000224	Syaa.g_00183	Syap.g_02064
OG0000225	Syaa.g_02166	Syap.g_00553, Syap.g_00552
OG0000226	Syaa.g_02162	Syap.g_02029, Syap.g_02144
OG0000227	Syaa.g_02160	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syaa.g_02150	Syap.g_00116, Syap.g_02041
OG0000229	Syaa.g_00703	Syap.g_02059
OG0000230	Syaa.g_00705	Syap.g_02061
OG0000231	Syaa.g_00717	Syap.g_02533
OG0000232	Syaa.g_01858	Syap.g_02510, Syap.g_02511
OG0000233	Syaa.g_01853	Syap.g_02133
OG0000234	Syaa.g_01841	Syap.g_02755
