Orthogroup	Prbd	Syaa
OG0000001	Prbd.g_01779	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329
OG0000004	Prbd.g_00549	Syaa.g_00892
OG0000004	Prbd.g_01007	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbd.g_01512	Syaa.g_00534
OG0000005	Prbd.g_01612	Syaa.g_00573
OG0000006	Prbd.g_00998	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbd.g_00745	Syaa.g_02032
OG0000007	Prbd.g_01525	Syaa.g_00551
OG0000009	Prbd.g_01139	Syaa.g_02378
OG0000010	Prbd.g_00348	Syaa.g_01843
OG0000011	Prbd.g_00534, Prbd.g_01867	Syaa.g_00921
OG0000012	Prbd.g_00621	Syaa.g_01660, Syaa.g_02304
OG0000013	Prbd.g_00912	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Prbd.g_00933	Syaa.g_00222
OG0000015	Prbd.g_00065, Prbd.g_00826	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000016	Prbd.g_01224	Syaa.g_00014
OG0000017	Prbd.g_00646	Syaa.g_01890, Syaa.g_01883
OG0000018	Prbd.g_00449	Syaa.g_01801
OG0000019	Prbd.g_00990, Prbd.g_00082	Syaa.g_00307
OG0000021	Prbd.g_01546, Prbd.g_00874	Syaa.g_02627
OG0000022	Prbd.g_00423	Syaa.g_01571
OG0000023	Prbd.g_00879	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbd.g_00045, Prbd.g_00569	Syaa.g_00922
OG0000025	Prbd.g_00908, Prbd.g_00137	Syaa.g_00839
OG0000026	Prbd.g_01206, Prbd.g_00355	Syaa.g_00038
OG0000027	Prbd.g_00772, Prbd.g_01832	Syaa.g_01605, Syaa.g_00854
OG0000028	Prbd.g_01864, Prbd.g_00919	Syaa.g_00205
OG0000029	Prbd.g_00052, Prbd.g_00863	Syaa.g_01578
OG0000030	Prbd.g_01325	Syaa.g_00099, Syaa.g_00098
OG0000034	Prbd.g_01791	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbd.g_01689	Syaa.g_01773
OG0000037	Prbd.g_01135	Syaa.g_02384
OG0000038	Prbd.g_01283	Syaa.g_02596
OG0000039	Prbd.g_00558	Syaa.g_00846
OG0000040	Prbd.g_01550	Syaa.g_01606
OG0000040	Prbd.g_00448	Syaa.g_02690
OG0000041	Prbd.g_01478	Syaa.g_00660, Syaa.g_00869
OG0000042	Prbd.g_01328	Syaa.g_00103
OG0000045	Prbd.g_00867	Syaa.g_01560
OG0000047	Prbd.g_00909	Syaa.g_02189
OG0000048	Prbd.g_00439, Prbd.g_00864	Syaa.g_00275, Syaa.g_02719
OG0000050	Prbd.g_01928	Syaa.g_01591
OG0000050	Prbd.g_00375	Syaa.g_01213, Syaa.g_01712
OG0000053	Prbd.g_01669	Syaa.g_01797
OG0000054	Prbd.g_00638	Syaa.g_01691, Syaa.g_01502
OG0000055	Prbd.g_00083	Syaa.g_01564, Syaa.g_00852
OG0000057	Prbd.g_00546	Syaa.g_01466, Syaa.g_00889
OG0000059	Prbd.g_01439	Syaa.g_02315
OG0000060	Prbd.g_00824	Syaa.g_02053, Syaa.g_01007
OG0000061	Prbd.g_00468	Syaa.g_00770
OG0000062	Prbd.g_01610	Syaa.g_00571
OG0000063	Prbd.g_01204	Syaa.g_00042
OG0000065	Prbd.g_01137	Syaa.g_02380
OG0000066	Prbd.g_00703	Syaa.g_01968
OG0000067	Prbd.g_00102	Syaa.g_01154
OG0000068	Prbd.g_01764	Syaa.g_02059
OG0000069	Prbd.g_01575	Syaa.g_01497, Syaa.g_01256
OG0000070	Prbd.g_00792	Syaa.g_00718
OG0000071	Prbd.g_01801	Syaa.g_00735
OG0000072	Prbd.g_01069	Syaa.g_02480
OG0000073	Prbd.g_00743	Syaa.g_02030
OG0000074	Prbd.g_00562	Syaa.g_00372
OG0000075	Prbd.g_01359	Syaa.g_00157
OG0000076	Prbd.g_01335	Syaa.g_00123
OG0000077	Prbd.g_01166	Syaa.g_00341
OG0000078	Prbd.g_01000	Syaa.g_02103
OG0000079	Prbd.g_00987	Syaa.g_00303
OG0000081	Prbd.g_00711	Syaa.g_02089, Syaa.g_01694
OG0000082	Prbd.g_00658	Syaa.g_01905
OG0000084	Prbd.g_01693	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Prbd.g_01532	Syaa.g_00564
OG0000086	Prbd.g_01156	Syaa.g_00324
OG0000087	Prbd.g_01104, Prbd.g_01103	Syaa.g_02433
OG0000088	Prbd.g_01074	Syaa.g_02474
OG0000089	Prbd.g_00883	Syaa.g_02149
OG0000090	Prbd.g_00709	Syaa.g_01980
OG0000091	Prbd.g_00602	Syaa.g_01625
OG0000093	Prbd.g_00232	Syaa.g_01139
OG0000094	Prbd.g_00321	Syaa.g_01288
OG0000095	Prbd.g_00340	Syaa.g_00879
OG0000097	Prbd.g_00509	Syaa.g_00979
OG0000098	Prbd.g_01782	Syaa.g_01970
OG0000099	Prbd.g_01734	Syaa.g_00202
OG0000100	Prbd.g_01614	Syaa.g_01201
OG0000101	Prbd.g_01391	Syaa.g_02249
OG0000102	Prbd.g_01330	Syaa.g_00118
OG0000103	Prbd.g_01250	Syaa.g_02740
OG0000104	Prbd.g_01241	Syaa.g_02754
OG0000105	Prbd.g_00965	Syaa.g_00270
OG0000106	Prbd.g_00868	Syaa.g_01439
OG0000107	Prbd.g_00852	Syaa.g_02351
OG0000108	Prbd.g_00762	Syaa.g_02051
OG0000109	Prbd.g_00748	Syaa.g_02036
OG0000110	Prbd.g_00668	Syaa.g_01918
OG0000111	Prbd.g_00545	Syaa.g_00888
OG0000112	Prbd.g_00066	Syaa.g_01366
OG0000113	Prbd.g_00124	Syaa.g_01196
OG0000114	Prbd.g_00206	Syaa.g_01094
OG0000115	Prbd.g_00401	Syaa.g_01795
OG0000116	Prbd.g_00458	Syaa.g_00757
OG0000117	Prbd.g_01895	Syaa.g_01009
OG0000118	Prbd.g_01789	Syaa.g_01874
OG0000119	Prbd.g_01768	Syaa.g_00785
OG0000120	Prbd.g_01737	Syaa.g_00201
OG0000121	Prbd.g_01687	Syaa.g_01777
OG0000122	Prbd.g_01649	Syaa.g_01598
OG0000123	Prbd.g_01384	Syaa.g_02242
OG0000124	Prbd.g_01318	Syaa.g_00092
OG0000125	Prbd.g_01281	Syaa.g_02598
OG0000126	Prbd.g_01242	Syaa.g_02752
OG0000128	Prbd.g_01226	Syaa.g_00012
OG0000129	Prbd.g_01194	Syaa.g_02586
OG0000130	Prbd.g_01175	Syaa.g_00354
OG0000131	Prbd.g_01095	Syaa.g_02448
OG0000132	Prbd.g_01076	Syaa.g_02472
OG0000133	Prbd.g_00917	Syaa.g_01361
OG0000134	Prbd.g_00882	Syaa.g_02146
OG0000135	Prbd.g_00855	Syaa.g_02649
OG0000136	Prbd.g_01722, Prbd.g_00801	Syaa.g_00708
OG0000137	Prbd.g_00767	Syaa.g_01842
OG0000138	Prbd.g_00747	Syaa.g_02035
OG0000139	Prbd.g_00705	Syaa.g_01974
OG0000140	Prbd.g_00704	Syaa.g_01971
OG0000141	Prbd.g_00637	Syaa.g_01689
OG0000142	Prbd.g_00609	Syaa.g_01633
OG0000143	Prbd.g_00605	Syaa.g_01629
OG0000144	Prbd.g_00592	Syaa.g_01446
OG0000145	Prbd.g_00062	Syaa.g_02029
OG0000146	Prbd.g_00067	Syaa.g_01367
OG0000147	Prbd.g_00068	Syaa.g_01368
OG0000148	Prbd.g_00118	Syaa.g_01190
OG0000149	Prbd.g_00149	Syaa.g_00826
OG0000150	Prbd.g_00157	Syaa.g_01688
OG0000151	Prbd.g_00216	Syaa.g_01107
OG0000152	Prbd.g_00264	Syaa.g_01357
OG0000153	Prbd.g_00283	Syaa.g_01324
OG0000154	Prbd.g_00314	Syaa.g_01298
OG0000155	Prbd.g_00488	Syaa.g_00804
OG0000156	Prbd.g_01812	Syaa.g_00751
OG0000157	Prbd.g_01811	Syaa.g_00750
OG0000158	Prbd.g_01736	Syaa.g_00148
OG0000160	Prbd.g_01688	Syaa.g_01776
OG0000161	Prbd.g_01682	Syaa.g_01782
OG0000162	Prbd.g_01676	Syaa.g_01788
OG0000163	Prbd.g_01642	Syaa.g_00624
OG0000164	Prbd.g_01501	Syaa.g_00507
OG0000165	Prbd.g_01494	Syaa.g_00681
OG0000166	Prbd.g_01427	Syaa.g_02289
OG0000167	Prbd.g_01361	Syaa.g_00160
OG0000168	Prbd.g_01351	Syaa.g_00145
OG0000169	Prbd.g_01341	Syaa.g_00134
OG0000170	Prbd.g_01339	Syaa.g_00128
OG0000171	Prbd.g_01319	Syaa.g_00093
OG0000172	Prbd.g_01310	Syaa.g_00079
OG0000173	Prbd.g_01295	Syaa.g_00060
OG0000174	Prbd.g_01268	Syaa.g_02651
OG0000175	Prbd.g_01258	Syaa.g_02726
OG0000176	Prbd.g_01233	Syaa.g_00004
OG0000177	Prbd.g_01232	Syaa.g_00005
OG0000178	Prbd.g_01231	Syaa.g_00006
OG0000179	Prbd.g_01221	Syaa.g_00023
OG0000180	Prbd.g_01220	Syaa.g_00024
OG0000181	Prbd.g_01219	Syaa.g_00025
OG0000182	Prbd.g_01218	Syaa.g_00026
OG0000183	Prbd.g_01214	Syaa.g_00030
OG0000184	Prbd.g_01191	Syaa.g_02578
OG0000185	Prbd.g_01188	Syaa.g_02575
OG0000186	Prbd.g_01180	Syaa.g_00359
OG0000187	Prbd.g_01179	Syaa.g_00358
OG0000188	Prbd.g_01162	Syaa.g_00334
OG0000189	Prbd.g_01148	Syaa.g_02367
OG0000190	Prbd.g_01147	Syaa.g_02369
OG0000191	Prbd.g_01126	Syaa.g_02404
OG0000192	Prbd.g_01122	Syaa.g_02410
OG0000193	Prbd.g_01094	Syaa.g_02449
OG0000194	Prbd.g_01091	Syaa.g_02452
OG0000195	Prbd.g_01089	Syaa.g_02459
OG0000196	Prbd.g_01079	Syaa.g_02469
OG0000197	Prbd.g_01078	Syaa.g_02470
OG0000198	Prbd.g_01077	Syaa.g_02471
OG0000199	Prbd.g_01070	Syaa.g_02479
OG0000200	Prbd.g_01056	Syaa.g_02496
OG0000201	Prbd.g_01048	Syaa.g_02521
OG0000202	Prbd.g_01047	Syaa.g_02522
OG0000203	Prbd.g_01046	Syaa.g_02523
OG0000204	Prbd.g_01045	Syaa.g_02524
OG0000205	Prbd.g_01038	Syaa.g_02531
OG0000206	Prbd.g_01033	Syaa.g_02538
OG0000207	Prbd.g_01031	Syaa.g_02540
OG0000208	Prbd.g_01030	Syaa.g_02541
OG0000209	Prbd.g_01021	Syaa.g_02556
OG0000210	Prbd.g_01020	Syaa.g_02557
OG0000211	Prbd.g_01006	Syaa.g_02113
OG0000212	Prbd.g_00999	Syaa.g_02102
OG0000213	Prbd.g_00982	Syaa.g_00295
OG0000214	Prbd.g_00972	Syaa.g_00279
OG0000215	Prbd.g_00947	Syaa.g_00248
OG0000216	Prbd.g_00945	Syaa.g_00244
OG0000217	Prbd.g_00942	Syaa.g_00240
OG0000218	Prbd.g_00940	Syaa.g_00238
OG0000219	Prbd.g_00939	Syaa.g_00237
OG0000220	Prbd.g_00938	Syaa.g_00236
OG0000221	Prbd.g_00937	Syaa.g_00229
OG0000222	Prbd.g_00929	Syaa.g_00215
OG0000223	Prbd.g_00916	Syaa.g_00192
OG0000224	Prbd.g_00914	Syaa.g_00183
OG0000225	Prbd.g_00893	Syaa.g_02166
OG0000226	Prbd.g_00889	Syaa.g_02162
OG0000227	Prbd.g_00887	Syaa.g_02160
OG0000228	Prbd.g_00884	Syaa.g_02150
OG0000229	Prbd.g_00806	Syaa.g_00703
OG0000230	Prbd.g_00804	Syaa.g_00705
OG0000231	Prbd.g_00793	Syaa.g_00717
OG0000232	Prbd.g_00784	Syaa.g_01858
OG0000233	Prbd.g_00779	Syaa.g_01853
OG0000234	Prbd.g_00766	Syaa.g_01841
OG0000235	Prbd.g_00763	Syaa.g_02052
OG0000236	Prbd.g_00749	Syaa.g_02037
OG0000237	Prbd.g_00736	Syaa.g_02020
OG0000238	Prbd.g_00730	Syaa.g_02015
OG0000239	Prbd.g_00717	Syaa.g_01996
OG0000240	Prbd.g_00716	Syaa.g_01995
OG0000241	Prbd.g_00712	Syaa.g_01644
OG0000242	Prbd.g_00710	Syaa.g_01982
OG0000243	Prbd.g_00699	Syaa.g_01960
OG0000244	Prbd.g_00696	Syaa.g_01954
OG0000245	Prbd.g_00694	Syaa.g_01952
OG0000246	Prbd.g_00690	Syaa.g_01948
OG0000247	Prbd.g_00680	Syaa.g_01937
OG0000248	Prbd.g_00678	Syaa.g_01934
OG0000249	Prbd.g_00676	Syaa.g_01932
OG0000250	Prbd.g_00671	Syaa.g_01922
OG0000251	Prbd.g_00653	Syaa.g_01897
OG0000252	Prbd.g_00650	Syaa.g_01894
OG0000253	Prbd.g_00649	Syaa.g_01893
OG0000254	Prbd.g_00633	Syaa.g_01684
OG0000255	Prbd.g_00627	Syaa.g_01668
OG0000256	Prbd.g_00617	Syaa.g_01651
OG0000257	Prbd.g_00614	Syaa.g_01645
OG0000258	Prbd.g_00601	Syaa.g_01624
OG0000259	Prbd.g_00584	Syaa.g_01063
OG0000260	Prbd.g_00581	Syaa.g_01066
OG0000261	Prbd.g_00579	Syaa.g_01069
OG0000262	Prbd.g_00575	Syaa.g_01074
OG0000263	Prbd.g_00563	Syaa.g_00989
OG0000264	Prbd.g_00553	Syaa.g_00910
OG0000265	Prbd.g_00007	Syaa.g_00931, Syaa.g_01498
OG0000266	Prbd.g_00017	Syaa.g_01257, Syaa.g_01258
OG0000267	Prbd.g_00028	Syaa.g_01409
OG0000268	Prbd.g_00029	Syaa.g_01408
OG0000269	Prbd.g_00097	Syaa.g_01149
OG0000270	Prbd.g_00100	Syaa.g_01152
OG0000271	Prbd.g_00108	Syaa.g_01160
OG0000272	Prbd.g_00109	Syaa.g_01161
OG0000273	Prbd.g_00132	Syaa.g_00844
OG0000274	Prbd.g_00133	Syaa.g_00843
OG0000275	Prbd.g_00136	Syaa.g_00840
OG0000276	Prbd.g_00141	Syaa.g_00834
