Orthogroup	Praf	Prbg
OG0000000	Praf.g_01631	Prbg.g_01222, Prbg.g_01227
OG0000000	Praf.g_00948	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694
OG0000002	Praf.g_01896, Praf.g_01895, Praf.g_01031, Praf.g_00818, Praf.g_02422, Praf.g_01293	Prbg.g_00502
OG0000003	Praf.g_00814	Prbg.g_01524
OG0000004	Praf.g_01014, Praf.g_02005	Prbg.g_00451
OG0000006	Praf.g_00614	Prbg.g_00216
OG0000006	Praf.g_00480	Prbg.g_01650
OG0000007	Praf.g_01223	Prbg.g_00744
OG0000007	Praf.g_01224	Prbg.g_00745
OG0000009	Praf.g_02214	Prbg.g_01510, Prbg.g_01032
OG0000011	Praf.g_01898	Prbg.g_00143
OG0000012	Praf.g_00752	Prbg.g_00324
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prbg.g_01589, Prbg.g_01635
OG0000016	Praf.g_01108	Prbg.g_01540
OG0000016	Praf.g_01143	Prbg.g_00688
OG0000017	Praf.g_01828	Prbg.g_00612, Prbg.g_01595
OG0000018	Praf.g_00396, Praf.g_01719	Prbg.g_01024
OG0000019	Praf.g_00746	Prbg.g_01145
OG0000020	Praf.g_02267	Prbg.g_00464, Prbg.g_00050
OG0000024	Praf.g_02319	Prbg.g_00086
OG0000025	Praf.g_01105	Prbg.g_01055
OG0000026	Praf.g_00041	Prbg.g_00730
OG0000028	Praf.g_01794	Prbg.g_00591
OG0000031	Praf.g_01022	Prbg.g_00408
OG0000032	Praf.g_00113, Praf.g_00101	Prbg.g_00550
OG0000033	Praf.g_00906	Prbg.g_01544
OG0000034	Praf.g_02366	Prbg.g_00816
OG0000036	Praf.g_00731	Prbg.g_01639, Prbg.g_00304
OG0000037	Praf.g_01668	Prbg.g_00706, Prbg.g_00342
OG0000038	Praf.g_00965, Praf.g_00201	Prbg.g_00682
OG0000039	Praf.g_01239, Praf.g_02454	Prbg.g_00944
OG0000042	Praf.g_01238, Praf.g_01302	Prbg.g_01151
OG0000043	Praf.g_00943, Praf.g_00941	Prbg.g_01251
OG0000044	Praf.g_00854	Prbg.g_01486
OG0000045	Praf.g_02345	Prbg.g_00551
OG0000046	Praf.g_00491	Prbg.g_01642, Prbg.g_00716
OG0000047	Praf.g_00178	Prbg.g_01847
OG0000048	Praf.g_00920, Praf.g_00164	Prbg.g_01855
OG0000050	Praf.g_00037	Prbg.g_00842
OG0000051	Praf.g_02445	Prbg.g_00935
OG0000052	Praf.g_00496	Prbg.g_00388
OG0000053	Praf.g_00672	Prbg.g_00256
OG0000054	Praf.g_00348	Prbg.g_00359
OG0000055	Praf.g_01556	Prbg.g_01182
OG0000056	Praf.g_02587	Prbg.g_01542
OG0000057	Praf.g_00386	Prbg.g_01019
OG0000058	Praf.g_01907	Prbg.g_00194
OG0000059	Praf.g_01125	Prbg.g_01143
OG0000062	Praf.g_01034, Praf.g_02690	Prbg.g_00749
OG0000063	Praf.g_00919	Prbg.g_01459
OG0000065	Praf.g_00796	Prbg.g_00477
OG0000066	Praf.g_02343	Prbg.g_00549
OG0000068	Praf.g_02119	Prbg.g_01785
OG0000069	Praf.g_01851	Prbg.g_00630
OG0000071	Praf.g_00012	Prbg.g_00778
OG0000072	Praf.g_02336	Prbg.g_00100
OG0000073	Praf.g_01748	Prbg.g_01386
OG0000074	Praf.g_01218, Praf.g_01219	Prbg.g_01133
OG0000075	Praf.g_01537	Prbg.g_01166
OG0000076	Praf.g_01274	Prbg.g_01234
OG0000078	Praf.g_02342	Prbg.g_00552
OG0000079	Praf.g_00501	Prbg.g_00676
OG0000080	Praf.g_00549	Prbg.g_00414
OG0000081	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prbg.g_01819
OG0000082	Praf.g_02699	Prbg.g_00419
OG0000083	Praf.g_00003	Prbg.g_00770
OG0000084	Praf.g_00006	Prbg.g_00773
OG0000085	Praf.g_00028	Prbg.g_00851
OG0000087	Praf.g_00333, Praf.g_02602	Prbg.g_00822
OG0000088	Praf.g_00224	Prbg.g_00887
OG0000089	Praf.g_00212	Prbg.g_00896
OG0000090	Praf.g_02420	Prbg.g_00913
OG0000091	Praf.g_02457	Prbg.g_00947
OG0000092	Praf.g_02468	Prbg.g_00948
OG0000093	Praf.g_02711, Praf.g_02492	Prbg.g_00962
OG0000094	Praf.g_02521	Prbg.g_00981
OG0000095	Praf.g_02532	Prbg.g_00986
OG0000096	Praf.g_02217	Prbg.g_01034
OG0000097	Praf.g_02271	Prbg.g_00053
OG0000098	Praf.g_02284	Prbg.g_00064
OG0000099	Praf.g_02296	Prbg.g_00074
OG0000100	Praf.g_02300	Prbg.g_00077
OG0000101	Praf.g_02012	Prbg.g_00139
OG0000102	Praf.g_02715, Praf.g_02705	Prbg.g_00459
OG0000103	Praf.g_01905	Prbg.g_00195
OG0000104	Praf.g_00595	Prbg.g_00199
OG0000105	Praf.g_00143, Praf.g_00616	Prbg.g_00219
OG0000106	Praf.g_00658	Prbg.g_00249
OG0000107	Praf.g_00660	Prbg.g_00250
OG0000108	Praf.g_00681	Prbg.g_00260
OG0000109	Praf.g_00692	Prbg.g_00270
OG0000110	Praf.g_00711	Prbg.g_00287
OG0000111	Praf.g_01036, Praf.g_01720	Prbg.g_01405
OG0000112	Praf.g_01035, Praf.g_01721	Prbg.g_01404
OG0000113	Praf.g_00144, Praf.g_01435	Prbg.g_01354
OG0000114	Praf.g_01528	Prbg.g_01157
OG0000115	Praf.g_01392	Prbg.g_01287
OG0000116	Praf.g_01383, Praf.g_01384	Prbg.g_01291
OG0000117	Praf.g_01277	Prbg.g_01237
OG0000118	Praf.g_02776	Prbg.g_01531
OG0000119	Praf.g_02692	Prbg.g_00752
OG0000120	Praf.g_00861	Prbg.g_01480
OG0000121	Praf.g_00922	Prbg.g_01457
OG0000122	Praf.g_00901	Prbg.g_01437
OG0000123	Praf.g_00938	Prbg.g_00352
OG0000124	Praf.g_01285	Prbg.g_00687
OG0000125	Praf.g_00779	Prbg.g_00490
OG0000126	Praf.g_00585, Praf.g_00583	Prbg.g_00529
OG0000127	Praf.g_01778, Praf.g_01776	Prbg.g_00579
OG0000128	Praf.g_01795	Prbg.g_00592
OG0000129	Praf.g_01848	Prbg.g_00628
OG0000130	Praf.g_00485	Prbg.g_01647
OG0000131	Praf.g_00437	Prbg.g_01686
OG0000132	Praf.g_00434	Prbg.g_01689
OG0000133	Praf.g_02162	Prbg.g_01743
OG0000134	Praf.g_02125	Prbg.g_01779
OG0000135	Praf.g_02123	Prbg.g_01781
OG0000136	Praf.g_02396	Prbg.g_01831
OG0000137	Praf.g_00152	Prbg.g_01865
OG0000138	Praf.g_02664	Prbg.g_01900
OG0000139	Praf.g_02757	Prbg.g_01931
OG0000140	Praf.g_00001	Prbg.g_00768
OG0000141	Praf.g_00002	Prbg.g_00769
OG0000142	Praf.g_00004	Prbg.g_00771
OG0000143	Praf.g_00005	Prbg.g_00772
OG0000144	Praf.g_00007	Prbg.g_00774
OG0000145	Praf.g_00009	Prbg.g_00775
OG0000146	Praf.g_00010	Prbg.g_00776
OG0000147	Praf.g_00011	Prbg.g_00777
OG0000148	Praf.g_00013	Prbg.g_00779
OG0000149	Praf.g_00015	Prbg.g_00860
OG0000150	Praf.g_00016	Prbg.g_00859
OG0000151	Praf.g_00021	Prbg.g_00858
OG0000152	Praf.g_00022	Prbg.g_00857
OG0000153	Praf.g_00023	Prbg.g_00856
OG0000154	Praf.g_00024	Prbg.g_00855
OG0000155	Praf.g_00025	Prbg.g_00854
OG0000156	Praf.g_00026	Prbg.g_00853
OG0000157	Praf.g_00027	Prbg.g_00852
OG0000158	Praf.g_00029	Prbg.g_00850
OG0000159	Praf.g_00030	Prbg.g_00849
OG0000160	Praf.g_00031	Prbg.g_00848
OG0000161	Praf.g_00032	Prbg.g_00847
OG0000162	Praf.g_00033	Prbg.g_00846
OG0000163	Praf.g_00035	Prbg.g_00844
