Orthogroup	Prav	Prai
OG0000000	Prav.g_01736, Prav.g_01415	Prai.g_00905, Prai.g_01772
OG0000000	Prav.g_01695	Prai.g_01592
OG0000000	Prav.g_01694	Prai.g_00908
OG0000000	Prav.g_01821	Prai.g_00908
OG0000000	Prav.g_01694	Prai.g_01234
OG0000000	Prav.g_01821	Prai.g_01234
OG0000000	Prav.g_01694	Prai.g_01591
OG0000000	Prav.g_01821	Prai.g_01591
OG0000000	Prav.g_01694	Prai.g_01775
OG0000000	Prav.g_01821	Prai.g_01775
OG0000000	Prav.g_01413	Prai.g_01314
OG0000000	Prav.g_01698	Prai.g_01596
OG0000001	Prav.g_01458	Prai.g_01235, Prai.g_01356
OG0000001	Prav.g_00962, Prav.g_01820, Prav.g_02007	Prai.g_01236
OG0000002	Prav.g_01466	Prai.g_01363
OG0000002	Prav.g_01276	Prai.g_00707
OG0000004	Prav.g_01293	Prai.g_00724
OG0000004	Prav.g_00806	Prai.g_00243
OG0000005	Prav.g_01774	Prai.g_01651
OG0000005	Prav.g_01654	Prai.g_01538
OG0000006	Prav.g_02001	Prai.g_00252, Prai.g_00254
OG0000007	Prav.g_01095	Prai.g_00527
OG0000007	Prav.g_01761	Prai.g_01638
OG0000008	Prav.g_01749, Prav.g_01750, Prav.g_01270	Prai.g_00701
OG0000009	Prav.g_01688	Prai.g_01578
OG0000009	Prav.g_00170	Prai.g_00105
OG0000010	Prav.g_01072	Prai.g_00504
OG0000010	Prav.g_00218	Prai.g_01067
OG0000012	Prav.g_01221	Prai.g_00652
OG0000013	Prav.g_01973	Prai.g_00340
OG0000014	Prav.g_01952	Prai.g_00319
OG0000015	Prav.g_00961	Prai.g_01243
OG0000016	Prav.g_00081	Prai.g_00013
OG0000016	Prav.g_01385	Prai.g_01573
OG0000017	Prav.g_01194	Prai.g_00626
OG0000018	Prav.g_00424	Prai.g_00820
OG0000018	Prav.g_00046	Prai.g_01153
OG0000019	Prav.g_01896	Prai.g_00262
OG0000019	Prav.g_00375	Prai.g_00867
