Orthogroup	Syac	Praz
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Praz.g_01154
OG0000002	Syac.g_01084	Praz.g_01146, Praz.g_01652
OG0000004	Syac.g_00898	Praz.g_01635
OG0000004	Syac.g_00948, Syac.g_01975	Praz.g_00592
OG0000005	Syac.g_00527	Praz.g_00864
OG0000005	Syac.g_00569	Praz.g_00965
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Praz.g_00601
OG0000007	Syac.g_01885	Praz.g_01831
OG0000007	Syac.g_00544	Praz.g_00877
OG0000008	Syac.g_00921	Praz.g_01241
OG0000009	Syac.g_01004, Syac.g_00398	Praz.g_00465
OG0000010	Syac.g_01701	Praz.g_00074
OG0000011	Syac.g_00924	Praz.g_01240
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Praz.g_01707
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Praz.g_00684
OG0000014	Syac.g_00253	Praz.g_00663
OG0000015	Syac.g_01408	Praz.g_01551
OG0000016	Syac.g_00014	Praz.g_00378
OG0000017	Syac.g_01749, Syac.g_01742	Praz.g_01732
OG0000018	Syac.g_01660	Praz.g_00011
OG0000019	Syac.g_02207	Praz.g_00609, Praz.g_01532
OG0000022	Syac.g_01031	Praz.g_00029
OG0000023	Syac.g_00760	Praz.g_00814
OG0000024	Syac.g_00925	Praz.g_01571, Praz.g_01655
OG0000025	Syac.g_00847	Praz.g_00688, Praz.g_01477
OG0000026	Syac.g_00034	Praz.g_00396, Praz.g_00081
OG0000027	Syac.g_01095, Syac.g_01009	Praz.g_01858, Praz.g_01197
OG0000028	Syac.g_00237	Praz.g_01246, Praz.g_00677
OG0000029	Syac.g_01942	Praz.g_01564, Praz.g_00799
OG0000030	Syac.g_00143, Syac.g_00142	Praz.g_00195
OG0000031	Syac.g_00232	Praz.g_01116
OG0000034	Syac.g_00334, Syac.g_00715	Praz.g_01170
OG0000035	Syac.g_01630	Praz.g_01041
OG0000037	Syac.g_01077	Praz.g_00469
OG0000038	Syac.g_02357, Syac.g_02358	Praz.g_00154
OG0000039	Syac.g_00856, Syac.g_02378	Praz.g_01644
OG0000040	Syac.g_01006	Praz.g_00903
OG0000040	Syac.g_02437	Praz.g_00012
OG0000042	Syac.g_00146	Praz.g_00198
OG0000043	Syac.g_00808	Praz.g_01234
OG0000044	Syac.g_00477, Syac.g_00858	Praz.g_00693
OG0000045	Syac.g_01040	Praz.g_00803
OG0000047	Syac.g_02031	Praz.g_00687, Praz.g_01921
OG0000048	Syac.g_02240	Praz.g_00800
OG0000050	Syac.g_01937	Praz.g_00101
OG0000051	Syac.g_01073	Praz.g_01204
OG0000053	Syac.g_01657	Praz.g_01021
OG0000054	Syac.g_00933, Syac.g_01050	Praz.g_01724
OG0000055	Syac.g_01034, Syac.g_00859	Praz.g_01531
OG0000057	Syac.g_00894	Praz.g_01632
OG0000058	Syac.g_00226	Praz.g_01096
OG0000059	Syac.g_02142	Praz.g_00311
OG0000061	Syac.g_00769	Praz.g_00755
OG0000062	Syac.g_00567	Praz.g_00963
OG0000063	Syac.g_00037	Praz.g_00398
OG0000065	Syac.g_00396, Syac.g_00490	Praz.g_00467
OG0000066	Syac.g_01827	Praz.g_01789
OG0000067	Syac.g_01341	Praz.g_01512
OG0000068	Syac.g_01916	Praz.g_01139
OG0000069	Syac.g_01272	Praz.g_00928
OG0000070	Syac.g_00711	Praz.g_01878
OG0000071	Syac.g_01049, Syac.g_00729	Praz.g_01180
OG0000072	Syac.g_00302	Praz.g_00531
OG0000073	Syac.g_01883	Praz.g_01829
OG0000075	Syac.g_00191	Praz.g_00230
OG0000076	Syac.g_00156	Praz.g_00205
OG0000077	Syac.g_00439	Praz.g_00438
OG0000078	Syac.g_01964	Praz.g_00599
OG0000079	Syac.g_02211	Praz.g_00612
OG0000081	Syac.g_01954, Syac.g_00461	Praz.g_01797
OG0000082	Syac.g_01766	Praz.g_01744
OG0000084	Syac.g_00822, Syac.g_01627	Praz.g_01045
OG0000085	Syac.g_00560	Praz.g_00884
OG0000086	Syac.g_00423	Praz.g_00448
OG0000087	Syac.g_00343	Praz.g_00499
