Orthogroup	Syai	Prad
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729	Prad.g_00609
OG0000002	Syai.g_01728	Prad.g_00601, Prad.g_01252
OG0000004	Syai.g_01994	Prad.g_01269
OG0000004	Syai.g_01062, Syai.g_00530	Prad.g_01759
OG0000005	Syai.g_02393	Prad.g_00928
OG0000005	Syai.g_02356	Prad.g_00438
OG0000006	Syai.g_01126, Syai.g_00317, Syai.g_00547	Prad.g_01750
OG0000007	Syai.g_00657	Prad.g_00132
OG0000007	Syai.g_02378	Prad.g_00941
OG0000009	Syai.g_01626	Prad.g_00317, Prad.g_00401
OG0000009	Syai.g_02541	Prad.g_01888
OG0000010	Syai.g_00864	Prad.g_01304, Prad.g_01011
OG0000011	Syai.g_01894, Syai.g_00582	Prad.g_01218, Prad.g_00339
OG0000011	Syai.g_01952	Prad.g_01212
OG0000012	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650	Prad.g_01412
OG0000013	Syai.g_00442, Syai.g_00450, Syai.g_00436	Prad.g_01664
OG0000014	Syai.g_00220	Prad.g_01685
OG0000015	Syai.g_01246, Syai.g_01245	Prad.g_01108
OG0000016	Syai.g_00014	Prad.g_01973
OG0000017	Syai.g_00801, Syai.g_00808	Prad.g_01387
OG0000018	Syai.g_00915	Prad.g_01515
OG0000019	Syai.g_00304	Prad.g_01742, Prad.g_01125
OG0000020	Syai.g_00476	Prad.g_00647, Prad.g_01299
OG0000021	Syai.g_00556	Prad.g_01981, Prad.g_00745
OG0000022	Syai.g_01159	Prad.g_01993
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prad.g_00751
OG0000024	Syai.g_01951	Prad.g_01088, Prad.g_01249
OG0000025	Syai.g_02044	Prad.g_01660, Prad.g_01181
OG0000026	Syai.g_00038	Prad.g_01955, Prad.g_01004
OG0000027	Syai.g_01128, Syai.g_01654	Prad.g_01298, Prad.g_00353
OG0000028	Syai.g_00205	Prad.g_01204, Prad.g_01671
OG0000029	Syai.g_01035, Syai.g_01584	Prad.g_01096, Prad.g_00734
OG0000032	Syai.g_00895	Prad.g_00572
OG0000034	Syai.g_02192, Syai.g_02604	Prad.g_00618
OG0000035	Syai.g_00955	Prad.g_00515
OG0000037	Syai.g_02544, Syai.g_02815	Prad.g_01884
OG0000038	Syai.g_02780	Prad.g_01582
OG0000039	Syai.g_02034	Prad.g_01260
OG0000040	Syai.g_02876	Prad.g_01516
OG0000041	Syai.g_02265, Syai.g_02016	Prad.g_00894
OG0000042	Syai.g_00099	Prad.g_01624
OG0000044	Syai.g_00833	Prad.g_01213
OG0000045	Syai.g_02432	Prad.g_00738
OG0000047	Syai.g_00462	Prad.g_01661, Prad.g_00683
OG0000048	Syai.g_00272	Prad.g_00735
OG0000050	Syai.g_01893	Prad.g_01291
OG0000050	Syai.g_01332	Prad.g_00985
OG0000051	Syai.g_01773	Prad.g_00342
OG0000052	Syai.g_00176	Prad.g_00571
OG0000053	Syai.g_00930	Prad.g_00494
OG0000054	Syai.g_01040	Prad.g_01395
OG0000055	Syai.g_02029	Prad.g_01126
OG0000057	Syai.g_01997	Prad.g_01272
OG0000058	Syai.g_00195	Prad.g_00565
OG0000059	Syai.g_00351	Prad.g_00855
OG0000061	Syai.g_02144	Prad.g_01496
OG0000062	Syai.g_02358	Prad.g_00436
OG0000063	Syai.g_00042	Prad.g_01953, Prad.g_00081
OG0000066	Syai.g_01709, Syai.g_00719	Prad.g_00090
OG0000067	Syai.g_01321	Prad.g_01146
OG0000068	Syai.g_00628	Prad.g_00594
OG0000070	Syai.g_02196	Prad.g_00057
OG0000071	Syai.g_02179	Prad.g_00628
OG0000072	Syai.g_02636	Prad.g_01820
OG0000073	Syai.g_00659	Prad.g_00130
OG0000075	Syai.g_00161	Prad.g_00775
OG0000076	Syai.g_00111	Prad.g_01631
OG0000077	Syai.g_02486	Prad.g_01915
OG0000078	Syai.g_00543	Prad.g_01752
OG0000079	Syai.g_00300	Prad.g_01739
OG0000081	Syai.g_00553, Syai.g_02292	Prad.g_00098
OG0000082	Syai.g_00781	Prad.g_01374
OG0000084	Syai.g_01196, Syai.g_00958	Prad.g_00519
OG0000085	Syai.g_02365	Prad.g_00948
OG0000086	Syai.g_02507	Prad.g_01905
OG0000087	Syai.g_02592	Prad.g_01854
OG0000088	Syai.g_02630	Prad.g_01825
OG0000089	Syai.g_00517	Prad.g_00755
OG0000090	Syai.g_00707	Prad.g_00096
OG0000091	Syai.g_01112	Prad.g_01431
OG0000092	Syai.g_01358	Prad.g_00240
OG0000093	Syai.g_01306	Prad.g_00218
OG0000094	Syai.g_01424	Prad.g_01038
OG0000095	Syai.g_02007	Prad.g_01018
OG0000097	Syai.g_01787	Prad.g_01454
OG0000098	Syai.g_01718	Prad.g_00612
OG0000099	Syai.g_00199	Prad.g_00566
OG0000100	Syai.g_01372	Prad.g_00440
OG0000101	Syai.g_00404	Prad.g_00807
OG0000102	Syai.g_00106	Prad.g_01626
OG0000103	Syai.g_02912	Prad.g_01548
OG0000104	Syai.g_02929	Prad.g_01540
OG0000105	Syai.g_00267	Prad.g_01717
OG0000106	Syai.g_01601	Prad.g_00739
OG0000107	Syai.g_00319	Prad.g_00724
OG0000108	Syai.g_00638	Prad.g_00027
OG0000109	Syai.g_00653	Prad.g_00013
OG0000110	Syai.g_00878, Syai.g_00766	Prad.g_01364
OG0000111	Syai.g_00884, Syai.g_01998	Prad.g_01273
OG0000112	Syai.g_01512	Prad.g_01109
OG0000113	Syai.g_01367	Prad.g_01168
OG0000114	Syai.g_01261	Prad.g_00245
OG0000115	Syai.g_00932	Prad.g_00641
OG0000116	Syai.g_02156	Prad.g_01506
OG0000117	Syai.g_01756	Prad.g_01214
OG0000118	Syai.g_00818	Prad.g_00616
OG0000119	Syai.g_02127	Prad.g_00598
OG0000120	Syai.g_00198	Prad.g_00564
OG0000121	Syai.g_00951	Prad.g_00513
OG0000122	Syai.g_01143	Prad.g_00474
OG0000123	Syai.g_00411	Prad.g_00800
OG0000124	Syai.g_00089	Prad.g_01616
OG0000125	Syai.g_02782	Prad.g_01580
OG0000126	Syai.g_02927	Prad.g_01541
OG0000128	Syai.g_00012	Prad.g_01975
OG0000129	Syai.g_02771	Prad.g_01943
OG0000130	Syai.g_02474	Prad.g_01924
OG0000131	Syai.g_02608	Prad.g_01846
OG0000132	Syai.g_02628	Prad.g_01827
OG0000133	Syai.g_01507	Prad.g_01669
OG0000134	Syai.g_00520	Prad.g_00754
OG0000135	Syai.g_02826	Prad.g_00727
OG0000136	Syai.g_02217	Prad.g_00066
OG0000137	Syai.g_00865	Prad.g_00032
OG0000138	Syai.g_00654	Prad.g_00012
OG0000139	Syai.g_00714	Prad.g_00092
OG0000140	Syai.g_00716	Prad.g_00091
