Orthogroup	Syaf	Syat
OG0000001	Syaf.g_00846	Syat.g_02910, Syat.g_02911
OG0000001	Syaf.g_00845	Syat.g_02908, Syat.g_02909
OG0000001	Syaf.g_01634	Syat.g_01540
OG0000005	Syaf.g_01017	Syat.g_03065
OG0000005	Syaf.g_01057	Syat.g_03105
OG0000005	Syaf.g_01352, Syaf.g_01732	Syat.g_01038
OG0000006	Syaf.g_02288	Syat.g_00371
OG0000006	Syaf.g_00179, Syaf.g_02778	Syat.g_01439, Syat.g_01865
OG0000007	Syaf.g_02702	Syat.g_03191
OG0000007	Syaf.g_01033	Syat.g_03124
OG0000008	Syaf.g_01479	Syat.g_02626
OG0000008	Syaf.g_01480	Syat.g_02627
OG0000009	Syaf.g_00905	Syat.g_01567
OG0000010	Syaf.g_02499	Syat.g_01372
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syaf.g_00061	Syat.g_01027
OG0000014	Syaf.g_00280	Syat.g_02104
OG0000016	Syaf.g_00484	Syat.g_02329
OG0000016	Syaf.g_01576	Syat.g_00909
OG0000018	Syaf.g_02451	Syat.g_01334
OG0000019	Syaf.g_00193	Syat.g_01876
OG0000021	Syaf.g_01726, Syaf.g_02773	Syat.g_00964
OG0000022	Syaf.g_02256	Syat.g_00210
OG0000024	Syaf.g_01484	Syat.g_03394
OG0000025	Syaf.g_01385	Syat.g_00719
OG0000026	Syaf.g_00461	Syat.g_02306
OG0000027	Syaf.g_02284, Syaf.g_01688	Syat.g_00850
OG0000028	Syaf.g_00297	Syat.g_02126
OG0000030	Syaf.g_00406	Syat.g_00307
OG0000030	Syaf.g_00407	Syat.g_00308
OG0000031	Syaf.g_00314	Syat.g_02131
OG0000031	Syaf.g_01143	Syat.g_03199, Syat.g_02243
OG0000032	Syaf.g_02471	Syat.g_01354
OG0000033	Syaf.g_00807	Syat.g_02858
OG0000034	Syaf.g_01241, Syaf.g_00837	Syat.g_01165, Syat.g_02902
OG0000035	Syaf.g_02412	Syat.g_01227, Syat.g_01226
OG0000038	Syaf.g_00642	Syat.g_02688
OG0000039	Syaf.g_01395	Syat.g_01278
OG0000040	Syaf.g_00558	Syat.g_02551
OG0000042	Syaf.g_00403	Syat.g_00223, Syat.g_02222
OG0000046	Syaf.g_00062	Syat.g_01626, Syat.g_01026
OG0000048	Syaf.g_00230	Syat.g_02046
OG0000052	Syaf.g_00335	Syat.g_02140
OG0000053	Syaf.g_02447	Syat.g_01330
OG0000057	Syaf.g_01665	Syat.g_02055
OG0000058	Syaf.g_00316	Syat.g_02133, Syat.g_02238
OG0000059	Syaf.g_00143	Syat.g_01832
OG0000060	Syaf.g_02726	Syat.g_01384
OG0000060	Syaf.g_01425	Syat.g_01383
OG0000060	Syaf.g_01603	Syat.g_01047
OG0000061	Syaf.g_01288	Syat.g_03260
OG0000062	Syaf.g_01055	Syat.g_03107
OG0000063	Syaf.g_00457	Syat.g_02303
OG0000066	Syaf.g_02643	Syat.g_03283
OG0000067	Syaf.g_02049	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874
OG0000068	Syaf.g_02733	Syat.g_00085, Syat.g_01295
OG0000070	Syaf.g_01237	Syat.g_01032, Syat.g_01040
OG0000072	Syaf.g_00805	Syat.g_02856
OG0000073	Syaf.g_02700	Syat.g_03201
OG0000075	Syaf.g_00353	Syat.g_02497, Syat.g_01713, Syat.g_02154
