Orthogroup	Prak	Prau
OG0000000	Prak.g_00908, Prak.g_00913	Prau.g_01402
OG0000000	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207	Prau.g_00718
OG0000002	Prak.g_01302	Prau.g_01394
OG0000002	Prak.g_00755	Prau.g_01267, Prau.g_01269
OG0000003	Prak.g_01210	Prau.g_01350, Prau.g_01650, Prau.g_01300
OG0000004	Prak.g_01251	Prau.g_00792
OG0000005	Prak.g_01562	Prau.g_01648, Prau.g_01665
OG0000006	Prak.g_00458	Prau.g_00538
OG0000006	Prak.g_01645	Prau.g_01732
OG0000007	Prak.g_01544	Prau.g_00781
OG0000009	Prak.g_01196	Prau.g_00834
OG0000009	Prak.g_00266	Prau.g_00251
OG0000010	Prak.g_00702	Prau.g_01156, Prau.g_01331
OG0000011	Prak.g_00385	Prau.g_00414
OG0000012	Prak.g_00566, Prak.g_00559	Prau.g_00636
OG0000013	Prak.g_01584, Prak.g_01630	Prau.g_00817
OG0000014	Prak.g_01564, Prak.g_01521	Prau.g_01353
OG0000015	Prak.g_01573, Prak.g_01606	Prau.g_01284, Prau.g_00385
OG0000016	Prak.g_01226, Prak.g_01488	Prau.g_01405
OG0000017	Prak.g_01590, Prak.g_01412	Prau.g_00040
OG0000018	Prak.g_00258	Prau.g_00243, Prau.g_01316
OG0000019	Prak.g_00831	Prau.g_01680, Prau.g_00367
OG0000020	Prak.g_00289	Prau.g_00377
OG0000021	Prak.g_01627	Prau.g_00836
OG0000023	Prak.g_01486	Prau.g_01324
OG0000024	Prak.g_00325	Prau.g_00308
OG0000026	Prak.g_01530	Prau.g_01295
OG0000028	Prak.g_01391	Prau.g_01528, Prau.g_01531
OG0000029	Prak.g_00416	Prau.g_01642, Prau.g_01285
OG0000031	Prak.g_00667	Prau.g_01275
OG0000032	Prak.g_01350	Prau.g_01431, Prau.g_01469
OG0000033	Prak.g_00013	Prau.g_00013
OG0000034	Prak.g_01369, Prak.g_00058	Prau.g_01489
OG0000036	Prak.g_00546, Prak.g_01634	Prau.g_00624
OG0000037	Prak.g_00584, Prak.g_01506	Prau.g_00663
OG0000038	Prak.g_01482	Prau.g_00814
OG0000039	Prak.g_00178	Prau.g_00167
OG0000040	Prak.g_00721	Prau.g_00362
OG0000041	Prak.g_01609, Prak.g_01603	Prau.g_00458, Prau.g_00432
OG0000042	Prak.g_00837	Prau.g_00755
OG0000043	Prak.g_00937	Prau.g_00839
OG0000044	Prak.g_01172	Prau.g_01206
OG0000045	Prak.g_01351	Prau.g_01432, Prau.g_01460
OG0000046	Prak.g_01516, Prak.g_01637	Prau.g_01725
OG0000047	Prak.g_01842	Prau.g_00037, Prau.g_01925
OG0000048	Prak.g_01850	Prau.g_01932
OG0000050	Prak.g_00032	Prau.g_00030
OG0000051	Prak.g_00169	Prau.g_00158
OG0000052	Prak.g_00687	Prau.g_00373
OG0000053	Prak.g_01557, Prak.g_00498	Prau.g_00579
OG0000055	Prak.g_00868	Prau.g_00876
OG0000056	Prak.g_01228	Prau.g_00749
OG0000057	Prak.g_00253	Prau.g_00238, Prau.g_00784
OG0000058	Prak.g_00436	Prau.g_00516
OG0000059	Prak.g_00829	Prau.g_00738
OG0000062	Prak.g_01550	Prau.g_01174
OG0000063	Prak.g_01145	Prau.g_01318
OG0000065	Prak.g_01277	Prau.g_01371
OG0000066	Prak.g_01349	Prau.g_01430
OG0000068	Prak.g_01780	Prau.g_01869
OG0000071	Prak.g_00011	Prau.g_00011
OG0000072	Prak.g_00339	Prau.g_00324
OG0000073	Prak.g_01072	Prau.g_00709
OG0000074	Prak.g_00819	Prau.g_00731
OG0000075	Prak.g_00852	Prau.g_00861
OG0000076	Prak.g_00920	Prau.g_01089
OG0000077	Prak.g_01561	Prau.g_01666
OG0000078	Prak.g_01352	Prau.g_01435, Prau.g_01434, Prau.g_01491
OG0000079	Prak.g_01476	Prau.g_01609
OG0000080	Prak.g_00661	Prau.g_01658
OG0000081	Prak.g_01814	Prau.g_01899
OG0000082	Prak.g_00656	Prau.g_01297
OG0000083	Prak.g_00003	Prau.g_00003
OG0000084	Prak.g_00006	Prau.g_00006
OG0000085	Prak.g_00023	Prau.g_00023
OG0000087	Prak.g_00052	Prau.g_00057
OG0000088	Prak.g_00121	Prau.g_00114
OG0000089	Prak.g_00130	Prau.g_00122
OG0000090	Prak.g_00147	Prau.g_00140
OG0000091	Prak.g_00181	Prau.g_00170
OG0000092	Prak.g_00182	Prau.g_00171
OG0000093	Prak.g_00196	Prau.g_00185
OG0000094	Prak.g_00215	Prau.g_00203
OG0000095	Prak.g_00220	Prau.g_00208
OG0000096	Prak.g_00268	Prau.g_00253
OG0000097	Prak.g_00292	Prau.g_00276
OG0000099	Prak.g_00313	Prau.g_00296
OG0000100	Prak.g_00316	Prau.g_00299
OG0000101	Prak.g_00381	Prau.g_00359
OG0000102	Prak.g_01259	Prau.g_00386
OG0000103	Prak.g_00437	Prau.g_00517
OG0000104	Prak.g_00441	Prau.g_00521
OG0000105	Prak.g_00461	Prau.g_00540
OG0000106	Prak.g_00491	Prau.g_00572
OG0000107	Prak.g_00492	Prau.g_00573
OG0000108	Prak.g_00502	Prau.g_00583
OG0000109	Prak.g_00512	Prau.g_00592
OG0000110	Prak.g_00529	Prau.g_00608
OG0000111	Prak.g_01091	Prau.g_00691
OG0000112	Prak.g_01090	Prau.g_00692
OG0000113	Prak.g_01040	Prau.g_00777
OG0000114	Prak.g_00843	Prau.g_00852
OG0000115	Prak.g_00973	Prau.g_01015
OG0000116	Prak.g_00977	Prau.g_01019
OG0000117	Prak.g_00923	Prau.g_01086
OG0000118	Prak.g_01217	Prau.g_01136
OG0000119	Prak.g_01553	Prau.g_01177
OG0000120	Prak.g_01166	Prau.g_01212
OG0000121	Prak.g_01143	Prau.g_01231
OG0000122	Prak.g_01123	Prau.g_01250
OG0000123	Prak.g_00594	Prau.g_01263
OG0000124	Prak.g_01487	Prau.g_01271
OG0000125	Prak.g_01290	Prau.g_01383
OG0000126	Prak.g_01329	Prau.g_01409
OG0000127	Prak.g_01379	Prau.g_01515
OG0000128	Prak.g_01392	Prau.g_01532
OG0000129	Prak.g_01428	Prau.g_01568
OG0000130	Prak.g_01642	Prau.g_01730
OG0000131	Prak.g_01681	Prau.g_01768
OG0000132	Prak.g_01684	Prau.g_01771
OG0000133	Prak.g_01738	Prau.g_01828
OG0000134	Prak.g_01774	Prau.g_01864
OG0000135	Prak.g_01776	Prau.g_01866
OG0000136	Prak.g_01826	Prau.g_01910
OG0000137	Prak.g_01860	Prau.g_01942
OG0000138	Prak.g_01895	Prau.g_01978
OG0000139	Prak.g_01926	Prau.g_02004
OG0000140	Prak.g_00001	Prau.g_00001
OG0000141	Prak.g_00002	Prau.g_00002
OG0000142	Prak.g_00004	Prau.g_00004
OG0000143	Prak.g_00005	Prau.g_00005
OG0000144	Prak.g_00007	Prau.g_00007
OG0000145	Prak.g_00008	Prau.g_00008
OG0000146	Prak.g_00009	Prau.g_00009
OG0000147	Prak.g_00010	Prau.g_00010
OG0000148	Prak.g_00012	Prau.g_00012
OG0000149	Prak.g_00014	Prau.g_00014
OG0000150	Prak.g_00015	Prau.g_00015
OG0000151	Prak.g_00016	Prau.g_00016
OG0000152	Prak.g_00017	Prau.g_00017
OG0000153	Prak.g_00018	Prau.g_00018
OG0000154	Prak.g_00019	Prau.g_00019
OG0000155	Prak.g_00020	Prau.g_00020
OG0000156	Prak.g_00021	Prau.g_00021
OG0000157	Prak.g_00022	Prau.g_00022
OG0000158	Prak.g_00024	Prau.g_00024
OG0000159	Prak.g_00025	Prau.g_00025
OG0000160	Prak.g_00026	Prau.g_00026
OG0000161	Prak.g_00027	Prau.g_00027
OG0000162	Prak.g_00028	Prau.g_00028
OG0000163	Prak.g_00030	Prau.g_00029
OG0000164	Prak.g_00033	Prau.g_00031
OG0000165	Prak.g_00036	Prau.g_00034
OG0000166	Prak.g_00037	Prau.g_00035
OG0000167	Prak.g_00038	Prau.g_00036
OG0000168	Prak.g_00040	Prau.g_00047
OG0000169	Prak.g_00042	Prau.g_00049
OG0000170	Prak.g_00044	Prau.g_00050
OG0000171	Prak.g_00045	Prau.g_00051
OG0000172	Prak.g_00046	Prau.g_00053
OG0000173	Prak.g_00049	Prau.g_00054
OG0000174	Prak.g_00050	Prau.g_00055
