Orthogroup	Species	Prao	Orthologs
OG0000000	Syab	Prao.g_01294, Prao.g_01515, Prao.g_01514, Prao.g_01029, Prao.g_01528, Prao.g_01297, Prao.g_01296, Prao.g_01518	Syab.g_01226
OG0000000	Syal	Prao.g_01294, Prao.g_01515, Prao.g_01514, Prao.g_01029, Prao.g_01528, Prao.g_01297, Prao.g_01296, Prao.g_01518	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prao.g_01294	Pral.g_01331
OG0000000	Prat	Prao.g_01294	Prat.g_01191
OG0000000	Praj	Prao.g_01294	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prao.g_01294	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prao.g_01294	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prao.g_01294	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prao.g_01294	Pram.g_01561
OG0000000	Prbh	Prao.g_01294	Prbh.g_01853
OG0000000	Prai	Prao.g_01294	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prao.g_01294	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prao.g_01294	Pran.g_00582
OG0000000	Prag	Prao.g_01294	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prao.g_01294	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prao.g_01294	Prad.g_00352
OG0000000	Prav	Prao.g_01294	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Prao.g_01294	Prac.g_00159
OG0000000	Praq	Prao.g_01294	Praq.g_00117
OG0000000	Prar	Prao.g_01294	Prar.g_00971
OG0000000	Prae	Prao.g_01294	Prae.g_01310
OG0000000	Praa	Prao.g_01294	Praa.g_01300
OG0000000	Pras	Prao.g_01294	Pras.g_00184
OG0000000	Prau	Prao.g_01294	Prau.g_01352
OG0000000	Prax	Prao.g_01294	Prax.g_01917
OG0000000	Pray	Prao.g_01294	Pray.g_01888
OG0000000	Praz	Prao.g_01294	Praz.g_01198
OG0000000	Prba	Prao.g_01294	Prba.g_01174
OG0000000	Prbd	Prao.g_01294	Prbd.g_01833
OG0000000	Prbi	Prao.g_01294	Prbi.g_01373
OG0000000	Pral	Prao.g_01515	Pral.g_00037
OG0000000	Prak	Prao.g_01515	Prak.g_01562
OG0000000	Prap	Prao.g_01515	Prap.g_01862
OG0000000	Prbe	Prao.g_01515	Prbe.g_01119
OG0000000	Prbf	Prao.g_01515	Prbf.g_00776
OG0000000	Prbg	Prao.g_01515	Prbg.g_01567
OG0000000	Prbn	Prao.g_01515	Prbn.g_01662
OG0000000	Pram	Prao.g_01515	Pram.g_01511
OG0000000	Prbh	Prao.g_01515	Prbh.g_01903
OG0000000	Praj	Prao.g_01515	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prao.g_01515	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prao.g_01515	Prbc.g_02165
OG0000000	Prbm	Prao.g_01515	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prao.g_01515	Prat.g_01549
OG0000000	Praf	Prao.g_01515	Praf.g_00813
OG0000000	Prah	Prao.g_01515	Prah.g_01348
OG0000000	Prbj	Prao.g_01515	Prbj.g_00164
OG0000000	Prbk	Prao.g_01515	Prbk.g_00165
OG0000000	Prbl	Prao.g_01515	Prbl.g_00116
OG0000000	Prac	Prao.g_01515	Prac.g_00292
OG0000000	Praq	Prao.g_01515	Praq.g_00026
OG0000000	Prar	Prao.g_01515	Prar.g_00729
OG0000000	Prab	Prao.g_01515	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prao.g_01515	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prao.g_01515	Prag.g_00721, Prag.g_01648, Prag.g_01608
OG0000000	Praw	Prao.g_01515	Praw.g_01780, Praw.g_00494, Praw.g_00455
OG0000000	Praa	Prao.g_01515	Praa.g_01598
OG0000000	Pras	Prao.g_01515	Pras.g_00470
OG0000000	Prau	Prao.g_01515	Prau.g_01648
OG0000000	Prad	Prao.g_01515	Prad.g_00392
OG0000000	Prbd	Prao.g_01515	Prbd.g_01568
OG0000000	Prae	Prao.g_01515	Prae.g_01580
OG0000000	Prbi	Prao.g_01515	Prbi.g_01709
OG0000000	Pray	Prao.g_01515	Pray.g_01603
OG0000000	Praz	Prao.g_01515	Praz.g_00921
OG0000000	Prba	Prao.g_01515	Prba.g_00269
OG0000000	Prax	Prao.g_01515	Prax.g_01608
OG0000000	Prai	Prao.g_01515	Prai.g_01592
OG0000000	Prav	Prao.g_01515	Prav.g_01695
OG0000000	Praa	Prao.g_01514, Prao.g_01029	Praa.g_01597
OG0000000	Prbb	Prao.g_01514, Prao.g_01029	Prbb.g_00103
OG0000000	Praj	Prao.g_01514, Prao.g_01029	Praj.g_00087
OG0000000	Prbc	Prao.g_01514, Prao.g_01029	Prbc.g_00525
OG0000000	Prab	Prao.g_01514	Prab.g_00918, Prab.g_01620
OG0000000	Pran	Prao.g_01514	Pran.g_00579
OG0000000	Prbd	Prao.g_01514	Prbd.g_01569
OG0000000	Prab	Prao.g_01029	Prab.g_01278
OG0000000	Prab	Prao.g_01029	Prab.g_01597
OG0000000	Prac	Prao.g_01029	Prac.g_00926
OG0000000	Prad	Prao.g_01029	Prad.g_00393
OG0000000	Prad	Prao.g_01029	Prad.g_01435
OG0000000	Prae	Prao.g_01029	Prae.g_01222
OG0000000	Prae	Prao.g_01029	Prae.g_01579
OG0000000	Prag	Prao.g_01029	Prag.g_01213
OG0000000	Prag	Prao.g_01029	Prag.g_01607
OG0000000	Prag	Prao.g_01029	Prag.g_01650
OG0000000	Prai	Prao.g_01029	Prai.g_00908
OG0000000	Prai	Prao.g_01029	Prai.g_01234
OG0000000	Prai	Prao.g_01029	Prai.g_01591
OG0000000	Prai	Prao.g_01029	Prai.g_01775
OG0000000	Pran	Prao.g_01029	Pran.g_00001
OG0000000	Pran	Prao.g_01029	Pran.g_00602
OG0000000	Praq	Prao.g_01029	Praq.g_00025
OG0000000	Praq	Prao.g_01029	Praq.g_01392
OG0000000	Prar	Prao.g_01029	Prar.g_01204
OG0000000	Pras	Prao.g_01029	Pras.g_00117
OG0000000	Pras	Prao.g_01029	Pras.g_00469
OG0000000	Prau	Prao.g_01029	Prau.g_01266
OG0000000	Prau	Prao.g_01029	Prau.g_01647
OG0000000	Prav	Prao.g_01029	Prav.g_01694
OG0000000	Prav	Prao.g_01029	Prav.g_01821
OG0000000	Praw	Prao.g_01029	Praw.g_00294
OG0000000	Praw	Prao.g_01029	Praw.g_00454
OG0000000	Praw	Prao.g_01029	Praw.g_00496
OG0000000	Prax	Prao.g_01029	Prax.g_00259
OG0000000	Prax	Prao.g_01029	Prax.g_01609
OG0000000	Pray	Prao.g_01029	Pray.g_00003
OG0000000	Pray	Prao.g_01029	Pray.g_01604
OG0000000	Praz	Prao.g_01029	Praz.g_00694
OG0000000	Praz	Prao.g_01029	Praz.g_00922
OG0000000	Prba	Prao.g_01029	Prba.g_00003
OG0000000	Prba	Prao.g_01029	Prba.g_00270
OG0000000	Prbd	Prao.g_01029	Prbd.g_00528
OG0000000	Prbi	Prao.g_01029	Prbi.g_01268
OG0000000	Prbi	Prao.g_01029	Prbi.g_01708
OG0000000	Praj	Prao.g_01528, Prao.g_01297	Praj.g_01267
OG0000000	Prbb	Prao.g_01528, Prao.g_01297	Prbb.g_01313
OG0000000	Praf	Prao.g_01528, Prao.g_01297	Praf.g_01039, Praf.g_01042
OG0000000	Prah	Prao.g_01528, Prao.g_01297	Prah.g_01154, Prah.g_01152
OG0000000	Prab	Prao.g_01528, Prao.g_01297	Prab.g_01606
OG0000000	Pran	Prao.g_01528, Prao.g_01297	Pran.g_00593
OG0000000	Praw	Prao.g_01528, Prao.g_01297	Praw.g_00472
OG0000000	Prav	Prao.g_01528, Prao.g_01297	Prav.g_01730, Prav.g_01715
OG0000000	Prag	Prao.g_01528, Prao.g_01297	Prag.g_01626
OG0000000	Prbd	Prao.g_01528, Prao.g_01297	Prbd.g_01836
OG0000000	Prad	Prao.g_01528, Prao.g_01297	Prad.g_00372, Prad.g_00349
OG0000000	Prae	Prao.g_01528, Prao.g_01297	Prae.g_01300
OG0000000	Prbi	Prao.g_01528, Prao.g_01297	Prbi.g_01370
OG0000000	Praa	Prao.g_01297	Praa.g_01297
OG0000000	Prax	Prao.g_01297	Prax.g_01920
OG0000000	Praf	Prao.g_01296, Prao.g_01518	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prao.g_01296, Prao.g_01518	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prao.g_01296, Prao.g_01518	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prao.g_01296, Prao.g_01518	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prao.g_01296, Prao.g_01518	Prbl.g_00118, Prbl.g_00117
OG0000000	Prac	Prao.g_01296	Prac.g_00290
OG0000000	Praq	Prao.g_01296	Praq.g_00028
OG0000000	Prar	Prao.g_01296	Prar.g_00727
OG0000000	Prai	Prao.g_01296	Prai.g_01314
OG0000000	Prab	Prao.g_01296	Prab.g_01308
OG0000000	Pran	Prao.g_01296	Pran.g_00894
OG0000000	Prau	Prao.g_01296	Prau.g_01350
OG0000000	Pray	Prao.g_01296	Pray.g_01890
OG0000000	Praz	Prao.g_01296	Praz.g_01200
OG0000000	Prba	Prao.g_01296	Prba.g_01172
OG0000000	Pras	Prao.g_01296	Pras.g_00182
OG0000000	Prad	Prao.g_01296	Prad.g_00350
OG0000000	Prae	Prao.g_01296	Prae.g_01308
OG0000000	Prav	Prao.g_01296	Prav.g_01413
OG0000000	Praa	Prao.g_01296	Praa.g_01298
OG0000000	Prag	Prao.g_01296	Prag.g_01333
OG0000000	Praw	Prao.g_01296	Praw.g_00959
OG0000000	Prax	Prao.g_01296	Prax.g_01919
OG0000000	Prbd	Prao.g_01296	Prbd.g_01835
OG0000000	Prbi	Prao.g_01296	Prbi.g_01371
OG0000000	Prai	Prao.g_01518	Prai.g_01596
OG0000000	Pras	Prao.g_01518	Pras.g_00471
OG0000000	Prau	Prao.g_01518	Prau.g_01650
OG0000000	Prad	Prao.g_01518	Prad.g_00389
OG0000000	Prag	Prao.g_01518	Prag.g_01649, Prag.g_01610
OG0000000	Praw	Prao.g_01518	Praw.g_00495, Praw.g_00457
OG0000000	Prav	Prao.g_01518	Prav.g_01698
OG0000000	Pray	Prao.g_01518	Pray.g_01602
OG0000000	Praz	Prao.g_01518	Praz.g_00920
OG0000000	Prba	Prao.g_01518	Prba.g_00268
OG0000000	Prbd	Prao.g_01518	Prbd.g_01567
OG0000000	Prbi	Prao.g_01518	Prbi.g_01710
OG0000000	Prae	Prao.g_01518	Prae.g_01581
OG0000000	Prax	Prao.g_01518	Prax.g_01606
OG0000000	Praa	Prao.g_01518	Praa.g_01599
OG0000001	Syar	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syar.g_00069
OG0000001	Syao	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syao.g_00314
OG0000001	Syat	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syak.g_00342
OG0000001	Syag	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syag.g_00575
OG0000001	Syab	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syab.g_01549
OG0000001	Syal	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syal.g_02193
OG0000001	Prbj	Prao.g_01254, Prao.g_01852, Prao.g_01529	Prbj.g_00672, Prbj.g_00169
OG0000001	Prbk	Prao.g_01254, Prao.g_01852, Prao.g_01529	Prbk.g_01196, Prbk.g_00170
OG0000001	Prbl	Prao.g_01254, Prao.g_01852, Prao.g_01529	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Praf	Prao.g_01254, Prao.g_01852, Prao.g_01529	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Prah	Prao.g_01254, Prao.g_01852, Prao.g_01529	Prah.g_00324, Prah.g_01343
OG0000001	Syam	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syam.g_00946
OG0000001	Syad	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syad.g_00628
OG0000001	Syaj	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syaj.g_02674
OG0000001	Syae	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syae.g_02061
OG0000001	Syac	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syac.g_02154
OG0000001	Syah	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syah.g_00726
OG0000001	Syaf	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syaf.g_01640
OG0000001	Syai	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syai.g_01716
OG0000001	Prad	Prao.g_01254	Prad.g_00609
OG0000001	Prac	Prao.g_01254	Prac.g_00202
OG0000001	Praq	Prao.g_01254	Praq.g_00160
OG0000001	Prar	Prao.g_01254	Prar.g_00926
OG0000001	Prbd	Prao.g_01254	Prbd.g_01779
OG0000001	Prae	Prao.g_01254	Prae.g_01353
OG0000001	Praa	Prao.g_01254	Praa.g_01351
OG0000001	Pray	Prao.g_01254	Pray.g_01844
OG0000001	Praz	Prao.g_01254	Praz.g_01154
OG0000001	Prba	Prao.g_01254	Prba.g_00211
OG0000001	Prai	Prao.g_01254	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Prao.g_01254	Prau.g_01394
OG0000001	Pras	Prao.g_01254	Pras.g_00235
OG0000001	Prax	Prao.g_01254	Prax.g_01878
OG0000001	Prbi	Prao.g_01254	Prbi.g_01424
OG0000001	Prav	Prao.g_01254	Prav.g_01458
