Orthogroup	Prab	Prax
OG0000000	Prab.g_00915, Prab.g_01617	Prax.g_01917
OG0000000	Prab.g_01598	Prax.g_01608
OG0000000	Prab.g_01278	Prax.g_00259
OG0000000	Prab.g_01278	Prax.g_01609
OG0000000	Prab.g_01597	Prax.g_00259
OG0000000	Prab.g_01597	Prax.g_01609
OG0000000	Prab.g_01606	Prax.g_01920
OG0000000	Prab.g_01308	Prax.g_01919
OG0000001	Prab.g_00788	Prax.g_00522
OG0000002	Prab.g_00683	Prax.g_00964
OG0000004	Prab.g_00700	Prax.g_00947
OG0000004	Prab.g_00223	Prax.g_00986
OG0000005	Prab.g_01682	Prax.g_01546
OG0000005	Prab.g_01542	Prax.g_01652
OG0000006	Prab.g_00231	Prax.g_01972
OG0000007	Prab.g_00501	Prax.g_00704
OG0000007	Prab.g_01669	Prax.g_01559
OG0000008	Prab.g_00677	Prax.g_00970
OG0000009	Prab.g_01584	Prax.g_01950, Prax.g_01617
OG0000010	Prab.g_00478	Prax.g_00728
OG0000010	Prab.g_01104	Prax.g_01212
OG0000011	Prab.g_01624	Prax.g_00460
OG0000011	Prab.g_00799	Prax.g_00454
OG0000012	Prab.g_00627	Prax.g_00082
OG0000013	Prab.g_00315	Prax.g_00846
OG0000014	Prab.g_00294	Prax.g_00869
OG0000014	Prab.g_01444, Prab.g_01445	Prax.g_01763
OG0000015	Prab.g_00789	Prax.g_00523, Prax.g_00410
OG0000017	Prab.g_00602	Prax.g_00057
OG0000018	Prab.g_00867	Prax.g_00346
OG0000018	Prab.g_01201	Prax.g_00181
OG0000019	Prab.g_00239	Prax.g_00926
OG0000019	Prab.g_00820	Prax.g_00393
OG0000020	Prab.g_01162	Prax.g_00138
OG0000021	Prab.g_00354	Prax.g_01587, Prax.g_00808
OG0000022	Prab.g_01182	Prax.g_00157
OG0000022	Prab.g_00782	Prax.g_00415
OG0000023	Prab.g_00348	Prax.g_00813
OG0000024	Prab.g_00763	Prax.g_00432
OG0000024	Prab.g_00680	Prax.g_00967
OG0000025	Prab.g_00319	Prax.g_00842
OG0000025	Prab.g_00874	Prax.g_00338
OG0000026	Prab.g_01629	Prax.g_00458
OG0000026	Prab.g_00031	Prax.g_00282
OG0000026	Prab.g_01111	Prax.g_01220
OG0000027	Prab.g_00914, Prab.g_01616	Prax.g_01916
OG0000028	Prab.g_00308	Prax.g_00855
OG0000029	Prab.g_00773	Prax.g_00425
OG0000030	Prab.g_01867	Prax.g_01404
OG0000031	Prab.g_01446	Prax.g_01831
OG0000033	Prab.g_00160	Prax.g_01049
OG0000034	Prab.g_01336	Prax.g_01889
OG0000035	Prab.g_01466	Prax.g_01728, Prax.g_01733
OG0000037	Prab.g_00100	Prax.g_01110
OG0000038	Prab.g_01908	Prax.g_01445
OG0000039	Prab.g_00691	Prax.g_00956
OG0000040	Prab.g_01623	Prax.g_01591
OG0000040	Prab.g_01200	Prax.g_00180
OG0000041	Prab.g_01715	Prax.g_01512
OG0000042	Prab.g_01864	Prax.g_01401
OG0000043	Prab.g_01100	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000045	Prab.g_00360	Prax.g_00802
OG0000047	Prab.g_00318	Prax.g_00843
OG0000048	Prab.g_00411	Prax.g_00173
OG0000048	Prab.g_00363	Prax.g_00512, Prax.g_00799
OG0000049	Prab.g_00372	Prax.g_00791
OG0000049	Prab.g_00971	Prax.g_01958
OG0000050	Prab.g_00394	Prax.g_00448
OG0000050	Prab.g_01645	Prax.g_00508
OG0000050	Prab.g_01130	Prax.g_01240
OG0000051	Prab.g_01304	Prax.g_01927
OG0000053	Prab.g_01486	Prax.g_01708
OG0000054	Prab.g_00610	Prax.g_00065
OG0000055	Prab.g_00821	Prax.g_00392
OG0000057	Prab.g_00703	Prax.g_00944
OG0000058	Prab.g_01393	Prax.g_01823
OG0000059	Prab.g_01754	Prax.g_01286
OG0000060	Prab.g_00784	Prax.g_00517
OG0000061	Prab.g_01219	Prax.g_00200
OG0000062	Prab.g_01544	Prax.g_01650
OG0000063	Prab.g_00033	Prax.g_00280
OG0000065	Prab.g_00098	Prax.g_01112
OG0000066	Prab.g_00543	Prax.g_00662
OG0000067	Prab.g_00840	Prax.g_00373
OG0000068	Prab.g_01360	Prax.g_01863
OG0000069	Prab.g_01585	Prax.g_01616
