Orthogroup	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
OG0004269	Praa.g_00059																																							
OG0004270	Praa.g_00542																																							
OG0004271	Praa.g_00709																																							
OG0004272	Praa.g_01334																																							
OG0004273	Praa.g_01335																																							
OG0004274	Praa.g_01337																																							
OG0004275	Praa.g_01338																																							
OG0004276	Praa.g_01344																																							
OG0004277	Praa.g_01345																																							
OG0004278	Praa.g_01346																																							
OG0004279	Praa.g_01401																																							
OG0004280	Praa.g_01402																																							
OG0004281	Praa.g_01406																																							
OG0004282	Praa.g_01418																																							
OG0004283	Praa.g_01419																																							
OG0004284	Praa.g_01431																																							
OG0004285	Praa.g_01433																																							
OG0004286	Praa.g_01445																																							
OG0004287	Praa.g_01540																																							
OG0004288	Praa.g_01664																																							
OG0004289		Prab.g_00628																																						
OG0004290			Prac.g_00662																																					
OG0004291			Prac.g_00774																																					
OG0004292			Prac.g_01087																																					
OG0004293			Prac.g_01877																																					
OG0004294				Prad.g_00071																																				
OG0004295				Prad.g_00083																																				
OG0004296				Prad.g_00086																																				
OG0004297				Prad.g_00314																																				
OG0004298				Prad.g_00355																																				
OG0004299				Prad.g_00495																																				
OG0004300				Prad.g_00539																																				
OG0004301				Prad.g_00549																																				
OG0004302				Prad.g_00550																																				
OG0004303				Prad.g_00552																																				
OG0004304				Prad.g_00554																																				
OG0004305				Prad.g_00556																																				
OG0004306				Prad.g_00557																																				
OG0004307				Prad.g_00559																																				
OG0004308				Prad.g_00632																																				
OG0004309				Prad.g_00954																																				
OG0004310				Prad.g_01028																																				
OG0004311				Prad.g_01208																																				
OG0004312				Prad.g_01319																																				
OG0004313				Prad.g_01328																																				
OG0004314				Prad.g_01470																																				
OG0004315				Prad.g_01942																																				
OG0004316				Prad.g_01984																																				
OG0004317				Prad.g_01986																																				
OG0004318					Prae.g_00057																																			
OG0004319					Prae.g_00144																																			
