Orthogroup	Prbd	Syai
OG0000001	Prbd.g_01779	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prbd.g_01771, Prbd.g_00566	Syai.g_01728
OG0000004	Prbd.g_00549	Syai.g_01994
OG0000004	Prbd.g_01007	Syai.g_01062, Syai.g_00530
OG0000005	Prbd.g_01512	Syai.g_02393
OG0000005	Prbd.g_01612	Syai.g_02356
OG0000006	Prbd.g_00998	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prbd.g_00745	Syai.g_00657
OG0000007	Prbd.g_01525	Syai.g_02378
OG0000009	Prbd.g_01887, Prbd.g_01576	Syai.g_01626
OG0000009	Prbd.g_01139	Syai.g_02541
OG0000010	Prbd.g_00348	Syai.g_00864
OG0000011	Prbd.g_01859	Syai.g_01894, Syai.g_00582
OG0000011	Prbd.g_00534, Prbd.g_01867	Syai.g_01952
OG0000012	Prbd.g_00621	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Prbd.g_00912	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prbd.g_00933	Syai.g_00220
OG0000015	Prbd.g_00065, Prbd.g_00826	Syai.g_01246, Syai.g_01245
OG0000016	Prbd.g_01224	Syai.g_00014
OG0000017	Prbd.g_00646	Syai.g_00801, Syai.g_00808
OG0000018	Prbd.g_00449	Syai.g_00915
OG0000019	Prbd.g_00990, Prbd.g_00082	Syai.g_00304
OG0000020	Prbd.g_00406	Syai.g_00476
OG0000021	Prbd.g_01546, Prbd.g_00874	Syai.g_00556
OG0000022	Prbd.g_00423	Syai.g_01159
OG0000023	Prbd.g_00879	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prbd.g_00045, Prbd.g_00569	Syai.g_01951
OG0000025	Prbd.g_00908, Prbd.g_00137	Syai.g_02044
OG0000026	Prbd.g_01206, Prbd.g_00355	Syai.g_00038
OG0000027	Prbd.g_00772, Prbd.g_01832	Syai.g_01128, Syai.g_01654
OG0000028	Prbd.g_01864, Prbd.g_00919	Syai.g_00205
OG0000029	Prbd.g_00052, Prbd.g_00863	Syai.g_01035, Syai.g_01584
