Orthogroup	Praq	Prau
OG0000000	Praq.g_00117	Prau.g_01352
OG0000000	Praq.g_01956	Prau.g_01665
OG0000000	Praq.g_00026	Prau.g_01648
OG0000000	Praq.g_00025	Prau.g_01266
OG0000000	Praq.g_00025	Prau.g_01647
OG0000000	Praq.g_01392	Prau.g_01266
OG0000000	Praq.g_01392	Prau.g_01647
OG0000000	Praq.g_00028	Prau.g_01350
OG0000001	Praq.g_00160	Prau.g_01394
OG0000001	Praq.g_01394	Prau.g_01267, Prau.g_01269
OG0000002	Praq.g_00168	Prau.g_01402
OG0000002	Praq.g_00807	Prau.g_00718
OG0000004	Praq.g_00824	Prau.g_00735
OG0000004	Praq.g_01770	Prau.g_00233
OG0000005	Praq.g_00484	Prau.g_01745
OG0000005	Praq.g_00370	Prau.g_01607
OG0000006	Praq.g_01761	Prau.g_01316
OG0000007	Praq.g_01105	Prau.g_00538
OG0000007	Praq.g_00497	Prau.g_01732
OG0000008	Praq.g_00071	Prau.g_00781
OG0000008	Praq.g_00801	Prau.g_00712
OG0000009	Praq.g_00017	Prau.g_01641
OG0000009	Praq.g_01898	Prau.g_00106
OG0000010	Praq.g_00552	Prau.g_01698
OG0000010	Praq.g_01626	Prau.g_01096
OG0000010	Praq.g_00525	Prau.g_00515
OG0000011	Praq.g_00110	Prau.g_00441
OG0000011	Praq.g_00100	Prau.g_01307, Prau.g_01335
OG0000012	Praq.g_00979	Prau.g_00663
OG0000013	Praq.g_01675	Prau.g_00329
OG0000014	Praq.g_01696	Prau.g_00308
OG0000015	Praq.g_00065	Prau.g_00817
OG0000017	Praq.g_01004	Prau.g_00636
OG0000018	Praq.g_01314	Prau.g_01188
OG0000018	Praq.g_01425	Prau.g_00881
OG0000019	Praq.g_01753	Prau.g_00251
OG0000019	Praq.g_00649	Prau.g_00834
OG0000020	Praq.g_01281	Prau.g_01153
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Prau.g_01704
OG0000021	Praq.g_01179	Prau.g_00367
OG0000022	Praq.g_00635	Prau.g_00814
OG0000022	Praq.g_01296	Prau.g_01170
OG0000023	Praq.g_01184	Prau.g_00362
OG0000024	Praq.g_00618	Prau.g_00796
OG0000024	Praq.g_00804	Prau.g_00715
OG0000025	Praq.g_01432	Prau.g_00888
OG0000025	Praq.g_01671	Prau.g_00333
OG0000026	Praq.g_01234	Prau.g_00030
OG0000026	Praq.g_01633	Prau.g_01103
OG0000028	Praq.g_01682	Prau.g_00322
OG0000028	Praq.g_00103	Prau.g_01338
OG0000029	Praq.g_01168	Prau.g_00378
OG0000029	Praq.g_00627	Prau.g_00804
OG0000030	Praq.g_00772	Prau.g_01935
OG0000031	Praq.g_00209	Prau.g_01431, Prau.g_01469
OG0000032	Praq.g_00202	Prau.g_01475, Prau.g_01446
OG0000033	Praq.g_01833	Prau.g_00170
OG0000034	Praq.g_00143	Prau.g_01381
OG0000035	Praq.g_00294	Prau.g_01531, Prau.g_01528
OG0000037	Praq.g_01894	Prau.g_00110
OG0000038	Praq.g_00716	Prau.g_01976
OG0000039	Praq.g_00815	Prau.g_00726
OG0000040	Praq.g_01955	Prau.g_01662
OG0000040	Praq.g_01313	Prau.g_01187
OG0000041	Praq.g_00451	Prau.g_01778
OG0000042	Praq.g_00770	Prau.g_01932
OG0000043	Praq.g_01469	Prau.g_00926
OG0000045	Praq.g_00567	Prau.g_01682
OG0000045	Praq.g_01172	Prau.g_00374
OG0000047	Praq.g_01137	Prau.g_00414
OG0000047	Praq.g_01672	Prau.g_00332
OG0000048	Praq.g_01169	Prau.g_00377
OG0000049	Praq.g_01159	Prau.g_00387
OG0000049	Praq.g_00085	Prau.g_01319
OG0000049	Praq.g_00046	Prau.g_01303
OG0000050	Praq.g_01654	Prau.g_01123
OG0000053	Praq.g_01246	Prau.g_00040
OG0000053	Praq.g_00314	Prau.g_01551
OG0000054	Praq.g_00996	Prau.g_00644
OG0000055	Praq.g_00650	Prau.g_00835
OG0000057	Praq.g_00827	Prau.g_00738
OG0000058	Praq.g_00271	Prau.g_01432, Prau.g_01460
OG0000059	Praq.g_00927	Prau.g_01818
OG0000061	Praq.g_01333	Prau.g_01206
OG0000062	Praq.g_00372	Prau.g_01609
OG0000063	Praq.g_01237	Prau.g_00032
OG0000063	Praq.g_00075	Prau.g_01295
OG0000065	Praq.g_01896	Prau.g_00108
OG0000066	Praq.g_01063	Prau.g_00579
OG0000068	Praq.g_00175	Prau.g_01409
OG0000069	Praq.g_00056	Prau.g_01285
OG0000069	Praq.g_00018	Prau.g_01642
OG0000070	Praq.g_01107	Prau.g_00491
OG0000071	Praq.g_00133	Prau.g_01371
OG0000072	Praq.g_01831	Prau.g_00172
OG0000073	Praq.g_01103	Prau.g_00540
OG0000074	Praq.g_00811	Prau.g_00722
OG0000075	Praq.g_00739	Prau.g_01901
OG0000076	Praq.g_01243	Prau.g_00037
OG0000076	Praq.g_00763	Prau.g_01925
OG0000077	Praq.g_01925	Prau.g_00079
OG0000078	Praq.g_01763	Prau.g_00240
OG0000081	Praq.g_01071	Prau.g_00571
OG0000082	Praq.g_01018	Prau.g_00624
OG0000083	Praq.g_00614	Prau.g_00792
OG0000083	Praq.g_00607	Prau.g_00785
OG0000084	Praq.g_00290	Prau.g_01524
OG0000086	Praq.g_01915	Prau.g_00089
OG0000087	Praq.g_01864	Prau.g_00140
OG0000088	Praq.g_01836	Prau.g_00167
OG0000089	Praq.g_01188	Prau.g_00358
OG0000090	Praq.g_01069	Prau.g_00573
OG0000091	Praq.g_00960	Prau.g_00682
OG0000092	Praq.g_01495	Prau.g_00961
OG0000092	Praq.g_00725	Prau.g_00052
OG0000093	Praq.g_01516	Prau.g_00983
OG0000094	Praq.g_01600	Prau.g_01070
OG0000095	Praq.g_01619	Prau.g_01089
OG0000096	Praq.g_01283	Prau.g_01156
OG0000096	Praq.g_00097	Prau.g_01331
OG0000097	Praq.g_01374	Prau.g_01247
OG0000098	Praq.g_00157	Prau.g_01391
OG0000099	Praq.g_00216	Prau.g_01434, Prau.g_01435
OG0000100	Praq.g_00368	Prau.g_01605
OG0000101	Praq.g_00879	Prau.g_01869
OG0000102	Praq.g_00768	Prau.g_01930
OG0000103	Praq.g_00414	Prau.g_02009
OG0000104	Praq.g_00422	Prau.g_02018
OG0000105	Praq.g_01729	Prau.g_00276
OG0000106	Praq.g_01173	Prau.g_00373
OG0000107	Praq.g_01158	Prau.g_00389
OG0000108	Praq.g_00531	Prau.g_00521
OG0000109	Praq.g_00545	Prau.g_00535
OG0000110	Praq.g_01028	Prau.g_00614
OG0000111	Praq.g_00828	Prau.g_00739
OG0000112	Praq.g_00638	Prau.g_00818
OG0000113	Praq.g_01420	Prau.g_00876
OG0000114	Praq.g_01490	Prau.g_00956
OG0000115	Praq.g_01278	Prau.g_01148
OG0000116	Praq.g_01323	Prau.g_01197
OG0000117	Praq.g_00084	Prau.g_01318
OG0000118	Praq.g_00145	Prau.g_01383
OG0000119	Praq.g_00171	Prau.g_01405
OG0000120	Praq.g_00208	Prau.g_01430
OG0000121	Praq.g_00296	Prau.g_01533
OG0000122	Praq.g_00334	Prau.g_01571
OG0000123	Praq.g_00873	Prau.g_01876
OG0000124	Praq.g_00682	Prau.g_01941
OG0000125	Praq.g_00718	Prau.g_01978
OG0000126	Praq.g_00421	Prau.g_02017
OG0000128	Praq.g_00437	Prau.g_00011
OG0000129	Praq.g_01259	Prau.g_00051
OG0000130	Praq.g_01934	Prau.g_00071
OG0000131	Praq.g_01857	Prau.g_00146
OG0000132	Praq.g_01838	Prau.g_00165
OG0000133	Praq.g_01680	Prau.g_00324
OG0000134	Praq.g_01187	Prau.g_00359
OG0000135	Praq.g_01160	Prau.g_00386
OG0000136	Praq.g_01116	Prau.g_00482
OG0000137	Praq.g_00526	Prau.g_00516
OG0000138	Praq.g_00546	Prau.g_00536
OG0000139	Praq.g_01065	Prau.g_00577
OG0000140	Praq.g_01064	Prau.g_00578
OG0000141	Praq.g_00995	Prau.g_00645
OG0000142	Praq.g_00967	Prau.g_00675
OG0000143	Praq.g_00963	Prau.g_00679
OG0000144	Praq.g_00781	Prau.g_00692
OG0000145	Praq.g_00637	Prau.g_00816
OG0000146	Praq.g_00639	Prau.g_00819
OG0000147	Praq.g_00640	Prau.g_00820
OG0000148	Praq.g_01414	Prau.g_00870
OG0000149	Praq.g_01444	Prau.g_00900
OG0000150	Praq.g_01452	Prau.g_00909
OG0000151	Praq.g_01500	Prau.g_00966
OG0000152	Praq.g_01548	Prau.g_01015
OG0000153	Praq.g_01567	Prau.g_01034
OG0000154	Praq.g_01593	Prau.g_01063
OG0000155	Praq.g_01353	Prau.g_01226
OG0000156	Praq.g_00122	Prau.g_01359
OG0000157	Praq.g_00123	Prau.g_01360
OG0000158	Praq.g_00258	Prau.g_01436
OG0000159	Praq.g_00253	Prau.g_01457
OG0000160	Praq.g_00295	Prau.g_01532
OG0000161	Praq.g_00301	Prau.g_01538
