Orthogroup	Pras	Syab
OG0000000	Pras.g_00184, Pras.g_00136, Pras.g_00493, Pras.g_00470, Pras.g_00117, Pras.g_00469, Pras.g_00182, Pras.g_00471	Syab.g_01226
OG0000001	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541	Syab.g_01549
OG0000002	Pras.g_00243, Pras.g_01554	Syab.g_02285
OG0000004	Pras.g_01571	Syab.g_00549, Syab.g_01193
OG0000004	Pras.g_01084	Syab.g_01911, Syab.g_02377
OG0000005	Pras.g_00563	Syab.g_02289
OG0000005	Pras.g_00429	Syab.g_02806, Syab.g_02232
OG0000006	Pras.g_00148, Pras.g_01093	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Pras.g_01375	Syab.g_02117
OG0000007	Pras.g_00550	Syab.g_02256
OG0000009	Pras.g_00157, Pras.g_00463	Syab.g_00995
OG0000009	Pras.g_00956	Syab.g_02498
OG0000010	Pras.g_00523, Pras.g_01942, Pras.g_01352	Syab.g_00696
OG0000011	Pras.g_00142, Pras.g_00166	Syab.g_01491
OG0000012	Pras.g_01499	Syab.g_01774, Syab.g_00953
OG0000013	Pras.g_01179	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Pras.g_01158	Syab.g_00249
OG0000016	Pras.g_00855	Syab.g_00014
OG0000017	Pras.g_01474	Syab.g_01953
OG0000018	Pras.g_00037, Pras.g_01728	Syab.g_00742
OG0000019	Pras.g_01101, Pras.g_01681	Syab.g_00344
OG0000020	Pras.g_00001, Pras.g_00530	Syab.g_02230
OG0000022	Pras.g_01662, Pras.g_00019	Syab.g_01825
OG0000023	Pras.g_01213	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Pras.g_01645, Pras.g_01551	Syab.g_01834
OG0000025	Pras.g_01735, Pras.g_01183	Syab.g_01705
OG0000026	Pras.g_00873, Pras.g_01949	Syab.g_00036
OG0000027	Pras.g_01348, Pras.g_00185	Syab.g_01782
OG0000028	Pras.g_01172, Pras.g_00169	Syab.g_00234
OG0000030	Pras.g_00753	Syab.g_00096, Syab.g_00095
OG0000032	Pras.g_00326	Syab.g_00149, Syab.g_00182
OG0000033	Pras.g_01020	Syab.g_02590
OG0000034	Pras.g_00219	Syab.g_00900, Syab.g_02560
