Orthogroup	Syap	Prau
OG0000004	Syap.g_01987	Prau.g_00233
OG0000005	Syap.g_01773	Prau.g_01745
OG0000005	Syap.g_01218	Prau.g_01607
OG0000007	Syap.g_00275	Prau.g_00538
OG0000007	Syap.g_00621	Prau.g_01732
OG0000009	Syap.g_02081	Prau.g_00106
OG0000010	Syap.g_02757	Prau.g_01698, Prau.g_01096, Prau.g_00515
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prau.g_00329
OG0000014	Syap.g_01675	Prau.g_00308
OG0000014	Syap.g_00813	Prau.g_01470
OG0000016	Syap.g_00071	Prau.g_00013
OG0000017	Syap.g_00449	Prau.g_00636
OG0000018	Syap.g_02010	Prau.g_01188, Prau.g_00881
OG0000019	Syap.g_01586	Prau.g_00251, Prau.g_00834
OG0000025	Syap.g_01846	Prau.g_00888, Prau.g_00333
OG0000027	Syap.g_01440	Prau.g_01353
OG0000028	Syap.g_01658	Prau.g_00322, Prau.g_01338
OG0000030	Syap.g_00787, Syap.g_00788	Prau.g_01935
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prau.g_01475, Prau.g_01446
OG0000033	Syap.g_01198	Prau.g_01465, Prau.g_00170
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prau.g_01381
OG0000035	Syap.g_02465	Prau.g_01531, Prau.g_01528
OG0000037	Syap.g_02492	Prau.g_00110
OG0000038	Syap.g_00139	Prau.g_01976
OG0000039	Syap.g_01749, Syap.g_01748	Prau.g_00726
OG0000042	Syap.g_01891, Syap.g_01120	Prau.g_01932
OG0000043	Syap.g_01998	Prau.g_00926, Prau.g_01321
OG0000045	Syap.g_02525	Prau.g_01682, Prau.g_00374
OG0000048	Syap.g_02340	Prau.g_00377
OG0000051	Syap.g_01574	Prau.g_01347, Prau.g_01275, Prau.g_01681
OG0000053	Syap.g_02006	Prau.g_00040, Prau.g_01551
OG0000054	Syap.g_00678	Prau.g_00644
OG0000059	Syap.g_01082, Syap.g_02478	Prau.g_01818
OG0000061	Syap.g_00228	Prau.g_01206
OG0000062	Syap.g_01365	Prau.g_01609
OG0000063	Syap.g_01796	Prau.g_00032, Prau.g_01295
OG0000066	Syap.g_01972	Prau.g_00579
OG0000067	Syap.g_00194	Prau.g_00854
OG0000068	Syap.g_00108, Syap.g_00144	Prau.g_01409
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prau.g_00491
OG0000072	Syap.g_00555	Prau.g_00172
OG0000073	Syap.g_00273, Syap.g_01020	Prau.g_00540
OG0000075	Syap.g_01064, Syap.g_00664	Prau.g_01901
OG0000076	Syap.g_01111	Prau.g_00037, Prau.g_01925
OG0000079	Syap.g_01589	Prau.g_00254
OG0000080	Syap.g_01003	Prau.g_01440
OG0000085	Syap.g_00611	Prau.g_01725
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prau.g_00140
OG0000088	Syap.g_01202	Prau.g_00167
OG0000089	Syap.g_00115, Syap.g_02042	Prau.g_00358
OG0000090	Syap.g_01451	Prau.g_00573
OG0000091	Syap.g_01861	Prau.g_00682
OG0000094	Syap.g_02781	Prau.g_01070
OG0000095	Syap.g_01556	Prau.g_01089
OG0000098	Syap.g_01975	Prau.g_01391
OG0000099	Syap.g_01385	Prau.g_01434, Prau.g_01435
OG0000101	Syap.g_00472	Prau.g_01869
OG0000102	Syap.g_01116	Prau.g_01930
OG0000103	Syap.g_02607, Syap.g_02608	Prau.g_02009
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prau.g_02018
OG0000105	Syap.g_01369, Syap.g_01368	Prau.g_00276
OG0000107	Syap.g_02496	Prau.g_00389
OG0000108	Syap.g_00733, Syap.g_02255	Prau.g_00521
OG0000109	Syap.g_00279, Syap.g_02237	Prau.g_00535
OG0000110	Syap.g_01313	Prau.g_00614
OG0000111	Syap.g_01566, Syap.g_01568	Prau.g_00739
OG0000112	Syap.g_02023	Prau.g_00818
OG0000113	Syap.g_02714	Prau.g_00876
OG0000114	Syap.g_01255	Prau.g_00956
OG0000115	Syap.g_02004	Prau.g_01148
OG0000116	Syap.g_00241	Prau.g_01197
OG0000117	Syap.g_01889	Prau.g_01318
OG0000118	Syap.g_02286	Prau.g_01383
OG0000120	Syap.g_02075	Prau.g_01430
OG0000121	Syap.g_02471	Prau.g_01533
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prau.g_01876
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prau.g_01941
OG0000125	Syap.g_01046, Syap.g_01047	Prau.g_01978
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prau.g_02017
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Prau.g_01292
OG0000128	Syap.g_00069	Prau.g_00011
OG0000129	Syap.g_00130, Syap.g_00129	Prau.g_00051
OG0000130	Syap.g_01688, Syap.g_01689	Prau.g_00071
OG0000131	Syap.g_02189	Prau.g_00146
OG0000132	Syap.g_01205	Prau.g_00165
OG0000133	Syap.g_02017	Prau.g_00324
OG0000134	Syap.g_02047	Prau.g_00359
OG0000135	Syap.g_02090	Prau.g_00386
OG0000136	Syap.g_00089	Prau.g_00482
OG0000137	Syap.g_02756	Prau.g_00516
OG0000138	Syap.g_00278	Prau.g_00536
OG0000139	Syap.g_00410	Prau.g_00577
OG0000140	Syap.g_01976	Prau.g_00578
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prau.g_00645
OG0000142	Syap.g_00895, Syap.g_00894	Prau.g_00675
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prau.g_00679
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prau.g_00692
OG0000145	Syap.g_01860, Syap.g_01859	Prau.g_00816
OG0000146	Syap.g_02024	Prau.g_00819
OG0000147	Syap.g_02025	Prau.g_00820
OG0000148	Syap.g_02720	Prau.g_00870
OG0000149	Syap.g_00824	Prau.g_00900
OG0000150	Syap.g_01540	Prau.g_00909
OG0000151	Syap.g_00142	Prau.g_00966
OG0000152	Syap.g_02012	Prau.g_01015
OG0000153	Syap.g_02682	Prau.g_01034
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prau.g_01063
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prau.g_01226
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prau.g_01359
OG0000157	Syap.g_00249, Syap.g_00286	Prau.g_01360
OG0000158	Syap.g_01075	Prau.g_01436
OG0000159	Syap.g_00852	Prau.g_01433, Prau.g_01457
OG0000160	Syap.g_02470, Syap.g_02469	Prau.g_01532
OG0000161	Syap.g_02476	Prau.g_01538
OG0000162	Syap.g_02531	Prau.g_01544
OG0000164	Syap.g_01391, Syap.g_01392	Prau.g_01756
OG0000165	Syap.g_01381, Syap.g_01382	Prau.g_01763
OG0000166	Syap.g_00512, Syap.g_01238	Prau.g_01833
OG0000167	Syap.g_02080	Prau.g_01899
OG0000168	Syap.g_01076	Prau.g_01909
OG0000169	Syap.g_01049, Syap.g_01093	Prau.g_01919
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prau.g_01921
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prau.g_01940
OG0000172	Syap.g_01143, Syap.g_00635	Prau.g_01949
OG0000173	Syap.g_00982, Syap.g_00983	Prau.g_01964
OG0000174	Syap.g_02092	Prau.g_01991
OG0000175	Syap.g_02654	Prau.g_02001
OG0000176	Syap.g_00059	Prau.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Prau.g_00005
OG0000178	Syap.g_00062	Prau.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Prau.g_00016
OG0000180	Syap.g_00078, Syap.g_02640	Prau.g_00017
OG0000181	Syap.g_00079, Syap.g_02641	Prau.g_00018
OG0000182	Syap.g_00080, Syap.g_02642	Prau.g_00019
OG0000183	Syap.g_00084	Prau.g_00023
OG0000184	Syap.g_01337	Prau.g_00054
OG0000185	Syap.g_01322	Prau.g_00057
OG0000186	Syap.g_01684	Prau.g_00066
OG0000187	Syap.g_01686	Prau.g_00067
OG0000188	Syap.g_02547	Prau.g_00083
OG0000191	Syap.g_02233	Prau.g_00118
OG0000192	Syap.g_02224	Prau.g_00122
OG0000193	Syap.g_02187, Syap.g_02188	Prau.g_00147
OG0000194	Syap.g_02183	Prau.g_00150
OG0000195	Syap.g_02180	Prau.g_00152
OG0000196	Syap.g_01208, Syap.g_02167	Prau.g_00162
OG0000197	Syap.g_01207, Syap.g_02166	Prau.g_00163
OG0000198	Syap.g_01206	Prau.g_00164
OG0000199	Syap.g_01197	Prau.g_00171
OG0000200	Syap.g_01181	Prau.g_00185
OG0000201	Syap.g_02265	Prau.g_00193
OG0000202	Syap.g_02264	Prau.g_00194
OG0000203	Syap.g_01601	Prau.g_00195
OG0000204	Syap.g_01602	Prau.g_00196
OG0000205	Syap.g_01616	Prau.g_00203
OG0000206	Syap.g_01628	Prau.g_00208
OG0000207	Syap.g_01426, Syap.g_00424	Prau.g_00210
OG0000208	Syap.g_00426, Syap.g_01425	Prau.g_00211
OG0000209	Syap.g_01906	Prau.g_00220
OG0000210	Syap.g_01905	Prau.g_00221
OG0000211	Syap.g_01160	Prau.g_00234
OG0000212	Syap.g_02664	Prau.g_00241
OG0000213	Syap.g_00107, Syap.g_01599	Prau.g_00259
OG0000214	Syap.g_02344, Syap.g_02345	Prau.g_00269
OG0000215	Syap.g_01347, Syap.g_01629	Prau.g_00294
OG0000216	Syap.g_01634	Prau.g_00296
OG0000217	Syap.g_01638	Prau.g_00299
OG0000218	Syap.g_01641, Syap.g_01640	Prau.g_00301
OG0000219	Syap.g_01642, Syap.g_01643	Prau.g_00302
OG0000220	Syap.g_01645	Prau.g_00303
OG0000221	Syap.g_01646	Prau.g_00304
OG0000222	Syap.g_01669	Prau.g_00312
OG0000223	Syap.g_02072, Syap.g_02073	Prau.g_00325
OG0000224	Syap.g_02064	Prau.g_00327
OG0000225	Syap.g_00553, Syap.g_00552	Prau.g_00348
OG0000226	Syap.g_02029, Syap.g_02144	Prau.g_00352
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prau.g_00354
OG0000228	Syap.g_00116, Syap.g_02041	Prau.g_00357
OG0000229	Syap.g_02059	Prau.g_00477
OG0000230	Syap.g_02061	Prau.g_00479
OG0000231	Syap.g_02533	Prau.g_00490
OG0000232	Syap.g_02510, Syap.g_02511	Prau.g_00499
OG0000233	Syap.g_02133	Prau.g_00505
OG0000234	Syap.g_02755	Prau.g_00517
OG0000235	Syap.g_00732, Syap.g_02258	Prau.g_00520
OG0000236	Syap.g_02238	Prau.g_00534
OG0000237	Syap.g_00262, Syap.g_00263	Prau.g_00547
OG0000238	Syap.g_00257, Syap.g_00258	Prau.g_00553
OG0000239	Syap.g_02744	Prau.g_00565
OG0000240	Syap.g_02742	Prau.g_00566
OG0000241	Syap.g_00888	Prau.g_00570
OG0000242	Syap.g_01455	Prau.g_00572
OG0000243	Syap.g_01938	Prau.g_00583
OG0000244	Syap.g_01146, Syap.g_01145	Prau.g_00586
OG0000245	Syap.g_01148	Prau.g_00588
OG0000246	Syap.g_00308	Prau.g_00592
OG0000247	Syap.g_00288, Syap.g_00293	Prau.g_00602
OG0000248	Syap.g_00290	Prau.g_00604
OG0000249	Syap.g_01296, Syap.g_01295	Prau.g_00606
OG0000250	Syap.g_01306	Prau.g_00611
OG0000251	Syap.g_00442	Prau.g_00629
OG0000252	Syap.g_01857	Prau.g_00632
OG0000253	Syap.g_00443	Prau.g_00633
OG0000254	Syap.g_01527, Syap.g_01528	Prau.g_00649
OG0000256	Syap.g_01287	Prau.g_00667
OG0000257	Syap.g_00886	Prau.g_00670
OG0000258	Syap.g_00907	Prau.g_00683
OG0000260	Syap.g_01970	Prau.g_00703
OG0000261	Syap.g_01962, Syap.g_01961	Prau.g_00705
OG0000262	Syap.g_01954	Prau.g_00709
OG0000263	Syap.g_00432, Syap.g_00433	Prau.g_00721
OG0000266	Syap.g_00519	Prau.g_00765
OG0000267	Syap.g_02333, Syap.g_02332	Prau.g_00776
OG0000268	Syap.g_00646	Prau.g_00777
OG0000269	Syap.g_00188	Prau.g_00849
OG0000270	Syap.g_00192	Prau.g_00852
OG0000271	Syap.g_00200, Syap.g_00201	Prau.g_00860
OG0000272	Syap.g_00202	Prau.g_00861
OG0000273	Syap.g_02703	Prau.g_00884
OG0000274	Syap.g_02702	Prau.g_00885
OG0000275	Syap.g_01847	Prau.g_00887
OG0000276	Syap.g_01838, Syap.g_01839	Prau.g_00892
OG0000277	Syap.g_01837	Prau.g_00893
OG0000278	Syap.g_01834	Prau.g_00896
OG0000279	Syap.g_00829, Syap.g_00830	Prau.g_00904
OG0000280	Syap.g_00365	Prau.g_00905
OG0000281	Syap.g_01977	Prau.g_00910
OG0000282	Syap.g_01252	Prau.g_00958
OG0000283	Syap.g_01728	Prau.g_00992
OG0000284	Syap.g_01736	Prau.g_00997
OG0000285	Syap.g_01746, Syap.g_01744	Prau.g_01002
OG0000286	Syap.g_02014, Syap.g_02013	Prau.g_01014
