Orthogroup	Pral	Prag
OG0000000	Pral.g_01549, Pral.g_01554	Prag.g_01382
OG0000000	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prag.g_00656
OG0000002	Pral.g_01236	Prag.g_01374
OG0000002	Pral.g_01296, Pral.g_01671	Prag.g_01651, Prag.g_01215, Prag.g_01216, Prag.g_00764
OG0000003	Pral.g_00040, Pral.g_01332	Prag.g_01333, Prag.g_01610, Prag.g_01649
OG0000004	Pral.g_01898	Prag.g_00734
OG0000005	Pral.g_00037	Prag.g_00721, Prag.g_01608, Prag.g_01648, Prag.g_01348, Prag.g_01230
OG0000006	Pral.g_00593	Prag.g_00476
OG0000006	Pral.g_00107	Prag.g_01669
OG0000007	Pral.g_00020	Prag.g_01655
OG0000007	Pral.g_00021	Prag.g_01656
OG0000009	Pral.g_01344	Prag.g_00786
OG0000009	Pral.g_00790	Prag.g_00242
OG0000010	Pral.g_00444	Prag.g_01636, Prag.g_01103, Prag.g_01319
OG0000012	Pral.g_00484, Pral.g_00491	Prag.g_00576
OG0000013	Pral.g_01813	Prag.g_00765
OG0000014	Pral.g_00039, Pral.g_01036	Prag.g_01336, Prag.g_01646, Prag.g_00449
OG0000015	Pral.g_01887, Pral.g_00062	Prag.g_00374
OG0000016	Pral.g_01861, Pral.g_01063	Prag.g_01385
OG0000018	Pral.g_00797	Prag.g_00234, Prag.g_01231
OG0000019	Pral.g_01738	Prag.g_01633, Prag.g_00359
OG0000021	Pral.g_00090	Prag.g_00788
OG0000022	Pral.g_01331	Prag.g_01647, Prag.g_01335, Prag.g_00719
OG0000024	Pral.g_00732, Pral.g_01261	Prag.g_00297
OG0000028	Pral.g_01165	Prag.g_01488
OG0000028	Pral.g_01161	Prag.g_01490
OG0000029	Pral.g_01164, Pral.g_01114	Prag.g_01601
OG0000030	Pral.g_01006	Prag.g_00038
OG0000031	Pral.g_00095	Prag.g_01645
OG0000032	Pral.g_01193	Prag.g_01446
OG0000034	Pral.g_00987	Prag.g_01444
OG0000035	Pral.g_01853	Prag.g_01075, Prag.g_01259
OG0000036	Pral.g_00057	Prag.g_00563
OG0000037	Pral.g_00015	Prag.g_00601
OG0000038	Pral.g_00044	Prag.g_00757
OG0000039	Pral.g_00878	Prag.g_00159
OG0000040	Pral.g_01687	Prag.g_00354
OG0000042	Pral.g_01729	Prag.g_00692
OG0000043	Pral.g_01665	Prag.g_00791
OG0000044	Pral.g_01367	Prag.g_01153
OG0000045	Pral.g_01202	Prag.g_01428
OG0000046	Pral.g_00099	Prag.g_01662
OG0000047	Pral.g_00305	Prag.g_01861
OG0000048	Pral.g_00313	Prag.g_01868
OG0000050	Pral.g_01012	Prag.g_00031
OG0000051	Pral.g_00887	Prag.g_00150
OG0000052	Pral.g_01859	Prag.g_00364
OG0000053	Pral.g_00551	Prag.g_00518
OG0000055	Pral.g_01511	Prag.g_00828
OG0000056	Pral.g_00019	Prag.g_01108
OG0000057	Pral.g_00803	Prag.g_00230
OG0000058	Pral.g_00617	Prag.g_00454
OG0000059	Pral.g_01740	Prag.g_00676
OG0000060	Pral.g_00445	Prag.g_00732
OG0000062	Pral.g_00056, Pral.g_00078	Prag.g_01120
OG0000063	Pral.g_01881, Pral.g_01396, Pral.g_01398, Pral.g_01397	Prag.g_01298
OG0000065	Pral.g_01281	Prag.g_01355
OG0000066	Pral.g_00702	Prag.g_01423
OG0000068	Pral.g_00243	Prag.g_01804
OG0000069	Pral.g_01121	Prag.g_01416
OG0000071	Pral.g_00421	Prag.g_00011
OG0000072	Pral.g_00717	Prag.g_00313
OG0000073	Pral.g_01471	Prag.g_00647
OG0000074	Pral.g_01750	Prag.g_00669
OG0000075	Pral.g_01495	Prag.g_00813
OG0000076	Pral.g_01561	Prag.g_01036
OG0000078	Pral.g_01201	Prag.g_01424
OG0000079	Pral.g_01073	Prag.g_01568
OG0000080	Pral.g_00065	Prag.g_01617
OG0000081	Pral.g_00277	Prag.g_01834
OG0000083	Pral.g_00413	Prag.g_00003
OG0000084	Pral.g_00416	Prag.g_00006
OG0000085	Pral.g_01021	Prag.g_00023
OG0000086	Pral.g_01886	Prag.g_00039, Prag.g_00391
OG0000087	Pral.g_00993	Prag.g_00049
OG0000088	Pral.g_00932	Prag.g_00106
OG0000089	Pral.g_00923	Prag.g_00114
OG0000090	Pral.g_00906	Prag.g_00132
OG0000091	Pral.g_00874	Prag.g_00162
OG0000092	Pral.g_00873	Prag.g_00163
OG0000093	Pral.g_00860	Prag.g_00177
OG0000094	Pral.g_00842	Prag.g_00195
OG0000095	Pral.g_00837	Prag.g_00200
OG0000096	Pral.g_00788	Prag.g_00244
OG0000097	Pral.g_00765	Prag.g_00265
OG0000098	Pral.g_00754	Prag.g_00275
OG0000099	Pral.g_00744	Prag.g_00285
OG0000100	Pral.g_00741	Prag.g_00288
OG0000101	Pral.g_00674	Prag.g_00351
OG0000102	Pral.g_01034	Prag.g_00375
OG0000103	Pral.g_00616	Prag.g_00455
OG0000104	Pral.g_00611	Prag.g_00459
OG0000105	Pral.g_00591	Prag.g_00478
OG0000106	Pral.g_00558	Prag.g_00511
OG0000107	Pral.g_00557	Prag.g_00512
OG0000108	Pral.g_00547	Prag.g_00522
OG0000109	Pral.g_00538	Prag.g_00531
OG0000110	Pral.g_00520	Prag.g_00547
OG0000111	Pral.g_01452	Prag.g_00629
OG0000112	Pral.g_01453	Prag.g_00630
OG0000113	Pral.g_01705	Prag.g_00714
OG0000114	Pral.g_01486	Prag.g_00804
OG0000115	Pral.g_01627	Prag.g_00964
OG0000116	Pral.g_01623	Prag.g_00968
OG0000117	Pral.g_01564	Prag.g_01033
OG0000118	Pral.g_01316	Prag.g_01085
OG0000119	Pral.g_00075	Prag.g_01123
OG0000120	Pral.g_01187, Pral.g_01373	Prag.g_01159
OG0000121	Pral.g_01400	Prag.g_01178
OG0000122	Pral.g_01420	Prag.g_01197
