Orthogroup	Prab	Other
OG0000001	Prab.g_01279, Prab.g_01281	Prbd.g_01930
OG0000001	Prab.g_01279, Prab.g_01281	Pras.g_00118, Pras.g_00120
OG0000001	Prab.g_01279, Prab.g_01281	Prau.g_01267, Prau.g_01269
OG0000001	Prab.g_01279, Prab.g_01281	Praa.g_01220, Praa.g_01222
OG0000017	Prab.g_00602	Syar.g_03181
OG0000017	Prab.g_00602	Praj.g_00585
OG0000017	Prab.g_00602	Prbb.g_00598
OG0000017	Prab.g_00602	Prbc.g_01674
OG0000017	Prab.g_00602	Prbm.g_00628
OG0000018	Prab.g_01201, Prab.g_00867	Syap.g_02708
OG0000027	Prab.g_00914, Prab.g_01616	Syac.g_01009
OG0000027	Prab.g_00914, Prab.g_01616	Syar.g_02835
OG0000037	Prab.g_00100	Syat.g_01575
OG0000044	Prab.g_01648	Syab.g_01097
OG0000052	Prab.g_01423	Syag.g_02491
OG0000052	Prab.g_01423	Syaa.g_00461
OG0000052	Prab.g_01423	Syal.g_01396
OG0000052	Prab.g_01423	Syae.g_01224
OG0000052	Prab.g_01423	Syaq.g_00935
OG0000059	Prab.g_01754	Syal.g_01332
OG0000062	Prab.g_01544	Praf.g_01047
OG0000070	Prab.g_00456	Syar.g_03150
OG0000076	Prab.g_01857	Syao.g_01251
OG0000093	Prab.g_01042	Prbb.g_01606
OG0000099	Prab.g_01394	Syai.g_00151
OG0000107	Prab.g_00375	Syar.g_03290
OG0000107	Prab.g_00375	Syat.g_02009
OG0000108	Prab.g_00484	Syap.g_02256
OG0000117	Prab.g_00717	Pral.g_01881
OG0000120	Prab.g_01447	Pras.g_00330
OG0000124	Prab.g_01873	Syag.g_02485
OG0000131	Prab.g_00136	Syar.g_02216
OG0000132	Prab.g_00155	Syaj.g_00688
OG0000132	Prab.g_00155	Syaq.g_01036
OG0000138	Prab.g_00499	Syaj.g_02631
OG0000138	Prab.g_00499	Syak.g_01062
OG0000142	Prab.g_00640	Syab.g_01524
OG0000145	Prab.g_00783	Syar.g_03205
OG0000148	Prab.g_00856	Syab.g_01683
OG0000148	Prab.g_00856	Syaj.g_01002
OG0000158	Prab.g_01379	Syao.g_01141
OG0000159	Prab.g_01392	Syap.g_00700
OG0000173	Prab.g_01896	Syap.g_01213
OG0000188	Prab.g_00074	Syai.g_00696
OG0000205	Prab.g_00193	Praf.g_02708
OG0000224	Prab.g_00313	Syar.g_00762
OG0000230	Prab.g_00441	Syar.g_03275
OG0000250	Prab.g_00576	Syar.g_03194
OG0000253	Prab.g_00599	Syar.g_03229
OG0000259	Prab.g_00665	Syas.g_01006
OG0000268	Prab.g_00745	Syaf.g_00307
OG0000283	Prab.g_01033	Syal.g_02131
OG0000284	Prab.g_01028	Syar.g_03258
OG0000289	Prab.g_00945	Syar.g_03305
OG0000303	Prab.g_01272	Syar.g_03136
OG0000323	Prab.g_01696	Syas.g_00159
OG0000330	Prab.g_01780	Syar.g_03190
OG0000344	Prab.g_01849	Syab.g_02424
OG0000346	Prab.g_01858	Syap.g_02423
OG0000379	Prab.g_00049	Syal.g_02681
OG0001008	Prab.g_00440	Syar.g_03274
OG0001140	Prab.g_01247	Syab.g_00642
OG0001264	Prab.g_01280	Praa.g_01221
OG0001269	Prab.g_00347	Syal.g_02116
OG0001284	Prab.g_01536	Syas.g_02124
OG0001349	Prab.g_01408, Prab.g_01395	Syaa.g_00454
OG0001356	Prab.g_00793	Syaf.g_02177
OG0001395	Prab.g_00942	Syal.g_00001
OG0001423	Prab.g_00406	Syam.g_00534
OG0001588	Prab.g_01384	Praf.g_02600
OG0002033	Prab.g_01344	Prar.g_01072
OG0002486	Prab.g_01435	Prau.g_01824
