Orthogroup	Prbl	Syar
OG0000001	Prbl.g_00808, Prbl.g_02598	Syar.g_00070
OG0000001	Prbl.g_02578	Syar.g_02229
OG0000004	Prbl.g_00021	Syar.g_02051
OG0000004	Prbl.g_01771	Syar.g_02225, Syar.g_00842
OG0000005	Prbl.g_00419	Syar.g_02909
OG0000006	Prbl.g_02601	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbl.g_00531	Syar.g_01491
OG0000007	Prbl.g_00394	Syar.g_02929
OG0000008	Prbl.g_01855	Syar.g_02097
OG0000008	Prbl.g_01854	Syar.g_02098
OG0000009	Prbl.g_00155, Prbl.g_00554	Syar.g_03116
OG0000010	Prbl.g_01341	Syar.g_01272
OG0000013	Prbl.g_01183	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbl.g_01416	Syar.g_00825
OG0000015	Prbl.g_01566	Syar.g_00451, Syar.g_00180
OG0000017	Prbl.g_01763	Syar.g_03181
OG0000017	Prbl.g_01755	Syar.g_02180
OG0000018	Prbl.g_00694	Syar.g_01409
OG0000019	Prbl.g_01509	Syar.g_00163
OG0000022	Prbl.g_01072	Syar.g_00835
OG0000025	Prbl.g_01539	Syar.g_01811
OG0000026	Prbl.g_01977	Syar.g_00505
OG0000028	Prbl.g_00900	Syar.g_00718
OG0000031	Prbl.g_00835, Prbl.g_00830	Syar.g_00714
OG0000032	Prbl.g_00712	Syar.g_01390
OG0000032	Prbl.g_00889	Syar.g_00543
OG0000033	Prbl.g_00278	Syar.g_00105
OG0000034	Prbl.g_01734	Syar.g_00074, Syar.g_02790
OG0000035	Prbl.g_00242	Syar.g_02809
OG0000037	Prbl.g_00548	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbl.g_02235	Syar.g_00334
OG0000038	Prbl.g_02233	Syar.g_00336
OG0000039	Prbl.g_00318	Syar.g_02827
OG0000039	Prbl.g_01272	Syar.g_02151
OG0000041	Prbl.g_00339	Syar.g_01370, Syar.g_02014
OG0000042	Prbl.g_01236, Prbl.g_01121	Syar.g_00595, Syar.g_01970
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Prbl.g_00609	Syar.g_02592
OG0000046	Prbl.g_01184	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prbl.g_01465	Syar.g_00213
OG0000051	Prbl.g_01677, Prbl.g_02385	Syar.g_01597
OG0000052	Prbl.g_00870	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Prbl.g_00691	Syar.g_01413
OG0000054	Prbl.g_01752	Syar.g_02265
OG0000057	Prbl.g_00025	Syar.g_01941, Syar.g_00006
OG0000058	Prbl.g_00890	Syar.g_00648
OG0000059	Prbl.g_00952	Syar.g_01024
OG0000060	Prbl.g_00508	Syar.g_01260
OG0000061	Prbl.g_02084	Syar.g_01539
OG0000062	Prbl.g_00417	Syar.g_02911
OG0000063	Prbl.g_01981	Syar.g_00509
OG0000065	Prbl.g_00552	Syar.g_03119
OG0000066	Prbl.g_00752	Syar.g_03187, Syar.g_02228
OG0000068	Prbl.g_00502	Syar.g_02329, Syar.g_01461
OG0000070	Prbl.g_00634	Syar.g_02223, Syar.g_03150
OG0000071	Prbl.g_01722	Syar.g_02777
OG0000072	Prbl.g_00276	Syar.g_00107, Syar.g_01140
OG0000073	Prbl.g_00533	Syar.g_01493
OG0000075	Prbl.g_00855	Syar.g_03065, Syar.g_00659
OG0000076	Prbl.g_01285	Syar.g_00608
OG0000077	Prbl.g_00631	Syar.g_03051
OG0000078	Prbl.g_00193	Syar.g_03265, Syar.g_03018
OG0000079	Prbl.g_01505	Syar.g_00166
OG0000081	Prbl.g_01036	Syar.g_01898
OG0000082	Prbl.g_01783	Syar.g_02202
OG0000085	Prbl.g_00405	Syar.g_02919
OG0000086	Prbl.g_00583	Syar.g_03085
OG0000087	Prbl.g_00810	Syar.g_03192, Syar.g_00068
OG0000088	Prbl.g_01838	Syar.g_00101
OG0000089	Prbl.g_02674	Syar.g_01162
OG0000090	Prbl.g_00766	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Prbl.g_01647	Syar.g_01891, Syar.g_02426
OG0000093	Prbl.g_02359	Syar.g_02623
OG0000094	Prbl.g_02209	Syar.g_01789
OG0000095	Prbl.g_00927	Syar.g_01932
OG0000097	Prbl.g_02579	Syar.g_01706
OG0000098	Prbl.g_00722	Syar.g_02343
OG0000099	Prbl.g_00893	Syar.g_00715
OG0000100	Prbl.g_01914, Prbl.g_02305	Syar.g_02477
OG0000101	Prbl.g_01126	Syar.g_01073
OG0000101	Prbl.g_01000	Syar.g_03154
OG0000102	Prbl.g_02636	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Prbl.g_02139	Syar.g_00014, Syar.g_00452
OG0000104	Prbl.g_02125	Syar.g_00466
OG0000105	Prbl.g_01461	Syar.g_00218
OG0000106	Prbl.g_00411	Syar.g_01748
OG0000107	Prbl.g_02681	Syar.g_00149
OG0000108	Prbl.g_00511	Syar.g_01469
OG0000109	Prbl.g_00527	Syar.g_03310, Syar.g_01485
OG0000110	Prbl.g_01795	Syar.g_02295
OG0000111	Prbl.g_00026	Syar.g_01940, Syar.g_00005
OG0000112	Prbl.g_02470	Syar.g_02548
OG0000113	Prbl.g_02310	Syar.g_02664
OG0000114	Prbl.g_02407	Syar.g_01616
OG0000115	Prbl.g_00687	Syar.g_02854, Syar.g_01415
OG0000116	Prbl.g_02069	Syar.g_01525, Syar.g_02255
OG0000117	Prbl.g_01384	Syar.g_01969
OG0000118	Prbl.g_01736	Syar.g_02793
OG0000120	Prbl.g_00892	Syar.g_00713
OG0000121	Prbl.g_00234, Prbl.g_00240	Syar.g_02806
OG0000123	Prbl.g_01135	Syar.g_01079
OG0000124	Prbl.g_02054	Syar.g_00586
OG0000125	Prbl.g_02231	Syar.g_00338
OG0000126	Prbl.g_02127	Syar.g_00887, Syar.g_00888
OG0000128	Prbl.g_02109	Syar.g_00482
OG0000129	Prbl.g_02243	Syar.g_00324
OG0000130	Prbl.g_00608	Syar.g_03040
OG0000131	Prbl.g_00303	Syar.g_00078
OG0000132	Prbl.g_00283	Syar.g_00099
OG0000133	Prbl.g_00897	Syar.g_02543
OG0000134	Prbl.g_02677	Syar.g_02009, Syar.g_01165
OG0000135	Prbl.g_02190	Syar.g_00698
OG0000136	Prbl.g_00647	Syar.g_02874
OG0000137	Prbl.g_01340	Syar.g_01273
OG0000138	Prbl.g_00528	Syar.g_01486
OG0000139	Prbl.g_00760	Syar.g_03245, Syar.g_02348
OG0000140	Prbl.g_00754	Syar.g_02344, Syar.g_03246
OG0000141	Prbl.g_01751	Syar.g_02129
OG0000142	Prbl.g_01639	Syar.g_02418
OG0000143	Prbl.g_01643	Syar.g_02422
OG0000144	Prbl.g_01042	Syar.g_02441
OG0000145	Prbl.g_00534	Syar.g_01494, Syar.g_03205
OG0000146	Prbl.g_02469	Syar.g_02549
OG0000147	Prbl.g_02468	Syar.g_02550
OG0000148	Prbl.g_02316	Syar.g_02658
OG0000149	Prbl.g_01552	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Prbl.g_01576	Syar.g_02130
OG0000151	Prbl.g_02386	Syar.g_02038
OG0000152	Prbl.g_02478	Syar.g_02539
OG0000153	Prbl.g_02505	Syar.g_03283, Syar.g_02503
OG0000154	Prbl.g_02532	Syar.g_01800
OG0000155	Prbl.g_00185	Syar.g_01959
OG0000156	Prbl.g_00115	Syar.g_01517
OG0000157	Prbl.g_00114	Syar.g_01516
OG0000158	Prbl.g_00843	Syar.g_00650
OG0000160	Prbl.g_00241	Syar.g_02807
OG0000161	Prbl.g_00227	Syar.g_02801
OG0000162	Prbl.g_00221	Syar.g_02863
OG0000163	Prbl.g_00452	Syar.g_00639, Syar.g_01186
OG0000164	Prbl.g_00365	Syar.g_03168, Syar.g_02969
OG0000165	Prbl.g_00356	Syar.g_02976
OG0000166	Prbl.g_00962	Syar.g_01034
OG0000167	Prbl.g_00857	Syar.g_00662
OG0000168	Prbl.g_00842	Syar.g_00246
OG0000169	Prbl.g_01302	Syar.g_00262
OG0000170	Prbl.g_01290	Syar.g_00613
OG0000171	Prbl.g_02055	Syar.g_00587
OG0000172	Prbl.g_02021	Syar.g_00547
OG0000173	Prbl.g_02000	Syar.g_00528
OG0000174	Prbl.g_02188	Syar.g_00701
OG0000175	Prbl.g_02150	Syar.g_00438
OG0000176	Prbl.g_02117	Syar.g_00474
OG0000177	Prbl.g_02116	Syar.g_00475
OG0000178	Prbl.g_02115	Syar.g_00476
OG0000179	Prbl.g_01961	Syar.g_00489
OG0000180	Prbl.g_01962	Syar.g_00490
OG0000181	Prbl.g_01963	Syar.g_00491
OG0000182	Prbl.g_01964	Syar.g_00492
OG0000183	Prbl.g_01968	Syar.g_00496
OG0000184	Prbl.g_02251	Syar.g_00897
OG0000186	Prbl.g_00614	Syar.g_03036
OG0000187	Prbl.g_00613	Syar.g_03038
OG0000188	Prbl.g_00591	Syar.g_03058
OG0000189	Prbl.g_00565	Syar.g_03104
OG0000190	Prbl.g_00563	Syar.g_03107, Syar.g_02374
OG0000191	Prbl.g_01325	Syar.g_00039
OG0000192	Prbl.g_01316	Syar.g_00046
OG0000193	Prbl.g_00302	Syar.g_00079
OG0000194	Prbl.g_00299	Syar.g_03236, Syar.g_00082
OG0000195	Prbl.g_00297	Syar.g_00023, Syar.g_00084
OG0000196	Prbl.g_00286	Syar.g_00096
OG0000197	Prbl.g_00285	Syar.g_00097
OG0000198	Prbl.g_00284	Syar.g_00098
OG0000199	Prbl.g_00277	Syar.g_00106
OG0000200	Prbl.g_00069	Syar.g_00124
OG0000201	Prbl.g_00088	Syar.g_01000
OG0000202	Prbl.g_00089	Syar.g_00998, Syar.g_00021
OG0000203	Prbl.g_00090	Syar.g_00020, Syar.g_00997
OG0000204	Prbl.g_00091	Syar.g_00996
OG0000205	Prbl.g_00098	Syar.g_00988
OG0000206	Prbl.g_01282	Syar.g_00963
OG0000207	Prbl.g_00130	Syar.g_00957
OG0000208	Prbl.g_00129	Syar.g_00956
