Orthogroup	Prba	Prbb
OG0000000	Prba.g_00203	Prbb.g_00844
OG0000000	Prba.g_01639	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prba.g_00211	Prbb.g_01611
OG0000002	Prba.g_01081, Prba.g_01080	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000003	Prba.g_01172, Prba.g_00268	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792
OG0000004	Prba.g_01563	Prbb.g_01814, Prbb.g_00425
OG0000005	Prba.g_00269, Prba.g_00243	Prbb.g_01785, Prbb.g_01120, Prbb.g_00432, Prbb.g_01401, Prbb.g_01354, Prbb.g_01244, Prbb.g_01319, Prbb.g_00431, Prbb.g_01121
OG0000006	Prba.g_00964	Prbb.g_00501
OG0000006	Prba.g_00226	Prbb.g_01823
OG0000007	Prba.g_01131	Prbb.g_01884
OG0000009	Prba.g_01519	Prbb.g_00761
OG0000010	Prba.g_00734, Prba.g_01157	Prbb.g_01294
OG0000011	Prba.g_00913	Prbb.g_00421
OG0000011	Prba.g_00546	Prbb.g_00386
OG0000012	Prba.g_01719	Prbb.g_00605, Prbb.g_00598
OG0000013	Prba.g_01538	Prbb.g_01158
OG0000014	Prba.g_01175, Prba.g_00991	Prbb.g_01375
OG0000015	Prba.g_00876	Prbb.g_01189
OG0000016	Prba.g_00200	Prbb.g_01632
OG0000017	Prba.g_00693	Prbb.g_01705
OG0000018	Prba.g_00460	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299
OG0000019	Prba.g_00245, Prba.g_00858	Prbb.g_00099
OG0000021	Prba.g_01517	Prbb.g_01626, Prbb.g_01379, Prbb.g_01020, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000022	Prba.g_01174	Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_00433, Prbb.g_01353, Prbb.g_01318
OG0000024	Prba.g_00522	Prbb.g_00357
OG0000025	Prba.g_00899	Prbb.g_00116, Prbb.g_01452
OG0000026	Prba.g_01826	Prbb.g_01921
