HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
N23.HOG0000000	OG0000000	n1						Praf.g_01631		Prah.g_00562																																
N23.HOG0000001	OG0000000	n48						Praf.g_00948		Prah.g_01226																																
N23.HOG0000002	OG0000001	n71						Praf.g_01039		Prah.g_01154																																
N23.HOG0000003	OG0000001	n72						Praf.g_01042		Prah.g_01152																																
N23.HOG0000004	OG0000001	n73						Praf.g_00815		Prah.g_01346																																
N23.HOG0000005	OG0000001	n121						Praf.g_00813		Prah.g_01348																																
N23.HOG0000006	OG0000002	n40						Praf.g_02422		Prah.g_02270																																
N23.HOG0000007	OG0000002	n47						Praf.g_01293		Prah.g_00896																																
N23.HOG0000008	OG0000002	n51						Praf.g_01031		Prah.g_01159																																
N23.HOG0000009	OG0000002	n52						Praf.g_01895		Prah.g_00324																																
N23.HOG0000010	OG0000002	n56						Praf.g_00818, Praf.g_01896		Prah.g_01343																																
N23.HOG0000011	OG0000003	n1						Praf.g_00814		Prah.g_01347																																
N23.HOG0000012	OG0000004	n50						Praf.g_01014		Prah.g_01175																																
N23.HOG0000013	OG0000004	n54						Praf.g_02005		Prah.g_00215																																
N23.HOG0000014	OG0000006	n1						Praf.g_00614		Prah.g_01546																																
N23.HOG0000015	OG0000006	n40						Praf.g_00480		Prah.g_01676																																
N23.HOG0000016	OG0000007	n2						Praf.g_01224		Prah.g_00969																																
N23.HOG0000017	OG0000007	n6						Praf.g_01223		Prah.g_00970																																
N23.HOG0000018	OG0000009	n1						Praf.g_02214		Prah.g_02086																																
N23.HOG0000019	OG0000011	n1						Praf.g_01898		Prah.g_00322, Prah.g_00321																																
N23.HOG0000020	OG0000011	n30						Praf.g_01864		Prah.g_00353																																
N23.HOG0000021	OG0000012	n20						Praf.g_00760		Prah.g_01397																																
N23.HOG0000022	OG0000012	n38						Praf.g_00752		Prah.g_01405																																
N23.HOG0000023	OG0000013	n50						Praf.g_01033																																		
N23.HOG0000024	OG0000013	n51						Praf.g_01618		Prah.g_01155, Prah.g_00576																																
N23.HOG0000025	OG0000016	n9						Praf.g_01108		Prah.g_01007																																
N23.HOG0000026	OG0000016	n22						Praf.g_01143		Prah.g_01048																																
N23.HOG0000027	OG0000017	n0						Praf.g_01828		Prah.g_00381																																
N23.HOG0000028	OG0000018	n0						Praf.g_00396, Praf.g_01719		Prah.g_00475, Prah.g_01767																																
N23.HOG0000029	OG0000019	n0						Praf.g_00746		Prah.g_01410																																
N23.HOG0000030	OG0000020	n3						Praf.g_02267		Prah.g_02122																																
N23.HOG0000031	OG0000024	n8						Praf.g_02319		Prah.g_02171																																
N23.HOG0000032	OG0000024	n26						Praf.g_00112																																		
N23.HOG0000033	OG0000025	n2						Praf.g_01105		Prah.g_01120																																
N23.HOG0000034	OG0000026	n44						Praf.g_00041		Prah.g_00042																																
N23.HOG0000035	OG0000028	n17						Praf.g_01794		Prah.g_00408																																
N23.HOG0000036	OG0000030	n4						Praf.g_01757																																		
N23.HOG0000037	OG0000031	n13						Praf.g_01022		Prah.g_01166																																
N23.HOG0000038	OG0000032	n8						Praf.g_02400		Prah.g_02248																																
N23.HOG0000039	OG0000032	n35						Praf.g_00101		Prah.g_00091																																
N23.HOG0000040	OG0000032	n37						Praf.g_00113																																		
N23.HOG0000041	OG0000033	n1						Praf.g_00906		Prah.g_01270																																
N23.HOG0000042	OG0000033	n21						Praf.g_00014		Prah.g_00015																																
N23.HOG0000043	OG0000034	n12						Praf.g_02366		Prah.g_02219																																
N23.HOG0000044	OG0000036	n0						Praf.g_00731		Prah.g_01427																																
N23.HOG0000045	OG0000037	n0						Praf.g_01668		Prah.g_00524																																
N23.HOG0000046	OG0000038	n27						Praf.g_00965		Prah.g_01209																																
N23.HOG0000047	OG0000038	n40						Praf.g_00201		Prah.g_00170																																
N23.HOG0000048	OG0000039	n5						Praf.g_02454		Prah.g_02304																																
N23.HOG0000049	OG0000039	n26						Praf.g_01239		Prah.g_00957																																
N23.HOG0000050	OG0000040	n0								Prah.g_00688																																
N23.HOG0000051	OG0000042	n31						Praf.g_01302		Prah.g_00887																																
N23.HOG0000052	OG0000042	n35						Praf.g_01238		Prah.g_00958																																
N23.HOG0000053	OG0000043	n24						Praf.g_00941		Prah.g_01233																																
N23.HOG0000054	OG0000043	n28						Praf.g_00943		Prah.g_01231																																
N23.HOG0000055	OG0000044	n0						Praf.g_00854		Prah.g_01322																																
N23.HOG0000056	OG0000045	n34						Praf.g_02345		Prah.g_02195																																
N23.HOG0000057	OG0000046	n0						Praf.g_00491		Prah.g_01666																																
N23.HOG0000058	OG0000047	n0						Praf.g_00178		Prah.g_00150																																
N23.HOG0000059	OG0000048	n20						Praf.g_00920		Prah.g_01256																																
N23.HOG0000060	OG0000048	n21						Praf.g_00164		Prah.g_00135																																
N23.HOG0000061	OG0000049	n1						Praf.g_02726, Praf.g_01259		Prah.g_00925, Prah.g_00274																																
N23.HOG0000062	OG0000049	n10								Prah.g_00938																																
N23.HOG0000063	OG0000049	n23								Prah.g_01110, Prah.g_01114																																
N23.HOG0000064	OG0000049	n28								Prah.g_00931																																
N23.HOG0000065	OG0000049	n31						Praf.g_02486		Prah.g_00928																																
N23.HOG0000066	OG0000049	n35						Praf.g_02526		Prah.g_02367																																
N23.HOG0000067	OG0000049	n39						Praf.g_01194		Prah.g_00551, Prah.g_01080																																
N23.HOG0000068	OG0000050	n25						Praf.g_00037		Prah.g_00038																																
N23.HOG0000069	OG0000051	n1						Praf.g_02445		Prah.g_02295																																
N23.HOG0000070	OG0000052	n0						Praf.g_00496		Prah.g_01660																																
N23.HOG0000071	OG0000053	n0						Praf.g_00672		Prah.g_01485																																
N23.HOG0000072	OG0000054	n2						Praf.g_00348		Prah.g_01812																																
N23.HOG0000073	OG0000055	n0						Praf.g_01556		Prah.g_00641																																
N23.HOG0000074	OG0000056	n2						Praf.g_02587		Prah.g_02425																																
N23.HOG0000075	OG0000057	n0						Praf.g_00386		Prah.g_01778																																
N23.HOG0000076	OG0000058	n0						Praf.g_01907		Prah.g_00312																																
N23.HOG0000077	OG0000059	n0						Praf.g_01125		Prah.g_01027																																
N23.HOG0000078	OG0000062	n0						Praf.g_01034, Praf.g_02690		Prah.g_02524																																
N23.HOG0000079	OG0000063	n0						Praf.g_00919		Prah.g_01257																																
N23.HOG0000080	OG0000065	n0						Praf.g_00796		Prah.g_01364																																
N23.HOG0000081	OG0000066	n0						Praf.g_02343		Prah.g_02192																																
N23.HOG0000082	OG0000068	n0						Praf.g_02119		Prah.g_01995																																
N23.HOG0000083	OG0000069	n5						Praf.g_01851		Prah.g_00358																																
N23.HOG0000084	OG0000069	n24						Praf.g_02346		Prah.g_02196																																
N23.HOG0000085	OG0000070	n8						Praf.g_02084		Prah.g_00342, Prah.g_00341, Prah.g_01968																																
N23.HOG0000086	OG0000070	n18						Praf.g_01191, Praf.g_01964, Praf.g_01880, Praf.g_02641, Praf.g_02639, Praf.g_01879		Prah.g_01082																																
N23.HOG0000087	OG0000070	n24						Praf.g_01648		Prah.g_00543																																
N23.HOG0000088	OG0000071	n0						Praf.g_00012		Prah.g_00013																																
