Orthogroup	Prac	Prar
OG0000000	Prac.g_00159	Prar.g_00971
OG0000000	Prac.g_00277	Prar.g_00713
OG0000000	Prac.g_00292	Prar.g_00729
OG0000000	Prac.g_00293	Prar.g_00730
OG0000000	Prac.g_00926	Prar.g_01204
OG0000000	Prac.g_00157	Prar.g_00973
OG0000000	Prac.g_00290	Prar.g_00727
OG0000001	Prac.g_00202	Prar.g_00926
OG0000001	Prac.g_00924	Prar.g_01202
OG0000001	Prac.g_00925	Prar.g_01203
OG0000002	Prac.g_00210	Prar.g_00918
OG0000002	Prac.g_00693	Prar.g_01508
OG0000004	Prac.g_00676	Prar.g_01525
OG0000004	Prac.g_01698	Prar.g_00095
OG0000005	Prac.g_00612	Prar.g_01130
OG0000005	Prac.g_00335	Prar.g_00771
OG0000006	Prac.g_01689	Prar.g_00086
OG0000007	Prac.g_00874	Prar.g_01328
OG0000007	Prac.g_00625	Prar.g_01143
OG0000008	Prac.g_00904	Prar.g_01185
OG0000008	Prac.g_00699	Prar.g_01502
OG0000009	Prac.g_00301	Prar.g_00737
OG0000009	Prac.g_01826	Prar.g_00223
OG0000010	Prac.g_01592	Prar.g_01567
OG0000010	Prac.g_01248	Prar.g_01912
OG0000010	Prac.g_01070	Prar.g_00524
OG0000011	Prac.g_00152	Prar.g_00978
OG0000011	Prac.g_00142	Prar.g_00988
OG0000012	Prac.g_00748	Prar.g_01453
OG0000013	Prac.g_01604	Prar.g_00260
OG0000014	Prac.g_01625	Prar.g_00281
OG0000015	Prac.g_00898	Prar.g_01179
OG0000016	Prac.g_01934	Prar.g_00025
OG0000017	Prac.g_00773	Prar.g_01428
OG0000018	Prac.g_01004	Prar.g_01282
OG0000018	Prac.g_01448	Prar.g_01711
OG0000019	Prac.g_01681	Prar.g_00078
OG0000019	Prac.g_01496	Prar.g_01663
OG0000020	Prac.g_01037	Prar.g_01315
OG0000020	Prac.g_00906	Prar.g_01187
OG0000020	Prac.g_00875	Prar.g_01007
OG0000020	Prac.g_00875	Prar.g_01155
OG0000020	Prac.g_01598	Prar.g_01561
OG0000021	Prac.g_01169	Prar.g_00425
OG0000022	Prac.g_01510	Prar.g_01649
OG0000022	Prac.g_01022	Prar.g_01300
OG0000023	Prac.g_01174	Prar.g_00420
OG0000024	Prac.g_01525	Prar.g_01634
OG0000024	Prac.g_00696	Prar.g_01505
OG0000025	Prac.g_01441	Prar.g_01718
OG0000025	Prac.g_01600	Prar.g_00256
OG0000026	Prac.g_01916	Prar.g_00007
OG0000026	Prac.g_01241	Prar.g_01919
OG0000027	Prac.g_01074	Prar.g_00520
OG0000028	Prac.g_01611	Prar.g_00267
OG0000028	Prac.g_00145	Prar.g_00985
OG0000029	Prac.g_01158	Prar.g_00436
OG0000030	Prac.g_00050	Prar.g_00662
OG0000031	Prac.g_00249	Prar.g_00879
OG0000032	Prac.g_00242	Prar.g_00886
OG0000033	Prac.g_01761	Prar.g_00158
OG0000034	Prac.g_00185	Prar.g_00945
OG0000035	Prac.g_00411	Prar.g_00339
OG0000037	Prac.g_01822	Prar.g_00219
OG0000038	Prac.g_00090	Prar.g_00702
OG0000039	Prac.g_00685	Prar.g_01516
OG0000040	Prac.g_00279	Prar.g_00715
OG0000040	Prac.g_01005	Prar.g_01283
OG0000041	Prac.g_00579	Prar.g_00602
OG0000042	Prac.g_00048	Prar.g_00660
OG0000043	Prac.g_01405	Prar.g_01755
OG0000044	Prac.g_00892	Prar.g_01172
OG0000045	Prac.g_01576	Prar.g_01583
OG0000045	Prac.g_01162	Prar.g_00432
OG0000047	Prac.g_01127	Prar.g_00468
OG0000047	Prac.g_01601	Prar.g_00257
OG0000048	Prac.g_01159	Prar.g_00435
OG0000049	Prac.g_01149	Prar.g_00445
OG0000049	Prac.g_00893	Prar.g_01173
OG0000049	Prac.g_01954	Prar.g_01002
OG0000049	Prac.g_00880	Prar.g_01160
OG0000050	Prac.g_01220	Prar.g_01940
OG0000053	Prac.g_01901	Prar.g_00589
OG0000053	Prac.g_00391	Prar.g_00827
OG0000054	Prac.g_00765	Prar.g_01436
OG0000055	Prac.g_01495	Prar.g_01664
OG0000057	Prac.g_00673	Prar.g_01528
OG0000058	Prac.g_00258	Prar.g_00870
OG0000058	Prac.g_00434	Prar.g_00362
OG0000059	Prac.g_00500	Prar.g_01090
OG0000061	Prac.g_00985	Prar.g_01263
OG0000062	Prac.g_00333	Prar.g_00769
OG0000063	Prac.g_01913	Prar.g_00004
OG0000063	Prac.g_01914	Prar.g_00005
OG0000063	Prac.g_00908	Prar.g_01189
OG0000065	Prac.g_01824	Prar.g_00221
OG0000066	Prac.g_00833	Prar.g_01369
OG0000067	Prac.g_01475	Prar.g_01684
OG0000068	Prac.g_00217	Prar.g_00911
OG0000069	Prac.g_00890	Prar.g_01170
OG0000069	Prac.g_00300	Prar.g_00736
OG0000070	Prac.g_01097	Prar.g_00498
OG0000071	Prac.g_00175	Prar.g_00955
OG0000072	Prac.g_01759	Prar.g_00156
OG0000073	Prac.g_00872	Prar.g_01330
OG0000074	Prac.g_00689	Prar.g_01512
OG0000075	Prac.g_00017	Prar.g_00629
OG0000076	Prac.g_01904	Prar.g_00592
OG0000076	Prac.g_00041	Prar.g_00653
OG0000077	Prac.g_01853	Prar.g_00250
OG0000078	Prac.g_01691	Prar.g_00088
OG0000081	Prac.g_00841	Prar.g_01361
OG0000082	Prac.g_00788	Prar.g_01414
OG0000083	Prac.g_01529	Prar.g_01630
OG0000083	Prac.g_01536	Prar.g_01623
OG0000084	Prac.g_00415	Prar.g_00343
OG0000085	Prac.g_00632	Prar.g_01150
OG0000086	Prac.g_01843	Prar.g_00240
OG0000087	Prac.g_01792	Prar.g_00189
OG0000088	Prac.g_01764	Prar.g_00161
OG0000089	Prac.g_01178	Prar.g_00416
OG0000090	Prac.g_00839	Prar.g_01363
OG0000091	Prac.g_00729	Prar.g_01472
OG0000092	Prac.g_01379	Prar.g_01781
OG0000092	Prac.g_00003	Prar.g_00615
OG0000093	Prac.g_01359	Prar.g_01801
OG0000094	Prac.g_01275	Prar.g_01885
OG0000095	Prac.g_01256	Prar.g_01904
OG0000096	Prac.g_01958	Prar.g_01006
OG0000096	Prac.g_01035	Prar.g_01313
OG0000096	Prac.g_00139	Prar.g_00991
OG0000097	Prac.g_00944	Prar.g_01222
OG0000098	Prac.g_00199	Prar.g_00929
OG0000099	Prac.g_00256	Prar.g_00872
OG0000100	Prac.g_00337	Prar.g_00773
OG0000101	Prac.g_00548	Prar.g_01027
OG0000102	Prac.g_00046	Prar.g_00658
OG0000103	Prac.g_00123	Prar.g_00050
OG0000104	Prac.g_00131	Prar.g_00042
OG0000105	Prac.g_01657	Prar.g_00313
OG0000106	Prac.g_01163	Prar.g_00431
OG0000107	Prac.g_01148	Prar.g_00446
OG0000108	Prac.g_01064	Prar.g_00530
OG0000109	Prac.g_01050	Prar.g_00544
OG0000110	Prac.g_00798	Prar.g_01404
OG0000111	Prac.g_00672	Prar.g_01529
OG0000112	Prac.g_01507	Prar.g_01652
OG0000113	Prac.g_01453	Prar.g_01706
OG0000114	Prac.g_01384	Prar.g_01776
OG0000115	Prac.g_01040	Prar.g_01318
OG0000116	Prac.g_00995	Prar.g_01273
OG0000117	Prac.g_01955	Prar.g_01003
OG0000118	Prac.g_00187	Prar.g_00943
OG0000119	Prac.g_00213	Prar.g_00915
OG0000120	Prac.g_00248	Prar.g_00880
OG0000121	Prac.g_00409	Prar.g_00337
OG0000122	Prac.g_00371	Prar.g_00807
OG0000123	Prac.g_00554	Prar.g_01021
OG0000124	Prac.g_00056	Prar.g_00668
OG0000125	Prac.g_00092	Prar.g_00704
OG0000126	Prac.g_00130	Prar.g_00043
OG0000128	Prac.g_01936	Prar.g_00027
OG0000129	Prac.g_01888	Prar.g_00576
OG0000130	Prac.g_01862	Prar.g_00549
OG0000131	Prac.g_01785	Prar.g_00182
OG0000132	Prac.g_01766	Prar.g_00163
OG0000133	Prac.g_01609	Prar.g_00265
OG0000134	Prac.g_01177	Prar.g_00417
OG0000135	Prac.g_01150	Prar.g_00444
OG0000136	Prac.g_01106	Prar.g_00489
OG0000137	Prac.g_01069	Prar.g_00525
