Orthogroup	Pran	Syaa
OG0000004	Pran.g_01483	Syaa.g_00892
OG0000004	Pran.g_00200	Syaa.g_01667, Syaa.g_02116
OG0000005	Pran.g_00983	Syaa.g_00534
OG0000005	Pran.g_00657	Syaa.g_00573
OG0000006	Pran.g_01951	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Pran.g_01681	Syaa.g_02032
OG0000007	Pran.g_00970	Syaa.g_00551
OG0000009	Pran.g_00328	Syaa.g_02378
OG0000010	Pran.g_00175, Pran.g_01704	Syaa.g_01843
OG0000012	Pran.g_01555	Syaa.g_02304, Syaa.g_01660
OG0000013	Pran.g_01867	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Pran.g_01888	Syaa.g_00222
OG0000014	Pran.g_00755, Pran.g_00754	Syaa.g_00481
OG0000015	Pran.g_01394	Syaa.g_01079, Syaa.g_01989
OG0000016	Pran.g_00620	Syaa.g_01481
OG0000017	Pran.g_01580	Syaa.g_01890
OG0000018	Pran.g_00078, Pran.g_01316	Syaa.g_01801
OG0000019	Pran.g_01943, Pran.g_01363	Syaa.g_00307
OG0000022	Pran.g_01401, Pran.g_00097	Syaa.g_01571
OG0000023	Pran.g_01834	Syaa.g_01529, Syaa.g_01216
OG0000024	Pran.g_01420, Pran.g_01503	Syaa.g_00922
OG0000025	Pran.g_01309, Pran.g_01863	Syaa.g_00839
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syaa.g_00038
OG0000027	Pran.g_00583	Syaa.g_01605, Syaa.g_00854
OG0000028	Pran.g_01874	Syaa.g_00205
OG0000029	Pran.g_01410	Syaa.g_01578
OG0000030	Pran.g_01170	Syaa.g_00099, Syaa.g_00098
OG0000031	Pran.g_00753	Syaa.g_00480
OG0000033	Pran.g_00800	Syaa.g_00485
OG0000033	Pran.g_00263	Syaa.g_02478
OG0000034	Pran.g_00866	Syaa.g_00722, Syaa.g_02444
OG0000035	Pran.g_00733	Syaa.g_01773
OG0000037	Pran.g_00324	Syaa.g_02384
OG0000038	Pran.g_01210	Syaa.g_02596
OG0000039	Pran.g_01492	Syaa.g_00846
OG0000040	Pran.g_00923	Syaa.g_01606
OG0000041	Pran.g_01016	Syaa.g_00660
OG0000042	Pran.g_01167	Syaa.g_00103
OG0000045	Pran.g_01823	Syaa.g_01560
OG0000047	Pran.g_01864	Syaa.g_02189
OG0000048	Pran.g_01772, Pran.g_01820	Syaa.g_02719, Syaa.g_00275
OG0000050	Pran.g_01789, Pran.g_00936, Pran.g_00946	Syaa.g_01591
OG0000051	Pran.g_00898	Syaa.g_01531
OG0000052	Pran.g_00777	Syaa.g_00174
OG0000053	Pran.g_00713	Syaa.g_01797
OG0000054	Pran.g_01572	Syaa.g_01691
OG0000055	Pran.g_01362	Syaa.g_00852
OG0000057	Pran.g_01480	Syaa.g_00889
