Orthogroup	Prag	Prbn
OG0000000	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prbn.g_01662
OG0000002	Prag.g_01382	Prbn.g_01483, Prbn.g_01478
OG0000002	Prag.g_00656	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000004	Prag.g_00673	Prbn.g_01565
OG0000004	Prag.g_00225	Prbn.g_00318
OG0000005	Prag.g_01566	Prbn.g_00899
OG0000006	Prag.g_00234, Prag.g_01231	Prbn.g_00308
OG0000007	Prag.g_00476	Prbn.g_00617
OG0000007	Prag.g_01669	Prbn.g_01745
OG0000008	Prag.g_01655	Prbn.g_01645
OG0000008	Prag.g_01656	Prbn.g_01646
OG0000010	Prag.g_00453	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640
OG0000012	Prag.g_00601	Prbn.g_00867, Prbn.g_00492
OG0000013	Prag.g_00318	Prbn.g_00092
OG0000014	Prag.g_00297	Prbn.g_00074
OG0000015	Prag.g_00765	Prbn.g_01684, Prbn.g_01730
OG0000016	Prag.g_01638	Prbn.g_01131
OG0000017	Prag.g_00576	Prbn.g_00517
OG0000018	Prag.g_01134	Prbn.g_01167
OG0000018	Prag.g_00833	Prbn.g_01518
OG0000019	Prag.g_00242	Prbn.g_00015
OG0000019	Prag.g_00786	Prbn.g_01165
OG0000020	Prag.g_01100	Prbn.g_00875
OG0000020	Prag.g_01637	Prbn.g_00133
OG0000021	Prag.g_01633, Prag.g_00359	Prbn.g_00874
OG0000022	Prag.g_00757	Prbn.g_00891
OG0000023	Prag.g_00354	Prbn.g_01030
OG0000024	Prag.g_00740	Prbn.g_01353
OG0000024	Prag.g_00653	Prbn.g_01589
OG0000025	Prag.g_00839, Prag.g_00322	Prbn.g_01510
OG0000026	Prag.g_00031, Prag.g_01050	Prbn.g_00750
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Prbn.g_00139
OG0000028	Prag.g_01270	Prbn.g_01644
OG0000029	Prag.g_00748	Prbn.g_00126, Prbn.g_01676
OG0000030	Prag.g_01871	Prbn.g_00985
OG0000031	Prag.g_01446	Prbn.g_00171
OG0000033	Prag.g_00162	Prbn.g_01244
OG0000034	Prag.g_01365	Prbn.g_01073
OG0000037	Prag.g_00102	Prbn.g_01310
OG0000038	Prag.g_01911	Prbn.g_00946
