Orthogroup	Species	Prab	Orthologs
OG0000000	Syab	Prab.g_00915, Prab.g_01617, Prab.g_00760, Prab.g_01630, Prab.g_01598, Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597, Prab.g_01606, Prab.g_00917, Prab.g_01619, Prab.g_01308	Syab.g_01226
OG0000000	Syal	Prab.g_00915, Prab.g_01617, Prab.g_00760, Prab.g_01630, Prab.g_01598, Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597, Prab.g_01606, Prab.g_00917, Prab.g_01619, Prab.g_01308	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prab.g_00915, Prab.g_01617	Pral.g_01331
OG0000000	Prat	Prab.g_00915, Prab.g_01617	Prat.g_01191
OG0000000	Praj	Prab.g_00915, Prab.g_01617	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prab.g_00915, Prab.g_01617	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prab.g_00915, Prab.g_01617	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prab.g_00915, Prab.g_01617	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prab.g_00915, Prab.g_01617	Pram.g_01561
OG0000000	Prbh	Prab.g_00915, Prab.g_01617	Prbh.g_01853
OG0000000	Prai	Prab.g_00915, Prab.g_01617	Prai.g_00905, Prai.g_01772
OG0000000	Prac	Prab.g_00915, Prab.g_01617	Prac.g_00159
OG0000000	Praq	Prab.g_00915, Prab.g_01617	Praq.g_00117
OG0000000	Prar	Prab.g_00915, Prab.g_01617	Prar.g_00971
OG0000000	Praa	Prab.g_00915, Prab.g_01617	Praa.g_01300
OG0000000	Prao	Prab.g_00915, Prab.g_01617	Prao.g_01294
OG0000000	Pras	Prab.g_00915, Prab.g_01617	Pras.g_00184
OG0000000	Prau	Prab.g_00915, Prab.g_01617	Prau.g_01352
OG0000000	Prax	Prab.g_00915, Prab.g_01617	Prax.g_01917
OG0000000	Pray	Prab.g_00915, Prab.g_01617	Pray.g_01888
OG0000000	Praz	Prab.g_00915, Prab.g_01617	Praz.g_01198
OG0000000	Prba	Prab.g_00915, Prab.g_01617	Prba.g_01174
OG0000000	Prbd	Prab.g_00915, Prab.g_01617	Prbd.g_01833
OG0000000	Prbi	Prab.g_00915, Prab.g_01617	Prbi.g_01373
OG0000000	Prae	Prab.g_00915, Prab.g_01617	Prae.g_01310
OG0000000	Prag	Prab.g_00915, Prab.g_01617	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prab.g_00915, Prab.g_01617	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prab.g_00915, Prab.g_01617	Prad.g_00352
OG0000000	Prav	Prab.g_00915, Prab.g_01617	Prav.g_01736, Prav.g_01415
OG0000000	Pran	Prab.g_00915	Pran.g_00582
OG0000000	Pran	Prab.g_01617	Pran.g_00582
OG0000000	Pral	Prab.g_00760, Prab.g_01630, Prab.g_01598	Pral.g_00037
OG0000000	Prak	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prak.g_01562
OG0000000	Prap	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prap.g_01862
OG0000000	Prbe	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbe.g_01119
OG0000000	Prbf	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbf.g_00776
OG0000000	Prbg	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbg.g_01567
OG0000000	Prbn	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbn.g_01662
OG0000000	Pram	Prab.g_00760, Prab.g_01630, Prab.g_01598	Pram.g_01511
OG0000000	Prbh	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbh.g_01903
OG0000000	Praj	Prab.g_00760, Prab.g_01630, Prab.g_01598	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbc.g_02165
OG0000000	Prbm	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prat.g_01549
OG0000000	Praf	Prab.g_00760, Prab.g_01630, Prab.g_01598	Praf.g_00813
OG0000000	Prah	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prah.g_01348
OG0000000	Prbj	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbj.g_00164
OG0000000	Prbk	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbk.g_00165
OG0000000	Prbl	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbl.g_00116
OG0000000	Prao	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prao.g_01515
OG0000000	Prav	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prav.g_01695
OG0000000	Prac	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prac.g_00292
OG0000000	Praq	Prab.g_00760, Prab.g_01630, Prab.g_01598	Praq.g_00026
OG0000000	Prar	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prar.g_00729
OG0000000	Pran	Prab.g_00760	Pran.g_01423
OG0000000	Pran	Prab.g_01630	Pran.g_00931
OG0000000	Praa	Prab.g_01598	Praa.g_01598
OG0000000	Prai	Prab.g_01598	Prai.g_01592
OG0000000	Prag	Prab.g_01598	Prag.g_01608
OG0000000	Praw	Prab.g_01598	Praw.g_00455
OG0000000	Prax	Prab.g_01598	Prax.g_01608
OG0000000	Prbi	Prab.g_01598	Prbi.g_01709
OG0000000	Pray	Prab.g_01598	Pray.g_01603
OG0000000	Praz	Prab.g_01598	Praz.g_00921
OG0000000	Prba	Prab.g_01598	Prba.g_00269
OG0000000	Prad	Prab.g_01598	Prad.g_00392
OG0000000	Prbd	Prab.g_01598	Prbd.g_01568
OG0000000	Prae	Prab.g_01598	Prae.g_01580
OG0000000	Pras	Prab.g_01598	Pras.g_00470
OG0000000	Prau	Prab.g_01598	Prau.g_01648
OG0000000	Pran	Prab.g_01598	Pran.g_00601
OG0000000	Praa	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597	Praa.g_01597
OG0000000	Prbb	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597	Prbb.g_00103
OG0000000	Praj	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597	Praj.g_00087
OG0000000	Prbc	Prab.g_00918, Prab.g_01620, Prab.g_01278, Prab.g_01597	Prbc.g_00525
OG0000000	Prao	Prab.g_00918, Prab.g_01620	Prao.g_01514
OG0000000	Prbd	Prab.g_00918, Prab.g_01620	Prbd.g_01569
OG0000000	Pran	Prab.g_00918	Pran.g_00579
OG0000000	Pran	Prab.g_01620	Pran.g_00579
OG0000000	Prac	Prab.g_01278	Prac.g_00926
OG0000000	Prad	Prab.g_01278	Prad.g_00393
OG0000000	Prad	Prab.g_01278	Prad.g_01435
OG0000000	Prae	Prab.g_01278	Prae.g_01222
OG0000000	Prae	Prab.g_01278	Prae.g_01579
OG0000000	Prag	Prab.g_01278	Prag.g_01213
OG0000000	Prag	Prab.g_01278	Prag.g_01607
OG0000000	Prag	Prab.g_01278	Prag.g_01650
OG0000000	Prai	Prab.g_01278	Prai.g_00908
OG0000000	Prai	Prab.g_01278	Prai.g_01234
OG0000000	Prai	Prab.g_01278	Prai.g_01591
OG0000000	Prai	Prab.g_01278	Prai.g_01775
OG0000000	Pran	Prab.g_01278	Pran.g_00001
OG0000000	Pran	Prab.g_01278	Pran.g_00602
OG0000000	Prao	Prab.g_01278	Prao.g_01029
OG0000000	Praq	Prab.g_01278	Praq.g_00025
OG0000000	Praq	Prab.g_01278	Praq.g_01392
OG0000000	Prar	Prab.g_01278	Prar.g_01204
OG0000000	Pras	Prab.g_01278	Pras.g_00117
OG0000000	Pras	Prab.g_01278	Pras.g_00469
OG0000000	Prau	Prab.g_01278	Prau.g_01266
OG0000000	Prau	Prab.g_01278	Prau.g_01647
OG0000000	Prav	Prab.g_01278	Prav.g_01694
OG0000000	Prav	Prab.g_01278	Prav.g_01821
OG0000000	Praw	Prab.g_01278	Praw.g_00294
OG0000000	Praw	Prab.g_01278	Praw.g_00454
OG0000000	Praw	Prab.g_01278	Praw.g_00496
OG0000000	Prax	Prab.g_01278	Prax.g_00259
OG0000000	Prax	Prab.g_01278	Prax.g_01609
OG0000000	Pray	Prab.g_01278	Pray.g_00003
OG0000000	Pray	Prab.g_01278	Pray.g_01604
OG0000000	Praz	Prab.g_01278	Praz.g_00694
OG0000000	Praz	Prab.g_01278	Praz.g_00922
OG0000000	Prba	Prab.g_01278	Prba.g_00003
OG0000000	Prba	Prab.g_01278	Prba.g_00270
OG0000000	Prbd	Prab.g_01278	Prbd.g_00528
OG0000000	Prbi	Prab.g_01278	Prbi.g_01268
OG0000000	Prbi	Prab.g_01278	Prbi.g_01708
OG0000000	Prac	Prab.g_01597	Prac.g_00926
OG0000000	Prad	Prab.g_01597	Prad.g_00393
OG0000000	Prad	Prab.g_01597	Prad.g_01435
OG0000000	Prae	Prab.g_01597	Prae.g_01222
OG0000000	Prae	Prab.g_01597	Prae.g_01579
OG0000000	Prag	Prab.g_01597	Prag.g_01213
OG0000000	Prag	Prab.g_01597	Prag.g_01607
OG0000000	Prag	Prab.g_01597	Prag.g_01650
OG0000000	Prai	Prab.g_01597	Prai.g_00908
OG0000000	Prai	Prab.g_01597	Prai.g_01234
OG0000000	Prai	Prab.g_01597	Prai.g_01591
OG0000000	Prai	Prab.g_01597	Prai.g_01775
OG0000000	Pran	Prab.g_01597	Pran.g_00001
OG0000000	Pran	Prab.g_01597	Pran.g_00602
OG0000000	Prao	Prab.g_01597	Prao.g_01029
OG0000000	Praq	Prab.g_01597	Praq.g_00025
OG0000000	Praq	Prab.g_01597	Praq.g_01392
OG0000000	Prar	Prab.g_01597	Prar.g_01204
OG0000000	Pras	Prab.g_01597	Pras.g_00117
OG0000000	Pras	Prab.g_01597	Pras.g_00469
OG0000000	Prau	Prab.g_01597	Prau.g_01266
OG0000000	Prau	Prab.g_01597	Prau.g_01647
OG0000000	Prav	Prab.g_01597	Prav.g_01694
OG0000000	Prav	Prab.g_01597	Prav.g_01821
OG0000000	Praw	Prab.g_01597	Praw.g_00294
OG0000000	Praw	Prab.g_01597	Praw.g_00454
OG0000000	Praw	Prab.g_01597	Praw.g_00496
OG0000000	Prax	Prab.g_01597	Prax.g_00259
