locus_tag	ftype	length_bp	gene	EC_number	COG	product
Pray.g_00001	gene	798				
Pray.g_00001	CDS	798				hypothetical protein
Pray.g_00002	gene	387				
Pray.g_00002	CDS	387				hypothetical protein
Pray.g_00003	gene	108				
Pray.g_00003	CDS	108				hypothetical protein
Pray.g_00004	gene	73				
Pray.g_00004	tRNA	73				tRNA-Lys(ttt)
Pray.g_00005	gene	117	psbY			
Pray.g_00005	CDS	117	psbY			Photosystem II protein Y
Pray.g_00006	gene	1404	trmFO			
Pray.g_00006	CDS	1404	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
Pray.g_00007	gene	1545	crtI_1			
Pray.g_00007	CDS	1545	crtI_1	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
Pray.g_00008	gene	507				
Pray.g_00008	CDS	507				hypothetical protein
Pray.g_00009	gene	738	phoB			
Pray.g_00009	CDS	738	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
Pray.g_00010	gene	270				
Pray.g_00010	CDS	270				hypothetical protein
Pray.g_00011	gene	324	grxD			
Pray.g_00011	CDS	324	grxD		COG0278	Glutaredoxin 4
Pray.g_00012	gene	294				
Pray.g_00012	CDS	294				hypothetical protein
Pray.g_00013	gene	519				
Pray.g_00013	CDS	519				hypothetical protein
Pray.g_00014	gene	675				
Pray.g_00014	CDS	675				hypothetical protein
Pray.g_00015	gene	717	pdxJ			
Pray.g_00015	CDS	717	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
Pray.g_00016	gene	318				
Pray.g_00016	CDS	318				Ycf54-like protein
Pray.g_00017	gene	3180	recC			
Pray.g_00017	CDS	3180	recC	3.1.11.5		RecBCD enzyme subunit RecC
Pray.g_00018	gene	474				
Pray.g_00018	CDS	474				hypothetical protein
Pray.g_00019	gene	3630	recB			
Pray.g_00019	CDS	3630	recB	3.1.11.5		RecBCD enzyme subunit RecB
Pray.g_00020	gene	1704	recD			
Pray.g_00020	CDS	1704	recD	3.1.11.5		RecBCD enzyme subunit RecD
Pray.g_00021	gene	1782	deaD			
Pray.g_00021	CDS	1782	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
Pray.g_00022	gene	294				
Pray.g_00022	CDS	294				hypothetical protein
Pray.g_00023	gene	1773	msbA			
Pray.g_00023	CDS	1773	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
Pray.g_00024	gene	558				
Pray.g_00024	CDS	558				hypothetical protein
Pray.g_00025	gene	606	recR			
Pray.g_00025	CDS	606	recR		COG0353	Recombination protein RecR
Pray.g_00026	gene	900	lipA2			
Pray.g_00026	CDS	900	lipA2	2.8.1.8	COG0320	Lipoyl synthase 2
Pray.g_00027	gene	501				
Pray.g_00027	CDS	501				hypothetical protein
Pray.g_00028	gene	933				
Pray.g_00028	CDS	933				hypothetical protein
Pray.g_00029	gene	1008	bioB			
Pray.g_00029	CDS	1008	bioB	2.8.1.6	COG0502	Biotin synthase
Pray.g_00030	gene	804	uppS			
Pray.g_00030	CDS	804	uppS	2.5.1.-	COG0020	Isoprenyl transferase
Pray.g_00031	gene	909	dacA			
Pray.g_00031	CDS	909	dacA	2.7.7.85		Diadenylate cyclase
Pray.g_00032	gene	1368	lysA			
Pray.g_00032	CDS	1368	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
Pray.g_00033	gene	441	rimI			
Pray.g_00033	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
Pray.g_00034	gene	2529	clpC			
Pray.g_00034	CDS	2529	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
Pray.g_00035	gene	1092	gldA			
Pray.g_00035	CDS	1092	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
Pray.g_00036	gene	900	menH_1			
Pray.g_00036	CDS	900	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
Pray.g_00037	gene	858				
Pray.g_00037	CDS	858				hypothetical protein
Pray.g_00038	gene	1392	speA_1			
Pray.g_00038	CDS	1392	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
Pray.g_00039	gene	1659	ubiB_1			
Pray.g_00039	CDS	1659	ubiB_1	2.7.-.-		protein kinase UbiB
Pray.g_00040	gene	486				
Pray.g_00040	CDS	486				hypothetical protein
Pray.g_00041	gene	1521	malQ			
Pray.g_00041	CDS	1521	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
Pray.g_00042	gene	996	prs			
Pray.g_00042	CDS	996	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
Pray.g_00043	gene	441				
Pray.g_00043	CDS	441				hypothetical protein
Pray.g_00044	gene	543				
Pray.g_00044	CDS	543				hypothetical protein
Pray.g_00045	gene	1131	sasA_1			
Pray.g_00045	CDS	1131	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
Pray.g_00046	gene	75				
Pray.g_00046	tRNA	75				tRNA-Glu(ttc)
Pray.g_00047	gene	543				
Pray.g_00047	CDS	543				hypothetical protein
Pray.g_00048	gene	1173	petH			
Pray.g_00048	CDS	1173	petH	1.18.1.2		Ferredoxin--NADP reductase
Pray.g_00049	gene	1524	zwf			
Pray.g_00049	CDS	1524	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
Pray.g_00050	gene	1302				
Pray.g_00050	CDS	1302				hypothetical protein
Pray.g_00051	gene	1380	cbiA			
Pray.g_00051	CDS	1380	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
Pray.g_00052	gene	480				
Pray.g_00052	CDS	480				hypothetical protein
Pray.g_00053	gene	903				
Pray.g_00053	CDS	903		2.5.1.10		Farnesyl diphosphate synthase
Pray.g_00054	gene	897	folD			
Pray.g_00054	CDS	897	folD			Bifunctional protein FolD protein
Pray.g_00055	gene	1473				
Pray.g_00055	CDS	1473				hypothetical protein
Pray.g_00056	gene	393				
Pray.g_00056	CDS	393				hypothetical protein
Pray.g_00057	gene	1641	leuA			
Pray.g_00057	CDS	1641	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
Pray.g_00058	gene	1584				
Pray.g_00058	CDS	1584		2.4.1.18	COG1543	1,4-alpha-glucan branching enzyme
Pray.g_00059	gene	1212	crtL_1			
Pray.g_00059	CDS	1212	crtL_1	5.5.1.19		Lycopene beta cyclase
Pray.g_00060	gene	2598	gyrA_1			
Pray.g_00060	CDS	2598	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
Pray.g_00061	gene	150				
Pray.g_00061	CDS	150				hypothetical protein
Pray.g_00062	gene	1164				
Pray.g_00062	CDS	1164		1.-.-.-	COG0516	putative oxidoreductase/MSMEI_1564
Pray.g_00063	gene	324	trxA			
