Orthogroup	Prac	Syal
OG0000000	Prac.g_00159, Prac.g_00277, Prac.g_00292, Prac.g_00293, Prac.g_00926, Prac.g_00157, Prac.g_00290	Syal.g_01111, Syal.g_01832
OG0000001	Prac.g_00202, Prac.g_00924, Prac.g_00925	Syal.g_02193
OG0000004	Prac.g_00676	Syal.g_01809
OG0000004	Prac.g_01698	Syal.g_02718, Syal.g_00691
OG0000005	Prac.g_00612	Syal.g_00606
OG0000005	Prac.g_00335	Syal.g_00565
OG0000006	Prac.g_01689	Syal.g_00674
OG0000007	Prac.g_00874	Syal.g_02918
OG0000007	Prac.g_00625	Syal.g_00587
OG0000008	Prac.g_00904	Syal.g_02512
OG0000009	Prac.g_00301	Syal.g_02089
OG0000009	Prac.g_01826	Syal.g_00818
OG0000010	Prac.g_01592, Prac.g_01248, Prac.g_01070	Syal.g_00464
OG0000012	Prac.g_00748	Syal.g_02535, Syal.g_01639
OG0000013	Prac.g_01604	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prac.g_01625	Syal.g_01305
OG0000016	Prac.g_01934	Syal.g_00111
OG0000017	Prac.g_00773	Syal.g_02752
OG0000018	Prac.g_01004, Prac.g_01448	Syal.g_00410
OG0000019	Prac.g_01681, Prac.g_01496	Syal.g_01209
OG0000022	Prac.g_01510, Prac.g_01022	Syal.g_02587
OG0000023	Prac.g_01174	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prac.g_01525, Prac.g_00696	Syal.g_02597
OG0000025	Prac.g_01441, Prac.g_01600	Syal.g_02459
OG0000026	Prac.g_01916, Prac.g_01241	Syal.g_00132
OG0000027	Prac.g_01074	Syal.g_02543
OG0000028	Prac.g_01611, Prac.g_00145	Syal.g_01319
OG0000029	Prac.g_01158	Syal.g_03014
OG0000030	Prac.g_00050	Syal.g_01511, Syal.g_01512
OG0000032	Prac.g_00242	Syal.g_00183
OG0000033	Prac.g_01761	Syal.g_00912
OG0000034	Prac.g_00185	Syal.g_00881, Syal.g_01586
OG0000035	Prac.g_00411	Syal.g_00370
OG0000037	Prac.g_01822	Syal.g_00824
OG0000038	Prac.g_00090	Syal.g_01071, Syal.g_01073
OG0000039	Prac.g_00685	Syal.g_01097
OG0000040	Prac.g_00279	Syal.g_01187
OG0000041	Prac.g_00579	Syal.g_00649
OG0000042	Prac.g_00048	Syal.g_01705, Syal.g_01508
OG0000043	Prac.g_01405	Syal.g_02183
OG0000044	Prac.g_00892	Syal.g_01853
OG0000045	Prac.g_01576	Syal.g_01563
OG0000047	Prac.g_01127, Prac.g_01601	Syal.g_01568
OG0000048	Prac.g_01159	Syal.g_01250
OG0000053	Prac.g_01901, Prac.g_00391	Syal.g_00406
OG0000054	Prac.g_00765	Syal.g_02739
OG0000055	Prac.g_01495	Syal.g_01845
OG0000057	Prac.g_00673	Syal.g_01812
OG0000058	Prac.g_00258, Prac.g_00434	Syal.g_01326
OG0000059	Prac.g_00500	Syal.g_00225
OG0000061	Prac.g_00985	Syal.g_01653
OG0000062	Prac.g_00333	Syal.g_02113
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syal.g_00136
OG0000065	Prac.g_01824	Syal.g_00820, Syal.g_02528
OG0000066	Prac.g_00833	Syal.g_02828
OG0000067	Prac.g_01475	Syal.g_02414
OG0000068	Prac.g_00217	Syal.g_02888
OG0000070	Prac.g_01097	Syal.g_00509
OG0000071	Prac.g_00175	Syal.g_01601
OG0000072	Prac.g_01759	Syal.g_00914
OG0000073	Prac.g_00872	Syal.g_02920
OG0000075	Prac.g_00017	Syal.g_01350
OG0000076	Prac.g_01904, Prac.g_00041	Syal.g_01459
OG0000077	Prac.g_01853	Syal.g_00763
OG0000078	Prac.g_01691	Syal.g_00680
OG0000081	Prac.g_00841	Syal.g_02555
OG0000082	Prac.g_00788	Syal.g_02769
OG0000084	Prac.g_00415	Syal.g_00023
OG0000085	Prac.g_00632	Syal.g_00575
OG0000086	Prac.g_01843	Syal.g_00784
OG0000087	Prac.g_01792	Syal.g_00871
OG0000088	Prac.g_01764	Syal.g_00908
OG0000089	Prac.g_01178	Syal.g_00555
OG0000090	Prac.g_00839	Syal.g_02838
OG0000091	Prac.g_00729	Syal.g_02628
OG0000092	Prac.g_01379, Prac.g_00003	Syal.g_00470
OG0000094	Prac.g_01275	Syal.g_01907
OG0000097	Prac.g_00944	Syal.g_01735, Syal.g_01553
OG0000098	Prac.g_00199	Syal.g_02196
OG0000099	Prac.g_00256	Syal.g_01323
OG0000100	Prac.g_00337	Syal.g_02448
OG0000101	Prac.g_00548	Syal.g_00275
OG0000102	Prac.g_00046	Syal.g_01488
OG0000103	Prac.g_00123	Syal.g_01897, Syal.g_00077
OG0000104	Prac.g_00131	Syal.g_00092
OG0000105	Prac.g_01657	Syal.g_01255
OG0000106	Prac.g_01163	Syal.g_02577
OG0000107	Prac.g_01148	Syal.g_00194
OG0000108	Prac.g_01064	Syal.g_02897
OG0000109	Prac.g_01050	Syal.g_02913
OG0000110	Prac.g_00798	Syal.g_02782
OG0000111	Prac.g_00672	Syal.g_01813
OG0000112	Prac.g_01507	Syal.g_02000
OG0000113	Prac.g_01453	Syal.g_02443
OG0000114	Prac.g_01384	Syal.g_02286
OG0000115	Prac.g_01040	Syal.g_00404
OG0000116	Prac.g_00995	Syal.g_01630
OG0000117	Prac.g_01955	Syal.g_01704
OG0000118	Prac.g_00187	Syal.g_01583
OG0000119	Prac.g_00213	Syal.g_02056
OG0000120	Prac.g_00248	Syal.g_01324
OG0000121	Prac.g_00409	Syal.g_00374
OG0000122	Prac.g_00371	Syal.g_02602
OG0000123	Prac.g_00554	Syal.g_00283
OG0000124	Prac.g_00056	Syal.g_01519
OG0000125	Prac.g_00092	Syal.g_01075
OG0000126	Prac.g_00130	Syal.g_00090
OG0000128	Prac.g_01936	Syal.g_00109
OG0000129	Prac.g_01888	Syal.g_01062
OG0000130	Prac.g_01862	Syal.g_00751
OG0000131	Prac.g_01785	Syal.g_00886
OG0000132	Prac.g_01766	Syal.g_00906
OG0000133	Prac.g_01609	Syal.g_01995
OG0000134	Prac.g_01177	Syal.g_00552
OG0000135	Prac.g_01150	Syal.g_01119
OG0000136	Prac.g_01106	Syal.g_00520
OG0000137	Prac.g_01069	Syal.g_00463
OG0000138	Prac.g_01049	Syal.g_02914
OG0000139	Prac.g_00835	Syal.g_02832
OG0000140	Prac.g_00834	Syal.g_02830
OG0000141	Prac.g_00764	Syal.g_02738
OG0000142	Prac.g_00736	Syal.g_02636
OG0000143	Prac.g_00732	Syal.g_02632
OG0000144	Prac.g_00719	Syal.g_02515
OG0000145	Prac.g_01508	Syal.g_02921
OG0000146	Prac.g_01506	Syal.g_02001
OG0000147	Prac.g_01505	Syal.g_02002
OG0000148	Prac.g_01459	Syal.g_02437
OG0000149	Prac.g_01429	Syal.g_02475
OG0000150	Prac.g_01421	Syal.g_02737
OG0000151	Prac.g_01374	Syal.g_02263
OG0000152	Prac.g_01327	Syal.g_01991
OG0000153	Prac.g_01308	Syal.g_01958
OG0000154	Prac.g_01282	Syal.g_01918
OG0000155	Prac.g_00965	Syal.g_01695
OG0000156	Prac.g_00164	Syal.g_01620
OG0000157	Prac.g_00165	Syal.g_01619
OG0000158	Prac.g_00447	Syal.g_01431
OG0000160	Prac.g_00410	Syal.g_00372
OG0000161	Prac.g_00404	Syal.g_00384
OG0000162	Prac.g_00398	Syal.g_00396
OG0000163	Prac.g_00364	Syal.g_02971
OG0000164	Prac.g_00601	Syal.g_00623
OG0000165	Prac.g_00594	Syal.g_00632
OG0000166	Prac.g_00512	Syal.g_00236
OG0000167	Prac.g_00015	Syal.g_01347
OG0000168	Prac.g_00025	Syal.g_01433
OG0000169	Prac.g_00035	Syal.g_01447
OG0000170	Prac.g_00037	Syal.g_01454
OG0000171	Prac.g_00055	Syal.g_01518
OG0000172	Prac.g_00063	Syal.g_00174, Syal.g_00173
OG0000173	Prac.g_00078	Syal.g_00155
OG0000174	Prac.g_00105	Syal.g_01121
OG0000175	Prac.g_00115	Syal.g_01172
OG0000176	Prac.g_01943	Syal.g_00101
OG0000177	Prac.g_01942	Syal.g_00102
OG0000178	Prac.g_01941	Syal.g_00103
OG0000179	Prac.g_01931	Syal.g_00118
OG0000180	Prac.g_01930	Syal.g_00119
OG0000181	Prac.g_01929	Syal.g_00120
OG0000182	Prac.g_01928	Syal.g_00121
OG0000183	Prac.g_01924	Syal.g_00125
OG0000184	Prac.g_01885	Syal.g_01050
OG0000185	Prac.g_01882	Syal.g_01025
OG0000186	Prac.g_01867	Syal.g_02684, Syal.g_00747
OG0000187	Prac.g_01866	Syal.g_02685, Syal.g_00748
OG0000188	Prac.g_01849	Syal.g_00771
OG0000189	Prac.g_01835	Syal.g_00807
OG0000190	Prac.g_01834	Syal.g_01364
OG0000191	Prac.g_01814	Syal.g_00841
OG0000192	Prac.g_01810	Syal.g_00847
OG0000193	Prac.g_01784	Syal.g_00887
OG0000194	Prac.g_01781	Syal.g_00890
OG0000195	Prac.g_01779	Syal.g_00892
OG0000196	Prac.g_01769	Syal.g_00903
OG0000197	Prac.g_01768	Syal.g_00904
OG0000198	Prac.g_01767	Syal.g_00905
OG0000199	Prac.g_01760	Syal.g_00913
OG0000200	Prac.g_01746	Syal.g_00932
OG0000201	Prac.g_01738	Syal.g_00949
OG0000202	Prac.g_01737	Syal.g_00950
OG0000203	Prac.g_01736	Syal.g_00951
OG0000204	Prac.g_01735	Syal.g_00952
OG0000205	Prac.g_01728	Syal.g_00959
OG0000206	Prac.g_01723	Syal.g_00971
OG0000207	Prac.g_01721	Syal.g_00974
OG0000208	Prac.g_01720	Syal.g_00975
OG0000209	Prac.g_01711	Syal.g_01000
OG0000210	Prac.g_01710	Syal.g_01001
OG0000212	Prac.g_01690	Syal.g_00679
OG0000213	Prac.g_01674	Syal.g_01229
OG0000214	Prac.g_01664	Syal.g_01246
OG0000215	Prac.g_01639	Syal.g_01277
OG0000216	Prac.g_01637	Syal.g_01281
OG0000217	Prac.g_01634	Syal.g_01285
