Orthogroup	Syan	Syas
OG0000001	Syan.g_02266	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Syan.g_00157	Syas.g_01418
OG0000004	Syan.g_00183	Syas.g_00176
OG0000004	Syan.g_00989	Syas.g_00174, Syas.g_00311
OG0000005	Syan.g_01423	Syas.g_02665
OG0000005	Syan.g_01378	Syas.g_02704
OG0000006	Syan.g_00057	Syas.g_00942
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syas.g_01684, Syas.g_02565
OG0000007	Syan.g_02743	Syas.g_01232
OG0000007	Syan.g_01400	Syas.g_02681
OG0000008	Syan.g_00640, Syan.g_02532	Syas.g_00886
OG0000008	Syan.g_00641, Syan.g_02531	Syas.g_00887
OG0000009	Syan.g_02972	Syas.g_01450
OG0000010	Syan.g_02847	Syas.g_01334
OG0000012	Syan.g_00008	Syas.g_00111
OG0000012	Syan.g_00942	Syas.g_00827
OG0000013	Syan.g_02156, Syan.g_02159	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Syan.g_01987	Syas.g_01816
OG0000015	Syan.g_01691	Syas.g_02007
OG0000015	Syan.g_00248	Syas.g_00968
OG0000016	Syan.g_01766	Syas.g_02048
OG0000016	Syan.g_02598	Syas.g_01086
OG0000016	Syan.g_00440	Syas.g_01050
OG0000017	Syan.g_01006	Syas.g_00849
OG0000017	Syan.g_01013	Syas.g_00856
OG0000018	Syan.g_02816	Syas.g_01290
OG0000019	Syan.g_02088	Syas.g_01696
OG0000022	Syan.g_00089	Syas.g_02758
OG0000025	Syan.g_00374	Syas.g_00231
OG0000026	Syan.g_01743	Syas.g_02070
OG0000028	Syan.g_01971	Syas.g_01793
OG0000030	Syan.g_01884	Syas.g_01644
OG0000030	Syan.g_01883	Syas.g_01645
OG0000031	Syan.g_01967	Syas.g_01827
OG0000033	Syan.g_03036	Syas.g_02328
OG0000034	Syan.g_01227, Syan.g_03003	Syas.g_02371, Syas.g_02838
OG0000035	Syan.g_01276	Syas.g_02818
OG0000037	Syan.g_02978	Syas.g_01479
OG0000037	Syan.g_00917	Syas.g_00147, Syas.g_01928
OG0000038	Syan.g_01569	Syas.g_01885
OG0000038	Syan.g_01571	Syas.g_01887
OG0000039	Syan.g_00535	Syas.g_02795
OG0000040	Syan.g_01651	Syas.g_01972
OG0000041	Syan.g_00302	Syas.g_00996
OG0000042	Syan.g_00991, Syan.g_02643	Syas.g_01121
OG0000042	Syan.g_01888	Syas.g_02147
OG0000044	Syan.g_00431, Syan.g_00435	Syas.g_00894, Syas.g_02453
OG0000046	Syan.g_02157, Syan.g_02160	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Syan.g_02036	Syas.g_01734
OG0000053	Syan.g_02812	Syas.g_01287
OG0000054	Syan.g_02503	Syas.g_00961
OG0000054	Syan.g_00506	Syas.g_00957
OG0000055	Syan.g_00312	Syas.g_00203
OG0000057	Syan.g_00643, Syan.g_02514	Syas.g_01055
OG0000057	Syan.g_00186	Syas.g_01038
OG0000058	Syan.g_01128, Syan.g_01124	Syas.g_01151
OG0000059	Syan.g_02255	Syas.g_01639
OG0000060	Syan.g_02856	Syas.g_01343, Syas.g_01002
OG0000060	Syan.g_02250	Syas.g_01680
OG0000060	Syan.g_00277	Syas.g_00975
OG0000061	Syan.g_02696	Syas.g_01184
OG0000062	Syan.g_00098	Syas.g_00070
OG0000062	Syan.g_01380	Syas.g_02702
OG0000063	Syan.g_01739	Syas.g_02074
OG0000064	Syan.g_02518	Syas.g_02423
OG0000065	Syan.g_02974	Syas.g_02420
OG0000066	Syan.g_01156	Syas.g_00094
OG0000067	Syan.g_00690	Syas.g_00596
OG0000068	Syan.g_00845	Syas.g_00969
OG0000068	Syan.g_00257	Syas.g_01261
OG0000069	Syan.g_00459	Syas.g_00876
OG0000070	Syan.g_00289	Syas.g_00173
OG0000071	Syan.g_01213	Syas.g_02854
OG0000072	Syan.g_03038	Syas.g_02326
OG0000072	Syan.g_02999	Syas.g_01524
OG0000073	Syan.g_02741	Syas.g_01230
OG0000075	Syan.g_00981	Syas.g_01921
OG0000076	Syan.g_01896	Syas.g_02156
OG0000077	Syan.g_02919	Syas.g_02510
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syas.g_02561
OG0000079	Syan.g_02085	Syas.g_01699
OG0000080	Syan.g_01083	Syas.g_02616
OG0000080	Syan.g_01962	Syas.g_02149
OG0000082	Syan.g_00952	Syas.g_00837
OG0000085	Syan.g_01387	Syas.g_02695
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syas.g_02470
OG0000087	Syan.g_02268	Syas.g_02374
OG0000089	Syan.g_02316	Syas.g_01512
OG0000090	Syan.g_01166	Syas.g_00062
OG0000091	Syan.g_00235	Syas.g_00907
OG0000092	Syan.g_02502	Syas.g_00900, Syas.g_00877
OG0000094	Syan.g_00353	Syas.g_00208
OG0000094	Syan.g_00065	Syas.g_01716
OG0000095	Syan.g_00290	Syas.g_01021
OG0000097	Syan.g_00160, Syan.g_00733	Syas.g_01443
OG0000098	Syan.g_00043	Syas.g_00091
OG0000099	Syan.g_01968	Syas.g_01826
OG0000100	Syan.g_00658	Syas.g_00567
OG0000101	Syan.g_02199	Syas.g_01589
OG0000102	Syan.g_01891	Syas.g_02152, Syas.g_01395
OG0000103	Syan.g_01692	Syas.g_02009
OG0000104	Syan.g_01792	Syas.g_02027
