Orthogroup	Prap	Syar
OG0000001	Prap.g_01925	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Prap.g_00802	Syar.g_02051
OG0000004	Prap.g_01480	Syar.g_02225, Syar.g_00842
OG0000005	Prap.g_00204	Syar.g_02909
OG0000006	Prap.g_01470	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prap.g_01270	Syar.g_01491
OG0000007	Prap.g_01779	Syar.g_02929
OG0000008	Prap.g_01888	Syar.g_02097
OG0000008	Prap.g_01887	Syar.g_02098
OG0000010	Prap.g_00669, Prap.g_00318	Syar.g_01272
OG0000012	Prap.g_00236	Syar.g_00690, Syar.g_02860
OG0000013	Prap.g_01385	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prap.g_01403	Syar.g_00825
OG0000015	Prap.g_01840, Prap.g_01794	Syar.g_00451, Syar.g_00180
OG0000016	Prap.g_00514	Syar.g_02859
OG0000017	Prap.g_01170	Syar.g_03181
OG0000017	Prap.g_01163	Syar.g_02180
OG0000018	Prap.g_00478	Syar.g_01409
OG0000019	Prap.g_01462, Prap.g_00480	Syar.g_00163
OG0000025	Prap.g_00747	Syar.g_01811
OG0000026	Prap.g_00923	Syar.g_00505
OG0000027	Prap.g_01912, Prap.g_01860	Syar.g_02055, Syar.g_02835
OG0000028	Prap.g_01889	Syar.g_00718
OG0000031	Prap.g_00080	Syar.g_00714
OG0000032	Prap.g_00160	Syar.g_01390
OG0000033	Prap.g_00087	Syar.g_00105
OG0000034	Prap.g_00572	Syar.g_00074, Syar.g_02790
OG0000035	Prap.g_00121	Syar.g_02809
OG0000037	Prap.g_01067	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prap.g_01530	Syar.g_00334, Syar.g_00336
OG0000039	Prap.g_00814	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000041	Prap.g_01731	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Prap.g_01572	Syar.g_00595, Syar.g_01970
OG0000045	Prap.g_00500	Syar.g_02592
OG0000046	Prap.g_01384	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Prap.g_00548	Syar.g_00213
OG0000051	Prap.g_00611	Syar.g_01597
OG0000052	Prap.g_00897	Syar.g_00281
OG0000053	Prap.g_00142, Prap.g_01834	Syar.g_01413
OG0000054	Prap.g_01161	Syar.g_02265
OG0000055	Prap.g_01805	Syar.g_01386
OG0000057	Prap.g_00799	Syar.g_01941, Syar.g_00006
OG0000058	Prap.g_00081	Syar.g_00648
OG0000059	Prap.g_01691	Syar.g_01024
OG0000061	Prap.g_00456	Syar.g_01539
OG0000062	Prap.g_00206	Syar.g_02911
OG0000063	Prap.g_01903	Syar.g_00509
OG0000064	Prap.g_00883	Syar.g_03117, Syar.g_00860
OG0000065	Prap.g_01069	Syar.g_03119
OG0000066	Prap.g_01230, Prap.g_01867	Syar.g_03187, Syar.g_02228
OG0000067	Prap.g_00783	Syar.g_02639
OG0000068	Prap.g_00059	Syar.g_02329, Syar.g_01461
OG0000069	Prap.g_01312	Syar.g_01716
OG0000070	Prap.g_01316	Syar.g_02223
OG0000071	Prap.g_00561	Syar.g_02777
OG0000072	Prap.g_00999	Syar.g_00107, Syar.g_01140
OG0000073	Prap.g_01267	Syar.g_01493
OG0000075	Prap.g_01606	Syar.g_03065, Syar.g_00659
OG0000076	Prap.g_01580	Syar.g_00608
OG0000077	Prap.g_01099	Syar.g_03051
