Orthogroup	Syab	Prba
OG0000000	Syab.g_01226	Prba.g_01174, Prba.g_00243, Prba.g_00269, Prba.g_00003, Prba.g_00270, Prba.g_01172, Prba.g_00268
OG0000001	Syab.g_01549	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000002	Syab.g_02285	Prba.g_00203, Prba.g_01639
OG0000004	Syab.g_00549, Syab.g_01193	Prba.g_01622
OG0000004	Syab.g_01911, Syab.g_02377	Prba.g_00451
OG0000005	Syab.g_02289	Prba.g_00607
OG0000005	Syab.g_02806, Syab.g_02232	Prba.g_00312
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Prba.g_00460
OG0000007	Syab.g_02117	Prba.g_00964
OG0000007	Syab.g_02256	Prba.g_00226
OG0000008	Syab.g_01755	Prba.g_01131
OG0000009	Syab.g_00995	Prba.g_01142, Prba.g_00276
OG0000009	Syab.g_02498	Prba.g_01893
OG0000010	Syab.g_00696	Prba.g_01256, Prba.g_00987
OG0000011	Syab.g_01491	Prba.g_01132
OG0000012	Syab.g_01774, Syab.g_00953	Prba.g_01694
OG0000013	Syab.g_00497, Syab.g_00482, Syab.g_00487	Prba.g_00543
OG0000014	Syab.g_00249	Prba.g_00522
OG0000014	Syab.g_00178	Prba.g_00159
OG0000016	Syab.g_00014	Prba.g_01806
OG0000017	Syab.g_01953	Prba.g_01719
OG0000018	Syab.g_00742	Prba.g_00083, Prba.g_01472
OG0000019	Syab.g_00344	Prba.g_00468, Prba.g_01519
OG0000020	Syab.g_02230	Prba.g_00737
OG0000022	Syab.g_01825	Prba.g_01543, Prba.g_00101
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prba.g_00854
OG0000024	Syab.g_01834	Prba.g_01558, Prba.g_01642
OG0000025	Syab.g_01705	Prba.g_01464, Prba.g_00547
OG0000026	Syab.g_00036	Prba.g_01824, Prba.g_01249
OG0000027	Syab.g_01782	Prba.g_00991, Prba.g_01175
OG0000028	Syab.g_00234	Prba.g_00536, Prba.g_01126
OG0000030	Syab.g_00096, Syab.g_00095	Prba.g_00778
OG0000032	Syab.g_00182	Prba.g_00149
OG0000033	Syab.g_02590	Prba.g_00625
OG0000034	Syab.g_00900, Syab.g_02560	Prba.g_01202
OG0000035	Syab.g_00776	Prba.g_00713
OG0000037	Syab.g_02504	Prba.g_01897
OG0000038	Syab.g_02759, Syab.g_02761	Prba.g_00819
OG0000039	Syab.g_02791	Prba.g_01631
OG0000042	Syab.g_01019, Syab.g_00099	Prba.g_00775
OG0000043	Syab.g_01539	Prba.g_01427
OG0000043	Syab.g_01785	Prba.g_01138
OG0000044	Syab.g_01262	Prba.g_00002
OG0000045	Syab.g_01787	Prba.g_00865
OG0000047	Syab.g_00876	Prba.g_00913, Prba.g_00546
OG0000048	Syab.g_00308	Prba.g_00868
OG0000051	Syab.g_01073	Prba.g_01168
OG0000052	Syab.g_00214	Prba.g_00160
OG0000053	Syab.g_00746	Prba.g_00693
OG0000054	Syab.g_01932	Prba.g_01711
OG0000055	Syab.g_01255	Prba.g_01518
OG0000056	Syab.g_01452	Prba.g_01120
OG0000057	Syab.g_01200	Prba.g_01619
OG0000058	Syab.g_00227	Prba.g_00153
OG0000059	Syab.g_00397	Prba.g_00381, Prba.g_00127
OG0000061	Syab.g_00969	Prba.g_00064
OG0000063	Syab.g_00040	Prba.g_01826
OG0000065	Syab.g_02500, Syab.g_01768	Prba.g_01895
OG0000066	Syab.g_02031	Prba.g_00922
OG0000067	Syab.g_01659	Prba.g_01499
OG0000068	Syab.g_02087	Prba.g_00196
OG0000070	Syab.g_00614	Prba.g_01011
OG0000071	Syab.g_00915	Prba.g_01192
OG0000072	Syab.g_02593	Prba.g_00627
OG0000073	Syab.g_02119	Prba.g_00962
OG0000075	Syab.g_00202	Prba.g_01071
OG0000076	Syab.g_00113	Prba.g_00768
OG0000077	Syab.g_02446	Prba.g_01866
OG0000078	Syab.g_02366	Prba.g_00458
OG0000079	Syab.g_00340	Prba.g_00471
OG0000081	Syab.g_01793	Prba.g_00930
OG0000082	Syab.g_01971	Prba.g_01731
OG0000084	Syab.g_00781	Prba.g_00717
OG0000085	Syab.g_02243	Prba.g_00233
OG0000086	Syab.g_02468	Prba.g_01876
OG0000087	Syab.g_02551	Prba.g_01927
OG0000088	Syab.g_02586	Prba.g_00622
OG0000089	Syab.g_00551	Prba.g_00850
OG0000090	Syab.g_02041	Prba.g_00928
OG0000091	Syab.g_01866	Prba.g_01675
OG0000092	Syab.g_01242, Syab.g_00690	Prba.g_01390, Prba.g_01057
OG0000094	Syab.g_01306	Prba.g_01283
OG0000097	Syab.g_01051	Prba.g_00022
OG0000098	Syab.g_01553	Prba.g_00214
OG0000099	Syab.g_00230	Prba.g_00155
OG0000100	Syab.g_01694	Prba.g_00314
OG0000101	Syab.g_00446	Prba.g_00429
