Orthogroup	Pran	Praq
OG0000000	Pran.g_00582	Praq.g_00117
OG0000000	Pran.g_01423, Pran.g_00931, Pran.g_00601	Praq.g_00026
OG0000000	Pran.g_00001	Praq.g_00025
OG0000000	Pran.g_00001	Praq.g_01392
OG0000000	Pran.g_00602	Praq.g_00025
OG0000000	Pran.g_00602	Praq.g_01392
OG0000000	Pran.g_00894	Praq.g_00028
OG0000002	Pran.g_01500	Praq.g_00807
OG0000004	Pran.g_01483	Praq.g_00824
OG0000004	Pran.g_00200	Praq.g_01770
OG0000005	Pran.g_00983	Praq.g_00484
OG0000005	Pran.g_00657	Praq.g_00370
OG0000006	Pran.g_01951	Praq.g_01761
OG0000007	Pran.g_01681	Praq.g_01105
OG0000007	Pran.g_00970	Praq.g_00497
OG0000008	Pran.g_01506	Praq.g_00801
OG0000009	Pran.g_00615	Praq.g_00017
OG0000009	Pran.g_00328	Praq.g_01898
OG0000010	Pran.g_00175	Praq.g_00552, Praq.g_01626
OG0000010	Pran.g_01704	Praq.g_00525
OG0000011	Pran.g_01384	Praq.g_00100
OG0000012	Pran.g_01555	Praq.g_00979
OG0000013	Pran.g_01867	Praq.g_01675
OG0000014	Pran.g_01888	Praq.g_01696
OG0000015	Pran.g_01394	Praq.g_00065
OG0000017	Pran.g_01580	Praq.g_01004
OG0000018	Pran.g_00078	Praq.g_01314
OG0000018	Pran.g_01316	Praq.g_01425
OG0000019	Pran.g_01943	Praq.g_01753
OG0000019	Pran.g_01363	Praq.g_00649
OG0000020	Pran.g_00117	Praq.g_01281
OG0000020	Pran.g_01804	Praq.g_00041, Praq.g_00080, Praq.g_00547
OG0000021	Pran.g_01829	Praq.g_01179
OG0000022	Pran.g_01401	Praq.g_00635
OG0000022	Pran.g_00097	Praq.g_01296
OG0000023	Pran.g_01834	Praq.g_01184
OG0000024	Pran.g_01420	Praq.g_00618
OG0000024	Pran.g_01503	Praq.g_00804
OG0000025	Pran.g_01309	Praq.g_01432
OG0000025	Pran.g_01863	Praq.g_01671
OG0000026	Pran.g_00393	Praq.g_01234
OG0000026	Pran.g_00168	Praq.g_01633
OG0000027	Pran.g_00583	Praq.g_00521
OG0000028	Pran.g_01874	Praq.g_01682
OG0000029	Pran.g_01410	Praq.g_00627
OG0000030	Pran.g_01170	Praq.g_00772
OG0000031	Pran.g_00753	Praq.g_00209
OG0000033	Pran.g_00263	Praq.g_01833
OG0000034	Pran.g_00866	Praq.g_00143
OG0000035	Pran.g_00733	Praq.g_00294
OG0000037	Pran.g_00324	Praq.g_01894
OG0000038	Pran.g_01210	Praq.g_00716
OG0000039	Pran.g_01492	Praq.g_00815
OG0000040	Pran.g_00923	Praq.g_01955
OG0000040	Pran.g_00079	Praq.g_01313
OG0000041	Pran.g_01016	Praq.g_00451
OG0000042	Pran.g_01167	Praq.g_00770
OG0000043	Pran.g_00179	Praq.g_01469
OG0000044	Pran.g_00949	Praq.g_00058
OG0000045	Pran.g_01823	Praq.g_01172
OG0000047	Pran.g_01864	Praq.g_01672
OG0000048	Pran.g_01820	Praq.g_01169
OG0000049	Pran.g_01811	Praq.g_01159
OG0000049	Pran.g_00586	Praq.g_00059
OG0000049	Pran.g_00526	Praq.g_00085
OG0000050	Pran.g_00149	Praq.g_01654
OG0000053	Pran.g_00713	Praq.g_01246, Praq.g_00314
OG0000054	Pran.g_01572	Praq.g_00996
OG0000055	Pran.g_01362	Praq.g_00650
OG0000057	Pran.g_01480	Praq.g_00827
OG0000058	Pran.g_00807	Praq.g_00218
OG0000059	Pran.g_01056	Praq.g_00927
OG0000061	Pran.g_00060	Praq.g_01333
OG0000062	Pran.g_00655	Praq.g_00372
OG0000063	Pran.g_00391	Praq.g_01237, Praq.g_01236
OG0000065	Pran.g_00326	Praq.g_01896
OG0000066	Pran.g_01639	Praq.g_01063
OG0000067	Pran.g_01343	Praq.g_00670
OG0000068	Pran.g_00841	Praq.g_00175
OG0000069	Pran.g_00614	Praq.g_00018
OG0000070	Pran.g_01727	Praq.g_01107
OG0000071	Pran.g_00938, Pran.g_00876	Praq.g_00133
OG0000072	Pran.g_00261	Praq.g_01831
OG0000073	Pran.g_01679	Praq.g_01103
OG0000074	Pran.g_01496	Praq.g_00811
OG0000075	Pran.g_01137	Praq.g_00739
OG0000076	Pran.g_01160	Praq.g_01243, Praq.g_00763
OG0000077	Pran.g_00354	Praq.g_01925
OG0000078	Pran.g_00194	Praq.g_01763
OG0000081	Pran.g_01647	Praq.g_01071
OG0000082	Pran.g_01593	Praq.g_01018
OG0000083	Pran.g_00576	Praq.g_00607
OG0000084	Pran.g_00737	Praq.g_00290
OG0000086	Pran.g_00344	Praq.g_01915
OG0000087	Pran.g_00295	Praq.g_01864
OG0000088	Pran.g_00266	Praq.g_01836
OG0000089	Pran.g_01839	Praq.g_01188
OG0000090	Pran.g_01645	Praq.g_01069
OG0000091	Pran.g_01536	Praq.g_00960
OG0000092	Pran.g_00434	Praq.g_01495
OG0000093	Pran.g_00455	Praq.g_01516
OG0000094	Pran.g_00549	Praq.g_01600
OG0000095	Pran.g_00903, Pran.g_00568	Praq.g_01619
OG0000096	Pran.g_00603	Praq.g_00081
OG0000096	Pran.g_00114	Praq.g_01283
OG0000097	Pran.g_00019	Praq.g_01374
OG0000098	Pran.g_00855	Praq.g_00157
OG0000099	Pran.g_00806	Praq.g_00216
OG0000100	Pran.g_00659	Praq.g_00368
OG0000101	Pran.g_01105	Praq.g_00879
OG0000102	Pran.g_01165	Praq.g_00768
OG0000103	Pran.g_01244	Praq.g_00414
OG0000104	Pran.g_01253	Praq.g_00422
OG0000105	Pran.g_01920	Praq.g_01729
OG0000106	Pran.g_01824	Praq.g_01173
OG0000107	Pran.g_01808	Praq.g_01158
OG0000108	Pran.g_01698	Praq.g_00531
OG0000109	Pran.g_01684	Praq.g_00545
OG0000110	Pran.g_01603	Praq.g_01028
OG0000111	Pran.g_01479	Praq.g_00828
OG0000112	Pran.g_01378	Praq.g_00638
OG0000113	Pran.g_01321	Praq.g_01420
OG0000114	Pran.g_00429	Praq.g_01490
OG0000115	Pran.g_00123	Praq.g_01278
OG0000116	Pran.g_00070	Praq.g_01323
OG0000117	Pran.g_01466	Praq.g_00084
OG0000118	Pran.g_00864	Praq.g_00145
OG0000119	Pran.g_00845	Praq.g_00171
OG0000120	Pran.g_00752	Praq.g_00208
OG0000121	Pran.g_00731	Praq.g_00296
OG0000122	Pran.g_00693	Praq.g_00334
OG0000123	Pran.g_01112	Praq.g_00873
OG0000124	Pran.g_01176	Praq.g_00682
OG0000125	Pran.g_01212	Praq.g_00718
OG0000126	Pran.g_01252	Praq.g_00421
OG0000128	Pran.g_01268	Praq.g_00437
OG0000129	Pran.g_00381	Praq.g_01259
OG0000130	Pran.g_00363	Praq.g_01934
OG0000131	Pran.g_00288	Praq.g_01857
OG0000132	Pran.g_00268	Praq.g_01838
OG0000133	Pran.g_01872	Praq.g_01680
OG0000134	Pran.g_01838	Praq.g_01187
OG0000135	Pran.g_01812	Praq.g_01160
OG0000136	Pran.g_01739	Praq.g_01116
OG0000137	Pran.g_01703	Praq.g_00526
OG0000138	Pran.g_01683	Praq.g_00546
OG0000139	Pran.g_01641	Praq.g_01065
OG0000140	Pran.g_01640	Praq.g_01064
OG0000141	Pran.g_01571	Praq.g_00995
OG0000142	Pran.g_01543	Praq.g_00967
OG0000143	Pran.g_01539	Praq.g_00963
OG0000144	Pran.g_01526	Praq.g_00781
OG0000145	Pran.g_01400	Praq.g_00637
OG0000146	Pran.g_01377	Praq.g_00639
OG0000147	Pran.g_01376	Praq.g_00640
OG0000148	Pran.g_01327	Praq.g_01414
OG0000149	Pran.g_01297	Praq.g_01444
OG0000150	Pran.g_01289	Praq.g_01452
OG0000151	Pran.g_00439	Praq.g_01500
OG0000152	Pran.g_00487	Praq.g_01548
OG0000153	Pran.g_00506	Praq.g_01567
OG0000154	Pran.g_00542	Praq.g_01593
OG0000155	Pran.g_00040	Praq.g_01353
OG0000156	Pran.g_00887	Praq.g_00122
OG0000157	Pran.g_00886	Praq.g_00123
OG0000158	Pran.g_00822	Praq.g_00258
OG0000159	Pran.g_00808	Praq.g_00253, Praq.g_00217
OG0000160	Pran.g_00732	Praq.g_00295
OG0000161	Pran.g_00726	Praq.g_00301
OG0000162	Pran.g_00720	Praq.g_00307
OG0000163	Pran.g_00686	Praq.g_00341
OG0000164	Pran.g_00994	Praq.g_00473
OG0000165	Pran.g_01001	Praq.g_00466
OG0000166	Pran.g_01069, Pran.g_01068	Praq.g_00915
OG0000167	Pran.g_01135	Praq.g_00737
OG0000168	Pran.g_01144	Praq.g_00747
OG0000169	Pran.g_01154	Praq.g_00757
OG0000170	Pran.g_01156	Praq.g_00759
OG0000171	Pran.g_01175	Praq.g_00681
OG0000172	Pran.g_01184	Praq.g_00689
OG0000173	Pran.g_01199	Praq.g_00704
OG0000174	Pran.g_01226	Praq.g_00396
OG0000175	Pran.g_01236	Praq.g_00406
OG0000176	Pran.g_01261	Praq.g_00430
OG0000177	Pran.g_01262	Praq.g_00431
OG0000178	Pran.g_01263	Praq.g_00432
OG0000179	Pran.g_00408	Praq.g_01219
OG0000180	Pran.g_00407	Praq.g_01220
OG0000181	Pran.g_00406	Praq.g_01221
OG0000182	Pran.g_00405	Praq.g_01222
OG0000183	Pran.g_00401	Praq.g_01226
OG0000184	Pran.g_00379	Praq.g_01262
OG0000185	Pran.g_00376	Praq.g_01265
