Orthogroup	Syaj	Prbk
OG0000001	Syaj.g_02674	Prbk.g_01196, Prbk.g_00170
OG0000001	Syaj.g_01950	Prbk.g_00561, Prbk.g_02701
OG0000002	Syaj.g_02667	Prbk.g_02574, Prbk.g_01649
OG0000004	Syaj.g_00441	Prbk.g_01760
OG0000004	Syaj.g_01314, Syaj.g_02853	Prbk.g_01134
OG0000005	Syaj.g_01698	Prbk.g_00933
OG0000006	Syaj.g_02635	Prbk.g_02695
OG0000007	Syaj.g_01721	Prbk.g_00907
OG0000008	Syaj.g_00496	Prbk.g_01819
OG0000008	Syaj.g_00497	Prbk.g_01820
OG0000009	Syaj.g_01885	Prbk.g_01932, Prbk.g_00013
OG0000010	Syaj.g_01445	Prbk.g_02112
OG0000011	Syaj.g_01133	Prbk.g_01851
OG0000012	Syaj.g_01306	Prbk.g_02610
OG0000013	Syaj.g_02782, Syaj.g_02769, Syaj.g_02774	Prbk.g_00853
OG0000014	Syaj.g_02522	Prbk.g_00454
OG0000015	Syaj.g_00725, Syaj.g_02659	Prbk.g_02558
OG0000017	Syaj.g_00255	Prbk.g_01150
OG0000017	Syaj.g_00248	Prbk.g_01142
OG0000018	Syaj.g_01413	Prbk.g_01227
OG0000019	Syaj.g_02613	Prbk.g_01644
OG0000021	Syaj.g_00982	Prbk.g_01960
OG0000021	Syaj.g_00042	Prbk.g_01137
OG0000022	Syaj.g_01220	Prbk.g_00212, Prbk.g_01667
OG0000023	Syaj.g_00829, Syaj.g_01791	Prbk.g_02448
OG0000024	Syaj.g_00500	Prbk.g_01780
OG0000025	Syaj.g_00383	Prbk.g_02531
OG0000026	Syaj.g_02298	Prbk.g_01617
OG0000028	Syaj.g_02506	Prbk.g_00469
OG0000029	Syaj.g_01229	Prbk.g_00833
OG0000030	Syaj.g_02396	Prbk.g_01532
OG0000030	Syaj.g_02395	Prbk.g_01533
OG0000032	Syaj.g_01432	Prbk.g_01209
OG0000033	Syaj.g_01990	Prbk.g_00776
OG0000034	Syaj.g_01959	Prbk.g_01171
OG0000035	Syaj.g_01378	Prbk.g_00259
OG0000037	Syaj.g_01891, Syaj.g_02902	Prbk.g_00007
OG0000038	Syaj.g_02115	Prbk.g_02164
OG0000039	Syaj.g_00275	Prbk.g_00642
OG0000041	Syaj.g_01602	Prbk.g_01406
OG0000042	Syaj.g_02399	Prbk.g_01495, Prbk.g_00140
OG0000045	Syaj.g_00132	Prbk.g_01321
OG0000046	Syaj.g_02768, Syaj.g_02775, Syaj.g_02781	Prbk.g_00854
OG0000047	Syaj.g_02799	Prbk.g_02565, Prbk.g_01202
OG0000048	Syaj.g_02578	Prbk.g_00405
OG0000051	Syaj.g_02898	Prbk.g_01709
OG0000052	Syaj.g_02476	Prbk.g_00499
OG0000053	Syaj.g_01409	Prbk.g_01230
OG0000054	Syaj.g_01341	Prbk.g_01153
OG0000056	Syaj.g_00985, Syaj.g_02864	Prbk.g_02591
