Orthogroup	Syab	Syaj
OG0000001	Syab.g_02553, Syab.g_02555	Syaj.g_01950
OG0000001	Syab.g_01509, Syab.g_01510	Syaj.g_02660
OG0000002	Syab.g_02285	Syaj.g_02667
OG0000004	Syab.g_00549, Syab.g_01193	Syaj.g_00441
OG0000004	Syab.g_01911	Syaj.g_01314
OG0000004	Syab.g_02377	Syaj.g_02853
OG0000005	Syab.g_02289	Syaj.g_01736
OG0000005	Syab.g_02232	Syaj.g_01698
OG0000005	Syab.g_00981	Syaj.g_01155
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syaj.g_02635
OG0000007	Syab.g_02117	Syaj.g_00091
OG0000007	Syab.g_02256	Syaj.g_01721
OG0000008	Syab.g_01755	Syaj.g_00496
OG0000008	Syab.g_01168	Syaj.g_00497
OG0000009	Syab.g_00995	Syaj.g_01069
OG0000009	Syab.g_02498	Syaj.g_01885
OG0000010	Syab.g_00696	Syaj.g_01445
OG0000012	Syab.g_01774, Syab.g_00953	Syaj.g_00172
OG0000013	Syab.g_00487	Syaj.g_02774
OG0000013	Syab.g_00497	Syaj.g_02782
OG0000013	Syab.g_00482	Syaj.g_02769
OG0000014	Syab.g_00249	Syaj.g_02522
OG0000014	Syab.g_00178	Syaj.g_02344
OG0000015	Syab.g_02889	Syaj.g_02242
OG0000016	Syab.g_00014	Syaj.g_02276
OG0000016	Syab.g_01049	Syaj.g_00590
OG0000017	Syab.g_01953	Syaj.g_00248
OG0000017	Syab.g_01945	Syaj.g_00255
OG0000018	Syab.g_00742	Syaj.g_01413
OG0000019	Syab.g_00344	Syaj.g_02613
OG0000022	Syab.g_01825	Syaj.g_01220
OG0000023	Syab.g_02058, Syab.g_01294	Syaj.g_01791
OG0000024	Syab.g_01834	Syaj.g_00500
OG0000025	Syab.g_01705	Syaj.g_00383
OG0000026	Syab.g_00036	Syaj.g_02298
OG0000027	Syab.g_01782	Syaj.g_00396
OG0000028	Syab.g_00234	Syaj.g_02506
OG0000030	Syab.g_00096	Syaj.g_02396
OG0000030	Syab.g_00095	Syaj.g_02395
OG0000031	Syab.g_00160	Syaj.g_02501
OG0000032	Syab.g_00724	Syaj.g_01432
OG0000033	Syab.g_02590	Syaj.g_01990
OG0000034	Syab.g_00900, Syab.g_02560	Syaj.g_01959
OG0000035	Syab.g_00776, Syab.g_00778	Syaj.g_01378
OG0000037	Syab.g_02280	Syaj.g_02902
OG0000038	Syab.g_02759	Syaj.g_02115
OG0000039	Syab.g_02791	Syaj.g_00275
OG0000040	Syab.g_02853	Syaj.g_02208
OG0000042	Syab.g_01019, Syab.g_00099	Syaj.g_02399
OG0000043	Syab.g_02802	Syaj.g_01085
OG0000043	Syab.g_01785	Syaj.g_01247
OG0000044	Syab.g_01262, Syab.g_01256, Syab.g_01097	Syaj.g_01344
OG0000045	Syab.g_00871	Syaj.g_00132
OG0000046	Syab.g_00488	Syaj.g_02775
OG0000046	Syab.g_00496	Syaj.g_02781
OG0000046	Syab.g_00481	Syaj.g_02768
OG0000047	Syab.g_00876	Syaj.g_02799
OG0000048	Syab.g_00308	Syaj.g_02578
OG0000051	Syab.g_02216	Syaj.g_00017
OG0000052	Syab.g_00214	Syaj.g_02476
OG0000053	Syab.g_00746	Syaj.g_01409
OG0000055	Syab.g_01255	Syaj.g_00394
OG0000057	Syab.g_01200	Syaj.g_00438
OG0000058	Syab.g_00227	Syaj.g_02495
OG0000059	Syab.g_00397	Syaj.g_02686
OG0000060	Syab.g_00662	Syaj.g_01469
OG0000060	Syab.g_02094	Syaj.g_00067
OG0000061	Syab.g_00171	Syaj.g_02351
OG0000061	Syab.g_00969	Syaj.g_00302
OG0000062	Syab.g_02234	Syaj.g_01700
OG0000063	Syab.g_00040	Syaj.g_02302
OG0000064	Syab.g_02808	Syaj.g_00041
OG0000064	Syab.g_01783	Syaj.g_01253
OG0000065	Syab.g_01768	Syaj.g_00007
OG0000066	Syab.g_01516	Syaj.g_00157
OG0000067	Syab.g_01659	Syaj.g_01023
OG0000068	Syab.g_02087	Syaj.g_00059
OG0000070	Syab.g_00614	Syaj.g_01529
OG0000071	Syab.g_00915	Syaj.g_01511
OG0000072	Syab.g_02593	Syaj.g_01992
OG0000073	Syab.g_02119	Syaj.g_00093
OG0000075	Syab.g_00202	Syaj.g_02457
OG0000076	Syab.g_00113	Syaj.g_02417
OG0000077	Syab.g_02446	Syaj.g_01831
OG0000078	Syab.g_02366	Syaj.g_02880
OG0000079	Syab.g_00340	Syaj.g_02609
OG0000081	Syab.g_01793	Syaj.g_02888
OG0000082	Syab.g_01971	Syaj.g_00229
OG0000084	Syab.g_00781	Syaj.g_01375
OG0000085	Syab.g_02243	Syaj.g_01707
OG0000086	Syab.g_02468	Syaj.g_01848
OG0000087	Syab.g_02551	Syaj.g_01945
OG0000088	Syab.g_02586	Syaj.g_01986
OG0000089	Syab.g_00551	Syaj.g_02829, Syaj.g_01915
OG0000090	Syab.g_02041	Syaj.g_00144
OG0000091	Syab.g_01866	Syaj.g_01275
OG0000092	Syab.g_01242, Syab.g_00690	Syaj.g_00339
OG0000093	Syab.g_01582	Syaj.g_01042
OG0000094	Syab.g_01306	Syaj.g_00804
OG0000095	Syab.g_01210	Syaj.g_00427
OG0000097	Syab.g_01051	Syaj.g_00589
OG0000099	Syab.g_00230	Syaj.g_02503
OG0000100	Syab.g_01694	Syaj.g_00987
OG0000101	Syab.g_00446	Syaj.g_02738
OG0000102	Syab.g_00104	Syaj.g_02411
OG0000103	Syab.g_02895	Syaj.g_02243
OG0000104	Syab.g_02910	Syaj.g_02258
OG0000105	Syab.g_00303	Syaj.g_02573
OG0000106	Syab.g_01817	Syaj.g_01130
OG0000107	Syab.g_00367	Syaj.g_02637
OG0000108	Syab.g_02096	Syaj.g_00072
OG0000109	Syab.g_02112	Syaj.g_00087
OG0000110	Syab.g_01984	Syaj.g_00215
OG0000111	Syab.g_01201	Syaj.g_00437
OG0000112	Syab.g_01392	Syaj.g_00907
OG0000113	Syab.g_01689	Syaj.g_00992
OG0000114	Syab.g_02656	Syaj.g_00741
OG0000115	Syab.g_00748	Syaj.g_01402
OG0000116	Syab.g_00945	Syaj.g_00289
OG0000117	Syab.g_01018	Syaj.g_00637
OG0000118	Syab.g_00897	Syaj.g_00267
OG0000120	Syab.g_00229	Syaj.g_02502
OG0000121	Syab.g_00772	Syaj.g_01383
OG0000122	Syab.g_01839	Syaj.g_01250
OG0000123	Syab.g_00454	Syaj.g_02745
OG0000124	Syab.g_00088	Syaj.g_02388
OG0000125	Syab.g_02763	Syaj.g_02117
OG0000126	Syab.g_02908	Syaj.g_02256
OG0000128	Syab.g_00012	Syaj.g_02274
OG0000129	Syab.g_02749	Syaj.g_02106
OG0000130	Syab.g_02434	Syaj.g_01818
OG0000131	Syab.g_02564	Syaj.g_01964
OG0000132	Syab.g_02584	Syaj.g_01984
OG0000133	Syab.g_01387	Syaj.g_00902
OG0000134	Syab.g_00554	Syaj.g_02832
OG0000135	Syab.g_02815	Syaj.g_02167
OG0000136	Syab.g_00588	Syaj.g_01550
OG0000137	Syab.g_00697	Syaj.g_01444
OG0000138	Syab.g_02113	Syaj.g_00088
OG0000139	Syab.g_02035	Syaj.g_00150
OG0000140	Syab.g_02033	Syaj.g_00153
OG0000141	Syab.g_01931	Syaj.g_01340
OG0000142	Syab.g_01873	Syaj.g_01283
OG0000143	Syab.g_01870	Syaj.g_01279
OG0000144	Syab.g_01757	Syaj.g_01151
OG0000145	Syab.g_02120	Syaj.g_00094
OG0000146	Syab.g_01393	Syaj.g_00908
OG0000147	Syab.g_01394	Syaj.g_00909
OG0000148	Syab.g_01682	Syaj.g_01003
OG0000149	Syab.g_01720	Syaj.g_00369
OG0000150	Syab.g_01930	Syaj.g_01339, Syaj.g_00154
OG0000151	Syab.g_01612	Syaj.g_01074
OG0000152	Syab.g_01383	Syaj.g_00898
OG0000153	Syab.g_01343	Syaj.g_00842
OG0000154	Syab.g_01317	Syaj.g_00814
OG0000155	Syab.g_01009	Syaj.g_00338
OG0000156	Syab.g_00933	Syaj.g_00282
OG0000157	Syab.g_00932	Syaj.g_00281
OG0000158	Syab.g_00161	Syaj.g_02445
OG0000160	Syab.g_00774	Syaj.g_01382
OG0000161	Syab.g_00766	Syaj.g_01389
OG0000162	Syab.g_00755	Syaj.g_01395
OG0000163	Syab.g_02173	Syaj.g_01639
OG0000164	Syab.g_02307	Syaj.g_01758
OG0000165	Syab.g_02316	Syaj.g_01582
OG0000166	Syab.g_00407	Syaj.g_02698
OG0000167	Syab.g_00205	Syaj.g_02460
OG0000168	Syab.g_00136	Syaj.g_02444
OG0000169	Syab.g_00125	Syaj.g_02431, Syaj.g_02429
OG0000170	Syab.g_00118	Syaj.g_02422
OG0000171	Syab.g_00089	Syaj.g_02389
OG0000172	Syab.g_00080	Syaj.g_02365
OG0000173	Syab.g_00061	Syaj.g_02321
OG0000174	Syab.g_02819	Syaj.g_02169
OG0000175	Syab.g_02876	Syaj.g_02229
OG0000176	Syab.g_00004	Syaj.g_02266
OG0000177	Syab.g_00005	Syaj.g_02267
OG0000178	Syab.g_00006	Syaj.g_02268
OG0000179	Syab.g_00022	Syaj.g_02283
OG0000180	Syab.g_00023	Syaj.g_02284
OG0000181	Syab.g_00024	Syaj.g_02285
OG0000182	Syab.g_00025	Syaj.g_02286
OG0000183	Syab.g_00029	Syaj.g_02290
OG0000184	Syab.g_02738	Syaj.g_02098
OG0000185	Syab.g_02715	Syaj.g_02087
OG0000186	Syab.g_02430	Syaj.g_01812
OG0000187	Syab.g_02431	Syaj.g_01814
OG0000188	Syab.g_02454	Syaj.g_01837
OG0000189	Syab.g_02487	Syaj.g_01874
OG0000190	Syab.g_00190, Syab.g_00139	Syaj.g_01876
OG0000191	Syab.g_02522	Syaj.g_01910
OG0000192	Syab.g_02528	Syaj.g_01919
OG0000193	Syab.g_02565	Syaj.g_01965
OG0000194	Syab.g_02568	Syaj.g_01968
OG0000195	Syab.g_02570	Syaj.g_01971
OG0000196	Syab.g_02581	Syaj.g_01981
OG0000197	Syab.g_02582	Syaj.g_01982
OG0000199	Syab.g_02591	Syaj.g_01991
OG0000200	Syab.g_02611	Syaj.g_02008
OG0000201	Syab.g_02628	Syaj.g_02024
OG0000202	Syab.g_02629	Syaj.g_02025
OG0000203	Syab.g_02630	Syaj.g_02026
OG0000204	Syab.g_02631	Syaj.g_02027
OG0000205	Syab.g_02638	Syaj.g_02035
OG0000206	Syab.g_02674	Syaj.g_02043
OG0000207	Syab.g_02677	Syaj.g_02045
OG0000208	Syab.g_02678	Syaj.g_02046
OG0000209	Syab.g_02698	Syaj.g_02070
OG0000210	Syab.g_02699	Syaj.g_02071
OG0000211	Syab.g_02374	Syaj.g_02856
OG0000212	Syab.g_02365	Syaj.g_02881
OG0000213	Syab.g_00332	Syaj.g_02601
OG0000214	Syab.g_00312	Syaj.g_02582
OG0000215	Syab.g_00281	Syaj.g_02551
OG0000216	Syab.g_00277	Syaj.g_02547
OG0000217	Syab.g_00273	Syaj.g_02543
OG0000218	Syab.g_00271	Syaj.g_02541
OG0000219	Syab.g_00270	Syaj.g_02540
OG0000220	Syab.g_00269	Syaj.g_02539
OG0000221	Syab.g_00257	Syaj.g_02530
OG0000222	Syab.g_00244	Syaj.g_02516
OG0000223	Syab.g_00226	Syaj.g_02494
OG0000224	Syab.g_00223	Syaj.g_02487
OG0000225	Syab.g_00538	Syaj.g_02821
OG0000226	Syab.g_00542	Syaj.g_02825
OG0000227	Syab.g_00544	Syaj.g_02827
OG0000228	Syab.g_00550	Syaj.g_02828
OG0000229	Syab.g_00583	Syaj.g_01555
OG0000230	Syab.g_00585	Syaj.g_01553
OG0000231	Syab.g_00613	Syaj.g_01541
OG0000232	Syab.g_00631	Syaj.g_01497
OG0000233	Syab.g_00645	Syaj.g_01481
OG0000234	Syab.g_00699	Syaj.g_01442
OG0000235	Syab.g_02095	Syaj.g_00071
OG0000236	Syab.g_02111	Syaj.g_00086
OG0000237	Syab.g_02129	Syaj.g_00103
OG0000238	Syab.g_02134	Syaj.g_00108
OG0000239	Syab.g_02151	Syaj.g_00125
OG0000240	Syab.g_02152	Syaj.g_00126
OG0000241	Syab.g_01884	Syaj.g_01291
OG0000242	Syab.g_02043	Syaj.g_00142
OG0000243	Syab.g_02025	Syaj.g_00164
OG0000244	Syab.g_02017	Syaj.g_00180
OG0000245	Syab.g_02015	Syaj.g_00182
